staff_id,name,role,date,preferred_shift,skill_level,employment_type,is_night,is_off,source_file
S01001,スタッフS01001,介護士,2024-01-01,休み,初級,正社員,False,True,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-02,夜勤,初級,正社員,True,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-03,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-04,休み,初級,正社員,False,True,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-05,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-06,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-07,休み,初級,正社員,False,True,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-08,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-09,休み,初級,正社員,False,True,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-10,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-11,夜勤,初級,正社員,True,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-12,早番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-13,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-14,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-15,早番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-16,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-17,早番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-18,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-19,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-20,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-21,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-22,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-23,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-24,休み,初級,正社員,False,True,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-25,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-26,遅番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-27,早番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-28,夜勤,初級,正社員,True,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-29,早番,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-30,日勤,初級,正社員,False,False,01_第一病院_shift_202401.csv
S01001,スタッフS01001,介護士,2024-01-31,休み,初級,正社員,False,True,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-01,遅番,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-02,遅番,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-03,夜勤,中級,パート,True,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-04,休み,中級,パート,False,True,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-05,夜勤,中級,パート,True,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-06,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-07,早番,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-08,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-09,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-10,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-11,休み,中級,パート,False,True,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-12,休み,中級,パート,False,True,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-13,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-14,遅番,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-15,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-16,休み,中級,パート,False,True,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-17,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-18,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-19,日勤,中級,パート,False,False,01_第一病院_shift_202401.csv
S01002,スタッフS01002,看護師,2024-01-20,遅番,中級,パート,False,False,01_第一病院_shift_202401.csv
