staff_id,name,role,total_days,night_count,off_count,night_ratio
S01001,スタッフS01001,介護士,31,3,6,0.0968
S01002,スタッフS01002,看護師,31,2,6,0.0645
S01003,スタッフS01003,看護補助,31,5,7,0.1613
S01004,スタッフS01004,看護師,31,3,7,0.0968
S01005,スタッフS01005,看護師,31,3,5,0.0968
S01006,スタッフS01006,介護士,31,1,11,0.0323
S01007,スタッフS01007,看護補助,31,4,5,0.129
S01008,スタッフS01008,介護士,31,3,9,0.0968
S01009,スタッフS01009,リハビリ師,31,4,6,0.129
S01010,スタッフS01010,看護師,31,3,15,0.0968
S02001,スタッフS02001,看護補助,31,5,3,0.1613
S02002,スタッフS02002,看護師,31,6,3,0.1935
S02003,スタッフS02003,リハビリ師,31,3,8,0.0968
S02004,スタッフS02004,看護師,31,6,4,0.1935
S02005,スタッフS02005,リハビリ師,31,4,2,0.129
S02006,スタッフS02006,看護師,31,9,5,0.2903
S02007,スタッフS02007,看護師,31,4,10,0.129
S02008,スタッフS02008,看護師,31,8,3,0.2581
S02009,スタッフS02009,看護師,31,4,4,0.129
S02010,スタッフS02010,看護補助,31,3,6,0.0968
S03001,スタッフS03001,介護士,31,5,6,0.1613
S03002,スタッフS03002,看護師,31,4,7,0.129
S03003,スタッフS03003,介護士,31,2,10,0.0645
S03004,スタッフS03004,看護補助,31,4,6,0.129
S03005,スタッフS03005,介護士,31,6,9,0.1935
S03006,スタッフS03006,介護士,31,3,5,0.0968
S03007,スタッフS03007,介護士,31,5,5,0.1613
S03008,スタッフS03008,リハビリ師,31,7,9,0.2258
S03009,スタッフS03009,看護師,31,5,9,0.1613
S03010,スタッフS03010,介護士,31,3,5,0.0968
