集計日,薬品コード,薬品名,カテゴリ,病棟,在庫数量,最低在庫数,1日平均使用量,単価
2024/01/21,MED-001,錠剤01号,内服薬,内科病棟,29,13,4.1,241
2024/01/04,MED-002,軟膏02号,外用薬,外科病棟,181,39,6.4,45751
2024/01/01,MED-003,注射液03号,注射薬,ICU,55,41,3.9,19545
2024/01/24,MED-004,試薬04号,検査薬,外来,61,47,15.0,4094
2024/01/09,MED-005,材料05号,医療材料,内科病棟,46,13,12.1,33054
2024/01/08,MED-006,錠剤06号,内服薬,外科病棟,5,20,2.1,33381
2024/01/08,MED-007,軟膏07号,外用薬,ICU,39,14,12.3,44350
2024/01/05,MED-008,注射液08号,注射薬,外来,22,17,18.9,37434
2024/01/24,MED-009,試薬09号,検査薬,内科病棟,182,49,2.6,43181
2024/01/04,MED-010,材料10号,医療材料,外科病棟,70,30,18.8,13486
2024/01/22,MED-011,錠剤11号,内服薬,ICU,63,25,6.0,8677
2024/01/24,MED-012,軟膏12号,外用薬,外来,41,39,7.0,49374
2024/01/29,MED-013,注射液13号,注射薬,内科病棟,57,39,12.8,36996
2024/01/18,MED-014,試薬14号,検査薬,外科病棟,22,44,5.0,17480
2024/01/03,MED-015,材料15号,医療材料,ICU,42,14,17.7,24317
2024/01/19,MED-016,錠剤16号,内服薬,外来,211,44,14.4,40186
2024/01/14,MED-017,軟膏17号,外用薬,内科病棟,212,43,1.1,36446
2024/01/02,MED-018,注射液18号,注射薬,外科病棟,29,16,18.8,8900
2024/01/01,MED-019,試薬19号,検査薬,ICU,132,45,4.0,18565
2024/01/03,MED-020,材料20号,医療材料,外来,55,23,14.1,17400
2024/01/07,MED-021,錠剤21号,内服薬,内科病棟,15,13,2.8,27859
2024/01/08,MED-022,軟膏22号,外用薬,外科病棟,26,10,7.3,8673
2024/01/17,MED-023,注射液23号,注射薬,ICU,91,20,15.1,36254
2024/01/20,MED-024,試薬24号,検査薬,外来,44,10,3.1,45386
2024/01/01,MED-025,材料25号,医療材料,内科病棟,39,12,16.9,38275
2024/01/18,MED-026,錠剤26号,内服薬,外科病棟,23,18,1.8,23997
2024/01/07,MED-027,軟膏27号,外用薬,ICU,122,32,5.0,16453
2024/01/23,MED-028,注射液28号,注射薬,外来,84,45,17.8,26732
2024/01/21,MED-029,試薬29号,検査薬,内科病棟,28,25,17.4,11703
2024/01/23,MED-030,材料30号,医療材料,外科病棟,73,21,15.0,21870
2024/01/18,MED-031,錠剤31号,内服薬,ICU,1,25,6.1,46058
2024/01/14,MED-032,軟膏32号,外用薬,外来,98,40,5.2,30266
2024/01/08,MED-033,注射液33号,注射薬,内科病棟,59,24,1.4,12756
2024/01/15,MED-034,試薬34号,検査薬,外科病棟,46,14,19.4,18392
2024/01/19,MED-035,材料35号,医療材料,ICU,42,35,13.9,35241
2024/01/09,MED-036,錠剤36号,内服薬,外来,50,17,17.7,17218
2024/01/26,MED-037,軟膏37号,外用薬,内科病棟,32,12,3.1,28579
2024/01/28,MED-038,注射液38号,注射薬,外科病棟,36,37,12.5,33616
2024/01/01,MED-039,試薬39号,検査薬,ICU,88,22,5.8,46550
2024/01/25,MED-040,材料40号,医療材料,外来,94,44,14.1,48724
2024/01/26,MED-041,錠剤41号,内服薬,内科病棟,113,33,9.2,43631
2024/01/06,MED-042,軟膏42号,外用薬,外科病棟,69,17,14.7,19781
2024/01/23,MED-043,注射液43号,注射薬,ICU,54,30,8.6,19476
2024/01/14,MED-044,試薬44号,検査薬,外来,80,36,13.6,24947
2024/01/11,MED-045,材料45号,医療材料,内科病棟,49,49,11.8,26712
2024/01/09,MED-046,錠剤46号,内服薬,外科病棟,106,29,6.5,28273
2024/01/05,MED-047,軟膏47号,外用薬,ICU,95,30,9.8,29077
2024/01/07,MED-048,注射液48号,注射薬,外来,61,40,16.1,48331
2024/01/31,MED-049,試薬49号,検査薬,内科病棟,39,28,10.8,41580
2024/01/25,MED-050,材料50号,医療材料,外科病棟,43,25,13.8,14822
2024/01/11,MED-001,錠剤01号,内服薬,ICU,15,11,1.9,31238
2024/01/04,MED-002,軟膏02号,外用薬,外来,137,39,8.9,41372
2024/01/03,MED-003,注射液03号,注射薬,内科病棟,42,41,8.6,9771
2024/01/13,MED-004,試薬04号,検査薬,外科病棟,75,16,15.8,14441
2024/01/04,MED-005,材料05号,医療材料,ICU,64,13,11.6,8053
2024/01/12,MED-006,錠剤06号,内服薬,外来,152,39,13.7,36729
2024/01/28,MED-007,軟膏07号,外用薬,内科病棟,189,49,16.5,33181
2024/01/12,MED-008,注射液08号,注射薬,外科病棟,153,38,18.0,48836
2024/01/20,MED-009,試薬09号,検査薬,ICU,125,26,15.3,41889
2024/01/09,MED-010,材料10号,医療材料,外来,62,43,10.2,15779
2024/01/26,MED-011,錠剤11号,内服薬,内科病棟,97,28,5.5,22110
2024/01/02,MED-012,軟膏12号,外用薬,外科病棟,24,15,3.6,15255
2024/01/24,MED-013,注射液13号,注射薬,ICU,82,23,2.2,26812
2024/01/15,MED-014,試薬14号,検査薬,外来,41,36,2.2,27634
2024/01/18,MED-015,材料15号,医療材料,内科病棟,122,46,8.2,486
2024/01/04,MED-016,錠剤16号,内服薬,外科病棟,90,34,17.2,27560
2024/01/30,MED-017,軟膏17号,外用薬,ICU,140,41,5.2,28662
2024/01/13,MED-018,注射液18号,注射薬,外来,138,31,13.7,26597
2024/01/03,MED-019,試薬19号,検査薬,内科病棟,139,39,18.5,40880
2024/01/18,MED-020,材料20号,医療材料,外科病棟,27,47,11.7,1876
2024/01/10,MED-021,錠剤21号,内服薬,ICU,12,18,17.5,12009
2024/01/27,MED-022,軟膏22号,外用薬,外来,142,30,5.0,21520
2024/01/21,MED-023,注射液23号,注射薬,内科病棟,54,34,6.3,27727
2024/01/20,MED-024,試薬24号,検査薬,外科病棟,22,40,1.4,35451
2024/01/29,MED-025,材料25号,医療材料,ICU,0,24,13.4,42813
2024/01/28,MED-026,錠剤26号,内服薬,外来,55,25,4.8,1435
2024/01/12,MED-027,軟膏27号,外用薬,内科病棟,45,18,10.0,7596
2024/01/19,MED-028,注射液28号,注射薬,外科病棟,194,39,14.3,24275
2024/01/07,MED-029,試薬29号,検査薬,ICU,30,17,15.8,10832
2024/01/23,MED-030,材料30号,医療材料,外来,143,47,1.5,20544
2024/01/03,MED-031,錠剤31号,内服薬,内科病棟,15,35,18.9,13097
2024/01/02,MED-032,軟膏32号,外用薬,外科病棟,31,16,14.2,19864
