Date,MedCode,MedName,Category,Ward,StockQty,MinStock,DailyUsage,UnitPrice
2024-01-24,MED-001,錠剤01号,内服薬,外科病棟,164,47,3.7,30321
2024-01-19,MED-002,軟膏02号,外用薬,ICU,112,26,13.7,30590
2024-01-14,MED-003,注射液03号,注射薬,外来,194,44,4.0,29049
2024-01-29,MED-004,試薬04号,検査薬,内科病棟,87,29,13.1,27907
2024-01-19,MED-005,材料05号,医療材料,外科病棟,42,29,4.8,25311
2024-01-13,MED-006,錠剤06号,内服薬,ICU,114,25,8.2,23624
2024-01-12,MED-007,軟膏07号,外用薬,外来,29,28,1.4,43237
2024-01-08,MED-008,注射液08号,注射薬,内科病棟,201,46,17.4,48902
2024-01-05,MED-009,試薬09号,検査薬,外科病棟,99,41,16.8,18856
2024-01-17,MED-010,材料10号,医療材料,ICU,206,48,16.2,14452
2024-01-16,MED-011,錠剤11号,内服薬,外来,113,26,13.9,47346
2024-01-03,MED-012,軟膏12号,外用薬,内科病棟,57,18,12.9,41221
2024-01-25,MED-013,注射液13号,注射薬,外科病棟,61,38,1.6,24011
2024-01-02,MED-014,試薬14号,検査薬,ICU,44,28,7.2,27330
2024-01-28,MED-015,材料15号,医療材料,外来,113,44,17.7,24076
2024-01-04,MED-016,錠剤16号,内服薬,内科病棟,57,20,5.9,31678
2024-01-05,MED-017,軟膏17号,外用薬,外科病棟,49,31,16.3,30792
2024-01-21,MED-018,注射液18号,注射薬,ICU,74,24,17.3,47562
2024-01-06,MED-019,試薬19号,検査薬,外来,34,45,7.9,25958
2024-01-26,MED-020,材料20号,医療材料,内科病棟,50,17,9.6,44194
2024-01-22,MED-021,錠剤21号,内服薬,外科病棟,74,47,8.2,41947
2024-01-14,MED-022,軟膏22号,外用薬,ICU,95,24,10.0,40702
2024-01-20,MED-023,注射液23号,注射薬,外来,111,30,18.4,14607
2024-01-03,MED-024,試薬24号,検査薬,内科病棟,68,39,18.3,19904
2024-01-13,MED-025,材料25号,医療材料,外科病棟,81,18,1.9,2538
2024-01-13,MED-026,錠剤26号,内服薬,ICU,14,17,2.8,35328
2024-01-20,MED-027,軟膏27号,外用薬,外来,140,33,13.7,48802
2024-01-15,MED-028,注射液28号,注射薬,内科病棟,214,47,15.1,10226
2024-01-17,MED-029,試薬29号,検査薬,外科病棟,51,16,16.8,40447
2024-01-09,MED-030,材料30号,医療材料,ICU,27,12,14.1,14338
2024-01-18,MED-031,錠剤31号,内服薬,外来,124,33,2.9,45036
2024-01-28,MED-032,軟膏32号,外用薬,内科病棟,65,13,8.6,12539
2024-01-31,MED-033,注射液33号,注射薬,外科病棟,191,39,2.7,14000
2024-01-01,MED-034,試薬34号,検査薬,ICU,19,11,2.0,21956
2024-01-22,MED-035,材料35号,医療材料,外来,101,46,4.9,36420
2024-01-24,MED-036,錠剤36号,内服薬,内科病棟,100,24,7.2,9770
2024-01-04,MED-037,軟膏37号,外用薬,外科病棟,44,10,6.3,9582
2024-01-22,MED-038,注射液38号,注射薬,ICU,29,26,16.2,7304
2024-01-29,MED-039,試薬39号,検査薬,外来,20,18,1.3,15693
2024-01-18,MED-040,材料40号,医療材料,内科病棟,88,21,6.0,8407
2024-01-25,MED-041,錠剤41号,内服薬,外科病棟,63,17,15.2,31311
2024-01-09,MED-042,軟膏42号,外用薬,ICU,199,42,12.3,29722
2024-01-25,MED-043,注射液43号,注射薬,外来,41,12,14.8,43281
2024-01-21,MED-044,試薬44号,検査薬,内科病棟,38,11,2.2,31490
2024-01-11,MED-045,材料45号,医療材料,外科病棟,2,16,10.3,29169
2024-01-04,MED-046,錠剤46号,内服薬,ICU,19,30,12.6,4404
2024-01-10,MED-047,軟膏47号,外用薬,外来,202,50,12.1,46771
2024-01-14,MED-048,注射液48号,注射薬,内科病棟,68,43,6.6,33231
2024-01-06,MED-049,試薬49号,検査薬,外科病棟,44,17,17.2,42758
2024-01-15,MED-050,材料50号,医療材料,ICU,153,37,9.6,15074
2024-01-01,MED-001,錠剤01号,内服薬,外来,115,35,8.9,6331
2024-01-31,MED-002,軟膏02号,外用薬,内科病棟,86,26,8.1,10103
2024-01-24,MED-003,注射液03号,注射薬,外科病棟,1,14,2.7,5694
2024-01-29,MED-004,試薬04号,検査薬,ICU,21,33,16.4,36562
2024-01-24,MED-005,材料05号,医療材料,外来,71,17,8.8,43703
2024-01-09,MED-006,錠剤06号,内服薬,内科病棟,19,13,19.4,39448
2024-01-17,MED-007,軟膏07号,外用薬,外科病棟,103,46,10.6,10240
2024-01-25,MED-008,注射液08号,注射薬,ICU,51,16,7.7,36555
2024-01-06,MED-009,試薬09号,検査薬,外来,205,46,5.3,28222
2024-01-17,MED-010,材料10号,医療材料,内科病棟,42,49,13.8,36586
2024-01-30,MED-011,錠剤11号,内服薬,外科病棟,66,27,1.6,18009
2024-01-04,MED-012,軟膏12号,外用薬,ICU,103,31,7.7,11988
2024-01-28,MED-013,注射液13号,注射薬,外来,42,35,2.3,48660
2024-01-21,MED-014,試薬14号,検査薬,内科病棟,44,15,15.2,14198
2024-01-10,MED-015,材料15号,医療材料,外科病棟,130,31,4.0,20523
2024-01-27,MED-016,錠剤16号,内服薬,ICU,204,46,12.3,3547
2024-01-21,MED-017,軟膏17号,外用薬,外来,40,13,13.8,17932
2024-01-17,MED-018,注射液18号,注射薬,内科病棟,172,41,12.5,27243
2024-01-20,MED-019,試薬19号,検査薬,外科病棟,79,17,7.6,7367
2024-01-07,MED-020,材料20号,医療材料,ICU,196,43,13.7,3076
2024-01-05,MED-021,錠剤21号,内服薬,外来,62,13,1.1,19853
2024-01-12,MED-022,軟膏22号,外用薬,内科病棟,18,18,15.5,19069
2024-01-25,MED-023,注射液23号,注射薬,外科病棟,34,41,15.2,11614
2024-01-06,MED-024,試薬24号,検査薬,ICU,33,24,10.5,43881
2024-01-18,MED-025,材料25号,医療材料,外来,152,35,17.4,2872
2024-01-31,MED-026,錠剤26号,内服薬,内科病棟,39,14,17.4,37832
2024-01-25,MED-027,軟膏27号,外用薬,外科病棟,133,50,8.9,7648
2024-01-30,MED-028,注射液28号,注射薬,ICU,66,20,16.2,40609
2024-01-17,MED-029,試薬29号,検査薬,外来,52,15,9.3,7037
2024-01-30,MED-030,材料30号,医療材料,内科病棟,121,35,11.0,26036
2024-01-01,MED-031,錠剤31号,内服薬,外科病棟,20,24,7.3,11118
2024-01-20,MED-032,軟膏32号,外用薬,ICU,61,17,11.1,12807
2024-01-11,MED-033,注射液33号,注射薬,外来,92,32,14.8,42399
2024-01-16,MED-034,試薬34号,検査薬,内科病棟,35,16,3.8,13028
2024-01-01,MED-035,材料35号,医療材料,外科病棟,62,14,4.4,41253
2024-01-04,MED-036,錠剤36号,内服薬,ICU,190,46,15.4,29519
2024-01-30,MED-037,軟膏37号,外用薬,外来,210,50,19.7,21281
2024-01-12,MED-038,注射液38号,注射薬,内科病棟,110,30,3.9,4575
2024-01-29,MED-039,試薬39号,検査薬,外科病棟,16,29,16.1,38859
2024-01-27,MED-040,材料40号,医療材料,ICU,5,14,6.9,29716
2024-01-26,MED-041,錠剤41号,内服薬,外来,92,28,2.5,6017
2024-01-10,MED-042,軟膏42号,外用薬,内科病棟,44,34,9.8,36427
2024-01-08,MED-043,注射液43号,注射薬,外科病棟,120,38,18.3,37564
2024-01-02,MED-044,試薬44号,検査薬,ICU,163,48,10.0,9986
2024-01-08,MED-045,材料45号,医療材料,外来,26,16,16.4,22607
2024-01-29,MED-046,錠剤46号,内服薬,内科病棟,154,42,13.3,2665
2024-01-19,MED-047,軟膏47号,外用薬,外科病棟,133,38,11.0,40064
2024-01-31,MED-048,注射液48号,注射薬,ICU,34,28,8.4,22275
2024-01-03,MED-049,試薬49号,検査薬,外来,192,50,13.3,4419
2024-01-03,MED-050,材料50号,医療材料,内科病棟,72,34,6.4,47530
2024-01-24,MED-001,錠剤01号,内服薬,外科病棟,11,31,2.5,43590
2024-01-16,MED-002,軟膏02号,外用薬,ICU,45,29,19.4,45875
2024-01-27,MED-003,注射液03号,注射薬,外来,144,48,14.5,5652
2024-01-03,MED-004,試薬04号,検査薬,内科病棟,152,31,16.5,44016
2024-01-25,MED-005,材料05号,医療材料,外科病棟,135,43,2.8,44039
2024-01-18,MED-006,錠剤06号,内服薬,ICU,32,11,7.9,11913
2024-01-25,MED-007,軟膏07号,外用薬,外来,116,41,4.6,9115
2024-01-05,MED-008,注射液08号,注射薬,内科病棟,20,16,10.6,35474
2024-01-05,MED-009,試薬09号,検査薬,外科病棟,12,31,17.7,40603
2024-01-22,MED-010,材料10号,医療材料,ICU,40,19,4.1,45506
2024-01-16,MED-011,錠剤11号,内服薬,外来,98,38,1.8,23974
2024-01-31,MED-012,軟膏12号,外用薬,内科病棟,152,38,12.6,49408
2024-01-18,MED-013,注射液13号,注射薬,外科病棟,84,24,11.1,20381
2024-01-06,MED-014,試薬14号,検査薬,ICU,81,22,8.0,37483
2024-01-09,MED-015,材料15号,医療材料,外来,48,28,15.8,33058
2024-01-17,MED-016,錠剤16号,内服薬,内科病棟,28,22,16.2,9170
2024-01-28,MED-017,軟膏17号,外用薬,外科病棟,172,40,17.6,36442
2024-01-20,MED-018,注射液18号,注射薬,ICU,82,17,6.4,10606
2024-01-14,MED-019,試薬19号,検査薬,外来,47,19,16.8,6110
2024-01-31,MED-020,材料20号,医療材料,内科病棟,139,38,17.8,1847
