記録日,品目コード,品目名,薬品区分,使用病棟,現在庫,安全在庫,日次使用量,薬価
2024/01/07,MED-001,錠剤01号,内服薬,ICU,137,42,8.1,25407
2024/01/30,MED-002,軟膏02号,外用薬,外来,107,24,1.5,6593
2024/01/18,MED-003,注射液03号,注射薬,内科病棟,29,31,16.0,9117
2024/01/25,MED-004,試薬04号,検査薬,外科病棟,160,40,14.2,9195
2024/01/24,MED-005,材料05号,医療材料,ICU,13,38,12.7,5292
2024/01/23,MED-006,錠剤06号,内服薬,外来,73,19,11.4,47760
2024/01/07,MED-007,軟膏07号,外用薬,内科病棟,23,17,15.7,15673
2024/01/23,MED-008,注射液08号,注射薬,外科病棟,39,25,9.0,40916
2024/01/10,MED-009,試薬09号,検査薬,ICU,188,41,12.3,1177
2024/01/13,MED-010,材料10号,医療材料,外来,103,25,14.7,19188
2024/01/22,MED-011,錠剤11号,内服薬,内科病棟,53,32,5.6,27400
2024/01/21,MED-012,軟膏12号,外用薬,外科病棟,182,43,19.5,4535
2024/01/12,MED-013,注射液13号,注射薬,ICU,141,42,15.9,33367
2024/01/15,MED-014,試薬14号,検査薬,外来,104,40,1.8,25454
2024/01/29,MED-015,材料15号,医療材料,内科病棟,53,11,7.8,4527
2024/01/17,MED-016,錠剤16号,内服薬,外科病棟,135,50,3.0,38235
2024/01/15,MED-017,軟膏17号,外用薬,ICU,40,18,1.8,35883
2024/01/04,MED-018,注射液18号,注射薬,外来,73,39,19.6,31461
2024/01/08,MED-019,試薬19号,検査薬,内科病棟,3,14,14.6,30094
2024/01/08,MED-020,材料20号,医療材料,外科病棟,31,12,16.0,2846
2024/01/03,MED-021,錠剤21号,内服薬,ICU,51,42,8.6,35688
2024/01/11,MED-022,軟膏22号,外用薬,外来,64,22,6.4,3232
2024/01/01,MED-023,注射液23号,注射薬,内科病棟,78,27,3.4,24218
2024/01/19,MED-024,試薬24号,検査薬,外科病棟,85,38,18.0,25439
2024/01/18,MED-025,材料25号,医療材料,ICU,173,41,14.1,24174
2024/01/08,MED-026,錠剤26号,内服薬,外来,82,27,16.2,47750
2024/01/19,MED-027,軟膏27号,外用薬,内科病棟,130,48,19.9,11926
2024/01/08,MED-028,注射液28号,注射薬,外科病棟,73,16,2.5,43414
2024/01/01,MED-029,試薬29号,検査薬,ICU,137,48,14.6,11021
2024/01/03,MED-030,材料30号,医療材料,外来,149,38,1.8,23205
2024/01/23,MED-031,錠剤31号,内服薬,内科病棟,20,27,13.1,3859
2024/01/21,MED-032,軟膏32号,外用薬,外科病棟,42,35,7.9,49245
2024/01/02,MED-033,注射液33号,注射薬,ICU,23,19,17.1,44539
2024/01/08,MED-034,試薬34号,検査薬,外来,67,18,2.3,42381
2024/01/03,MED-035,材料35号,医療材料,内科病棟,140,46,1.6,10155
2024/01/29,MED-036,錠剤36号,内服薬,外科病棟,126,33,9.4,5138
2024/01/02,MED-037,軟膏37号,外用薬,ICU,64,35,7.0,18364
2024/01/28,MED-038,注射液38号,注射薬,外来,46,11,15.0,32805
2024/01/11,MED-039,試薬39号,検査薬,内科病棟,44,17,6.0,17158
2024/01/03,MED-040,材料40号,医療材料,外科病棟,83,49,6.4,32291
2024/01/17,MED-041,錠剤41号,内服薬,ICU,19,14,9.6,46851
2024/01/08,MED-042,軟膏42号,外用薬,外来,17,30,13.7,46600
2024/01/09,MED-043,注射液43号,注射薬,内科病棟,117,28,17.9,10422
2024/01/22,MED-044,試薬44号,検査薬,外科病棟,81,50,4.3,23790
2024/01/16,MED-045,材料45号,医療材料,ICU,25,22,16.0,15614
2024/01/07,MED-046,錠剤46号,内服薬,外来,66,33,11.5,24276
2024/01/18,MED-047,軟膏47号,外用薬,内科病棟,232,49,17.8,4408
2024/01/05,MED-048,注射液48号,注射薬,外科病棟,58,40,11.0,26932
2024/01/24,MED-049,試薬49号,検査薬,ICU,14,18,19.5,42196
2024/01/30,MED-050,材料50号,医療材料,外来,89,43,7.5,36230
2024/01/29,MED-001,錠剤01号,内服薬,内科病棟,84,18,9.2,3731
2024/01/19,MED-002,軟膏02号,外用薬,外科病棟,47,19,6.8,10714
2024/01/19,MED-003,注射液03号,注射薬,ICU,52,32,19.0,34106
