date,med_code,med_name,category,ward,stock_qty,min_stock,daily_usage,unit_price,source_file,days_until_stockout,stock_value,alert_level
2024-01-21,MED-001,錠剤01号,内服薬,内科病棟,29,13,4.1,241,medicine_stock_A_202401.csv,7.1,6989,正常
2024-01-04,MED-002,軟膏02号,外用薬,外科病棟,181,39,6.4,45751,medicine_stock_A_202401.csv,28.3,8280931,正常
2024-01-01,MED-003,注射液03号,注射薬,ICU,55,41,3.9,19545,medicine_stock_A_202401.csv,14.1,1074975,正常
2024-01-24,MED-004,試薬04号,検査薬,外来,61,47,15.0,4094,medicine_stock_A_202401.csv,4.1,249734,正常
2024-01-09,MED-005,材料05号,医療材料,内科病棟,46,13,12.1,33054,medicine_stock_A_202401.csv,3.8,1520484,正常
2024-01-08,MED-006,錠剤06号,内服薬,外科病棟,5,20,2.1,33381,medicine_stock_A_202401.csv,2.4,166905,欠品
2024-01-08,MED-007,軟膏07号,外用薬,ICU,39,14,12.3,44350,medicine_stock_A_202401.csv,3.2,1729650,正常
2024-01-05,MED-008,注射液08号,注射薬,外来,22,17,18.9,37434,medicine_stock_A_202401.csv,1.2,823548,警告
2024-01-24,MED-009,試薬09号,検査薬,内科病棟,182,49,2.6,43181,medicine_stock_A_202401.csv,70.0,7858942,正常
2024-01-04,MED-010,材料10号,医療材料,外科病棟,70,30,18.8,13486,medicine_stock_A_202401.csv,3.7,944020,正常
2024-01-22,MED-011,錠剤11号,内服薬,ICU,63,25,6.0,8677,medicine_stock_A_202401.csv,10.5,546651,正常
2024-01-24,MED-012,軟膏12号,外用薬,外来,41,39,7.0,49374,medicine_stock_A_202401.csv,5.9,2024334,正常
2024-01-29,MED-013,注射液13号,注射薬,内科病棟,57,39,12.8,36996,medicine_stock_A_202401.csv,4.5,2108772,正常
2024-01-18,MED-014,試薬14号,検査薬,外科病棟,22,44,5.0,17480,medicine_stock_A_202401.csv,4.4,384560,欠品
2024-01-03,MED-015,材料15号,医療材料,ICU,42,14,17.7,24317,medicine_stock_A_202401.csv,2.4,1021314,警告
2024-01-19,MED-016,錠剤16号,内服薬,外来,211,44,14.4,40186,medicine_stock_A_202401.csv,14.7,8479246,正常
2024-01-14,MED-017,軟膏17号,外用薬,内科病棟,212,43,1.1,36446,medicine_stock_A_202401.csv,192.7,7726552,正常
2024-01-02,MED-018,注射液18号,注射薬,外科病棟,29,16,18.8,8900,medicine_stock_A_202401.csv,1.5,258100,警告
2024-01-01,MED-019,試薬19号,検査薬,ICU,132,45,4.0,18565,medicine_stock_A_202401.csv,33.0,2450580,正常
2024-01-03,MED-020,材料20号,医療材料,外来,55,23,14.1,17400,medicine_stock_A_202401.csv,3.9,957000,正常
2024-01-07,MED-021,錠剤21号,内服薬,内科病棟,15,13,2.8,27859,medicine_stock_A_202401.csv,5.4,417885,正常
2024-01-08,MED-022,軟膏22号,外用薬,外科病棟,26,10,7.3,8673,medicine_stock_A_202401.csv,3.6,225498,正常
2024-01-17,MED-023,注射液23号,注射薬,ICU,91,20,15.1,36254,medicine_stock_A_202401.csv,6.0,3299114,正常
2024-01-20,MED-024,試薬24号,検査薬,外来,44,10,3.1,45386,medicine_stock_A_202401.csv,14.2,1996984,正常
2024-01-01,MED-025,材料25号,医療材料,内科病棟,39,12,16.9,38275,medicine_stock_A_202401.csv,2.3,1492725,警告
2024-01-18,MED-026,錠剤26号,内服薬,外科病棟,23,18,1.8,23997,medicine_stock_A_202401.csv,12.8,551931,正常
2024-01-07,MED-027,軟膏27号,外用薬,ICU,122,32,5.0,16453,medicine_stock_A_202401.csv,24.4,2007266,正常
2024-01-23,MED-028,注射液28号,注射薬,外来,84,45,17.8,26732,medicine_stock_A_202401.csv,4.7,2245488,正常
2024-01-21,MED-029,試薬29号,検査薬,内科病棟,28,25,17.4,11703,medicine_stock_A_202401.csv,1.6,327684,警告
2024-01-23,MED-030,材料30号,医療材料,外科病棟,73,21,15.0,21870,medicine_stock_A_202401.csv,4.9,1596510,正常
2024-01-18,MED-031,錠剤31号,内服薬,ICU,1,25,6.1,46058,medicine_stock_A_202401.csv,0.2,46058,欠品
2024-01-14,MED-032,軟膏32号,外用薬,外来,98,40,5.2,30266,medicine_stock_A_202401.csv,18.8,2966068,正常
2024-01-08,MED-033,注射液33号,注射薬,内科病棟,59,24,1.4,12756,medicine_stock_A_202401.csv,42.1,752604,正常
2024-01-15,MED-034,試薬34号,検査薬,外科病棟,46,14,19.4,18392,medicine_stock_A_202401.csv,2.4,846032,警告
2024-01-19,MED-035,材料35号,医療材料,ICU,42,35,13.9,35241,medicine_stock_A_202401.csv,3.0,1480122,正常
2024-01-09,MED-036,錠剤36号,内服薬,外来,50,17,17.7,17218,medicine_stock_A_202401.csv,2.8,860900,警告
2024-01-26,MED-037,軟膏37号,外用薬,内科病棟,32,12,3.1,28579,medicine_stock_A_202401.csv,10.3,914528,正常
2024-01-28,MED-038,注射液38号,注射薬,外科病棟,36,37,12.5,33616,medicine_stock_A_202401.csv,2.9,1210176,欠品
2024-01-01,MED-039,試薬39号,検査薬,ICU,88,22,5.8,46550,medicine_stock_A_202401.csv,15.2,4096400,正常
2024-01-25,MED-040,材料40号,医療材料,外来,94,44,14.1,48724,medicine_stock_A_202401.csv,6.7,4580056,正常
2024-01-26,MED-041,錠剤41号,内服薬,内科病棟,113,33,9.2,43631,medicine_stock_A_202401.csv,12.3,4930303,正常
2024-01-06,MED-042,軟膏42号,外用薬,外科病棟,69,17,14.7,19781,medicine_stock_A_202401.csv,4.7,1364889,正常
2024-01-23,MED-043,注射液43号,注射薬,ICU,54,30,8.6,19476,medicine_stock_A_202401.csv,6.3,1051704,正常
2024-01-14,MED-044,試薬44号,検査薬,外来,80,36,13.6,24947,medicine_stock_A_202401.csv,5.9,1995760,正常
2024-01-11,MED-045,材料45号,医療材料,内科病棟,49,49,11.8,26712,medicine_stock_A_202401.csv,4.2,1308888,正常
2024-01-09,MED-046,錠剤46号,内服薬,外科病棟,106,29,6.5,28273,medicine_stock_A_202401.csv,16.3,2996938,正常
2024-01-05,MED-047,軟膏47号,外用薬,ICU,95,30,9.8,29077,medicine_stock_A_202401.csv,9.7,2762315,正常
2024-01-07,MED-048,注射液48号,注射薬,外来,61,40,16.1,48331,medicine_stock_A_202401.csv,3.8,2948191,正常
2024-01-31,MED-049,試薬49号,検査薬,内科病棟,39,28,10.8,41580,medicine_stock_A_202401.csv,3.6,1621620,正常
2024-01-25,MED-050,材料50号,医療材料,外科病棟,43,25,13.8,14822,medicine_stock_A_202401.csv,3.1,637346,正常
2024-01-11,MED-001,錠剤01号,内服薬,ICU,15,11,1.9,31238,medicine_stock_A_202401.csv,7.9,468570,正常
2024-01-04,MED-002,軟膏02号,外用薬,外来,137,39,8.9,41372,medicine_stock_A_202401.csv,15.4,5667964,正常
2024-01-03,MED-003,注射液03号,注射薬,内科病棟,42,41,8.6,9771,medicine_stock_A_202401.csv,4.9,410382,正常
2024-01-13,MED-004,試薬04号,検査薬,外科病棟,75,16,15.8,14441,medicine_stock_A_202401.csv,4.7,1083075,正常
2024-01-04,MED-005,材料05号,医療材料,ICU,64,13,11.6,8053,medicine_stock_A_202401.csv,5.5,515392,正常
2024-01-12,MED-006,錠剤06号,内服薬,外来,152,39,13.7,36729,medicine_stock_A_202401.csv,11.1,5582808,正常
2024-01-28,MED-007,軟膏07号,外用薬,内科病棟,189,49,16.5,33181,medicine_stock_A_202401.csv,11.5,6271209,正常
2024-01-12,MED-008,注射液08号,注射薬,外科病棟,153,38,18.0,48836,medicine_stock_A_202401.csv,8.5,7471908,正常
