med_code,med_name,category,レコード数,平均在庫数,最小在庫数,最大在庫数,欠品件数,警告件数,総在庫金額,平均days_until_stockout
MED-001,錠剤01号,内服薬,10,79.3,11,164,1,0,14055891,12.6
MED-002,軟膏02号,外用薬,10,108.6,17,183,1,1,32032210,19.4
MED-003,注射液03号,注射薬,10,76.6,1,194,2,1,18914791,11.2
MED-004,試薬04号,検査薬,10,93.5,0,219,2,0,19415850,21.6
MED-005,材料05号,医療材料,10,53.6,3,135,2,0,16014295,10.1
MED-006,錠剤06号,内服薬,10,86.7,1,227,2,1,18085763,10.0
MED-007,軟膏07号,外用薬,10,67.1,1,189,1,2,16417257,8.5
MED-008,注射液08号,注射薬,10,58.6,16,201,2,2,26144635,6.4
MED-009,試薬09号,検査薬,10,105.8,12,205,1,1,26615953,18.1
MED-010,材料10号,医療材料,10,92.0,23,206,1,1,23897325,6.5
MED-011,錠剤11号,内服薬,9,86.3,23,156,0,1,23696876,19.6
MED-012,軟膏12号,外用薬,9,80.0,12,182,1,0,15427856,6.9
MED-013,注射液13号,注射薬,9,67.7,20,141,1,0,17522210,14.0
MED-014,試薬14号,検査薬,9,56.0,22,104,1,2,10910763,13.6
MED-015,材料15号,医療材料,9,87.6,42,130,0,1,15470030,12.6
MED-016,錠剤16号,内服薬,9,103.0,28,211,0,2,24056079,21.4
MED-017,軟膏17号,外用薬,9,97.3,40,212,0,2,27905103,31.4
MED-018,注射液18号,注射薬,9,95.2,29,172,0,1,20206011,12.5
MED-019,試薬19号,検査薬,9,67.0,3,139,3,1,12473464,11.7
MED-020,材料20号,医療材料,9,81.1,27,196,2,1,8529038,6.2
MED-021,錠剤21号,内服薬,7,51.4,12,92,1,0,10124399,15.8
MED-022,軟膏22号,外用薬,7,87.9,18,150,0,1,8118808,17.7
MED-023,注射液23号,注射薬,7,93.9,34,220,1,0,13336942,12.5
MED-024,試薬24号,検査薬,7,78.9,22,218,1,0,8341892,14.6
MED-025,材料25号,医療材料,7,98.0,0,173,1,1,11663379,12.4
MED-026,錠剤26号,内服薬,7,62.4,14,149,1,1,11374302,8.1
MED-027,軟膏27号,外用薬,7,112.1,45,154,0,0,14265850,10.4
MED-028,注射液28号,注射薬,7,106.0,38,214,1,0,17384259,11.2
MED-029,試薬29号,検査薬,7,63.4,8,138,1,2,7233490,4.6
MED-030,材料30号,医療材料,7,106.9,27,149,0,1,15961418,39.6
MED-031,錠剤31号,内服薬,7,48.4,1,142,4,1,12297989,12.5
MED-032,軟膏32号,外用薬,7,87.3,31,178,0,1,11251456,9.3
MED-033,注射液33号,注射薬,7,115.0,23,215,0,1,23399812,21.8
MED-034,試薬34号,検査薬,7,56.0,6,140,1,1,11465625,17.8
MED-035,材料35号,医療材料,7,116.1,42,208,0,0,27033566,34.2
MED-036,錠剤36号,内服薬,7,85.4,31,190,0,1,11518892,8.1
MED-037,軟膏37号,外用薬,7,92.3,32,210,0,1,13524684,9.4
MED-038,注射液38号,注射薬,7,73.3,29,140,1,1,15482583,8.2
MED-039,試薬39号,検査薬,7,56.0,3,177,2,0,12634483,8.1
MED-040,材料40号,医療材料,7,78.9,5,172,1,0,15384141,15.1
MED-041,錠剤41号,内服薬,7,63.4,19,113,0,1,12180634,11.8
MED-042,軟膏42号,外用薬,7,84.6,17,199,1,0,15203115,9.1
MED-043,注射液43号,注射薬,7,88.9,26,179,1,1,14615461,10.4
MED-044,試薬44号,検査薬,7,118.3,38,177,0,0,18859447,14.2
MED-045,材料45号,医療材料,7,57.0,2,141,1,2,6006836,4.4
MED-046,錠剤46号,内服薬,7,99.3,19,225,2,0,13944880,12.3
MED-047,軟膏47号,外用薬,7,133.4,67,232,0,0,30368919,11.8
MED-048,注射液48号,注射薬,7,82.4,34,192,0,0,14195465,7.4
MED-049,試薬49号,検査薬,7,83.3,14,192,2,1,13610084,9.9
MED-050,材料50号,医療材料,7,90.9,43,153,0,0,16009839,18.4
