請求日,請求ID,診療科,保険区分,患者数,診療報酷点数,請求金額,査定減額,支払状況
2024/01/04,CLM-0001,内科,後期高齢,27,2506,25060,914,支払済み
2024/01/04,CLM-0002,皮膚科,社保,47,3956,39560,130,支払済み
2024/01/07,CLM-0003,外科,後期高齢,48,717,7170,574,支払済み
2024/01/18,CLM-0004,小児科,社保,38,2778,27780,26,審査中
2024/01/06,CLM-0005,小児科,国保,27,1773,17730,440,返戈
2024/01/11,CLM-0006,内科,社保,34,1292,12920,735,審査中
2024/01/20,CLM-0007,整形外科,社保,39,4892,48920,1022,返戈
2024/01/13,CLM-0008,内科,後期高齢,28,3462,34620,2364,支払済み
2024/01/03,CLM-0009,内科,後期高齢,24,2870,28700,326,審査中
2024/01/04,CLM-0010,小児科,国保,39,3488,34880,666,支払済み
2024/01/07,CLM-0011,整形外科,後期高齢,14,1901,19010,1093,支払済み
2024/01/06,CLM-0012,小児科,国保,27,2299,22990,1328,審査中
2024/01/02,CLM-0013,外科,社保,30,3786,37860,1096,支払済み
2024/01/19,CLM-0014,整形外科,社保,41,3741,37410,3623,審査中
2024/01/15,CLM-0015,外科,国保,18,2520,25200,2299,支払済み
2024/01/19,CLM-0016,小児科,後期高齢,35,3465,34650,898,返戈
2024/01/05,CLM-0017,皮膚科,国保,15,885,8850,881,支払済み
2024/01/06,CLM-0018,小児科,後期高齢,14,3652,36520,1563,支払済み
2024/01/15,CLM-0019,皮膚科,国保,45,594,5940,117,支払済み
2024/01/18,CLM-0020,整形外科,後期高齢,31,1413,14130,601,支払済み
2024/01/15,CLM-0021,内科,後期高齢,26,4600,46000,1463,支払済み
2024/01/04,CLM-0022,整形外科,後期高齢,42,2129,21290,626,支払済み
2024/01/06,CLM-0023,皮膚科,後期高齢,10,3155,31550,2001,支払済み
2024/01/12,CLM-0024,整形外科,社保,13,2473,24730,2323,審査中
2024/01/03,CLM-0025,小児科,社保,44,1530,15300,262,支払済み
