ClaimDate,ClaimID,Department,InsuranceType,PatientCount,TotalPoints,ClaimAmount,ReductionAmount,PaymentStatus
2024-01-13,CLM-0161,整形外科,社保,46,901,9010,620,Paid
2024-01-10,CLM-0162,外科,後期高齢,32,2294,22940,778,Paid
2024-01-05,CLM-0163,内科,後期高齢,12,3030,30300,1805,Paid
2024-01-12,CLM-0164,外科,社保,28,3176,31760,3061,Paid
2024-01-07,CLM-0165,外科,後期高齢,33,4848,48480,4110,UnderReview
2024-01-06,CLM-0166,整形外科,国保,28,3274,32740,471,Paid
2024-01-03,CLM-0167,外科,社保,35,3496,34960,369,UnderReview
2024-01-01,CLM-0168,整形外科,後期高齢,17,4225,42250,3019,Paid
2024-01-09,CLM-0169,皮膚科,国保,50,3543,35430,443,Paid
2024-01-16,CLM-0170,内科,後期高齢,45,3187,31870,2498,Paid
2024-01-03,CLM-0171,小児科,後期高齢,29,3844,38440,477,Paid
2024-01-02,CLM-0172,整形外科,国保,17,1296,12960,480,UnderReview
2024-01-05,CLM-0173,小児科,国保,33,4925,49250,3433,Paid
2024-01-05,CLM-0174,小児科,後期高齢,16,4508,45080,3343,UnderReview
2024-01-09,CLM-0175,内科,後期高齢,33,2279,22790,1816,Paid
2024-01-08,CLM-0176,整形外科,社保,33,4960,49600,2938,Paid
2024-01-09,CLM-0177,外科,社保,39,1250,12500,434,Paid
2024-01-20,CLM-0178,内科,社保,31,2495,24950,515,UnderReview
2024-01-07,CLM-0179,内科,後期高齢,23,2269,22690,954,Paid
2024-01-05,CLM-0180,皮膚科,社保,27,1685,16850,266,Paid
2024-01-06,CLM-0181,内科,後期高齢,11,1579,15790,30,Paid
2024-01-08,CLM-0182,皮膚科,国保,11,1927,19270,543,Paid
2024-01-14,CLM-0183,皮膚科,社保,14,4401,44010,3672,UnderReview
2024-01-17,CLM-0184,皮膚科,社保,38,4627,46270,1814,UnderReview
2024-01-02,CLM-0185,皮膚科,国保,39,755,7550,62,Returned
2024-01-13,CLM-0186,小児科,後期高齢,16,4516,45160,3633,Paid
2024-01-03,CLM-0187,整形外科,後期高齢,19,1038,10380,258,Paid
2024-01-19,CLM-0188,皮膚科,後期高齢,30,3620,36200,2446,Paid
2024-01-15,CLM-0189,皮膚科,後期高齢,37,1312,13120,234,UnderReview
2024-01-18,CLM-0190,外科,国保,38,2371,23710,1694,Paid
2024-01-15,CLM-0191,小児科,国保,16,3060,30600,1748,Paid
2024-01-09,CLM-0192,整形外科,社保,40,1049,10490,186,UnderReview
2024-01-03,CLM-0193,小児科,社保,33,1565,15650,1139,Paid
2024-01-18,CLM-0194,皮膚科,国保,17,3865,38650,1448,UnderReview
2024-01-14,CLM-0195,内科,国保,48,3059,30590,1440,Paid
2024-01-17,CLM-0196,外科,社保,40,2337,23370,443,Paid
2024-01-18,CLM-0197,整形外科,社保,27,2352,23520,1757,UnderReview
2024-01-20,CLM-0198,皮膚科,後期高齢,45,715,7150,623,UnderReview
