claim_date,claim_id,dept,insurance_type,patient_count,total_points,claim_amount,reduction_amount,payment_status,net_amount,reduction_rate,is_returned,collection_flag,source_file
2024-01-04,CLM-0001,内科,後期高齢,27,2506,25060,914,支払済み,24146,0.03647246608140463,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0002,皮膚科,社保,47,3956,39560,130,支払済み,39430,0.0032861476238624874,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0003,外科,後期高齢,48,717,7170,574,支払済み,6596,0.0800557880055788,0,回収済み,claims_styleA_202401.csv
2024-01-18,CLM-0004,小児科,社保,38,2778,27780,26,審査中,27754,0.0009359251259899209,0,未回収,claims_styleA_202401.csv
2024-01-06,CLM-0005,小児科,国保,27,1773,17730,440,返戈,17290,0.024816694867456288,1,未回収,claims_styleA_202401.csv
2024-01-11,CLM-0006,内科,社保,34,1292,12920,735,審査中,12185,0.056888544891640865,0,未回収,claims_styleA_202401.csv
2024-01-20,CLM-0007,整形外科,社保,39,4892,48920,1022,返戈,47898,0.02089125102207686,1,未回収,claims_styleA_202401.csv
2024-01-13,CLM-0008,内科,後期高齢,28,3462,34620,2364,支払済み,32256,0.0682842287694974,0,回収済み,claims_styleA_202401.csv
2024-01-03,CLM-0009,内科,後期高齢,24,2870,28700,326,審査中,28374,0.011358885017421603,0,未回収,claims_styleA_202401.csv
2024-01-04,CLM-0010,小児科,国保,39,3488,34880,666,支払済み,34214,0.019094036697247706,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0011,整形外科,後期高齢,14,1901,19010,1093,支払済み,17917,0.057496054708048396,0,回収済み,claims_styleA_202401.csv
2024-01-06,CLM-0012,小児科,国保,27,2299,22990,1328,審査中,21662,0.057764245324053935,0,未回収,claims_styleA_202401.csv
2024-01-02,CLM-0013,外科,社保,30,3786,37860,1096,支払済み,36764,0.028948758584257793,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0014,整形外科,社保,41,3741,37410,3623,審査中,33787,0.09684576316492917,0,未回収,claims_styleA_202401.csv
2024-01-15,CLM-0015,外科,国保,18,2520,25200,2299,支払済み,22901,0.09123015873015873,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0016,小児科,後期高齢,35,3465,34650,898,返戈,33752,0.025916305916305917,1,未回収,claims_styleA_202401.csv
2024-01-05,CLM-0017,皮膚科,国保,15,885,8850,881,支払済み,7969,0.09954802259887005,0,回収済み,claims_styleA_202401.csv
2024-01-06,CLM-0018,小児科,後期高齢,14,3652,36520,1563,支払済み,34957,0.04279846659364732,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0019,皮膚科,国保,45,594,5940,117,支払済み,5823,0.019696969696969695,0,回収済み,claims_styleA_202401.csv
2024-01-18,CLM-0020,整形外科,後期高齢,31,1413,14130,601,支払済み,13529,0.04253361641896674,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0021,内科,後期高齢,26,4600,46000,1463,支払済み,44537,0.03180434782608696,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0022,整形外科,後期高齢,42,2129,21290,626,支払済み,20664,0.029403475810239547,0,回収済み,claims_styleA_202401.csv
2024-01-06,CLM-0023,皮膚科,後期高齢,10,3155,31550,2001,支払済み,29549,0.06342313787638669,0,回収済み,claims_styleA_202401.csv
2024-01-12,CLM-0024,整形外科,社保,13,2473,24730,2323,審査中,22407,0.09393449251920744,0,未回収,claims_styleA_202401.csv
2024-01-03,CLM-0025,小児科,社保,44,1530,15300,262,支払済み,15038,0.017124183006535947,0,回収済み,claims_styleA_202401.csv
2024-01-18,CLM-0026,外科,国保,43,3966,39660,3950,支払済み,35710,0.09959657085224408,0,回収済み,claims_styleA_202401.csv
2024-01-18,CLM-0027,外科,後期高齢,29,3768,37680,2751,支払済み,34929,0.07300955414012739,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0028,皮膚科,国保,17,2530,25300,920,支払済み,24380,0.03636363636363636,0,回収済み,claims_styleA_202401.csv
