WorkDate,RecordID,StaffType,Department,StaffID,ScheduledHours,ActualHours,IsAbsent,AbsenceReason,OvertimeHours
2024-01-13,ATT-0161,薬剤師,整形外科,STAFF-09,8.0,0.0,1,体調不良,0.0
2024-01-08,ATT-0162,薬剤師,外科,STAFF-12,8.0,0.0,1,体調不良,0.0
2024-01-04,ATT-0163,事務,外科,STAFF-12,8.0,4.2,0,,0.0
2024-01-11,ATT-0164,医師,小児科,STAFF-06,8.0,5.2,0,,0.0
2024-01-17,ATT-0165,事務,救急,STAFF-11,8.0,5.4,0,,0.0
2024-01-03,ATT-0166,事務,救急,STAFF-11,8.0,11.3,0,,3.3
2024-01-05,ATT-0167,看護師,整形外科,STAFF-11,8.0,6.0,0,,0.0
2024-01-01,ATT-0168,事務,小児科,STAFF-11,8.0,4.6,0,,0.0
2024-01-12,ATT-0169,薬剤師,整形外科,STAFF-12,8.0,10.8,0,,2.8
2024-01-07,ATT-0170,事務,整形外科,STAFF-02,8.0,8.6,0,,0.6
2024-01-19,ATT-0171,薬剤師,小児科,STAFF-01,8.0,9.3,0,,1.3
2024-01-09,ATT-0172,医師,救急,STAFF-11,8.0,11.8,0,,3.8
2024-01-20,ATT-0173,事務,小児科,STAFF-04,8.0,6.8,0,,0.0
2024-01-07,ATT-0174,薬剤師,外科,STAFF-11,8.0,0.0,1,有給休暇,0.0
2024-01-02,ATT-0175,薬剤師,整形外科,STAFF-01,8.0,9.9,0,,1.9
2024-01-03,ATT-0176,薬剤師,小児科,STAFF-12,8.0,5.6,0,,0.0
2024-01-18,ATT-0177,薬剤師,救急,STAFF-09,8.0,10.6,0,,2.6
2024-01-09,ATT-0178,事務,小児科,STAFF-12,8.0,10.4,0,,2.4
2024-01-15,ATT-0179,医師,外科,STAFF-04,8.0,9.8,0,,1.8
2024-01-13,ATT-0180,薬剤師,内科,STAFF-07,8.0,0.0,1,有給休暇,0.0
2024-01-04,ATT-0181,事務,小児科,STAFF-11,8.0,6.1,0,,0.0
2024-01-13,ATT-0182,薬剤師,内科,STAFF-11,8.0,4.2,0,,0.0
2024-01-18,ATT-0183,薬剤師,救急,STAFF-04,8.0,9.1,0,,1.1
2024-01-15,ATT-0184,薬剤師,整形外科,STAFF-02,8.0,11.6,0,,3.6
2024-01-10,ATT-0185,事務,内科,STAFF-02,8.0,8.3,0,,0.3
2024-01-13,ATT-0186,事務,小児科,STAFF-11,8.0,9.6,0,,1.6
2024-01-18,ATT-0187,事務,救急,STAFF-12,8.0,11.1,0,,3.1
2024-01-04,ATT-0188,事務,救急,STAFF-07,8.0,6.2,0,,0.0
2024-01-12,ATT-0189,看護師,整形外科,STAFF-08,8.0,10.8,0,,2.8
2024-01-04,ATT-0190,薬剤師,救急,STAFF-11,8.0,7.2,0,,0.0
2024-01-07,ATT-0191,医師,整形外科,STAFF-02,8.0,9.1,0,,1.1
2024-01-20,ATT-0192,医師,内科,STAFF-06,8.0,5.0,0,,0.0
2024-01-19,ATT-0193,看護師,内科,STAFF-09,8.0,5.7,0,,0.0
2024-01-08,ATT-0194,薬剤師,外科,STAFF-10,8.0,0.0,1,体調不良,0.0
2024-01-05,ATT-0195,薬剤師,外科,STAFF-02,8.0,4.2,0,,0.0
2024-01-01,ATT-0196,薬剤師,外科,STAFF-10,8.0,5.4,0,,0.0
