出勤日,管理番号,職種区分,所属科,職員ID,所定時間,勤務時間,欠勤,不在理由,残業
2024/01/05,ATT-0321,看護師,救急,STAFF-09,8.0,4.3,0,,0.0
2024/01/02,ATT-0322,看護師,小児科,STAFF-08,8.0,5.2,0,,0.0
2024/01/17,ATT-0323,看護師,小児科,STAFF-10,8.0,7.1,0,,0.0
2024/01/20,ATT-0324,薬剤師,救急,STAFF-06,8.0,8.1,0,,0.1
2024/01/16,ATT-0325,薬剤師,整形外科,STAFF-01,8.0,9.4,0,,1.4
2024/01/14,ATT-0326,薬剤師,内科,STAFF-10,8.0,11.7,0,,3.7
2024/01/19,ATT-0327,看護師,内科,STAFF-10,8.0,8.2,0,,0.2
2024/01/20,ATT-0328,事務,外科,STAFF-11,8.0,8.6,0,,0.6
2024/01/04,ATT-0329,看護師,内科,STAFF-08,8.0,5.2,0,,0.0
2024/01/07,ATT-0330,事務,救急,STAFF-10,8.0,11.0,0,,3.0
2024/01/02,ATT-0331,看護師,救急,STAFF-04,8.0,12.0,0,,4.0
2024/01/16,ATT-0332,事務,小児科,STAFF-03,8.0,8.3,0,,0.3
2024/01/18,ATT-0333,薬剤師,小児科,STAFF-10,8.0,11.7,0,,3.7
2024/01/09,ATT-0334,薬剤師,外科,STAFF-05,8.0,9.6,0,,1.6
2024/01/16,ATT-0335,薬剤師,整形外科,STAFF-06,8.0,11.5,0,,3.5
2024/01/09,ATT-0336,薬剤師,内科,STAFF-10,8.0,7.0,0,,0.0
2024/01/13,ATT-0337,薬剤師,外科,STAFF-05,8.0,0.0,1,有給休暇,0.0
2024/01/03,ATT-0338,薬剤師,整形外科,STAFF-11,8.0,7.8,0,,0.0
2024/01/07,ATT-0339,薬剤師,救急,STAFF-12,8.0,4.9,0,,0.0
2024/01/19,ATT-0340,看護師,外科,STAFF-01,8.0,8.2,0,,0.2
2024/01/08,ATT-0341,医師,内科,STAFF-07,8.0,7.8,0,,0.0
2024/01/05,ATT-0342,医師,救急,STAFF-03,8.0,11.5,0,,3.5
2024/01/16,ATT-0343,事務,外科,STAFF-05,8.0,9.2,0,,1.2
2024/01/03,ATT-0344,看護師,救急,STAFF-12,8.0,11.5,0,,3.5
2024/01/06,ATT-0345,事務,外科,STAFF-01,8.0,7.2,0,,0.0
2024/01/16,ATT-0346,看護師,小児科,STAFF-01,8.0,0.0,1,有給休暇,0.0
2024/01/20,ATT-0347,医師,小児科,STAFF-05,8.0,9.1,0,,1.1
2024/01/17,ATT-0348,事務,外科,STAFF-09,8.0,5.5,0,,0.0
2024/01/04,ATT-0349,薬剤師,外科,STAFF-12,8.0,6.1,0,,0.0
2024/01/06,ATT-0350,医師,小児科,STAFF-05,8.0,10.1,0,,2.1
2024/01/06,ATT-0351,事務,整形外科,STAFF-09,8.0,7.2,0,,0.0
2024/01/04,ATT-0352,看護師,外科,STAFF-08,8.0,6.0,0,,0.0
2024/01/09,ATT-0353,事務,外科,STAFF-08,8.0,11.6,0,,3.6
2024/01/10,ATT-0354,医師,小児科,STAFF-11,8.0,5.9,0,,0.0
2024/01/04,ATT-0355,事務,小児科,STAFF-03,8.0,8.0,0,,0.0
2024/01/10,ATT-0356,医師,小児科,STAFF-06,8.0,5.8,0,,0.0
2024/01/05,ATT-0357,事務,外科,STAFF-08,8.0,8.8,0,,0.8
2024/01/14,ATT-0358,事務,救急,STAFF-11,8.0,10.1,0,,2.1
2024/01/20,ATT-0359,医師,救急,STAFF-08,8.0,6.9,0,,0.0
2024/01/19,ATT-0360,医師,内科,STAFF-09,8.0,5.6,0,,0.0
2024/01/18,ATT-0361,看護師,外科,STAFF-06,8.0,7.5,0,,0.0
2024/01/07,ATT-0362,事務,内科,STAFF-09,8.0,4.4,0,,0.0
2024/01/05,ATT-0363,事務,整形外科,STAFF-10,8.0,0.0,1,私用,0.0
2024/01/10,ATT-0364,医師,整形外科,STAFF-05,8.0,10.0,0,,2.0
2024/01/19,ATT-0365,医師,内科,STAFF-07,8.0,4.5,0,,0.0
