work_date,record_id,staff_type,department,staff_id,scheduled_hours,actual_hours,is_absent,absence_reason,overtime_hours,utilization_rate,attendance_flag,overtime_flag,source_file
2024-01-04,ATT-0001,医師,小児科,STAFF-04,8.0,9.9,0,,1.9,1.2375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-18,ATT-0002,医師,救急,STAFF-07,8.0,0.0,1,体調不良,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-07,ATT-0003,看護師,救急,STAFF-10,8.0,0.0,1,体調不良,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-18,ATT-0004,事務,外科,STAFF-08,8.0,10.5,0,,2.5,1.3125,出勤,残業あり,attendance_styleA_202401.csv
2024-01-01,ATT-0005,看護師,整形外科,STAFF-06,8.0,5.7,0,,0.0,0.7125,出勤,残業なし,attendance_styleA_202401.csv
2024-01-11,ATT-0006,医師,内科,STAFF-07,8.0,0.0,1,私用,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-20,ATT-0007,薬剤師,内科,STAFF-12,8.0,5.0,0,,0.0,0.625,出勤,残業なし,attendance_styleA_202401.csv
2024-01-13,ATT-0008,医師,救急,STAFF-05,8.0,8.9,0,,0.9,1.1125,出勤,残業あり,attendance_styleA_202401.csv
2024-01-12,ATT-0009,看護師,内科,STAFF-01,8.0,10.2,0,,2.2,1.275,出勤,残業あり,attendance_styleA_202401.csv
2024-01-03,ATT-0010,看護師,内科,STAFF-07,8.0,9.1,0,,1.1,1.1375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-12,ATT-0011,看護師,小児科,STAFF-06,8.0,6.1,0,,0.0,0.7625,出勤,残業なし,attendance_styleA_202401.csv
2024-01-03,ATT-0012,看護師,救急,STAFF-12,8.0,7.7,0,,0.0,0.9625,出勤,残業なし,attendance_styleA_202401.csv
2024-01-09,ATT-0013,看護師,小児科,STAFF-01,8.0,4.3,0,,0.0,0.5375,出勤,残業なし,attendance_styleA_202401.csv
2024-01-11,ATT-0014,事務,小児科,STAFF-02,8.0,11.5,0,,3.5,1.4375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-11,ATT-0015,看護師,整形外科,STAFF-07,8.0,9.1,0,,1.1,1.1375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-05,ATT-0016,薬剤師,外科,STAFF-04,8.0,8.3,0,,0.3,1.0375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-19,ATT-0017,事務,救急,STAFF-07,8.0,12.0,0,,4.0,1.5,出勤,残業あり,attendance_styleA_202401.csv
2024-01-05,ATT-0018,事務,内科,STAFF-01,8.0,5.2,0,,0.0,0.65,出勤,残業なし,attendance_styleA_202401.csv
2024-01-06,ATT-0019,事務,救急,STAFF-02,8.0,8.8,0,,0.8,1.1,出勤,残業あり,attendance_styleA_202401.csv
2024-01-15,ATT-0020,薬剤師,救急,STAFF-01,8.0,4.9,0,,0.0,0.6125,出勤,残業なし,attendance_styleA_202401.csv
2024-01-18,ATT-0021,薬剤師,小児科,STAFF-02,8.0,5.3,0,,0.0,0.6625,出勤,残業なし,attendance_styleA_202401.csv
2024-01-01,ATT-0022,薬剤師,救急,STAFF-03,8.0,4.9,0,,0.0,0.6125,出勤,残業なし,attendance_styleA_202401.csv
2024-01-10,ATT-0023,看護師,外科,STAFF-06,8.0,8.3,0,,0.3,1.0375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-17,ATT-0024,医師,救急,STAFF-06,8.0,4.9,0,,0.0,0.6125,出勤,残業なし,attendance_styleA_202401.csv
2024-01-12,ATT-0025,薬剤師,外科,STAFF-01,8.0,8.5,0,,0.5,1.0625,出勤,残業あり,attendance_styleA_202401.csv
2024-01-03,ATT-0026,医師,整形外科,STAFF-02,8.0,8.3,0,,0.3,1.0375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-05,ATT-0027,看護師,整形外科,STAFF-09,8.0,8.2,0,,0.2,1.025,出勤,残業あり,attendance_styleA_202401.csv
2024-01-20,ATT-0028,事務,外科,STAFF-09,8.0,9.5,0,,1.5,1.1875,出勤,残業あり,attendance_styleA_202401.csv
2024-01-10,ATT-0029,事務,小児科,STAFF-08,8.0,7.6,0,,0.0,0.95,出勤,残業なし,attendance_styleA_202401.csv
2024-01-08,ATT-0030,看護師,内科,STAFF-06,8.0,0.0,1,有給休暇,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-08,ATT-0031,看護師,内科,STAFF-02,8.0,4.5,0,,0.0,0.5625,出勤,残業なし,attendance_styleA_202401.csv
2024-01-03,ATT-0032,医師,小児科,STAFF-02,8.0,6.2,0,,0.0,0.775,出勤,残業なし,attendance_styleA_202401.csv
2024-01-16,ATT-0033,看護師,救急,STAFF-03,8.0,11.1,0,,3.1,1.3875,出勤,残業あり,attendance_styleA_202401.csv
2024-01-19,ATT-0034,事務,外科,STAFF-08,8.0,5.5,0,,0.0,0.6875,出勤,残業なし,attendance_styleA_202401.csv
2024-01-04,ATT-0035,事務,小児科,STAFF-07,8.0,10.9,0,,2.9,1.3625,出勤,残業あり,attendance_styleA_202401.csv
2024-01-02,ATT-0036,医師,内科,STAFF-07,8.0,10.4,0,,2.4,1.3,出勤,残業あり,attendance_styleA_202401.csv
2024-01-04,ATT-0037,看護師,外科,STAFF-04,8.0,5.1,0,,0.0,0.6375,出勤,残業なし,attendance_styleA_202401.csv
2024-01-06,ATT-0038,薬剤師,整形外科,STAFF-04,8.0,4.6,0,,0.0,0.575,出勤,残業なし,attendance_styleA_202401.csv
2024-01-18,ATT-0039,医師,内科,STAFF-11,8.0,10.7,0,,2.7,1.3375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-03,ATT-0040,看護師,外科,STAFF-07,8.0,5.7,0,,0.0,0.7125,出勤,残業なし,attendance_styleA_202401.csv
2024-01-13,ATT-0041,医師,外科,STAFF-07,8.0,0.0,1,私用,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-09,ATT-0042,事務,小児科,STAFF-07,8.0,9.8,0,,1.8,1.225,出勤,残業あり,attendance_styleA_202401.csv
2024-01-18,ATT-0043,事務,外科,STAFF-04,8.0,11.7,0,,3.7,1.4625,出勤,残業あり,attendance_styleA_202401.csv
2024-01-19,ATT-0044,医師,小児科,STAFF-01,8.0,0.0,1,私用,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-17,ATT-0045,看護師,内科,STAFF-09,8.0,0.0,1,体調不良,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
2024-01-03,ATT-0046,医師,外科,STAFF-07,8.0,11.1,0,,3.1,1.3875,出勤,残業あり,attendance_styleA_202401.csv
2024-01-08,ATT-0047,医師,救急,STAFF-02,8.0,8.7,0,,0.7,1.0875,出勤,残業あり,attendance_styleA_202401.csv
2024-01-17,ATT-0048,薬剤師,小児科,STAFF-04,8.0,6.5,0,,0.0,0.8125,出勤,残業なし,attendance_styleA_202401.csv
2024-01-09,ATT-0049,事務,外科,STAFF-11,8.0,7.7,0,,0.0,0.9625,出勤,残業なし,attendance_styleA_202401.csv
2024-01-03,ATT-0050,医師,整形外科,STAFF-10,8.0,12.0,0,,4.0,1.5,出勤,残業あり,attendance_styleA_202401.csv
2024-01-03,ATT-0051,看護師,救急,STAFF-05,8.0,6.8,0,,0.0,0.85,出勤,残業なし,attendance_styleA_202401.csv
2024-01-03,ATT-0052,看護師,小児科,STAFF-05,8.0,10.7,0,,2.7,1.3375,出勤,残業あり,attendance_styleA_202401.csv
2024-01-10,ATT-0053,医師,救急,STAFF-05,8.0,4.8,0,,0.0,0.6,出勤,残業なし,attendance_styleA_202401.csv
2024-01-05,ATT-0054,薬剤師,内科,STAFF-02,8.0,5.2,0,,0.0,0.65,出勤,残業なし,attendance_styleA_202401.csv
2024-01-10,ATT-0055,看護師,小児科,STAFF-04,8.0,10.8,0,,2.8,1.35,出勤,残業あり,attendance_styleA_202401.csv
2024-01-17,ATT-0056,事務,小児科,STAFF-01,8.0,0.0,1,私用,0.0,0.0,欠勤,残業なし,attendance_styleA_202401.csv
