申請日,社員番号,申請者,所属部門,経費区分,申請金額,予算額,領収No
2024/01/04,EMP-993,社員001,人事部,通信費,2829,3378,RCP-2024010000
2024/01/15,EMP-448,社員012,人事部,交通費,4636,3378,RCP-2024010001
2024/01/16,EMP-216,社員005,人事部,消耗品費,14104,3378,RCP-2024010002
2024/01/02,EMP-255,社員010,人事部,通信費,7461,3378,RCP-2024010003
2024/01/18,EMP-882,社員027,人事部,通信費,2348,3378,RCP-2024010004
2024/01/13,EMP-561,社員029,人事部,接待費,43569,3378,RCP-2024010005
2024/01/10,EMP-682,社員040,人事部,交通費,10488,3378,RCP-2024010006
2024/01/04,EMP-881,社員014,人事部,研修費,37659,3378,RCP-2024010007
2024/01/03,EMP-260,社員016,人事部,宿泊費,52313,3378,RCP-2024010008
2024/01/15,EMP-805,社員039,人事部,消耗品費,6917,3378,RCP-2024010009
2024/01/10,EMP-819,社員030,人事部,交通費,11762,3378,RCP-2024010010
2024/01/09,EMP-906,社員041,人事部,通信費,2120,3378,RCP-2024010011
2024/01/18,EMP-330,社員042,人事部,宿泊費,16704,3378,RCP-2024010012
2024/01/03,EMP-161,社員011,人事部,接待費,43996,3378,RCP-2024010013
2024/01/19,EMP-395,社員029,人事部,交通費,8179,3378,RCP-2024010014
2024/01/23,EMP-512,社員018,人事部,通信費,4923,3378,RCP-2024010015
2024/01/03,EMP-712,社員003,人事部,消耗品費,6317,3378,RCP-2024010016
2024/01/09,EMP-126,社員006,人事部,宿泊費,26848,3378,RCP-2024010017
2024/01/01,EMP-883,社員044,人事部,接待費,150210,3378,RCP-2024010018
2024/01/16,EMP-631,社員042,人事部,消耗品費,7804,3378,RCP-2024010019
2024/01/19,EMP-546,社員041,人事部,消耗品費,1047,3378,RCP-2024010020
2024/01/14,EMP-441,社員021,人事部,研修費,23710,3378,RCP-2024010021
2024/01/11,EMP-521,社員045,人事部,消耗品費,2661,3378,RCP-2024010022
2024/01/13,EMP-933,社員049,人事部,通信費,800,3378,RCP-2024010023
2024/01/11,EMP-358,社員021,人事部,交通費,13157,3378,RCP-2024010024
2024/01/17,EMP-944,社員001,人事部,研修費,70552,3378,RCP-2024010025
2024/01/07,EMP-630,社員024,人事部,通信費,4583,3378,RCP-2024010026
2024/01/25,EMP-152,社員014,人事部,接待費,40993,3378,RCP-2024010027
2024/01/10,EMP-548,社員045,人事部,消耗品費,4218,3378,RCP-2024010028
2024/01/26,EMP-345,社員046,人事部,宿泊費,18182,3378,RCP-2024010029
2024/01/18,EMP-517,社員006,人事部,宿泊費,11717,3378,RCP-2024010030
2024/01/04,EMP-763,社員010,人事部,消耗品費,7940,3378,RCP-2024010031
2024/01/17,EMP-822,社員018,人事部,消耗品費,7138,3378,RCP-2024010032
2024/01/16,EMP-349,社員030,人事部,通信費,1684,3378,RCP-2024010033
2024/01/20,EMP-620,社員048,人事部,宿泊費,10287,3378,RCP-2024010034
2024/01/26,EMP-974,社員027,人事部,接待費,38275,3378,RCP-2024010035
2024/01/01,EMP-389,社員047,人事部,接待費,43465,3378,RCP-2024010036
2024/01/22,EMP-601,社員010,人事部,消耗品費,4712,3378,RCP-2024010037
2024/01/11,EMP-665,社員049,人事部,通信費,3590,3378,RCP-2024010038
2024/01/11,EMP-990,社員013,人事部,研修費,41300,3378,RCP-2024010039
2024/01/08,EMP-976,社員050,人事部,消耗品費,657,3378,RCP-2024010040
2024/01/16,EMP-822,社員025,人事部,消耗品費,5736,3378,RCP-2024010041
2024/01/21,EMP-255,社員032,人事部,交通費,2568,3378,RCP-2024010042
2024/01/19,EMP-439,社員007,人事部,消耗品費,1116,3378,RCP-2024010043
2024/01/15,EMP-115,社員047,人事部,宿泊費,21434,3378,RCP-2024010044
2024/01/05,EMP-176,社員031,人事部,接待費,27187,3378,RCP-2024010045
2024/01/13,EMP-765,社員006,人事部,接待費,49194,3378,RCP-2024010046
2024/01/13,EMP-424,社員041,人事部,研修費,73956,3378,RCP-2024010047
2024/01/02,EMP-732,社員005,人事部,宿泊費,28681,3378,RCP-2024010048
2024/01/10,EMP-332,社員048,人事部,交通費,7610,3378,RCP-2024010049
2024/01/25,EMP-748,社員046,人事部,交通費,7769,3378,RCP-2024010050
2024/01/10,EMP-129,社員003,人事部,接待費,8677,3378,RCP-2024010051
2024/01/12,EMP-541,社員010,人事部,宿泊費,25405,3378,RCP-2024010052
2024/01/22,EMP-911,社員012,人事部,宿泊費,51395,3378,RCP-2024010053
2024/01/20,EMP-799,社員016,人事部,消耗品費,7777,3378,RCP-2024010054
2024/01/08,EMP-572,社員041,人事部,接待費,35118,3378,RCP-2024010055
2024/01/01,EMP-923,社員030,人事部,接待費,49407,3378,RCP-2024010056
2024/01/03,EMP-552,社員023,人事部,通信費,2950,3378,RCP-2024010057
2024/01/14,EMP-806,社員017,人事部,消耗品費,7224,3378,RCP-2024010058
2024/01/13,EMP-973,社員031,人事部,交通費,4386,3378,RCP-2024010059
2024/01/12,EMP-688,社員019,人事部,研修費,178231,3378,RCP-2024010060
2024/01/13,EMP-381,社員001,人事部,通信費,901,3378,RCP-2024010061
2024/01/24,EMP-608,社員019,人事部,宿泊費,27892,3378,RCP-2024010062
2024/01/08,EMP-751,社員013,人事部,通信費,2553,3378,RCP-2024010063
2024/01/24,EMP-885,社員043,人事部,研修費,27927,3378,RCP-2024010064
2024/01/21,EMP-761,社員003,人事部,接待費,92507,3378,RCP-2024010065
2024/01/05,EMP-192,社員019,人事部,接待費,32230,3378,RCP-2024010066
2024/01/05,EMP-905,社員035,人事部,接待費,39789,3378,RCP-2024010067
2024/01/09,EMP-950,社員011,人事部,接待費,36578,3378,RCP-2024010068
2024/01/10,EMP-864,社員022,人事部,交通費,8173,3378,RCP-2024010069
2024/01/05,EMP-872,社員015,人事部,研修費,62089,3378,RCP-2024010070
2024/01/26,EMP-670,社員024,人事部,交通費,13454,3378,RCP-2024010071
2024/01/09,EMP-649,社員008,人事部,消耗品費,3319,3378,RCP-2024010072
2024/01/22,EMP-368,社員038,人事部,消耗品費,7037,3378,RCP-2024010073
