申込ID,年齢,職業,年収(万円),勤続年数(年),負債総額(万円),過去延滞回数,申込金額(万円),申込用途
APP-00001,59,会社員,644,17,165,0,688,事業資金
APP-00002,47,会社員,789,19,186,0,3014,住宅購入
APP-00003,43,無職,18,0,10,2,87,住宅購入
APP-00004,48,会社員,749,1,185,0,660,事業資金
APP-00005,55,パート・アルバイト,170,2,91,1,826,教育資金
APP-00006,44,公務員,549,1,16,0,2536,カーローン
APP-00007,39,パート・アルバイト,293,7,65,0,511,カーローン
APP-00008,31,パート・アルバイト,192,1,54,0,563,カーローン
APP-00009,67,パート・アルバイト,187,6,78,0,786,事業資金
APP-00010,61,パート・アルバイト,187,32,43,0,262,住宅購入
APP-00011,52,パート・アルバイト,127,26,0,1,166,事業資金
APP-00012,55,自営業,477,27,109,0,137,事業資金
APP-00013,33,会社員,401,5,56,0,1356,医療費
APP-00014,58,会社員,608,24,100,0,2426,住宅購入
APP-00015,50,公務員,409,10,17,0,921,医療費
APP-00016,62,無職,82,0,20,0,70,生活費
APP-00017,53,自営業,326,18,127,0,696,住宅購入
APP-00018,42,自営業,1014,7,11,0,888,住宅購入
APP-00019,56,パート・アルバイト,239,16,23,0,1124,住宅購入
APP-00020,45,会社員,663,12,75,0,1506,カーローン
APP-00021,52,パート・アルバイト,221,11,11,0,407,カーローン
APP-00022,39,無職,69,0,16,3,267,医療費
APP-00023,25,公務員,428,2,39,0,1936,医療費
APP-00024,36,パート・アルバイト,261,9,27,2,882,住宅購入
APP-00025,36,自営業,827,2,268,0,2436,医療費
APP-00026,41,パート・アルバイト,257,0,76,0,865,カーローン
APP-00027,54,会社員,396,5,20,1,1184,事業資金
APP-00028,38,自営業,812,10,9,1,1923,事業資金
APP-00029,25,パート・アルバイト,116,1,34,1,307,事業資金
APP-00030,44,自営業,1007,6,166,0,4286,医療費
APP-00031,35,自営業,221,5,99,0,921,生活費
APP-00032,48,公務員,494,3,66,0,640,カーローン
APP-00033,57,パート・アルバイト,245,34,15,1,953,生活費
APP-00034,23,公務員,442,1,32,0,1043,医療費
APP-00035,68,無職,95,0,24,1,471,教育資金
APP-00036,30,無職,4,0,1,5,50,その他
APP-00037,37,自営業,222,13,73,0,989,その他
APP-00038,57,会社員,686,14,192,0,937,住宅購入
APP-00039,27,会社員,380,5,17,0,729,その他
APP-00040,56,自営業,1074,1,166,2,1095,その他
APP-00041,28,自営業,1134,0,130,0,150,カーローン
APP-00042,68,パート・アルバイト,124,11,51,0,338,事業資金
APP-00043,31,自営業,1064,8,380,1,2336,生活費
APP-00044,49,会社員,767,2,69,0,1554,教育資金
APP-00045,53,自営業,513,31,73,1,1551,教育資金
APP-00046,29,自営業,833,7,58,0,485,カーローン
APP-00047,68,会社員,424,23,118,0,944,カーローン
APP-00048,52,自営業,984,27,53,1,136,その他
APP-00049,33,自営業,534,6,161,1,809,教育資金
APP-00050,27,自営業,574,6,187,1,1250,住宅購入
APP-00051,33,自営業,468,3,174,1,2068,住宅購入
APP-00052,44,会社員,617,8,152,0,493,生活費
APP-00053,28,無職,59,0,15,0,90,住宅購入
APP-00054,27,自営業,740,0,20,0,3083,教育資金
APP-00055,42,会社員,616,11,72,0,2112,その他
APP-00056,46,無職,79,0,3,0,343,教育資金
APP-00057,33,無職,64,0,23,0,204,医療費
APP-00058,39,会社員,766,9,23,0,453,教育資金
APP-00059,41,会社員,766,14,193,2,424,その他
APP-00060,59,自営業,827,25,322,0,3424,住宅購入
APP-00061,37,自営業,714,16,165,0,3068,事業資金
APP-00062,52,パート・アルバイト,149,8,12,0,164,生活費
APP-00063,51,自営業,432,10,79,0,825,医療費
APP-00064,40,自営業,382,13,56,2,1482,住宅購入
APP-00065,44,公務員,560,23,73,0,2383,生活費
APP-00066,47,自営業,966,17,139,1,2905,住宅購入
APP-00067,46,パート・アルバイト,272,23,100,0,223,医療費
APP-00068,56,パート・アルバイト,216,3,121,0,1038,教育資金
APP-00069,30,無職,59,0,41,2,226,その他
APP-00070,24,自営業,295,2,25,0,928,事業資金
APP-00071,49,会社員,564,13,88,0,2598,医療費
APP-00072,46,パート・アルバイト,198,6,110,0,613,その他
APP-00073,27,パート・アルバイト,244,0,96,0,1128,教育資金
APP-00074,31,パート・アルバイト,234,8,126,1,423,医療費
APP-00075,39,パート・アルバイト,206,5,19,0,134,カーローン
APP-00076,48,無職,38,0,24,3,69,事業資金
APP-00077,53,公務員,695,0,132,0,2508,住宅購入
APP-00078,62,公務員,663,25,16,0,155,住宅購入
APP-00079,48,パート・アルバイト,102,2,50,0,258,事業資金
APP-00080,44,無職,1,0,0,1,50,カーローン
APP-00081,40,公務員,699,0,39,0,3078,その他
APP-00082,27,会社員,649,6,129,0,2041,教育資金
APP-00083,54,会社員,753,29,54,0,157,住宅購入
APP-00084,59,無職,1,0,0,0,50,その他
APP-00085,22,無職,5,0,2,1,50,カーローン
APP-00086,62,公務員,473,2,75,0,328,その他
APP-00087,62,パート・アルバイト,239,32,5,0,1009,住宅購入
APP-00088,27,会社員,663,3,148,0,330,生活費
APP-00089,43,無職,73,0,12,0,81,教育資金
APP-00090,47,パート・アルバイト,296,20,9,1,924,生活費
APP-00091,64,公務員,537,28,18,0,2079,事業資金
APP-00092,40,会社員,791,11,186,0,1840,その他
APP-00093,49,無職,24,0,6,2,116,教育資金
APP-00094,67,自営業,357,5,90,0,1635,カーローン
APP-00095,28,自営業,319,7,44,0,257,教育資金
APP-00096,42,パート・アルバイト,257,13,97,0,239,教育資金
APP-00097,62,自営業,417,37,66,0,1247,カーローン
APP-00098,42,公務員,543,10,24,0,985,事業資金
APP-00099,50,自営業,902,16,294,0,2939,教育資金
APP-00100,59,公務員,502,21,43,0,1344,事業資金
APP-00101,68,公務員,553,32,98,0,2050,事業資金
APP-00102,46,無職,26,0,7,2,113,事業資金
APP-00103,25,会社員,740,4,12,0,2113,住宅購入
APP-00104,45,公務員,451,18,66,0,742,医療費
APP-00105,61,自営業,906,34,168,0,1122,事業資金
APP-00106,54,パート・アルバイト,123,17,70,2,256,カーローン
APP-00107,55,パート・アルバイト,128,24,29,1,448,医療費
APP-00108,58,公務員,557,17,18,0,497,事業資金
APP-00109,69,無職,20,0,17,0,91,カーローン
APP-00110,43,自営業,1042,9,41,1,2525,カーローン
APP-00111,66,自営業,350,12,158,0,357,生活費
APP-00112,33,パート・アルバイト,138,3,40,1,58,生活費
APP-00113,34,会社員,459,11,87,0,1943,教育資金
APP-00114,54,自営業,994,25,28,0,3708,事業資金
APP-00115,64,自営業,538,37,129,1,2279,事業資金
APP-00116,46,公務員,529,23,62,0,1047,医療費
APP-00117,49,公務員,549,24,11,0,1482,カーローン
APP-00118,66,無職,39,0,11,0,75,事業資金
APP-00119,23,公務員,582,2,52,0,457,教育資金
APP-00120,49,自営業,207,12,72,0,323,その他
APP-00121,69,パート・アルバイト,260,24,74,2,405,その他
APP-00122,51,無職,86,0,8,1,296,その他
APP-00123,68,自営業,854,16,420,0,4142,住宅購入
APP-00124,57,無職,63,0,7,0,141,カーローン
APP-00125,59,自営業,1163,19,573,0,1925,その他
APP-00126,33,無職,79,0,6,3,132,住宅購入
APP-00127,24,会社員,517,3,16,0,173,その他
APP-00128,56,パート・アルバイト,231,27,119,2,1053,教育資金
APP-00129,26,公務員,586,1,0,0,2521,生活費
APP-00130,54,公務員,559,1,44,0,1726,教育資金
APP-00131,34,パート・アルバイト,147,5,30,1,634,住宅購入
APP-00132,50,パート・アルバイト,189,11,31,1,657,カーローン
APP-00133,54,会社員,503,15,121,1,1818,医療費
APP-00134,41,パート・アルバイト,206,2,71,2,109,事業資金
APP-00135,45,公務員,674,5,18,0,1699,教育資金
APP-00136,25,会社員,507,1,2,0,2443,カーローン
APP-00137,64,パート・アルバイト,168,17,96,1,382,事業資金
APP-00138,35,無職,38,0,11,3,82,生活費
APP-00139,53,パート・アルバイト,105,9,15,0,134,生活費
APP-00140,38,会社員,743,0,125,0,1088,事業資金
APP-00141,59,自営業,834,17,198,1,1103,生活費
APP-00142,54,無職,78,0,12,1,195,カーローン
APP-00143,37,パート・アルバイト,291,13,75,0,770,教育資金
APP-00144,68,無職,29,0,6,0,53,カーローン
APP-00145,43,無職,79,0,3,0,157,カーローン
APP-00146,40,パート・アルバイト,255,1,106,0,1246,事業資金
APP-00147,45,公務員,518,5,0,0,1108,医療費
APP-00148,63,自営業,362,0,91,0,101,医療費
APP-00149,41,公務員,529,11,88,0,2075,教育資金
APP-00150,37,公務員,579,4,55,0,998,事業資金
APP-00151,57,公務員,499,9,4,0,2324,医療費
APP-00152,56,無職,60,0,7,1,61,生活費
APP-00153,31,無職,15,0,8,0,52,医療費
APP-00154,49,会社員,453,17,115,0,671,生活費
APP-00155,47,無職,16,0,11,1,57,教育資金
APP-00156,48,無職,60,0,53,1,87,カーローン
APP-00157,48,公務員,639,3,27,0,1939,カーローン
APP-00158,37,パート・アルバイト,264,1,4,0,536,医療費
APP-00159,55,会社員,424,23,90,0,1551,生活費
APP-00160,37,無職,14,0,1,0,61,住宅購入
APP-00161,55,パート・アルバイト,112,6,34,1,521,その他
APP-00162,48,会社員,796,16,30,1,2347,住宅購入
APP-00163,47,自営業,365,16,49,0,843,その他
APP-00164,28,自営業,494,2,206,0,1655,住宅購入
APP-00165,50,会社員,420,6,110,0,1320,カーローン
APP-00166,30,パート・アルバイト,210,5,85,1,446,事業資金
APP-00167,58,公務員,615,37,51,0,2901,カーローン
APP-00168,23,会社員,708,1,86,0,1865,その他
APP-00169,64,パート・アルバイト,231,15,94,0,447,事業資金
APP-00170,34,無職,19,0,14,1,65,生活費
APP-00171,64,自営業,933,25,176,0,4103,医療費
APP-00172,57,会社員,643,27,151,0,1456,住宅購入
APP-00173,59,会社員,756,27,181,0,3278,生活費
APP-00174,31,会社員,543,8,3,1,2195,生活費
APP-00175,66,パート・アルバイト,277,25,53,1,576,医療費
APP-00176,41,公務員,403,12,75,0,182,生活費
APP-00177,38,会社員,519,6,20,0,1053,医療費
APP-00178,54,公務員,414,11,79,0,450,教育資金
APP-00179,44,会社員,689,14,57,0,3041,医療費
APP-00180,30,無職,5,0,1,0,50,その他
APP-00181,22,自営業,681,0,222,0,3268,住宅購入
APP-00182,27,無職,13,0,8,5,54,事業資金
APP-00183,28,自営業,1141,2,315,0,4667,事業資金
APP-00184,57,無職,54,0,8,0,149,住宅購入
