ApplicationID,Age,Occupation,AnnualIncome,YearsEmployed,TotalDebt,PastDelays,LoanAmount,LoanPurpose
APP-00201,56,SelfEmployed,919,16,303,0,381,医療費
APP-00202,51,SelfEmployed,1150,16,101,0,2003,その他
APP-00203,62,Unemployed,98,0,78,3,247,カーローン
APP-00204,36,Employee,512,15,56,0,1039,医療費
APP-00205,64,SelfEmployed,761,5,193,1,2752,住宅購入
APP-00206,53,Employee,531,11,65,0,723,その他
APP-00207,61,Employee,391,12,76,0,1321,事業資金
APP-00208,22,Government,666,0,26,0,3132,教育資金
APP-00209,58,Unemployed,66,0,7,0,264,その他
APP-00210,35,Employee,477,4,130,0,1625,事業資金
APP-00211,48,Unemployed,76,0,41,0,364,医療費
APP-00212,52,Government,419,10,81,0,950,医療費
APP-00213,48,PartTime,104,15,54,1,238,カーローン
APP-00214,66,Employee,731,34,70,0,2590,カーローン
APP-00215,43,SelfEmployed,832,18,101,3,1423,教育資金
APP-00216,57,Employee,798,28,182,0,2517,その他
APP-00217,55,SelfEmployed,440,21,63,0,1436,カーローン
APP-00218,50,SelfEmployed,562,12,61,2,1060,医療費
APP-00219,23,Employee,501,1,126,0,2007,その他
APP-00220,59,PartTime,220,4,51,1,1043,医療費
APP-00221,23,Employee,540,1,151,1,1692,住宅購入
APP-00222,28,Unemployed,24,0,19,1,68,医療費
APP-00223,61,PartTime,215,7,54,0,299,教育資金
APP-00224,36,SelfEmployed,886,12,439,1,2908,生活費
APP-00225,26,Employee,657,4,192,0,1010,住宅購入
APP-00226,30,SelfEmployed,624,2,209,0,207,住宅購入
APP-00227,59,Government,604,32,99,0,1222,教育資金
APP-00228,33,Government,624,9,61,0,2510,その他
APP-00229,28,Government,570,7,10,0,912,その他
APP-00230,35,SelfEmployed,267,7,0,0,117,教育資金
APP-00231,59,Unemployed,33,0,24,0,125,カーローン
APP-00232,29,Employee,379,7,93,0,889,住宅購入
APP-00233,24,Unemployed,39,0,25,0,97,カーローン
APP-00234,31,PartTime,200,5,55,0,762,医療費
APP-00235,32,SelfEmployed,825,2,309,0,3145,住宅購入
APP-00236,38,Employee,429,2,105,0,417,住宅購入
APP-00237,69,PartTime,270,5,105,0,1243,事業資金
APP-00238,30,Government,662,9,115,0,3230,生活費
APP-00239,32,PartTime,194,7,33,1,736,その他
APP-00240,40,SelfEmployed,1028,7,13,0,3666,住宅購入
APP-00241,50,Unemployed,61,0,22,3,116,その他
APP-00242,34,PartTime,126,7,23,0,420,医療費
APP-00243,62,PartTime,113,14,14,1,50,その他
APP-00244,30,PartTime,267,8,75,0,1130,カーローン
APP-00245,44,Unemployed,21,0,11,0,66,カーローン
APP-00246,23,PartTime,142,2,17,0,115,事業資金
APP-00247,30,SelfEmployed,277,1,119,0,508,生活費
APP-00248,33,Government,416,6,22,0,775,医療費
APP-00249,31,SelfEmployed,1001,9,465,0,3781,カーローン
APP-00250,24,Employee,401,1,14,0,1261,教育資金
APP-00251,58,Unemployed,69,0,61,0,205,医療費
APP-00252,41,Government,418,6,79,0,1918,その他
APP-00253,66,Unemployed,97,0,43,2,400,医療費
APP-00254,60,Government,575,18,36,0,411,生活費
APP-00255,26,Unemployed,3,0,0,1,50,カーローン
APP-00256,60,SelfEmployed,833,15,388,0,3863,医療費
APP-00257,37,PartTime,154,7,52,0,259,その他
APP-00258,38,PartTime,210,6,43,0,370,事業資金
APP-00259,26,SelfEmployed,505,0,182,0,2186,事業資金
APP-00260,59,Government,568,29,29,0,2157,カーローン
APP-00261,66,Unemployed,10,0,0,2,50,事業資金
APP-00262,66,PartTime,215,39,4,1,54,教育資金
APP-00263,23,Employee,501,2,128,0,548,生活費
APP-00264,43,SelfEmployed,205,13,33,1,816,事業資金
APP-00265,49,Unemployed,67,0,46,1,95,事業資金
APP-00266,68,Government,423,38,72,0,1972,教育資金
APP-00267,68,SelfEmployed,1078,23,54,1,2049,生活費
APP-00268,49,Government,591,28,71,0,2766,医療費
APP-00269,28,Government,525,1,83,0,354,生活費
APP-00270,35,Employee,667,4,174,0,3137,住宅購入
APP-00271,46,SelfEmployed,663,11,54,0,2303,カーローン
APP-00272,40,Employee,705,12,8,0,3389,カーローン
APP-00273,66,SelfEmployed,414,17,39,0,332,住宅購入
APP-00274,26,Employee,580,5,70,0,1232,教育資金
APP-00275,33,Unemployed,65,0,50,1,86,住宅購入
APP-00276,39,SelfEmployed,235,3,116,1,651,医療費
APP-00277,55,Government,563,10,101,0,909,医療費
APP-00278,58,Unemployed,11,0,0,1,53,カーローン
APP-00279,25,SelfEmployed,1115,4,221,0,3185,医療費
APP-00280,25,Unemployed,28,0,4,0,77,カーローン
APP-00281,68,Employee,439,3,114,0,1209,住宅購入
APP-00282,28,Unemployed,84,0,71,0,391,住宅購入
APP-00283,36,PartTime,209,6,112,2,590,事業資金
APP-00284,43,SelfEmployed,1062,8,192,0,650,事業資金
APP-00285,56,Employee,384,20,51,1,1508,住宅購入
APP-00286,23,Employee,491,0,30,1,972,カーローン
APP-00287,53,SelfEmployed,1136,28,134,0,5551,住宅購入
APP-00288,29,Government,679,0,26,0,1268,住宅購入
APP-00289,34,Unemployed,62,0,11,4,79,その他
APP-00290,44,Employee,451,9,127,0,1015,教育資金
APP-00291,58,Government,437,20,15,0,446,住宅購入
APP-00292,30,PartTime,234,1,32,1,536,医療費
APP-00293,66,PartTime,252,7,16,0,692,カーローン
APP-00294,23,SelfEmployed,708,2,352,0,1573,教育資金
APP-00295,44,SelfEmployed,1121,10,37,0,1386,事業資金
APP-00296,56,Government,591,22,115,0,197,生活費
APP-00297,65,SelfEmployed,482,19,14,1,1814,カーローン
APP-00298,65,PartTime,185,18,95,1,608,医療費
APP-00299,53,SelfEmployed,978,22,469,0,2949,カーローン
APP-00300,52,SelfEmployed,1012,11,372,0,2583,事業資金
APP-00301,32,SelfEmployed,797,8,52,0,1521,医療費
APP-00302,27,PartTime,249,1,40,0,1119,医療費
APP-00303,67,Employee,711,6,42,0,1199,生活費
APP-00304,31,SelfEmployed,1082,8,383,0,4126,カーローン
APP-00305,39,PartTime,257,9,22,0,356,その他
APP-00306,40,Government,438,14,61,0,1227,生活費
APP-00307,45,SelfEmployed,440,19,164,1,994,その他
APP-00308,35,Unemployed,36,0,5,1,143,生活費
APP-00309,65,Government,625,6,34,0,1015,カーローン
APP-00310,43,Employee,665,6,73,0,1816,住宅購入
APP-00311,24,PartTime,286,1,110,2,737,住宅購入
APP-00312,64,SelfEmployed,1032,36,408,0,3934,事業資金
APP-00313,56,Employee,357,20,52,0,877,生活費
APP-00314,49,SelfEmployed,963,16,402,0,3447,教育資金
APP-00315,31,Government,637,0,126,0,2707,生活費
APP-00316,64,Employee,422,12,50,0,1743,生活費
APP-00317,52,PartTime,287,13,95,0,527,生活費
APP-00318,30,Government,467,1,5,1,185,その他
APP-00319,22,Unemployed,19,0,3,1,91,事業資金
APP-00320,58,Unemployed,67,0,49,0,323,住宅購入
APP-00321,38,Government,689,10,59,0,948,事業資金
APP-00322,34,PartTime,255,10,118,0,953,事業資金
APP-00323,62,Unemployed,0,0,0,1,50,事業資金
APP-00324,31,Government,669,5,108,0,512,住宅購入
APP-00325,38,Government,624,2,23,0,1190,住宅購入
APP-00326,41,SelfEmployed,635,10,273,0,2357,生活費
APP-00327,28,PartTime,296,1,71,1,638,事業資金
APP-00328,57,Unemployed,96,0,40,0,92,教育資金
APP-00329,30,Employee,531,4,46,0,601,その他
APP-00330,47,Unemployed,26,0,6,0,72,その他
APP-00331,23,Employee,774,1,52,0,1585,住宅購入
APP-00332,41,PartTime,151,0,14,1,163,カーローン
APP-00333,40,Government,675,12,114,0,2879,カーローン
APP-00334,24,SelfEmployed,1058,3,161,0,2867,カーローン
APP-00335,50,PartTime,125,3,70,1,498,医療費
APP-00336,64,Employee,434,21,96,0,391,生活費
APP-00337,51,PartTime,157,13,22,0,136,カーローン
APP-00338,46,PartTime,201,15,47,2,789,生活費
APP-00339,35,PartTime,235,3,26,2,638,カーローン
APP-00340,66,Unemployed,39,0,22,2,101,教育資金
APP-00341,41,SelfEmployed,815,18,115,1,2505,生活費
APP-00342,45,Unemployed,30,0,20,0,73,カーローン
APP-00343,36,PartTime,231,14,3,0,966,その他
APP-00344,56,Unemployed,60,0,2,0,173,住宅購入
APP-00345,63,Unemployed,84,0,71,0,196,生活費
APP-00346,57,Government,561,9,97,0,2074,その他
APP-00347,36,Unemployed,53,0,37,0,221,その他
APP-00348,41,Government,408,7,57,0,1957,その他
APP-00349,57,Government,678,19,64,0,254,医療費
APP-00350,36,PartTime,140,0,68,0,627,住宅購入
