申込番号,年齢,職種,収入,勤務年数,負債額,延滞数,借入希望額,用途
APP-00351,49,無職,26,0,21,1,127,住宅購入
APP-00352,30,無職,13,0,1,0,51,事業資金
APP-00353,69,正社員,389,2,15,0,1442,医療費
APP-00354,26,個人事業,974,0,429,0,3090,その他
APP-00355,47,個人事業,1138,19,254,0,996,住宅購入
APP-00356,25,個人事業,369,2,48,0,1479,住宅購入
APP-00357,33,非正規,259,10,51,2,1147,その他
APP-00358,31,非正規,161,8,66,1,213,その他
APP-00359,49,無職,33,0,18,2,113,カーローン
APP-00360,55,官公庁,585,23,79,0,2209,カーローン
APP-00361,24,個人事業,609,1,67,0,309,生活費
APP-00362,57,無職,84,0,41,2,357,生活費
APP-00363,51,正社員,674,28,99,0,2181,生活費
APP-00364,69,非正規,247,4,76,0,135,カーローン
APP-00365,66,個人事業,534,19,125,1,1593,その他
APP-00366,42,正社員,447,3,0,0,257,生活費
APP-00367,58,官公庁,561,27,3,0,2737,住宅購入
APP-00368,27,正社員,773,6,145,0,688,カーローン
APP-00369,52,官公庁,492,13,74,0,652,生活費
APP-00370,67,無職,75,0,57,1,285,住宅購入
APP-00371,38,官公庁,475,12,55,2,661,生活費
APP-00372,52,官公庁,616,27,114,0,1198,教育資金
APP-00373,54,個人事業,1032,7,226,4,1599,その他
APP-00374,37,正社員,636,9,106,0,1851,その他
APP-00375,41,非正規,181,14,36,0,690,生活費
APP-00376,28,個人事業,630,1,267,0,224,教育資金
APP-00377,27,官公庁,627,6,2,0,1759,生活費
APP-00378,30,正社員,464,6,38,0,72,事業資金
APP-00379,66,正社員,611,32,155,0,115,事業資金
APP-00380,51,個人事業,428,13,94,0,994,その他
APP-00381,52,無職,1,0,0,2,50,医療費
APP-00382,31,無職,14,0,7,2,64,事業資金
APP-00383,44,無職,74,0,3,1,121,事業資金
APP-00384,22,官公庁,497,0,64,0,1587,生活費
APP-00385,47,非正規,262,5,16,0,946,カーローン
APP-00386,50,非正規,238,7,6,0,705,カーローン
APP-00387,29,個人事業,613,0,252,1,582,教育資金
APP-00388,66,非正規,206,0,114,1,905,カーローン
APP-00389,56,非正規,294,7,171,0,1336,住宅購入
APP-00390,25,非正規,113,4,41,1,378,医療費
APP-00391,46,個人事業,353,17,13,1,1318,事業資金
APP-00392,44,個人事業,922,12,143,2,4473,医療費
APP-00393,40,正社員,448,14,126,0,1065,住宅購入
APP-00394,32,正社員,776,10,88,0,3057,事業資金
APP-00395,50,官公庁,585,14,30,0,2714,教育資金
APP-00396,69,非正規,208,6,11,1,357,住宅購入
APP-00397,41,正社員,563,15,48,0,2134,住宅購入
APP-00398,62,正社員,679,20,171,0,2729,医療費
APP-00399,34,無職,11,0,8,1,51,生活費
APP-00400,30,正社員,659,1,56,0,203,医療費
APP-00401,43,官公庁,607,9,63,0,1320,その他
APP-00402,54,正社員,626,10,122,0,1201,医療費
APP-00403,22,個人事業,652,0,148,0,2504,カーローン
APP-00404,22,無職,53,0,28,0,185,住宅購入
APP-00405,58,個人事業,544,32,27,2,1174,医療費
APP-00406,50,無職,90,0,63,3,163,住宅購入
APP-00407,43,官公庁,687,12,20,0,360,その他
APP-00408,31,無職,45,0,34,0,50,カーローン
APP-00409,29,個人事業,1178,2,77,0,2823,住宅購入
