請求書番号,請求日,得意先コード,請求金額,入金金額,入金日,支払区分
INV-2024010001,2024/01/21,CLI-001,2104301,2104301,2024/01/28,銀行振込
INV-2024010002,2024/01/05,CLI-004,4624866,4624866,2024/01/28,銀行振込
INV-2024010003,2024/01/19,CLI-002,1884068,1884068,2024/01/28,銀行振込
INV-2024010004,2024/01/17,CLI-001,4621300,4621300,2024/01/28,口座振替
INV-2024010005,2024/01/08,CLI-019,104515,104515,2024/01/28,銀行振込
INV-2024010006,2024/01/23,CLI-011,1856182,1856182,2024/01/28,口座振替
INV-2024010007,2024/01/04,CLI-013,2935309,2935309,2024/01/13,手形
INV-2024010008,2024/01/09,CLI-015,3225376,3225376,2024/01/17,銀行振込
INV-2024010009,2024/01/18,CLI-020,3083614,2536482,2024/01/28,手形
INV-2024010010,2024/01/03,CLI-008,719343,719343,2024/01/11,銀行振込
INV-2024010011,2024/01/28,CLI-013,3110434,3110434,2024/01/28,銀行振込
INV-2024010012,2024/01/12,CLI-007,648967,648967,2024/01/28,手形
INV-2024010013,2024/01/21,CLI-018,1420719,1420719,2024/01/28,口座振替
INV-2024010014,2024/01/13,CLI-018,2770280,2770280,2024/01/28,銀行振込
INV-2024010015,2024/01/08,CLI-011,605230,605230,2024/01/16,銀行振込
INV-2024010016,2024/01/19,CLI-011,4237855,4237855,2024/01/28,口座振替
INV-2024010017,2024/01/21,CLI-005,2118861,2118861,2024/01/28,手形
INV-2024010018,2024/01/18,CLI-009,3643963,3643963,2024/01/28,手形
INV-2024010019,2024/01/13,CLI-008,1210410,0,,手形
INV-2024010020,2024/01/16,CLI-002,1332125,1076412,2024/01/25,手形
INV-2024010021,2024/01/14,CLI-003,3976287,3976287,2024/01/28,手形
INV-2024010022,2024/01/09,CLI-001,1010929,1010929,2024/01/28,手形
INV-2024010023,2024/01/18,CLI-011,3697075,3697075,2024/01/28,銀行振込
INV-2024010024,2024/01/15,CLI-009,1548640,0,,手形
INV-2024010025,2024/01/04,CLI-010,4308584,3504597,2024/01/28,銀行振込
INV-2024010026,2024/01/12,CLI-018,4498929,0,,銀行振込
INV-2024010027,2024/01/20,CLI-016,3094903,3094903,2024/01/28,口座振替
INV-2024010028,2024/01/08,CLI-008,710662,685903,2024/01/16,口座振替
INV-2024010029,2024/01/27,CLI-018,1127025,1127025,2024/01/28,手形
INV-2024010030,2024/01/16,CLI-006,3599538,3599538,2024/01/28,銀行振込
INV-2024010031,2024/01/18,CLI-007,3396989,3396989,2024/01/28,手形
INV-2024010032,2024/01/21,CLI-015,3837340,3664310,2024/01/28,銀行振込
INV-2024010033,2024/01/03,CLI-001,1980342,1980342,2024/01/20,手形
INV-2024010034,2024/01/08,CLI-003,543868,543868,2024/01/15,銀行振込
INV-2024010035,2024/01/03,CLI-011,2046527,2046527,2024/01/11,口座振替
INV-2024010036,2024/01/22,CLI-007,4840256,4840256,2024/01/28,手形
INV-2024010037,2024/01/16,CLI-016,1647274,1585741,2024/01/28,手形
INV-2024010038,2024/01/14,CLI-014,504420,504420,2024/01/28,手形
INV-2024010039,2024/01/21,CLI-004,2896276,2896276,2024/01/28,銀行振込
INV-2024010040,2024/01/08,CLI-007,1225934,1225934,2024/01/21,口座振替
INV-2024010041,2024/01/06,CLI-015,682374,682374,2024/01/21,口座振替
INV-2024010042,2024/01/26,CLI-004,4584780,4584780,2024/01/28,銀行振込
INV-2024010043,2024/01/03,CLI-006,4087927,4087927,2024/01/17,銀行振込
INV-2024010044,2024/01/28,CLI-002,68080,68080,2024/01/28,口座振替
