InvoiceNo,InvoiceDate,ClientCode,InvoiceAmount,ReceivedAmount,ReceivedDate,PaymentType
INV000161,2024-01-11,CLI-016,3409236,3409236,2024-01-28,Bill
INV000162,2024-01-02,CLI-003,2761817,2761817,2024-01-23,BankTransfer
INV000163,2024-01-25,CLI-017,59655,47681,2024-01-28,Bill
INV000164,2024-01-15,CLI-002,3084825,3084825,2024-01-28,Bill
INV000165,2024-01-25,CLI-015,1757570,1757570,2024-01-28,DirectDebit
INV000166,2024-01-18,CLI-010,4116057,4116057,2024-01-28,BankTransfer
INV000167,2024-01-01,CLI-020,1378572,1378572,2024-01-28,DirectDebit
INV000168,2024-01-18,CLI-018,1934925,1934925,2024-01-25,BankTransfer
INV000169,2024-01-15,CLI-005,2498312,2498312,2024-01-25,Bill
INV000170,2024-01-23,CLI-014,4011266,3687630,2024-01-28,Bill
INV000171,2024-01-05,CLI-007,4313433,4646284,2024-01-24,BankTransfer
INV000172,2024-01-28,CLI-009,3530789,3530789,2024-01-28,DirectDebit
INV000173,2024-01-26,CLI-009,2422625,1888304,2024-01-28,Bill
INV000174,2024-01-19,CLI-016,3795911,3165075,2024-01-28,DirectDebit
INV000175,2024-01-11,CLI-018,2749264,2749264,2024-01-28,BankTransfer
INV000176,2024-01-23,CLI-019,3495831,3495831,2024-01-28,BankTransfer
INV000177,2024-01-11,CLI-016,3247998,3247998,2024-01-28,DirectDebit
INV000178,2024-01-22,CLI-005,360543,360543,2024-01-28,BankTransfer
INV000179,2024-01-17,CLI-011,3743556,3597871,2024-01-28,DirectDebit
INV000180,2024-01-01,CLI-005,1344875,1344875,2024-01-28,BankTransfer
INV000181,2024-01-16,CLI-011,3384331,3384331,2024-01-28,Bill
INV000182,2024-01-03,CLI-018,2706346,2706346,2024-01-20,Bill
INV000183,2024-01-23,CLI-018,623954,623954,2024-01-28,BankTransfer
INV000184,2024-01-21,CLI-010,808156,0,,DirectDebit
INV000185,2024-01-04,CLI-004,2562103,2562103,2024-01-28,BankTransfer
INV000186,2024-01-02,CLI-002,3194394,3194394,2024-01-19,DirectDebit
INV000187,2024-01-05,CLI-017,1560426,1560426,2024-01-19,BankTransfer
INV000188,2024-01-06,CLI-020,2070226,1750742,2024-01-15,Bill
INV000189,2024-01-05,CLI-015,3905156,3905156,2024-01-19,DirectDebit
INV000190,2024-01-22,CLI-015,4635197,4747451,2024-01-28,DirectDebit
INV000191,2024-01-12,CLI-010,3609361,3609361,2024-01-28,Bill
INV000192,2024-01-09,CLI-010,3277040,3277040,2024-01-28,DirectDebit
INV000193,2024-01-04,CLI-013,4871871,4871871,2024-01-18,DirectDebit
INV000194,2024-01-23,CLI-001,3370259,0,,DirectDebit
INV000195,2024-01-01,CLI-002,4216850,4575094,2024-01-26,DirectDebit
INV000196,2024-01-25,CLI-020,1887143,1519869,2024-01-28,Bill
INV000197,2024-01-09,CLI-005,380700,380700,2024-01-28,DirectDebit
INV000198,2024-01-26,CLI-002,1152362,1152362,2024-01-28,BankTransfer
INV000199,2024-01-10,CLI-014,1158636,1158636,2024-01-27,Bill
INV000200,2024-01-12,CLI-017,1430298,1477679,2024-01-28,DirectDebit
INV000201,2024-01-26,CLI-011,3978648,2827868,2024-01-28,BankTransfer
INV000202,2024-01-25,CLI-013,4725077,0,,DirectDebit
INV000203,2024-01-03,CLI-001,1086737,1086737,2024-01-22,DirectDebit
INV000204,2024-01-12,CLI-009,3166146,3166146,2024-01-28,BankTransfer
INV000205,2024-01-22,CLI-016,4759426,4759426,2024-01-28,DirectDebit
INV000206,2024-01-20,CLI-003,3944558,3944558,2024-01-28,Bill
INV000207,2024-01-10,CLI-014,430396,430396,2024-01-28,BankTransfer
INV000208,2024-01-10,CLI-004,4559267,4559267,2024-01-28,BankTransfer
INV000209,2024-01-13,CLI-012,4581463,4581463,2024-01-28,DirectDebit
INV000210,2024-01-19,CLI-005,880653,658931,2024-01-28,Bill
INV000211,2024-01-14,CLI-002,1872590,1872590,2024-01-28,DirectDebit
INV000212,2024-01-15,CLI-012,3131428,3131428,2024-01-28,Bill
INV000213,2024-01-21,CLI-002,1642229,1642229,2024-01-28,BankTransfer
INV000214,2024-01-28,CLI-003,229159,229159,2024-01-28,BankTransfer
INV000215,2024-01-26,CLI-008,4786023,0,,BankTransfer
INV000216,2024-01-03,CLI-007,2004534,2004534,2024-01-27,DirectDebit
INV000217,2024-01-25,CLI-020,1263730,1263730,2024-01-28,BankTransfer
INV000218,2024-01-18,CLI-006,266259,266259,2024-01-28,BankTransfer
INV000219,2024-01-01,CLI-008,182381,182381,2024-01-19,BankTransfer
INV000220,2024-01-09,CLI-005,4463125,4463125,2024-01-17,BankTransfer
INV000221,2024-01-24,CLI-016,3087003,3087003,2024-01-28,Bill
INV000222,2024-01-19,CLI-015,413772,413772,2024-01-28,Bill
INV000223,2024-01-26,CLI-017,311310,311310,2024-01-28,BankTransfer
INV000224,2024-01-16,CLI-014,4162673,4162673,2024-01-28,Bill
INV000225,2024-01-15,CLI-003,1294314,1294314,2024-01-24,BankTransfer
INV000226,2024-01-05,CLI-020,4649947,4649947,2024-01-20,Bill
INV000227,2024-01-11,CLI-020,3856040,3856040,2024-01-28,Bill
INV000228,2024-01-20,CLI-004,1009774,1009774,2024-01-28,Bill
INV000229,2024-01-21,CLI-007,1966743,1966743,2024-01-28,DirectDebit
INV000230,2024-01-11,CLI-013,847637,847637,2024-01-28,DirectDebit
INV000231,2024-01-14,CLI-009,1330428,1330428,2024-01-28,Bill
INV000232,2024-01-16,CLI-003,832070,719538,2024-01-25,Bill
INV000233,2024-01-24,CLI-005,4969625,4969625,2024-01-28,Bill
INV000234,2024-01-18,CLI-004,3597851,3597851,2024-01-28,Bill
INV000235,2024-01-02,CLI-020,919064,919064,2024-01-18,Bill
INV000236,2024-01-17,CLI-005,1931102,1931102,2024-01-28,BankTransfer
INV000237,2024-01-12,CLI-012,2386799,2386799,2024-01-28,Bill
INV000238,2024-01-08,CLI-018,4720271,0,,BankTransfer
INV000239,2024-01-20,CLI-009,2342358,2342358,2024-01-28,Bill
INV000240,2024-01-25,CLI-011,1571740,1571740,2024-01-28,BankTransfer
INV000241,2024-01-19,CLI-013,307170,307170,2024-01-28,BankTransfer
INV000242,2024-01-24,CLI-007,3855456,3855456,2024-01-28,DirectDebit
INV000243,2024-01-06,CLI-010,4811319,4811319,2024-01-24,Bill
INV000244,2024-01-03,CLI-005,467438,467438,2024-01-11,Bill
INV000245,2024-01-03,CLI-015,4124025,4124025,2024-01-18,Bill
INV000246,2024-01-15,CLI-009,4347872,4347872,2024-01-28,BankTransfer
INV000247,2024-01-12,CLI-004,4132171,4132171,2024-01-28,Bill
