伝票番号,発行日,取引先CD,請求額,受領額,受取日,決済方法
DEN-2024010301,2024/01/19,CLI-006,768181,768181,2024/01/28,約束手形
DEN-2024010302,2024/01/12,CLI-017,4308246,4308246,2024/01/21,約束手形
DEN-2024010303,2024/01/01,CLI-016,3295395,3295395,2024/01/20,自動振替
DEN-2024010304,2024/01/09,CLI-001,616730,616730,2024/01/28,自動振替
DEN-2024010305,2024/01/08,CLI-004,2839368,2839368,2024/01/28,振込
DEN-2024010306,2024/01/02,CLI-018,1518754,1518754,2024/01/20,約束手形
DEN-2024010307,2024/01/15,CLI-016,1181225,1181225,2024/01/28,振込
DEN-2024010308,2024/01/23,CLI-002,417473,417473,2024/01/28,振込
DEN-2024010309,2024/01/02,CLI-010,4605271,4605271,2024/01/19,自動振替
DEN-2024010310,2024/01/09,CLI-007,451009,451009,2024/01/17,約束手形
DEN-2024010311,2024/01/11,CLI-004,3715413,3715413,2024/01/26,自動振替
DEN-2024010312,2024/01/24,CLI-013,1617136,1617136,2024/01/28,自動振替
DEN-2024010313,2024/01/23,CLI-012,4406001,4555826,2024/01/28,振込
DEN-2024010314,2024/01/24,CLI-003,1563778,1563778,2024/01/28,約束手形
DEN-2024010315,2024/01/10,CLI-004,2530007,2530007,2024/01/27,自動振替
DEN-2024010316,2024/01/15,CLI-014,3773773,3773773,2024/01/28,自動振替
DEN-2024010317,2024/01/15,CLI-012,3698545,3698545,2024/01/23,自動振替
DEN-2024010318,2024/01/21,CLI-003,3457538,3457538,2024/01/28,自動振替
DEN-2024010319,2024/01/17,CLI-006,1247720,0,,約束手形
DEN-2024010320,2024/01/22,CLI-002,2029672,2029672,2024/01/28,約束手形
DEN-2024010321,2024/01/12,CLI-013,321667,342401,2024/01/28,約束手形
DEN-2024010322,2024/01/15,CLI-012,694961,694961,2024/01/28,約束手形
DEN-2024010323,2024/01/05,CLI-012,2387819,2387819,2024/01/28,振込
DEN-2024010324,2024/01/04,CLI-006,3296285,3296285,2024/01/11,約束手形
DEN-2024010325,2024/01/04,CLI-009,1849947,1849947,2024/01/19,約束手形
DEN-2024010326,2024/01/10,CLI-016,1188572,1188572,2024/01/28,振込
DEN-2024010327,2024/01/15,CLI-015,2730896,0,,約束手形
DEN-2024010328,2024/01/12,CLI-003,2485735,2485735,2024/01/28,自動振替
DEN-2024010329,2024/01/28,CLI-006,4317752,4317752,2024/01/28,振込
DEN-2024010330,2024/01/04,CLI-005,4194156,4194156,2024/01/17,振込
DEN-2024010331,2024/01/12,CLI-019,4677549,4677549,2024/01/28,振込
DEN-2024010332,2024/01/20,CLI-003,4065333,4065333,2024/01/28,約束手形
DEN-2024010333,2024/01/14,CLI-019,2709420,2709420,2024/01/28,約束手形
DEN-2024010334,2024/01/03,CLI-015,2939999,2939999,2024/01/24,振込
DEN-2024010335,2024/01/27,CLI-019,1132406,1132406,2024/01/28,自動振替
DEN-2024010336,2024/01/17,CLI-004,2601181,2601181,2024/01/25,振込
