invoice_no,invoice_date,client_code,invoice_amount,received_amount,received_date,payment_type,variance_amount,variance_rate,match_status,source_file
INV-2024010001,2024-01-21,CLI-001,2104301.0,2104301.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010002,2024-01-05,CLI-004,4624866.0,4624866.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010003,2024-01-19,CLI-002,1884068.0,1884068.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010004,2024-01-17,CLI-001,4621300.0,4621300.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010005,2024-01-08,CLI-019,104515.0,104515.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010006,2024-01-23,CLI-011,1856182.0,1856182.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010007,2024-01-04,CLI-013,2935309.0,2935309.0,2024-01-13,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010008,2024-01-09,CLI-015,3225376.0,3225376.0,2024-01-17,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010009,2024-01-18,CLI-020,3083614.0,2536482.0,2024-01-28,手形,-547132.0,-0.1774,差異,01_請求データ_A_202401.csv
INV-2024010010,2024-01-03,CLI-008,719343.0,719343.0,2024-01-11,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010011,2024-01-28,CLI-013,3110434.0,3110434.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010012,2024-01-12,CLI-007,648967.0,648967.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010013,2024-01-21,CLI-018,1420719.0,1420719.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010014,2024-01-13,CLI-018,2770280.0,2770280.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010015,2024-01-08,CLI-011,605230.0,605230.0,2024-01-16,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010016,2024-01-19,CLI-011,4237855.0,4237855.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010017,2024-01-21,CLI-005,2118861.0,2118861.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010018,2024-01-18,CLI-009,3643963.0,3643963.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010019,2024-01-13,CLI-008,1210410.0,0.0,,手形,-1210410.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010020,2024-01-16,CLI-002,1332125.0,1076412.0,2024-01-25,手形,-255713.0,-0.192,差異,01_請求データ_A_202401.csv
INV-2024010021,2024-01-14,CLI-003,3976287.0,3976287.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010022,2024-01-09,CLI-001,1010929.0,1010929.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010023,2024-01-18,CLI-011,3697075.0,3697075.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010024,2024-01-15,CLI-009,1548640.0,0.0,,手形,-1548640.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010025,2024-01-04,CLI-010,4308584.0,3504597.0,2024-01-28,銀行振込,-803987.0,-0.1866,差異,01_請求データ_A_202401.csv
INV-2024010026,2024-01-12,CLI-018,4498929.0,0.0,,銀行振込,-4498929.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010027,2024-01-20,CLI-016,3094903.0,3094903.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010028,2024-01-08,CLI-008,710662.0,685903.0,2024-01-16,口座振替,-24759.0,-0.0348,差異,01_請求データ_A_202401.csv
INV-2024010029,2024-01-27,CLI-018,1127025.0,1127025.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010030,2024-01-16,CLI-006,3599538.0,3599538.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010031,2024-01-18,CLI-007,3396989.0,3396989.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010032,2024-01-21,CLI-015,3837340.0,3664310.0,2024-01-28,銀行振込,-173030.0,-0.0451,差異,01_請求データ_A_202401.csv
INV-2024010033,2024-01-03,CLI-001,1980342.0,1980342.0,2024-01-20,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010034,2024-01-08,CLI-003,543868.0,543868.0,2024-01-15,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010035,2024-01-03,CLI-011,2046527.0,2046527.0,2024-01-11,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010036,2024-01-22,CLI-007,4840256.0,4840256.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010037,2024-01-16,CLI-016,1647274.0,1585741.0,2024-01-28,手形,-61533.0,-0.0374,差異,01_請求データ_A_202401.csv
INV-2024010038,2024-01-14,CLI-014,504420.0,504420.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010039,2024-01-21,CLI-004,2896276.0,2896276.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010040,2024-01-08,CLI-007,1225934.0,1225934.0,2024-01-21,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010041,2024-01-06,CLI-015,682374.0,682374.0,2024-01-21,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010042,2024-01-26,CLI-004,4584780.0,4584780.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010043,2024-01-03,CLI-006,4087927.0,4087927.0,2024-01-17,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010044,2024-01-28,CLI-002,68080.0,68080.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
