client_code,請求件数,請求金額合計,入金金額合計,差異金額合計,差異件数,差異発生率(%)
CLI-008,29,62847692.0,49647988.0,-13199704.0,8,27.6
CLI-018,23,54781507.0,43649184.0,-11132323.0,5,21.7
CLI-013,19,59033134.0,49739642.0,-9293492.0,6,31.6
CLI-019,22,52471662.0,46918705.0,-5552957.0,4,18.2
CLI-005,27,72231357.0,67682321.0,-4549036.0,5,18.5
CLI-003,22,52092331.0,47891974.0,-4200357.0,5,22.7
CLI-001,14,38461763.0,34504481.0,-3957282.0,2,14.3
CLI-015,17,48982650.0,46190978.0,-2791672.0,3,17.6
CLI-020,17,37007690.0,34576101.0,-2431589.0,5,29.4
CLI-010,21,61831345.0,59506256.0,-2325089.0,3,14.3
CLI-009,21,54645452.0,52552135.0,-2093317.0,4,19.0
CLI-011,24,65956799.0,64182828.0,-1773971.0,6,25.0
CLI-006,13,39097552.0,37849832.0,-1247720.0,1,7.7
CLI-012,25,55252224.0,54203206.0,-1049018.0,4,16.0
CLI-004,24,79389864.0,78511675.0,-878189.0,2,8.3
CLI-016,30,83497758.0,82734789.0,-762969.0,3,10.0
CLI-002,21,44536272.0,44094361.0,-441911.0,5,23.8
CLI-014,17,41082027.0,40753762.0,-328265.0,2,11.8
CLI-007,19,48054117.0,48225653.0,171536.0,2,10.5
CLI-017,15,41962534.0,41997941.0,35407.0,2,13.3
