契約番号,顧客コード,保険種別,契約開始日,契約終了日,年間保険料,担当者
CN-2024000001,CUST-063,損害保険,2021/03/05,2024/03/04,1594492,佐藤
CN-2024000002,CUST-109,生命保険,2022/04/27,2023/04/27,246493,田中
CN-2024000003,CUST-007,損害保険,2018/05/19,2023/05/18,929796,伊藤
CN-2024000004,CUST-002,損害保険,2020/04/05,2023/04/05,763557,高橋
CN-2024000005,CUST-027,生命保険,2020/10/13,2023/10/13,252828,高橋
CN-2024000006,CUST-068,生命保険,2019/02/13,2024/02/12,1174551,高橋
CN-2024000007,CUST-142,医療保険,2022/07/22,2023/07/22,1906926,伊藤
CN-2024000008,CUST-018,生命保険,2023/12/15,2025/12/14,1671241,佐藤
CN-2024000009,CUST-026,年金保険,2021/12/22,2023/12/22,1000870,鈴木
CN-2024000010,CUST-095,医療保険,2022/03/27,2024/03/26,1455459,佐藤
CN-2024000011,CUST-044,損害保険,2022/02/16,2023/02/16,1019429,佐藤
CN-2024000012,CUST-057,医療保険,2019/03/03,2024/03/01,530348,田中
CN-2024000013,CUST-069,生命保険,2021/03/22,2025/03/21,1964985,佐藤
CN-2024000014,CUST-128,年金保険,2023/03/21,2025/03/20,349623,高橋
CN-2024000015,CUST-138,医療保険,2018/09/28,2023/09/27,948490,伊藤
CN-2024000016,CUST-057,損害保険,2022/06/15,2025/06/14,1084977,伊藤
CN-2024000017,CUST-040,損害保険,2023/01/07,2024/01/07,1300760,高橋
CN-2024000018,CUST-120,医療保険,2018/07/21,2023/07/20,1855185,伊藤
CN-2024000019,CUST-069,医療保険,2019/08/29,2024/08/27,665514,田中
CN-2024000020,CUST-068,損害保険,2023/02/15,2024/02/15,1963919,伊藤
CN-2024000021,CUST-130,損害保険,2020/03/17,2023/03/17,834154,佐藤
CN-2024000022,CUST-001,医療保険,2019/04/08,2024/04/06,90845,高橋
CN-2024000023,CUST-062,生命保険,2020/07/30,2023/07/30,1891319,佐藤
CN-2024000024,CUST-125,生命保険,2023/03/09,2024/03/08,1656071,伊藤
CN-2024000025,CUST-141,損害保険,2019/03/01,2023/02/28,1156612,鈴木
CN-2024000026,CUST-139,損害保険,2023/07/10,2025/07/09,886747,鈴木
CN-2024000027,CUST-133,年金保険,2021/05/20,2025/05/19,569895,田中
CN-2024000028,CUST-142,損害保険,2022/08/11,2023/08/11,511829,伊藤
CN-2024000029,CUST-059,生命保険,2022/02/03,2023/02/03,1852786,田中
CN-2024000030,CUST-072,年金保険,2022/02/17,2024/02/17,1180855,佐藤
CN-2024000031,CUST-122,損害保険,2018/04/15,2023/04/14,1743443,高橋
CN-2024000032,CUST-111,医療保険,2023/02/04,2024/02/04,912143,高橋
CN-2024000033,CUST-026,生命保険,2023/02/24,2024/02/24,1577174,高橋
CN-2024000034,CUST-064,損害保険,2023/02/28,2024/02/28,1174672,佐藤
CN-2024000035,CUST-072,年金保険,2022/02/14,2024/02/14,1883929,佐藤
CN-2024000036,CUST-026,生命保険,2020/07/30,2025/07/29,1803276,伊藤
CN-2024000037,CUST-043,年金保険,2021/12/15,2023/12/15,1059481,高橋
CN-2024000038,CUST-043,年金保険,2022/07/10,2023/07/10,868773,田中
CN-2024000039,CUST-109,年金保険,2020/06/13,2023/06/13,448244,佐藤
CN-2024000040,CUST-139,生命保険,2019/01/03,2024/01/02,169884,鈴木
CN-2024000041,CUST-136,損害保険,2018/06/02,2023/06/01,1114993,田中
CN-2024000042,CUST-018,損害保険,2022/10/28,2023/10/28,301420,高橋
CN-2024000043,CUST-149,生命保険,2023/12/07,2025/12/06,221931,伊藤
CN-2024000044,CUST-134,医療保険,2019/02/20,2024/02/19,478362,鈴木
CN-2024000045,CUST-068,年金保険,2022/03/24,2024/03/23,1458636,佐藤
CN-2024000046,CUST-019,生命保険,2021/04/02,2024/04/01,1352665,高橋
CN-2024000047,CUST-138,損害保険,2023/08/13,2024/08/12,606165,伊藤
CN-2024000048,CUST-063,医療保険,2022/08/06,2023/08/06,380819,鈴木
CN-2024000049,CUST-136,生命保険,2021/02/18,2024/02/18,677842,伊藤
CN-2024000050,CUST-068,生命保険,2022/08/17,2024/08/16,1606960,田中
CN-2024000051,CUST-054,医療保険,2021/03/21,2024/03/20,1491785,佐藤
CN-2024000052,CUST-126,医療保険,2019/03/21,2024/03/19,243563,田中
CN-2024000053,CUST-012,生命保険,2021/04/26,2024/04/25,1667154,鈴木
CN-2024000054,CUST-114,年金保険,2021/09/19,2023/09/19,70278,伊藤
CN-2024000055,CUST-140,生命保険,2021/02/12,2023/02/12,1271611,鈴木
CN-2024000056,CUST-011,医療保険,2022/03/31,2024/03/30,1935300,鈴木
CN-2024000057,CUST-054,損害保険,2021/06/12,2024/06/11,791717,田中
CN-2024000058,CUST-040,損害保険,2020/04/29,2024/04/28,1727484,佐藤
CN-2024000059,CUST-046,医療保険,2024/06/28,2025/06/28,1732409,高橋
CN-2024000060,CUST-069,損害保険,2022/04/20,2024/04/19,852248,田中
CN-2024000061,CUST-052,年金保険,2023/08/27,2025/08/26,690031,鈴木
CN-2024000062,CUST-007,損害保険,2022/12/22,2024/12/21,738415,高橋
CN-2024000063,CUST-090,年金保険,2020/12/27,2023/12/27,744471,伊藤
CN-2024000064,CUST-046,医療保険,2021/08/29,2024/08/28,277336,田中
CN-2024000065,CUST-112,生命保険,2021/03/26,2024/03/25,1936398,高橋
CN-2024000066,CUST-112,生命保険,2023/03/20,2024/03/19,1991071,伊藤
CN-2024000067,CUST-111,生命保険,2021/11/20,2024/11/19,1356851,鈴木
CN-2024000068,CUST-077,医療保険,2023/02/28,2024/02/28,734055,高橋
CN-2024000069,CUST-033,損害保険,2019/02/11,2024/02/10,1444458,高橋
