ContractNo,CustomerCode,InsuranceType,StartDate,EndDate,AnnualPremium,AgentName
CON000161,CUST-061,Annuity,2024-09-08,2025-09-08,802791,伊藤
CON000162,CUST-006,Annuity,2021-04-17,2024-04-16,66982,鈴木
CON000163,CUST-128,Medical,2023-04-16,2024-04-15,1323107,佐藤
CON000164,CUST-065,Property,2022-12-13,2024-12-12,1944574,田中
CON000165,CUST-113,Life,2021-03-06,2024-03-05,815169,伊藤
CON000166,CUST-084,Annuity,2021-03-09,2024-03-08,471097,佐藤
CON000167,CUST-136,Medical,2020-04-30,2023-04-30,588905,佐藤
CON000168,CUST-087,Life,2022-09-08,2025-09-07,207914,高橋
CON000169,CUST-143,Medical,2019-10-09,2023-10-08,1708180,田中
CON000170,CUST-032,Annuity,2019-02-10,2024-02-09,1461023,鈴木
CON000171,CUST-098,Medical,2019-03-21,2024-03-19,1465234,田中
CON000172,CUST-144,Medical,2019-01-20,2024-01-19,514240,伊藤
CON000173,CUST-078,Annuity,2020-04-13,2024-04-12,343133,田中
CON000174,CUST-127,Life,2021-01-12,2024-01-12,542411,田中
CON000175,CUST-117,Medical,2020-09-18,2024-09-17,928972,伊藤
CON000176,CUST-107,Life,2022-04-19,2024-04-18,1341116,高橋
CON000177,CUST-009,Medical,2021-03-03,2024-03-02,979841,佐藤
CON000178,CUST-026,Medical,2021-02-08,2024-02-08,1940994,伊藤
CON000179,CUST-102,Medical,2024-05-04,2025-05-04,306187,佐藤
CON000180,CUST-055,Life,2024-08-10,2025-08-10,1700027,田中
CON000181,CUST-053,Life,2019-02-06,2024-02-05,484440,伊藤
CON000182,CUST-085,Property,2022-04-25,2024-04-24,55946,伊藤
CON000183,CUST-139,Medical,2021-11-18,2023-11-18,280532,佐藤
CON000184,CUST-004,Medical,2022-03-05,2024-03-04,1284914,佐藤
CON000185,CUST-014,Property,2021-02-06,2024-02-06,1153281,高橋
CON000186,CUST-115,Medical,2019-12-31,2023-12-30,1295007,伊藤
CON000187,CUST-012,Medical,2021-05-19,2023-05-19,1399183,高橋
CON000188,CUST-103,Annuity,2020-07-04,2024-07-03,1078168,田中
CON000189,CUST-021,Medical,2023-04-01,2024-03-31,361078,伊藤
CON000190,CUST-150,Medical,2018-09-14,2023-09-13,1302821,高橋
CON000191,CUST-111,Life,2019-02-16,2024-02-15,1838435,田中
CON000192,CUST-056,Annuity,2019-04-30,2024-04-28,1912461,高橋
CON000193,CUST-103,Annuity,2019-08-12,2023-08-11,705461,田中
CON000194,CUST-096,Property,2021-02-22,2024-02-22,190788,高橋
CON000195,CUST-111,Life,2022-12-19,2023-12-19,1752403,鈴木
CON000196,CUST-144,Medical,2019-01-02,2024-01-01,911528,田中
CON000197,CUST-014,Medical,2020-02-23,2024-02-22,705252,伊藤
CON000198,CUST-055,Property,2019-02-20,2024-02-19,520275,高橋
CON000199,CUST-095,Life,2020-04-26,2025-04-25,1253974,鈴木
CON000200,CUST-143,Life,2018-06-27,2023-06-26,1998430,伊藤
CON000201,CUST-008,Property,2021-04-17,2024-04-16,1523666,鈴木
CON000202,CUST-090,Life,2021-05-01,2024-04-30,1874234,佐藤
CON000203,CUST-018,Property,2019-03-02,2023-03-01,242429,田中
CON000204,CUST-108,Annuity,2020-03-17,2024-03-16,380111,鈴木
CON000205,CUST-146,Life,2021-02-24,2024-02-24,376274,田中
CON000206,CUST-021,Medical,2022-03-21,2023-03-21,1438186,高橋
CON000207,CUST-107,Medical,2020-02-21,2024-02-20,1633230,佐藤
CON000208,CUST-029,Medical,2020-02-13,2024-02-12,1070542,伊藤
CON000209,CUST-057,Annuity,2023-02-10,2024-02-10,164886,伊藤
CON000210,CUST-036,Medical,2021-08-30,2023-08-30,738122,鈴木
CON000211,CUST-045,Property,2019-05-23,2023-05-22,1166906,高橋
CON000212,CUST-091,Life,2019-04-06,2024-04-04,1857250,高橋
CON000213,CUST-118,Life,2023-03-31,2024-03-30,1257454,鈴木
CON000214,CUST-075,Life,2020-02-14,2024-02-13,93739,高橋
CON000215,CUST-118,Medical,2019-10-26,2024-10-24,965850,田中
CON000216,CUST-103,Life,2021-01-07,2025-01-06,1875622,高橋
CON000217,CUST-086,Property,2022-02-11,2024-02-11,1120561,田中
CON000218,CUST-050,Medical,2019-04-07,2024-04-05,1575424,鈴木
CON000219,CUST-027,Property,2022-10-01,2024-09-30,463708,鈴木
CON000220,CUST-046,Annuity,2022-11-14,2023-11-14,1632187,高橋
CON000221,CUST-145,Medical,2020-04-10,2024-04-09,366580,鈴木
CON000222,CUST-078,Medical,2020-02-17,2024-02-16,167801,伊藤
CON000223,CUST-119,Annuity,2021-02-03,2024-02-03,169307,田中
CON000224,CUST-024,Annuity,2023-02-10,2024-02-10,1267038,高橋
CON000225,CUST-116,Property,2023-04-23,2024-04-22,1318789,鈴木
CON000226,CUST-116,Life,2023-02-05,2024-02-05,1548028,鈴木
CON000227,CUST-011,Property,2021-03-07,2023-03-07,971534,高橋
CON000228,CUST-094,Medical,2022-02-20,2024-02-20,862471,鈴木
CON000229,CUST-014,Medical,2019-02-12,2024-02-11,741411,田中
CON000230,CUST-073,Medical,2019-02-19,2023-02-18,1881400,伊藤
CON000231,CUST-037,Medical,2018-12-22,2023-12-21,1425846,鈴木
CON000232,CUST-022,Medical,2022-03-29,2024-03-28,839953,伊藤
CON000233,CUST-135,Life,2022-03-25,2024-03-24,1116377,高橋
CON000234,CUST-047,Property,2021-02-12,2024-02-12,1656746,鈴木
CON000235,CUST-040,Life,2022-02-08,2024-02-08,1820894,鈴木
CON000236,CUST-135,Life,2019-04-06,2024-04-04,1887928,鈴木
CON000237,CUST-097,Property,2019-03-13,2024-03-11,429261,佐藤
CON000238,CUST-113,Life,2024-02-01,2026-01-31,813991,高橋
CON000239,CUST-073,Annuity,2020-03-19,2024-03-18,1169902,佐藤
CON000240,CUST-095,Annuity,2021-06-05,2023-06-05,1663629,高橋
CON000241,CUST-136,Annuity,2018-07-21,2023-07-20,1763145,佐藤
CON000242,CUST-065,Life,2021-03-28,2023-03-28,1883156,高橋
CON000243,CUST-133,Life,2023-03-02,2024-03-01,225898,鈴木
CON000244,CUST-132,Property,2020-03-21,2024-03-20,242337,高橋
CON000245,CUST-090,Life,2020-12-16,2024-12-15,161687,高橋
CON000246,CUST-099,Life,2022-02-12,2024-02-12,520891,鈴木
CON000247,CUST-038,Property,2020-12-12,2023-12-12,651629,田中
CON000248,CUST-121,Annuity,2023-08-29,2025-08-28,61012,伊藤
CON000249,CUST-056,Property,2021-05-22,2024-05-21,1575121,伊藤
CON000250,CUST-074,Property,2023-03-31,2024-03-30,305534,鈴木
CON000251,CUST-118,Life,2018-07-02,2023-07-01,1804661,田中
CON000252,CUST-005,Property,2021-01-04,2026-01-03,660841,佐藤
CON000253,CUST-062,Annuity,2021-02-20,2024-02-20,1443287,佐藤
CON000254,CUST-018,Life,2021-04-06,2024-04-05,1881508,高橋
CON000255,CUST-096,Medical,2020-02-22,2024-02-21,798880,田中
CON000256,CUST-027,Medical,2022-03-26,2024-03-25,142978,佐藤
CON000257,CUST-119,Annuity,2022-02-11,2024-02-11,1751833,佐藤
CON000258,CUST-076,Property,2022-06-11,2023-06-11,1709076,田中
CON000259,CUST-080,Annuity,2021-01-10,2024-01-10,1042791,伊藤
CON000260,CUST-074,Medical,2021-03-06,2023-03-06,1865710,田中
CON000261,CUST-095,Annuity,2023-03-21,2024-03-20,1608829,高橋
CON000262,CUST-087,Property,2020-03-03,2024-03-02,1501372,高橋
CON000263,CUST-069,Life,2019-03-03,2024-03-01,215521,高橋
CON000264,CUST-140,Medical,2022-02-27,2024-02-27,265163,鈴木
CON000265,CUST-079,Annuity,2020-02-28,2023-02-27,1555048,伊藤
CON000266,CUST-090,Annuity,2020-02-24,2024-02-23,1574240,田中
CON000267,CUST-112,Medical,2020-04-29,2025-04-28,207372,田中
CON000268,CUST-132,Property,2021-03-29,2024-03-28,349430,田中
CON000269,CUST-033,Life,2024-07-24,2025-07-24,1682665,佐藤
CON000270,CUST-146,Life,2020-03-27,2024-03-26,371783,伊藤
CON000271,CUST-114,Life,2021-03-27,2024-03-26,338767,伊藤
CON000272,CUST-072,Property,2021-02-13,2024-02-13,104344,田中
CON000273,CUST-100,Life,2019-04-05,2024-04-03,1675218,鈴木
CON000274,CUST-074,Annuity,2021-06-17,2023-06-17,307189,佐藤
CON000275,CUST-045,Annuity,2019-12-26,2023-12-25,1749769,田中
CON000276,CUST-089,Life,2021-04-27,2024-04-26,1187015,伊藤
CON000277,CUST-045,Medical,2021-08-31,2023-08-31,520268,伊藤
CON000278,CUST-061,Annuity,2021-10-21,2023-10-21,806854,田中
CON000279,CUST-142,Property,2020-03-27,2024-03-26,1904399,伊藤
CON000280,CUST-123,Annuity,2019-08-27,2023-08-26,1776667,高橋
CON000281,CUST-019,Annuity,2021-03-12,2024-03-11,1476291,高橋
CON000282,CUST-047,Property,2019-02-06,2024-02-05,1104581,高橋
CON000283,CUST-133,Property,2023-06-28,2024-06-27,395310,鈴木
CON000284,CUST-089,Medical,2021-02-02,2023-02-02,575557,田中
CON000285,CUST-033,Medical,2020-04-24,2023-04-24,1168784,伊藤
CON000286,CUST-149,Property,2021-03-09,2023-03-09,1431462,佐藤
CON000287,CUST-087,Life,2019-05-01,2024-04-29,220336,田中
CON000288,CUST-068,Property,2018-03-10,2023-03-09,923645,伊藤
CON000289,CUST-140,Medical,2020-03-05,2024-03-04,1062808,鈴木
CON000290,CUST-077,Annuity,2019-02-16,2023-02-15,1494127,田中
CON000291,CUST-124,Annuity,2019-06-21,2023-06-20,763435,佐藤
CON000292,CUST-089,Annuity,2021-03-24,2024-03-23,1645230,佐藤
CON000293,CUST-082,Property,2023-02-18,2024-02-18,306947,高橋
CON000294,CUST-025,Life,2021-09-27,2023-09-27,855620,鈴木
CON000295,CUST-041,Medical,2023-07-05,2025-07-04,1562315,伊藤
CON000296,CUST-128,Annuity,2022-02-25,2024-02-25,1893555,高橋
CON000297,CUST-101,Annuity,2023-02-01,2024-02-01,501190,佐藤
CON000298,CUST-073,Annuity,2023-03-07,2024-03-06,1900399,伊藤
CON000299,CUST-138,Life,2022-08-27,2025-08-26,953721,田中
CON000300,CUST-104,Medical,2020-09-18,2023-09-18,890080,田中
