証券番号,顧客ID,商品区分,開始日,満期日,年払保険料,担当営業
POL-2024000301,CUST-093,医療,2021/04/19,2023/04/19,860232,田中
POL-2024000302,CUST-072,生命,2019/02/26,2024/02/25,252755,佐藤
POL-2024000303,CUST-143,医療,2021/02/26,2024/02/26,467454,佐藤
POL-2024000304,CUST-011,生命,2019/03/30,2024/03/28,337386,田中
POL-2024000305,CUST-133,年金,2020/04/24,2024/04/23,1321420,佐藤
POL-2024000306,CUST-082,損害,2021/09/23,2024/09/22,1342895,高橋
POL-2024000307,CUST-087,年金,2019/03/24,2024/03/22,678706,伊藤
POL-2024000308,CUST-085,生命,2021/02/01,2024/02/01,1274112,高橋
POL-2024000309,CUST-122,医療,2023/03/01,2024/02/29,1261387,伊藤
POL-2024000310,CUST-123,損害,2019/01/06,2024/01/05,1369161,伊藤
POL-2024000311,CUST-038,損害,2020/04/22,2024/04/21,1250766,田中
POL-2024000312,CUST-005,年金,2022/08/23,2024/08/22,928245,鈴木
POL-2024000313,CUST-106,年金,2021/02/12,2023/02/12,1530117,田中
POL-2024000314,CUST-084,年金,2018/10/18,2023/10/17,840258,伊藤
POL-2024000315,CUST-137,医療,2020/02/07,2024/02/06,792993,伊藤
POL-2024000316,CUST-124,損害,2021/04/28,2024/04/27,635118,佐藤
POL-2024000317,CUST-074,損害,2021/03/18,2024/03/17,714882,高橋
POL-2024000318,CUST-074,生命,2021/02/18,2024/02/18,1468979,伊藤
POL-2024000319,CUST-089,損害,2020/03/01,2024/02/29,138219,鈴木
POL-2024000320,CUST-114,医療,2020/12/22,2023/12/22,498762,高橋
POL-2024000321,CUST-144,医療,2020/05/01,2023/05/01,279064,佐藤
POL-2024000322,CUST-063,生命,2022/04/10,2024/04/09,523267,伊藤
POL-2024000323,CUST-106,医療,2023/03/07,2024/03/06,260857,高橋
POL-2024000324,CUST-141,損害,2023/03/12,2024/03/11,1419215,高橋
POL-2024000325,CUST-052,医療,2021/09/02,2025/09/01,648559,鈴木
POL-2024000326,CUST-147,損害,2023/05/01,2024/04/30,1599137,伊藤
POL-2024000327,CUST-045,年金,2023/05/02,2024/05/01,1978613,佐藤
POL-2024000328,CUST-048,医療,2019/07/13,2023/07/12,69434,田中
POL-2024000329,CUST-086,医療,2022/03/29,2023/03/29,1394929,高橋
POL-2024000330,CUST-130,年金,2022/02/16,2024/02/16,454354,鈴木
POL-2024000331,CUST-118,医療,2023/04/06,2025/04/05,79536,佐藤
POL-2024000332,CUST-146,損害,2021/04/23,2024/04/22,1331264,佐藤
POL-2024000333,CUST-132,医療,2021/06/22,2025/06/21,890608,田中
POL-2024000334,CUST-123,医療,2022/03/15,2024/03/14,64323,佐藤
POL-2024000335,CUST-069,医療,2019/10/04,2023/10/03,1271508,鈴木
POL-2024000336,CUST-093,損害,2021/03/04,2024/03/03,1450448,田中
POL-2024000337,CUST-104,医療,2021/08/27,2023/08/27,1389474,田中
POL-2024000338,CUST-057,損害,2022/03/01,2025/02/28,1052820,佐藤
POL-2024000339,CUST-107,年金,2020/03/27,2023/03/27,1731905,伊藤
POL-2024000340,CUST-021,年金,2022/03/17,2024/03/16,1525904,伊藤
POL-2024000341,CUST-029,生命,2019/03/03,2024/03/01,1943493,伊藤
POL-2024000342,CUST-039,損害,2019/02/20,2024/02/19,1841987,鈴木
POL-2024000343,CUST-150,年金,2022/02/04,2024/02/04,1935107,田中
POL-2024000344,CUST-117,損害,2023/02/26,2024/02/26,921208,伊藤
POL-2024000345,CUST-119,医療,2019/02/03,2024/02/02,880364,田中
POL-2024000346,CUST-149,生命,2022/01/30,2024/01/30,938557,田中
POL-2024000347,CUST-016,生命,2019/02/04,2024/02/03,116552,高橋
POL-2024000348,CUST-108,医療,2021/10/31,2023/10/31,990650,高橋
POL-2024000349,CUST-021,損害,2021/05/24,2025/05/23,298791,鈴木
POL-2024000350,CUST-136,損害,2019/05/02,2023/05/01,1800747,佐藤
POL-2024000351,CUST-119,年金,2021/01/20,2024/01/20,845400,伊藤
POL-2024000352,CUST-089,損害,2021/01/11,2025/01/10,445272,鈴木
POL-2024000353,CUST-108,生命,2023/08/26,2024/08/25,482184,佐藤
POL-2024000354,CUST-115,生命,2022/04/02,2023/04/02,1603027,佐藤
POL-2024000355,CUST-139,損害,2021/06/21,2023/06/21,343885,田中
POL-2024000356,CUST-148,医療,2022/02/10,2024/02/10,1303924,伊藤
POL-2024000357,CUST-061,医療,2021/04/25,2024/04/24,1434565,佐藤
POL-2024000358,CUST-071,生命,2021/02/14,2024/02/14,1290815,伊藤
POL-2024000359,CUST-143,年金,2020/10/29,2024/10/28,772290,田中
POL-2024000360,CUST-082,年金,2020/05/28,2025/05/27,362932,高橋
POL-2024000361,CUST-122,損害,2018/10/30,2023/10/29,680689,佐藤
POL-2024000362,CUST-015,年金,2020/09/27,2024/09/26,1218715,高橋
POL-2024000363,CUST-066,損害,2022/02/13,2024/02/13,1406240,鈴木
