contract_no,customer_code,insurance_type,start_date,end_date,annual_premium,agent_name,days_to_expiry,renewal_status,contract_years,source_file
CN-2024000001,CUST-063,損害保険,2021-03-05,2024-03-04,1594492.0,佐藤,32,警告,3.0,01_契約データ_A_202401.csv
CN-2024000002,CUST-109,生命保険,2022-04-27,2023-04-27,246493.0,田中,-280,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000003,CUST-007,損害保険,2018-05-19,2023-05-18,929796.0,伊藤,-259,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000004,CUST-002,損害保険,2020-04-05,2023-04-05,763557.0,高橋,-302,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000005,CUST-027,生命保険,2020-10-13,2023-10-13,252828.0,高橋,-111,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000006,CUST-068,生命保険,2019-02-13,2024-02-12,1174551.0,高橋,11,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000007,CUST-142,医療保険,2022-07-22,2023-07-22,1906926.0,伊藤,-194,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000008,CUST-018,生命保険,2023-12-15,2025-12-14,1671241.0,佐藤,682,正常,2.0,01_契約データ_A_202401.csv
CN-2024000009,CUST-026,年金保険,2021-12-22,2023-12-22,1000870.0,鈴木,-41,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000010,CUST-095,医療保険,2022-03-27,2024-03-26,1455459.0,佐藤,54,警告,2.0,01_契約データ_A_202401.csv
CN-2024000011,CUST-044,損害保険,2022-02-16,2023-02-16,1019429.0,佐藤,-350,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000012,CUST-057,医療保険,2019-03-03,2024-03-01,530348.0,田中,29,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000013,CUST-069,生命保険,2021-03-22,2025-03-21,1964985.0,佐藤,414,正常,4.0,01_契約データ_A_202401.csv
CN-2024000014,CUST-128,年金保険,2023-03-21,2025-03-20,349623.0,高橋,413,正常,2.0,01_契約データ_A_202401.csv
CN-2024000015,CUST-138,医療保険,2018-09-28,2023-09-27,948490.0,伊藤,-127,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000016,CUST-057,損害保険,2022-06-15,2025-06-14,1084977.0,伊藤,499,正常,3.0,01_契約データ_A_202401.csv
CN-2024000017,CUST-040,損害保険,2023-01-07,2024-01-07,1300760.0,高橋,-25,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000018,CUST-120,医療保険,2018-07-21,2023-07-20,1855185.0,伊藤,-196,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000019,CUST-069,医療保険,2019-08-29,2024-08-27,665514.0,田中,208,正常,5.0,01_契約データ_A_202401.csv
CN-2024000020,CUST-068,損害保険,2023-02-15,2024-02-15,1963919.0,伊藤,14,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000021,CUST-130,損害保険,2020-03-17,2023-03-17,834154.0,佐藤,-321,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000022,CUST-001,医療保険,2019-04-08,2024-04-06,90845.0,高橋,65,警告,5.0,01_契約データ_A_202401.csv
CN-2024000023,CUST-062,生命保険,2020-07-30,2023-07-30,1891319.0,佐藤,-186,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000024,CUST-125,生命保険,2023-03-09,2024-03-08,1656071.0,伊藤,36,警告,1.0,01_契約データ_A_202401.csv
CN-2024000025,CUST-141,損害保険,2019-03-01,2023-02-28,1156612.0,鈴木,-338,期限切れ,4.0,01_契約データ_A_202401.csv
CN-2024000026,CUST-139,損害保険,2023-07-10,2025-07-09,886747.0,鈴木,524,正常,2.0,01_契約データ_A_202401.csv
CN-2024000027,CUST-133,年金保険,2021-05-20,2025-05-19,569895.0,田中,473,正常,4.0,01_契約データ_A_202401.csv
CN-2024000028,CUST-142,損害保険,2022-08-11,2023-08-11,511829.0,伊藤,-174,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000029,CUST-059,生命保険,2022-02-03,2023-02-03,1852786.0,田中,-363,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000030,CUST-072,年金保険,2022-02-17,2024-02-17,1180855.0,佐藤,16,緊急,2.0,01_契約データ_A_202401.csv
CN-2024000031,CUST-122,損害保険,2018-04-15,2023-04-14,1743443.0,高橋,-293,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000032,CUST-111,医療保険,2023-02-04,2024-02-04,912143.0,高橋,3,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000033,CUST-026,生命保険,2023-02-24,2024-02-24,1577174.0,高橋,23,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000034,CUST-064,損害保険,2023-02-28,2024-02-28,1174672.0,佐藤,27,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000035,CUST-072,年金保険,2022-02-14,2024-02-14,1883929.0,佐藤,13,緊急,2.0,01_契約データ_A_202401.csv
CN-2024000036,CUST-026,生命保険,2020-07-30,2025-07-29,1803276.0,伊藤,544,正常,5.0,01_契約データ_A_202401.csv
CN-2024000037,CUST-043,年金保険,2021-12-15,2023-12-15,1059481.0,高橋,-48,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000038,CUST-043,年金保険,2022-07-10,2023-07-10,868773.0,田中,-206,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000039,CUST-109,年金保険,2020-06-13,2023-06-13,448244.0,佐藤,-233,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000040,CUST-139,生命保険,2019-01-03,2024-01-02,169884.0,鈴木,-30,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000041,CUST-136,損害保険,2018-06-02,2023-06-01,1114993.0,田中,-245,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000042,CUST-018,損害保険,2022-10-28,2023-10-28,301420.0,高橋,-96,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000043,CUST-149,生命保険,2023-12-07,2025-12-06,221931.0,伊藤,674,正常,2.0,01_契約データ_A_202401.csv
CN-2024000044,CUST-134,医療保険,2019-02-20,2024-02-19,478362.0,鈴木,18,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000045,CUST-068,年金保険,2022-03-24,2024-03-23,1458636.0,佐藤,51,警告,2.0,01_契約データ_A_202401.csv
CN-2024000046,CUST-019,生命保険,2021-04-02,2024-04-01,1352665.0,高橋,60,警告,3.0,01_契約データ_A_202401.csv
CN-2024000047,CUST-138,損害保険,2023-08-13,2024-08-12,606165.0,伊藤,193,正常,1.0,01_契約データ_A_202401.csv
CN-2024000048,CUST-063,医療保険,2022-08-06,2023-08-06,380819.0,鈴木,-179,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000049,CUST-136,生命保険,2021-02-18,2024-02-18,677842.0,伊藤,17,緊急,3.0,01_契約データ_A_202401.csv
CN-2024000050,CUST-068,生命保険,2022-08-17,2024-08-16,1606960.0,田中,197,正常,2.0,01_契約データ_A_202401.csv
CN-2024000051,CUST-054,医療保険,2021-03-21,2024-03-20,1491785.0,佐藤,48,警告,3.0,01_契約データ_A_202401.csv
CN-2024000052,CUST-126,医療保険,2019-03-21,2024-03-19,243563.0,田中,47,警告,5.0,01_契約データ_A_202401.csv
CN-2024000053,CUST-012,生命保険,2021-04-26,2024-04-25,1667154.0,鈴木,84,警告,3.0,01_契約データ_A_202401.csv
CN-2024000054,CUST-114,年金保険,2021-09-19,2023-09-19,70278.0,伊藤,-135,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000055,CUST-140,生命保険,2021-02-12,2023-02-12,1271611.0,鈴木,-354,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000056,CUST-011,医療保険,2022-03-31,2024-03-30,1935300.0,鈴木,58,警告,2.0,01_契約データ_A_202401.csv
CN-2024000057,CUST-054,損害保険,2021-06-12,2024-06-11,791717.0,田中,131,正常,3.0,01_契約データ_A_202401.csv
CN-2024000058,CUST-040,損害保険,2020-04-29,2024-04-28,1727484.0,佐藤,87,警告,4.0,01_契約データ_A_202401.csv
CN-2024000059,CUST-046,医療保険,2024-06-28,2025-06-28,1732409.0,高橋,513,正常,1.0,01_契約データ_A_202401.csv
CN-2024000060,CUST-069,損害保険,2022-04-20,2024-04-19,852248.0,田中,78,警告,2.0,01_契約データ_A_202401.csv
CN-2024000061,CUST-052,年金保険,2023-08-27,2025-08-26,690031.0,鈴木,572,正常,2.0,01_契約データ_A_202401.csv
CN-2024000062,CUST-007,損害保険,2022-12-22,2024-12-21,738415.0,高橋,324,正常,2.0,01_契約データ_A_202401.csv
CN-2024000063,CUST-090,年金保険,2020-12-27,2023-12-27,744471.0,伊藤,-36,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000064,CUST-046,医療保険,2021-08-29,2024-08-28,277336.0,田中,209,正常,3.0,01_契約データ_A_202401.csv
CN-2024000065,CUST-112,生命保険,2021-03-26,2024-03-25,1936398.0,高橋,53,警告,3.0,01_契約データ_A_202401.csv
CN-2024000066,CUST-112,生命保険,2023-03-20,2024-03-19,1991071.0,伊藤,47,警告,1.0,01_契約データ_A_202401.csv
CN-2024000067,CUST-111,生命保険,2021-11-20,2024-11-19,1356851.0,鈴木,292,正常,3.0,01_契約データ_A_202401.csv
CN-2024000068,CUST-077,医療保険,2023-02-28,2024-02-28,734055.0,高橋,27,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000069,CUST-033,損害保険,2019-02-11,2024-02-10,1444458.0,高橋,9,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000070,CUST-146,医療保険,2019-10-29,2024-10-27,1199107.0,高橋,269,正常,5.0,01_契約データ_A_202401.csv
CN-2024000071,CUST-054,年金保険,2022-03-10,2025-03-09,1322261.0,伊藤,402,正常,3.0,01_契約データ_A_202401.csv
CN-2024000072,CUST-114,損害保険,2020-04-02,2024-04-01,1042343.0,伊藤,60,警告,4.0,01_契約データ_A_202401.csv
CN-2024000073,CUST-022,医療保険,2022-04-23,2024-04-22,1442202.0,伊藤,81,警告,2.0,01_契約データ_A_202401.csv
CN-2024000074,CUST-061,医療保険,2023-03-25,2024-03-24,1741484.0,佐藤,52,警告,1.0,01_契約データ_A_202401.csv
CN-2024000075,CUST-063,年金保険,2023-01-19,2024-01-19,1832029.0,伊藤,-13,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000076,CUST-148,損害保険,2020-04-02,2024-04-01,1086784.0,高橋,60,警告,4.0,01_契約データ_A_202401.csv
CN-2024000077,CUST-028,年金保険,2023-02-05,2024-02-05,418861.0,佐藤,4,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000078,CUST-013,損害保険,2021-10-15,2025-10-14,1007269.0,田中,621,正常,4.0,01_契約データ_A_202401.csv
CN-2024000079,CUST-144,医療保険,2018-06-09,2023-06-08,1334825.0,高橋,-238,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000080,CUST-141,年金保険,2021-10-01,2025-09-30,1609558.0,佐藤,607,正常,4.0,01_契約データ_A_202401.csv
CN-2024000081,CUST-064,医療保険,2022-08-06,2025-08-05,1066273.0,伊藤,551,正常,3.0,01_契約データ_A_202401.csv
CN-2024000082,CUST-020,医療保険,2020-03-21,2024-03-20,619827.0,佐藤,48,警告,4.0,01_契約データ_A_202401.csv
CN-2024000083,CUST-021,損害保険,2019-03-02,2024-02-29,534990.0,佐藤,28,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000084,CUST-017,年金保険,2022-02-05,2024-02-05,743908.0,高橋,4,緊急,2.0,01_契約データ_A_202401.csv
CN-2024000085,CUST-053,年金保険,2023-02-14,2024-02-14,1947583.0,高橋,13,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000086,CUST-148,年金保険,2023-04-17,2024-04-16,62364.0,高橋,75,警告,1.0,01_契約データ_A_202401.csv
CN-2024000087,CUST-108,損害保険,2021-03-04,2025-03-03,510160.0,高橋,396,正常,4.0,01_契約データ_A_202401.csv
CN-2024000088,CUST-100,医療保険,2022-05-28,2023-05-28,1568718.0,高橋,-249,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000089,CUST-137,生命保険,2021-06-06,2023-06-06,1291289.0,高橋,-240,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000090,CUST-110,損害保険,2023-03-05,2024-03-04,431113.0,高橋,32,警告,1.0,01_契約データ_A_202401.csv
CN-2024000091,CUST-055,年金保険,2020-07-21,2023-07-21,757789.0,鈴木,-195,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000092,CUST-108,医療保険,2021-03-28,2024-03-27,1036304.0,田中,55,警告,3.0,01_契約データ_A_202401.csv
CN-2024000093,CUST-090,損害保険,2022-04-30,2023-04-30,1688364.0,田中,-277,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000094,CUST-064,損害保険,2023-06-13,2024-06-12,1353035.0,田中,132,正常,1.0,01_契約データ_A_202401.csv
CN-2024000095,CUST-030,損害保険,2019-11-29,2023-11-28,1516884.0,高橋,-65,期限切れ,4.0,01_契約データ_A_202401.csv
CN-2024000096,CUST-030,損害保険,2021-07-27,2023-07-27,276699.0,鈴木,-189,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000097,CUST-148,年金保険,2021-05-02,2024-05-01,1549494.0,高橋,90,警告,3.0,01_契約データ_A_202401.csv
CN-2024000098,CUST-027,医療保険,2021-04-03,2023-04-03,1739314.0,伊藤,-304,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000099,CUST-089,年金保険,2022-04-17,2023-04-17,194612.0,鈴木,-290,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000100,CUST-108,年金保険,2023-02-11,2024-02-11,959164.0,田中,10,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000101,CUST-112,損害保険,2023-08-16,2025-08-15,1414108.0,伊藤,561,正常,2.0,01_契約データ_A_202401.csv
CN-2024000102,CUST-120,年金保険,2019-05-02,2023-05-01,612866.0,伊藤,-276,期限切れ,4.0,01_契約データ_A_202401.csv
CN-2024000103,CUST-072,年金保険,2023-02-08,2024-02-08,1623862.0,佐藤,7,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000104,CUST-087,生命保険,2020-02-21,2024-02-20,1834577.0,高橋,19,緊急,4.0,01_契約データ_A_202401.csv
CN-2024000105,CUST-091,医療保険,2022-02-16,2024-02-16,636486.0,鈴木,15,緊急,2.0,01_契約データ_A_202401.csv
CN-2024000106,CUST-003,損害保険,2020-02-10,2025-02-08,556160.0,田中,373,正常,5.0,01_契約データ_A_202401.csv
CN-2024000107,CUST-062,年金保険,2019-04-05,2024-04-03,989890.0,高橋,62,警告,5.0,01_契約データ_A_202401.csv
CN-2024000108,CUST-057,年金保険,2021-03-09,2024-03-08,692160.0,佐藤,36,警告,3.0,01_契約データ_A_202401.csv
CN-2024000109,CUST-142,医療保険,2020-03-27,2024-03-26,1614339.0,高橋,54,警告,4.0,01_契約データ_A_202401.csv
CN-2024000110,CUST-070,医療保険,2020-03-26,2024-03-25,533473.0,鈴木,53,警告,4.0,01_契約データ_A_202401.csv
CN-2024000111,CUST-031,損害保険,2020-10-25,2023-10-25,503791.0,佐藤,-99,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000112,CUST-135,医療保険,2019-03-22,2024-03-20,1796148.0,田中,48,警告,5.0,01_契約データ_A_202401.csv
CN-2024000113,CUST-046,医療保険,2020-10-07,2023-10-07,1534822.0,田中,-117,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000114,CUST-014,医療保険,2023-02-09,2024-02-09,1387709.0,佐藤,8,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000115,CUST-004,医療保険,2024-09-16,2025-09-16,1053936.0,高橋,593,正常,1.0,01_契約データ_A_202401.csv
CN-2024000116,CUST-065,年金保険,2023-02-06,2024-02-06,1774101.0,田中,5,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000117,CUST-148,生命保険,2022-05-25,2023-05-25,362890.0,佐藤,-252,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000118,CUST-064,生命保険,2024-03-09,2025-03-09,1653154.0,伊藤,402,正常,1.0,01_契約データ_A_202401.csv
CN-2024000119,CUST-058,年金保険,2019-02-21,2024-02-20,1955271.0,高橋,19,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000120,CUST-110,医療保険,2019-03-01,2024-02-28,1352388.0,伊藤,27,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000121,CUST-055,医療保険,2021-12-12,2023-12-12,379372.0,田中,-51,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000122,CUST-041,生命保険,2022-04-24,2023-04-24,994774.0,高橋,-283,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000123,CUST-009,損害保険,2021-04-03,2024-04-02,1532593.0,鈴木,61,警告,3.0,01_契約データ_A_202401.csv
CN-2024000124,CUST-060,医療保険,2022-06-13,2023-06-13,1436601.0,伊藤,-233,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000125,CUST-030,損害保険,2020-11-21,2024-11-20,1955076.0,佐藤,293,正常,4.0,01_契約データ_A_202401.csv
CN-2024000126,CUST-016,損害保険,2022-11-20,2023-11-20,1297897.0,鈴木,-73,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000127,CUST-113,生命保険,2021-04-09,2024-04-08,1494262.0,高橋,67,警告,3.0,01_契約データ_A_202401.csv
CN-2024000128,CUST-129,年金保険,2021-02-13,2024-02-13,218698.0,高橋,12,緊急,3.0,01_契約データ_A_202401.csv
CN-2024000129,CUST-083,医療保険,2020-04-29,2024-04-28,241526.0,田中,87,警告,4.0,01_契約データ_A_202401.csv
CN-2024000130,CUST-006,医療保険,2018-02-21,2023-02-20,134371.0,伊藤,-346,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000131,CUST-133,年金保険,2020-03-15,2024-03-14,430610.0,鈴木,42,警告,4.0,01_契約データ_A_202401.csv
CN-2024000132,CUST-024,年金保険,2021-07-23,2025-07-22,906368.0,鈴木,537,正常,4.0,01_契約データ_A_202401.csv
CN-2024000133,CUST-042,医療保険,2023-02-22,2024-02-22,1504739.0,高橋,21,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000134,CUST-141,生命保険,2020-02-23,2024-02-22,234674.0,高橋,21,緊急,4.0,01_契約データ_A_202401.csv
CN-2024000135,CUST-104,生命保険,2023-02-11,2024-02-11,1018834.0,伊藤,10,緊急,1.0,01_契約データ_A_202401.csv
CN-2024000136,CUST-093,年金保険,2019-02-08,2024-02-07,1643815.0,高橋,6,緊急,5.0,01_契約データ_A_202401.csv
