問い合わせ日,問い合わせID,問い合わせ区分,チャネル,担当者ID,対応時間(分),解決フラグ,再問い合わせフラグ,満足度
2024/01/04,INQ-0001,契約内容確認,窓口,OP-05,36,1,0,5
2024/01/03,INQ-0002,変更手続き,メール,OP-01,8,1,0,5
2024/01/01,INQ-0003,変更手続き,電話,OP-07,33,1,0,1
2024/01/06,INQ-0004,新規加入,メール,OP-05,24,1,0,1
2024/01/03,INQ-0005,新規加入,電話,OP-06,113,1,0,1
2024/01/15,INQ-0006,変更手続き,電話,OP-07,15,1,0,5
2024/01/12,INQ-0007,変更手続き,電話,OP-02,10,1,0,1
2024/01/08,INQ-0008,契約内容確認,メール,OP-05,63,1,0,3
2024/01/12,INQ-0009,保険金請求,窓口,OP-05,94,0,0,5
2024/01/06,INQ-0010,変更手続き,窓口,OP-04,25,1,0,5
2024/01/08,INQ-0011,解約手続き,電話,OP-04,110,1,0,3
2024/01/03,INQ-0012,保険金請求,窓口,OP-06,32,1,0,4
2024/01/05,INQ-0013,解約手続き,電話,OP-04,100,1,0,5
2024/01/14,INQ-0014,変更手続き,メール,OP-06,33,0,1,4
2024/01/03,INQ-0015,契約内容確認,電話,OP-03,85,1,0,5
2024/01/03,INQ-0016,新規加入,メール,OP-08,72,1,0,1
2024/01/04,INQ-0017,変更手続き,メール,OP-06,19,1,0,1
2024/01/09,INQ-0018,変更手続き,電話,OP-02,116,1,0,5
2024/01/20,INQ-0019,保険金請求,電話,OP-06,102,1,0,5
2024/01/01,INQ-0020,変更手続き,メール,OP-08,7,1,0,3
2024/01/08,INQ-0021,契約内容確認,電話,OP-02,15,1,0,5
2024/01/05,INQ-0022,保険金請求,窓口,OP-08,75,1,0,5
2024/01/14,INQ-0023,保険金請求,窓口,OP-04,96,1,0,3
2024/01/15,INQ-0024,変更手続き,メール,OP-02,36,1,0,5
2024/01/18,INQ-0025,保険金請求,窓口,OP-04,5,1,0,2
2024/01/03,INQ-0026,契約内容確認,メール,OP-02,70,1,0,2
2024/01/18,INQ-0027,保険金請求,窓口,OP-08,36,1,0,2
2024/01/04,INQ-0028,契約内容確認,窓口,OP-07,50,1,0,1
2024/01/04,INQ-0029,契約内容確認,メール,OP-06,107,0,0,2
2024/01/18,INQ-0030,新規加入,電話,OP-07,28,1,0,1
2024/01/15,INQ-0031,変更手続き,電話,OP-01,88,0,0,1
2024/01/08,INQ-0032,保険金請求,メール,OP-08,66,1,0,1
2024/01/06,INQ-0033,新規加入,電話,OP-07,38,0,0,3
2024/01/14,INQ-0034,変更手続き,窓口,OP-08,24,1,0,1
2024/01/19,INQ-0035,変更手続き,電話,OP-06,12,1,0,5
2024/01/06,INQ-0036,契約内容確認,窓口,OP-02,113,1,0,2
2024/01/13,INQ-0037,契約内容確認,窓口,OP-04,79,1,0,4
2024/01/19,INQ-0038,変更手続き,窓口,OP-06,38,1,0,2
2024/01/09,INQ-0039,新規加入,電話,OP-05,63,1,0,1
2024/01/01,INQ-0040,新規加入,窓口,OP-02,14,1,0,2
2024/01/12,INQ-0041,契約内容確認,電話,OP-06,41,1,0,3
2024/01/20,INQ-0042,変更手続き,電話,OP-05,89,1,0,3
2024/01/04,INQ-0043,契約内容確認,窓口,OP-03,39,1,0,3
2024/01/07,INQ-0044,解約手続き,窓口,OP-08,37,0,0,1
2024/01/14,INQ-0045,解約手続き,電話,OP-01,47,1,0,3
2024/01/06,INQ-0046,新規加入,窓口,OP-07,76,1,1,2
2024/01/18,INQ-0047,契約内容確認,メール,OP-03,60,1,0,1
2024/01/12,INQ-0048,保険金請求,窓口,OP-04,90,1,0,4
2024/01/20,INQ-0049,保険金請求,電話,OP-03,107,1,0,1
2024/01/06,INQ-0050,解約手続き,メール,OP-04,39,1,0,4
2024/01/02,INQ-0051,新規加入,電話,OP-04,109,0,0,2
2024/01/08,INQ-0052,契約内容確認,窓口,OP-04,56,1,0,3
2024/01/12,INQ-0053,変更手続き,メール,OP-06,8,1,0,2
2024/01/19,INQ-0054,解約手続き,電話,OP-02,81,1,0,3
2024/01/14,INQ-0055,変更手続き,窓口,OP-02,54,0,0,1
2024/01/14,INQ-0056,契約内容確認,窓口,OP-04,51,1,0,3
2024/01/20,INQ-0057,解約手続き,窓口,OP-02,97,0,0,4
2024/01/11,INQ-0058,新規加入,窓口,OP-05,75,1,0,4
2024/01/06,INQ-0059,変更手続き,窓口,OP-05,56,1,1,3
2024/01/07,INQ-0060,新規加入,窓口,OP-06,64,1,0,5
2024/01/16,INQ-0061,保険金請求,窓口,OP-02,41,1,0,3
2024/01/03,INQ-0062,保険金請求,窓口,OP-05,33,1,1,1
2024/01/08,INQ-0063,新規加入,窓口,OP-02,63,1,0,2
2024/01/13,INQ-0064,新規加入,メール,OP-04,23,1,1,1
