InquiryDate,InquiryID,InquiryType,Channel,OperatorID,HandlingMinutes,IsResolved,RecontactFlag,Satisfaction
2024-01-07,INQ-0161,NewEnrollment,Email,OP-04,57,1,0,4
2024-01-04,INQ-0162,Cancellation,Email,OP-06,90,1,0,4
2024-01-03,INQ-0163,ContractConfirm,Phone,OP-02,60,1,0,2
2024-01-18,INQ-0164,ContractConfirm,Counter,OP-06,90,1,0,4
2024-01-02,INQ-0165,Cancellation,Counter,OP-05,50,1,0,2
2024-01-16,INQ-0166,ClaimRequest,Phone,OP-06,113,1,1,3
2024-01-19,INQ-0167,ClaimRequest,Email,OP-01,82,0,0,3
2024-01-01,INQ-0168,ClaimRequest,Email,OP-05,48,1,0,2
2024-01-19,INQ-0169,NewEnrollment,Phone,OP-03,99,1,1,5
2024-01-07,INQ-0170,NewEnrollment,Email,OP-08,48,1,0,3
2024-01-19,INQ-0171,ChangeRequest,Phone,OP-01,24,1,0,1
2024-01-09,INQ-0172,NewEnrollment,Counter,OP-07,67,1,0,2
2024-01-17,INQ-0173,ContractConfirm,Email,OP-07,19,1,0,4
2024-01-17,INQ-0174,Cancellation,Phone,OP-04,55,0,1,2
2024-01-10,INQ-0175,ClaimRequest,Phone,OP-05,42,1,1,4
2024-01-06,INQ-0176,ClaimRequest,Email,OP-04,69,1,0,3
2024-01-03,INQ-0177,NewEnrollment,Counter,OP-01,60,1,0,3
2024-01-19,INQ-0178,NewEnrollment,Counter,OP-07,95,1,0,4
2024-01-01,INQ-0179,Cancellation,Phone,OP-08,111,1,0,4
2024-01-04,INQ-0180,ClaimRequest,Email,OP-07,72,1,0,3
2024-01-08,INQ-0181,Cancellation,Phone,OP-02,70,1,0,2
2024-01-12,INQ-0182,Cancellation,Counter,OP-03,35,1,0,2
2024-01-20,INQ-0183,ClaimRequest,Counter,OP-02,27,0,0,4
2024-01-19,INQ-0184,ChangeRequest,Email,OP-06,115,0,0,4
2024-01-03,INQ-0185,NewEnrollment,Email,OP-05,106,1,1,5
2024-01-03,INQ-0186,Cancellation,Email,OP-08,9,1,0,1
2024-01-03,INQ-0187,ChangeRequest,Counter,OP-07,64,1,0,1
2024-01-15,INQ-0188,ChangeRequest,Counter,OP-04,46,1,0,1
2024-01-15,INQ-0189,ContractConfirm,Email,OP-02,69,1,1,4
2024-01-15,INQ-0190,ChangeRequest,Counter,OP-03,51,1,0,4
2024-01-11,INQ-0191,ChangeRequest,Phone,OP-06,13,1,0,4
2024-01-10,INQ-0192,Cancellation,Counter,OP-03,47,1,0,3
2024-01-10,INQ-0193,NewEnrollment,Phone,OP-02,44,1,0,3
2024-01-05,INQ-0194,ChangeRequest,Phone,OP-07,70,1,0,2
2024-01-07,INQ-0195,Cancellation,Email,OP-04,33,0,0,3
2024-01-04,INQ-0196,ChangeRequest,Counter,OP-01,89,1,0,2
2024-01-20,INQ-0197,NewEnrollment,Phone,OP-03,28,1,0,2
2024-01-15,INQ-0198,ContractConfirm,Email,OP-06,91,1,0,5
2024-01-10,INQ-0199,NewEnrollment,Phone,OP-04,44,0,0,2
2024-01-12,INQ-0200,ChangeRequest,Email,OP-08,103,1,0,5
2024-01-14,INQ-0201,ClaimRequest,Phone,OP-03,116,1,0,3
2024-01-18,INQ-0202,ContractConfirm,Counter,OP-02,41,1,0,4
2024-01-17,INQ-0203,ClaimRequest,Email,OP-02,33,1,0,1
2024-01-14,INQ-0204,ContractConfirm,Email,OP-06,35,1,1,2
2024-01-01,INQ-0205,Cancellation,Phone,OP-06,106,1,1,4
2024-01-05,INQ-0206,NewEnrollment,Email,OP-01,120,1,0,2
2024-01-18,INQ-0207,ChangeRequest,Counter,OP-07,19,1,0,1
2024-01-02,INQ-0208,ClaimRequest,Email,OP-08,13,1,0,5
2024-01-18,INQ-0209,ContractConfirm,Counter,OP-04,96,1,0,5
2024-01-12,INQ-0210,ClaimRequest,Counter,OP-07,28,1,1,3
2024-01-03,INQ-0211,ChangeRequest,Counter,OP-01,54,0,1,4
2024-01-12,INQ-0212,Cancellation,Counter,OP-01,50,1,0,1
2024-01-19,INQ-0213,Cancellation,Phone,OP-01,50,1,0,2
2024-01-15,INQ-0214,NewEnrollment,Counter,OP-03,108,1,0,4
2024-01-02,INQ-0215,Cancellation,Phone,OP-01,106,1,1,3
2024-01-17,INQ-0216,NewEnrollment,Counter,OP-08,37,1,0,3
2024-01-12,INQ-0217,ContractConfirm,Counter,OP-06,39,1,0,4
2024-01-15,INQ-0218,NewEnrollment,Email,OP-03,68,1,0,5
2024-01-09,INQ-0219,ContractConfirm,Counter,OP-07,15,1,0,2
2024-01-18,INQ-0220,Cancellation,Email,OP-02,15,1,0,4
2024-01-20,INQ-0221,NewEnrollment,Phone,OP-08,49,1,0,3
2024-01-20,INQ-0222,NewEnrollment,Email,OP-01,14,1,0,5
2024-01-06,INQ-0223,ContractConfirm,Phone,OP-08,9,1,0,3
2024-01-12,INQ-0224,NewEnrollment,Counter,OP-01,82,1,0,3
2024-01-12,INQ-0225,NewEnrollment,Phone,OP-03,72,1,0,3
2024-01-08,INQ-0226,ContractConfirm,Phone,OP-03,68,1,0,1
2024-01-09,INQ-0227,Cancellation,Counter,OP-08,32,0,0,4
2024-01-07,INQ-0228,ContractConfirm,Phone,OP-02,62,1,0,1
2024-01-11,INQ-0229,Cancellation,Counter,OP-02,75,1,0,2
2024-01-06,INQ-0230,Cancellation,Counter,OP-04,20,0,0,2
2024-01-16,INQ-0231,ContractConfirm,Email,OP-06,64,1,0,5
2024-01-03,INQ-0232,ContractConfirm,Email,OP-07,96,1,0,4
2024-01-19,INQ-0233,ContractConfirm,Phone,OP-06,87,1,0,5
2024-01-12,INQ-0234,ClaimRequest,Counter,OP-03,103,0,0,1
2024-01-04,INQ-0235,ChangeRequest,Phone,OP-05,26,1,0,2
2024-01-12,INQ-0236,ChangeRequest,Email,OP-02,37,1,0,3
2024-01-05,INQ-0237,Cancellation,Counter,OP-02,69,1,0,5
2024-01-05,INQ-0238,ClaimRequest,Counter,OP-06,112,0,1,1
