受付日,受付番号,区分,受付チャネル,対応者,処理時間,解決,再連絡,CS評価
2024/01/02,INQ-0321,給付請求,Mail,OP-01,31,1,0,4
2024/01/03,INQ-0322,解約,TEL,OP-04,77,1,0,5
2024/01/11,INQ-0323,新規契約,来店,OP-03,106,0,0,5
2024/01/12,INQ-0324,契約照会,TEL,OP-07,34,1,0,5
2024/01/20,INQ-0325,新規契約,Mail,OP-01,86,1,0,4
2024/01/08,INQ-0326,解約,来店,OP-07,60,1,0,4
2024/01/03,INQ-0327,契約変更,Mail,OP-04,96,1,0,4
2024/01/05,INQ-0328,新規契約,Mail,OP-06,18,1,0,4
2024/01/12,INQ-0329,解約,TEL,OP-03,16,1,0,5
2024/01/17,INQ-0330,新規契約,TEL,OP-01,16,1,1,5
2024/01/11,INQ-0331,新規契約,TEL,OP-05,57,1,1,5
2024/01/08,INQ-0332,契約変更,来店,OP-03,92,1,1,3
2024/01/09,INQ-0333,新規契約,TEL,OP-02,26,1,0,4
2024/01/03,INQ-0334,解約,Mail,OP-04,97,1,0,2
2024/01/15,INQ-0335,契約照会,TEL,OP-05,5,0,0,5
2024/01/13,INQ-0336,解約,Mail,OP-06,60,1,0,5
2024/01/05,INQ-0337,解約,Mail,OP-04,66,1,0,3
2024/01/10,INQ-0338,新規契約,来店,OP-04,46,1,0,4
2024/01/12,INQ-0339,契約照会,来店,OP-04,80,0,0,5
2024/01/01,INQ-0340,新規契約,来店,OP-04,61,1,0,1
2024/01/14,INQ-0341,新規契約,TEL,OP-05,35,1,0,4
2024/01/13,INQ-0342,契約照会,Mail,OP-08,79,1,0,4
2024/01/18,INQ-0343,契約照会,Mail,OP-02,18,1,0,3
2024/01/06,INQ-0344,契約変更,TEL,OP-07,101,1,0,1
2024/01/01,INQ-0345,契約照会,Mail,OP-04,70,1,0,5
2024/01/08,INQ-0346,新規契約,Mail,OP-07,64,1,0,5
2024/01/05,INQ-0347,解約,TEL,OP-08,18,1,0,1
2024/01/04,INQ-0348,給付請求,Mail,OP-05,48,1,0,4
2024/01/12,INQ-0349,新規契約,TEL,OP-08,97,1,0,3
2024/01/02,INQ-0350,契約照会,TEL,OP-06,87,1,0,2
2024/01/17,INQ-0351,給付請求,来店,OP-03,47,1,0,2
2024/01/13,INQ-0352,給付請求,TEL,OP-07,55,1,0,2
2024/01/15,INQ-0353,契約変更,Mail,OP-07,5,1,0,1
2024/01/19,INQ-0354,契約照会,来店,OP-03,51,1,0,3
2024/01/16,INQ-0355,契約変更,来店,OP-06,81,1,0,1
2024/01/12,INQ-0356,解約,Mail,OP-03,109,1,0,5
2024/01/19,INQ-0357,契約照会,来店,OP-03,45,1,0,2
2024/01/12,INQ-0358,給付請求,来店,OP-07,58,1,0,4
2024/01/06,INQ-0359,新規契約,来店,OP-03,76,1,0,2
