日付,倉庫名,品目コード,品目名,カテゴリ,在庫数量,最低在庫数,単価,入庫数量,出庫数量
2024/01/04,東京第1倉庫,ITM-7688,食用油18L,食料品,12,4,3200,5,4
2024/01/03,東京第1倉庫,ITM-4662,グリース缶,工業用品,1,6,1800,8,0
2024/01/18,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,43,19,1500,18,4
2024/01/26,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,19,10,4500,5,0
2024/01/03,東京第1倉庫,ITM-8517,作業着M,衣料品,7,2,4200,0,2
2024/01/15,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,526,197,120,92,73
2024/01/07,東京第1倉庫,ITM-5571,コメ25kg,食料品,74,16,8000,7,1
2024/01/13,東京第1倉庫,ITM-7704,コネクタC,電子部品,87,32,450,6,8
2024/01/23,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,28,9,4500,4,5
2024/01/23,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,637,168,120,58,4
2024/01/26,東京第1倉庫,ITM-7704,コネクタC,電子部品,144,25,450,28,10
2024/01/07,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,5,3,6800,0,0
2024/01/24,東京第1倉庫,ITM-1974,切削油5L,工業用品,27,5,2500,3,2
2024/01/08,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,81,17,1500,4,10
2024/01/06,東京第1倉庫,ITM-5767,手袋L,衣料品,299,42,320,33,16
2024/01/18,東京第1倉庫,ITM-5571,コメ25kg,食料品,38,16,8000,10,1
2024/01/10,東京第1倉庫,ITM-8517,作業着M,衣料品,13,2,4200,2,2
2024/01/25,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,47,22,1500,16,9
2024/01/07,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,102,28,1200,16,0
2024/01/20,東京第1倉庫,ITM-7704,コネクタC,電子部品,137,20,450,26,9
2024/01/08,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,17,11,4500,7,6
2024/01/03,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,524,112,120,67,67
2024/01/28,東京第1倉庫,ITM-4662,グリース缶,工業用品,37,11,1800,3,5
2024/01/10,東京第1倉庫,ITM-5767,手袋L,衣料品,203,65,320,7,15
2024/01/08,東京第1倉庫,ITM-7688,食用油18L,食料品,21,4,3200,0,0
2024/01/23,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,2,6,4500,1,2
2024/01/08,東京第1倉庫,ITM-7704,コネクタC,電子部品,143,24,450,18,18
2024/01/16,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,47,28,1200,13,11
2024/01/14,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,0,2,6800,0,0
2024/01/24,東京第1倉庫,ITM-2526,基板A型,電子部品,4,1,15000,1,0
2024/01/09,東京第1倉庫,ITM-8517,作業着M,衣料品,2,3,4200,0,0
2024/01/21,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,674,196,120,42,52
2024/01/16,東京第1倉庫,ITM-8517,作業着M,衣料品,6,3,4200,0,1
2024/01/09,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,2,1
2024/01/05,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,17,19,1200,1,10
2024/01/02,東京第1倉庫,ITM-5638,砂糖50kg,食料品,9,4,6000,4,0
2024/01/28,東京第1倉庫,ITM-1949,洗剤業務用,日用品,29,12,2800,1,3
2024/01/19,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,541,161,120,133,40
2024/01/09,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,53,20,1500,9,7
2024/01/11,東京第1倉庫,ITM-5571,コメ25kg,食料品,74,14,8000,2,8
2024/01/07,東京第1倉庫,ITM-4662,グリース缶,工業用品,17,6,1800,3,2
2024/01/10,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,88,29,1200,20,16
2024/01/01,東京第1倉庫,ITM-4662,グリース缶,工業用品,41,11,1800,4,0
2024/01/04,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,608,127,120,52,87
2024/01/21,東京第1倉庫,ITM-7704,コネクタC,電子部品,55,25,450,20,13
2024/01/27,東京第1倉庫,ITM-2526,基板A型,電子部品,5,1,15000,1,0
2024/01/24,東京第1倉庫,ITM-5767,手袋L,衣料品,122,68,320,60,9
2024/01/18,東京第1倉庫,ITM-7688,食用油18L,食料品,12,6,3200,2,2
