Date,Warehouse,ItemCode,ItemName,Category,StockQty,MinStock,UnitCost,ReceivedQty,ShippedQty
2024/01/07,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,744,105,120,144,26
2024/01/03,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,366,158,120,37,100
2024/01/20,大阪第2倉庫,ITM-7688,食用油18L,食料品,12,7,3200,2,1
2024/01/04,大阪第2倉庫,ITM-2385,小麦粉20kg,食料品,22,6,4500,5,0
2024/01/06,大阪第2倉庫,ITM-2526,基板A型,電子部品,3,1,15000,0,1
2024/01/15,大阪第2倉庫,ITM-2526,基板A型,電子部品,5,1,15000,1,1
2024/01/21,大阪第2倉庫,ITM-5571,コメ25kg,食料品,46,19,8000,3,7
2024/01/23,大阪第2倉庫,ITM-8517,作業着M,衣料品,6,3,4200,1,1
2024/01/20,大阪第2倉庫,ITM-1974,切削油5L,工業用品,21,6,2500,2,3
2024/01/17,大阪第2倉庫,ITM-4662,グリース缶,工業用品,40,6,1800,8,5
2024/01/28,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,67,23,1200,14,12
2024/01/14,大阪第2倉庫,ITM-7688,食用油18L,食料品,17,5,3200,1,3
2024/01/03,大阪第2倉庫,ITM-5571,コメ25kg,食料品,5,10,8000,4,4
2024/01/02,大阪第2倉庫,ITM-1974,切削油5L,工業用品,18,6,2500,6,3
2024/01/28,大阪第2倉庫,ITM-7688,食用油18L,食料品,21,6,3200,1,1
2024/01/22,大阪第2倉庫,ITM-8517,作業着M,衣料品,10,3,4200,0,1
2024/01/19,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,105,29,1200,19,0
2024/01/20,大阪第2倉庫,ITM-2526,基板A型,電子部品,4,1,15000,1,1
2024/01/01,大阪第2倉庫,ITM-1949,洗剤業務用,日用品,25,12,2800,10,0
2024/01/03,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,328,137,120,79,92
2024/01/11,大阪第2倉庫,ITM-1974,切削油5L,工業用品,1,4,2500,6,0
2024/01/22,大阪第2倉庫,ITM-7688,食用油18L,食料品,22,5,3200,3,2
2024/01/07,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,589,134,120,124,67
2024/01/22,大阪第2倉庫,ITM-2526,基板A型,電子部品,2,1,15000,0,1
2024/01/07,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,79,20,1200,13,5
2024/01/05,大阪第2倉庫,ITM-5767,手袋L,衣料品,266,68,320,51,22
2024/01/03,大阪第2倉庫,ITM-5767,手袋L,衣料品,4,41,320,55,2
2024/01/19,大阪第2倉庫,ITM-5767,手袋L,衣料品,157,56,320,25,1
2024/01/11,大阪第2倉庫,ITM-2536,トイレットペーパー,日用品,51,17,1500,13,1
2024/01/08,大阪第2倉庫,ITM-5767,手袋L,衣料品,55,56,320,19,21
2024/01/08,大阪第2倉庫,ITM-4784,センサーB型,電子部品,8,1,8500,0,1
2024/01/12,大阪第2倉庫,ITM-1949,洗剤業務用,日用品,26,8,2800,2,1
2024/01/06,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,7,2,6800,2,1
2024/01/28,大阪第2倉庫,ITM-4784,センサーB型,電子部品,9,2,8500,1,0
2024/01/12,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,278,131,120,73,9
2024/01/21,大阪第2倉庫,ITM-5638,砂糖50kg,食料品,19,4,6000,0,3
2024/01/26,大阪第2倉庫,ITM-1974,切削油5L,工業用品,20,4,2500,0,3
2024/01/04,大阪第2倉庫,ITM-2526,基板A型,電子部品,3,1,15000,1,1
2024/01/17,大阪第2倉庫,ITM-1974,切削油5L,工業用品,15,4,2500,3,2
2024/01/22,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,282,178,120,24,71
2024/01/22,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,2,0
2024/01/11,大阪第2倉庫,ITM-2385,小麦粉20kg,食料品,34,11,4500,6,1
2024/01/20,大阪第2倉庫,ITM-7688,食用油18L,食料品,16,6,3200,1,4
2024/01/03,大阪第2倉庫,ITM-5767,手袋L,衣料品,136,54,320,13,21
2024/01/25,大阪第2倉庫,ITM-8517,作業着M,衣料品,5,2,4200,0,2
2024/01/25,大阪第2倉庫,ITM-1974,切削油5L,工業用品,2,7,2500,6,2
2024/01/05,大阪第2倉庫,ITM-4662,グリース缶,工業用品,35,6,1800,9,6
2024/01/06,大阪第2倉庫,ITM-8517,作業着M,衣料品,7,2,4200,3,2
2024/01/10,大阪第2倉庫,ITM-8517,作業着M,衣料品,13,3,4200,3,0
2024/01/12,大阪第2倉庫,ITM-4662,グリース缶,工業用品,26,8,1800,8,3
2024/01/06,大阪第2倉庫,ITM-2536,トイレットペーパー,日用品,68,13,1500,11,8
2024/01/04,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,386,128,120,131,18
2024/01/27,大阪第2倉庫,ITM-8517,作業着M,衣料品,9,3,4200,2,0
2024/01/14,大阪第2倉庫,ITM-5638,砂糖50kg,食料品,22,4,6000,2,1
2024/01/01,大阪第2倉庫,ITM-2526,基板A型,電子部品,6,1,15000,0,0
2024/01/10,大阪第2倉庫,ITM-5767,手袋L,衣料品,193,73,320,39,0
2024/01/03,大阪第2倉庫,ITM-7688,食用油18L,食料品,28,4,3200,4,4
2024/01/14,大阪第2倉庫,ITM-7688,食用油18L,食料品,14,4,3200,5,4
2024/01/15,大阪第2倉庫,ITM-5571,コメ25kg,食料品,51,18,8000,7,2
2024/01/10,大阪第2倉庫,ITM-8517,作業着M,衣料品,9,3,4200,0,2
2024/01/12,大阪第2倉庫,ITM-5571,コメ25kg,食料品,56,13,8000,11,4
2024/01/24,大阪第2倉庫,ITM-7688,食用油18L,食料品,24,7,3200,5,0
2024/01/25,大阪第2倉庫,ITM-1974,切削油5L,工業用品,17,7,2500,2,1
2024/01/27,大阪第2倉庫,ITM-5767,手袋L,衣料品,126,59,320,45,29
2024/01/02,大阪第2倉庫,ITM-4784,センサーB型,電子部品,4,1,8500,1,1
2024/01/27,大阪第2倉庫,ITM-4662,グリース缶,工業用品,20,7,1800,5,6
2024/01/25,大阪第2倉庫,ITM-7688,食用油18L,食料品,18,5,3200,3,3
2024/01/13,大阪第2倉庫,ITM-4784,センサーB型,電子部品,11,2,8500,2,1
2024/01/26,大阪第2倉庫,ITM-5638,砂糖50kg,食料品,19,3,6000,4,2
2024/01/11,大阪第2倉庫,ITM-5571,コメ25kg,食料品,47,13,8000,13,2
2024/01/23,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,2,1
2024/01/09,大阪第2倉庫,ITM-5571,コメ25kg,食料品,50,16,8000,5,0
2024/01/05,大阪第2倉庫,ITM-1974,切削油5L,工業用品,0,7,2500,1,0
2024/01/12,大阪第2倉庫,ITM-5767,手袋L,衣料品,189,41,320,23,23
2024/01/15,大阪第2倉庫,ITM-2385,小麦粉20kg,食料品,34,9,4500,3,0
2024/01/01,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,49,24,1200,24,8
2024/01/23,大阪第2倉庫,ITM-8517,作業着M,衣料品,14,3,4200,3,0
2024/01/04,大阪第2倉庫,ITM-1949,洗剤業務用,日用品,37,11,2800,1,5
2024/01/22,大阪第2倉庫,ITM-2526,基板A型,電子部品,3,1,15000,0,0
2024/01/26,大阪第2倉庫,ITM-4784,センサーB型,電子部品,5,1,8500,1,0
2024/01/12,大阪第2倉庫,ITM-1974,切削油5L,工業用品,21,5,2500,4,0
2024/01/03,大阪第2倉庫,ITM-7704,コネクタC,電子部品,102,39,450,24,13
2024/01/27,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,287,112,120,119,87
2024/01/17,大阪第2倉庫,ITM-4784,センサーB型,電子部品,9,3,8500,0,0
2024/01/14,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,402,183,120,41,41
2024/01/23,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,62,31,1200,2,8
2024/01/07,大阪第2倉庫,ITM-4662,グリース缶,工業用品,31,6,1800,8,5
2024/01/06,大阪第2倉庫,ITM-1974,切削油5L,工業用品,24,4,2500,4,2
2024/01/27,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,11,182,120,147,4
2024/01/21,大阪第2倉庫,ITM-2536,トイレットペーパー,日用品,59,16,1500,17,4
2024/01/21,大阪第2倉庫,ITM-7704,コネクタC,電子部品,90,24,450,14,2
2024/01/23,大阪第2倉庫,ITM-2385,小麦粉20kg,食料品,21,8,4500,9,1
2024/01/11,大阪第2倉庫,ITM-4064,ケーブル10m,電子部品,21,9,2200,1,2
2024/01/08,大阪第2倉庫,ITM-8517,作業着M,衣料品,5,2,4200,2,1
2024/01/28,大阪第2倉庫,ITM-4662,グリース缶,工業用品,19,7,1800,5,4
2024/01/24,大阪第2倉庫,ITM-4784,センサーB型,電子部品,8,2,8500,1,1
2024/01/16,大阪第2倉庫,ITM-5571,コメ25kg,食料品,73,19,8000,6,9
2024/01/12,大阪第2倉庫,ITM-5571,コメ25kg,食料品,67,12,8000,15,4
2024/01/18,大阪第2倉庫,ITM-5571,コメ25kg,食料品,61,14,8000,12,5
2024/01/02,大阪第2倉庫,ITM-8517,作業着M,衣料品,10,3,4200,0,1
2024/01/17,大阪第2倉庫,ITM-5767,手袋L,衣料品,236,51,320,7,8
2024/01/04,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,0,0
2024/01/20,大阪第2倉庫,ITM-4662,グリース缶,工業用品,2,9,1800,5,1
2024/01/17,大阪第2倉庫,ITM-8517,作業着M,衣料品,8,3,4200,2,0
2024/01/13,大阪第2倉庫,ITM-1974,切削油5L,工業用品,20,7,2500,4,4
2024/01/16,大阪第2倉庫,ITM-4662,グリース缶,工業用品,5,8,1800,1,3
2024/01/19,大阪第2倉庫,ITM-2526,基板A型,電子部品,5,1,15000,0,0
2024/01/19,大阪第2倉庫,ITM-8517,作業着M,衣料品,12,3,4200,3,0
2024/01/27,大阪第2倉庫,ITM-1949,洗剤業務用,日用品,27,12,2800,7,5
2024/01/14,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,101,27,1200,15,1
2024/01/23,大阪第2倉庫,ITM-2536,トイレットペーパー,日用品,69,14,1500,16,6
2024/01/11,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,68,30,1200,24,8
2024/01/20,大阪第2倉庫,ITM-8517,作業着M,衣料品,7,3,4200,2,1
2024/01/23,大阪第2倉庫,ITM-2536,トイレットペーパー,日用品,50,20,1500,8,4
2024/01/04,大阪第2倉庫,ITM-1974,切削油5L,工業用品,17,6,2500,2,1
2024/01/10,大阪第2倉庫,ITM-7688,食用油18L,食料品,3,7,3200,5,2
2024/01/24,大阪第2倉庫,ITM-8517,作業着M,衣料品,14,2,4200,2,0
2024/01/04,大阪第2倉庫,ITM-1974,切削油5L,工業用品,23,6,2500,4,1
2024/01/21,大阪第2倉庫,ITM-1949,洗剤業務用,日用品,38,8,2800,10,2
2024/01/01,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,689,140,120,122,83
2024/01/07,大阪第2倉庫,ITM-4064,ケーブル10m,電子部品,0,6,2200,3,0
2024/01/06,大阪第2倉庫,ITM-8517,作業着M,衣料品,1,3,4200,3,0
2024/01/24,大阪第2倉庫,ITM-2526,基板A型,電子部品,3,1,15000,1,1
2024/01/15,大阪第2倉庫,ITM-1974,切削油5L,工業用品,27,5,2500,3,2
2024/01/07,大阪第2倉庫,ITM-7688,食用油18L,食料品,15,4,3200,1,0
2024/01/24,大阪第2倉庫,ITM-4064,ケーブル10m,電子部品,16,7,2200,6,3
2024/01/17,大阪第2倉庫,ITM-2526,基板A型,電子部品,0,1,15000,1,0
2024/01/08,大阪第2倉庫,ITM-7688,食用油18L,食料品,15,5,3200,2,2
2024/01/19,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,368,126,120,30,59
2024/01/10,大阪第2倉庫,ITM-4211,ティッシュ箱,日用品,111,26,1200,24,9
2024/01/23,大阪第2倉庫,ITM-7688,食用油18L,食料品,29,5,3200,3,1
2024/01/15,大阪第2倉庫,ITM-4662,グリース缶,工業用品,29,8,1800,8,6
2024/01/22,大阪第2倉庫,ITM-1949,洗剤業務用,日用品,51,13,2800,8,7
2024/01/17,大阪第2倉庫,ITM-2526,基板A型,電子部品,6,1,15000,0,0
2024/01/06,大阪第2倉庫,ITM-7704,コネクタC,電子部品,108,22,450,2,16
2024/01/15,大阪第2倉庫,ITM-5638,砂糖50kg,食料品,15,3,6000,4,3
2024/01/22,大阪第2倉庫,ITM-2526,基板A型,電子部品,6,1,15000,0,0
2024/01/14,大阪第2倉庫,ITM-2526,基板A型,電子部品,0,1,15000,1,0
2024/01/10,大阪第2倉庫,ITM-8517,作業着M,衣料品,14,3,4200,3,1
2024/01/13,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,9,2,6800,2,0
2024/01/21,大阪第2倉庫,ITM-2526,基板A型,電子部品,5,1,15000,0,0
