集計日,倉庫,コード,品名,分類,在庫,安全在庫,原価,入庫,出庫
2024/01/11,名古屋倉庫,ITM-5638,砂糖50kg,食料品,1,5,6000,0,1
2024/01/13,名古屋倉庫,ITM-1974,切削油5L,工業用品,1,4,2500,3,0
2024/01/28,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,3,9,2200,1,3
2024/01/08,名古屋倉庫,ITM-1974,切削油5L,工業用品,21,4,2500,6,2
2024/01/13,名古屋倉庫,ITM-5767,手袋L,衣料品,171,65,320,56,31
2024/01/15,名古屋倉庫,ITM-5638,砂糖50kg,食料品,10,5,6000,2,3
2024/01/02,名古屋倉庫,ITM-9464,ボルトM6×50,工業用品,141,174,120,149,74
2024/01/24,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,7,1,6800,0,1
2024/01/18,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,30,8,2200,7,3
2024/01/06,名古屋倉庫,ITM-4784,センサーB型,電子部品,5,1,8500,2,0
2024/01/17,名古屋倉庫,ITM-5571,コメ25kg,食料品,63,19,8000,13,2
2024/01/27,名古屋倉庫,ITM-1949,洗剤業務用,日用品,8,13,2800,7,5
2024/01/02,名古屋倉庫,ITM-1974,切削油5L,工業用品,19,6,2500,3,0
2024/01/01,名古屋倉庫,ITM-1974,切削油5L,工業用品,2,5,2500,4,1
2024/01/01,名古屋倉庫,ITM-1974,切削油5L,工業用品,28,6,2500,0,0
2024/01/17,名古屋倉庫,ITM-1949,洗剤業務用,日用品,52,9,2800,4,6
2024/01/03,名古屋倉庫,ITM-7704,コネクタC,電子部品,119,29,450,9,2
2024/01/21,名古屋倉庫,ITM-5571,コメ25kg,食料品,48,14,8000,0,2
2024/01/03,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,0,0
2024/01/08,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,32,22,1500,2,10
2024/01/09,名古屋倉庫,ITM-1974,切削油5L,工業用品,27,6,2500,0,1
2024/01/19,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,47,21,1500,18,3
2024/01/19,名古屋倉庫,ITM-5767,手袋L,衣料品,251,75,320,8,5
2024/01/17,名古屋倉庫,ITM-2526,基板A型,電子部品,2,1,15000,1,1
2024/01/01,名古屋倉庫,ITM-7704,コネクタC,電子部品,144,29,450,13,5
2024/01/22,名古屋倉庫,ITM-1974,切削油5L,工業用品,15,5,2500,1,0
2024/01/03,名古屋倉庫,ITM-4784,センサーB型,電子部品,5,2,8500,1,1
2024/01/12,名古屋倉庫,ITM-5571,コメ25kg,食料品,42,10,8000,8,1
2024/01/05,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,30,8,4500,1,0
2024/01/03,名古屋倉庫,ITM-2526,基板A型,電子部品,6,1,15000,0,1
2024/01/14,名古屋倉庫,ITM-8517,作業着M,衣料品,14,3,4200,1,2
2024/01/17,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,48,16,1500,15,2
2024/01/03,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,102,20,1200,11,8
2024/01/08,名古屋倉庫,ITM-5767,手袋L,衣料品,127,64,320,0,25
2024/01/11,名古屋倉庫,ITM-4662,グリース缶,工業用品,25,10,1800,9,1
2024/01/10,名古屋倉庫,ITM-4784,センサーB型,電子部品,7,2,8500,1,1
2024/01/24,名古屋倉庫,ITM-5767,手袋L,衣料品,156,71,320,50,25
2024/01/12,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,35,9,4500,8,0
2024/01/24,名古屋倉庫,ITM-5767,手袋L,衣料品,266,48,320,4,26
2024/01/22,名古屋倉庫,ITM-8517,作業着M,衣料品,11,3,4200,3,1
2024/01/03,名古屋倉庫,ITM-5767,手袋L,衣料品,201,59,320,58,26
2024/01/18,名古屋倉庫,ITM-7688,食用油18L,食料品,21,6,3200,0,0
2024/01/25,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,66,19,1500,18,10
2024/01/22,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,4,3,6800,1,0
2024/01/17,名古屋倉庫,ITM-1974,切削油5L,工業用品,18,6,2500,3,3
2024/01/25,名古屋倉庫,ITM-1974,切削油5L,工業用品,10,6,2500,0,2
2024/01/14,名古屋倉庫,ITM-5571,コメ25kg,食料品,42,18,8000,10,7
2024/01/26,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,56,17,1500,14,5
2024/01/03,名古屋倉庫,ITM-2526,基板A型,電子部品,6,1,15000,0,0
2024/01/24,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,63,14,1500,14,3
2024/01/26,名古屋倉庫,ITM-5767,手袋L,衣料品,186,47,320,1,39
2024/01/07,名古屋倉庫,ITM-5767,手袋L,衣料品,13,57,320,13,4
2024/01/25,名古屋倉庫,ITM-5571,コメ25kg,食料品,43,17,8000,6,7
2024/01/04,名古屋倉庫,ITM-7704,コネクタC,電子部品,109,30,450,19,12
2024/01/19,名古屋倉庫,ITM-7688,食用油18L,食料品,13,5,3200,5,2
2024/01/20,名古屋倉庫,ITM-9464,ボルトM6×50,工業用品,369,167,120,29,23
2024/01/12,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,64,16,1500,13,2
2024/01/16,名古屋倉庫,ITM-1974,切削油5L,工業用品,13,7,2500,1,3
2024/01/10,名古屋倉庫,ITM-1949,洗剤業務用,日用品,22,10,2800,5,0
2024/01/16,名古屋倉庫,ITM-1949,洗剤業務用,日用品,40,14,2800,7,6
2024/01/22,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,5,2,6800,2,0
2024/01/26,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,63,16,1200,24,14
2024/01/19,名古屋倉庫,ITM-5767,手袋L,衣料品,153,60,320,34,23
2024/01/18,名古屋倉庫,ITM-5638,砂糖50kg,食料品,9,4,6000,1,2
2024/01/28,名古屋倉庫,ITM-5638,砂糖50kg,食料品,8,3,6000,0,1
2024/01/07,名古屋倉庫,ITM-1974,切削油5L,工業用品,22,5,2500,1,4
2024/01/05,名古屋倉庫,ITM-1949,洗剤業務用,日用品,41,14,2800,9,8
2024/01/06,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,33,6,2200,1,1
2024/01/25,名古屋倉庫,ITM-8517,作業着M,衣料品,6,3,4200,1,0
2024/01/05,名古屋倉庫,ITM-4784,センサーB型,電子部品,7,2,8500,2,1
2024/01/21,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,0,1
2024/01/17,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,27,7,2200,1,5
2024/01/15,名古屋倉庫,ITM-2526,基板A型,電子部品,7,1,15000,0,1
2024/01/09,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,26,6,2200,7,2
2024/01/22,名古屋倉庫,ITM-5571,コメ25kg,食料品,47,10,8000,3,2
2024/01/15,名古屋倉庫,ITM-8517,作業着M,衣料品,14,3,4200,1,2
2024/01/10,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,46,17,1200,21,5
2024/01/02,名古屋倉庫,ITM-5767,手袋L,衣料品,146,52,320,41,5
2024/01/23,名古屋倉庫,ITM-5571,コメ25kg,食料品,9,12,8000,7,8
2024/01/22,名古屋倉庫,ITM-8517,作業着M,衣料品,6,2,4200,3,2
2024/01/05,名古屋倉庫,ITM-8517,作業着M,衣料品,0,2,4200,0,0
2024/01/12,名古屋倉庫,ITM-4784,センサーB型,電子部品,10,2,8500,2,0
2024/01/03,名古屋倉庫,ITM-1974,切削油5L,工業用品,18,4,2500,5,1
2024/01/21,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,57,25,1200,3,4
2024/01/25,名古屋倉庫,ITM-5638,砂糖50kg,食料品,19,4,6000,1,2
2024/01/21,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,33,9,4500,0,6
2024/01/28,名古屋倉庫,ITM-4784,センサーB型,電子部品,9,2,8500,1,0
2024/01/26,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,91,22,1200,2,16
2024/01/01,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,26,5,2200,5,4
2024/01/22,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,41,31,1200,2,0
2024/01/09,名古屋倉庫,ITM-1949,洗剤業務用,日用品,35,15,2800,4,8
2024/01/25,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,0,2,6800,1,0
2024/01/10,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,24,11,4500,9,5
2024/01/25,名古屋倉庫,ITM-7688,食用油18L,食料品,26,6,3200,0,1
2024/01/03,名古屋倉庫,ITM-8517,作業着M,衣料品,8,2,4200,1,0
2024/01/01,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,50,12,1500,16,12
2024/01/27,名古屋倉庫,ITM-4784,センサーB型,電子部品,10,2,8500,2,0
2024/01/25,名古屋倉庫,ITM-7688,食用油18L,食料品,11,7,3200,5,4
2024/01/21,名古屋倉庫,ITM-5638,砂糖50kg,食料品,14,4,6000,4,1
2024/01/12,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,93,28,1200,3,7
2024/01/24,名古屋倉庫,ITM-9464,ボルトM6×50,工業用品,372,104,120,120,46
2024/01/13,名古屋倉庫,ITM-1949,洗剤業務用,日用品,42,15,2800,11,6
2024/01/08,名古屋倉庫,ITM-4784,センサーB型,電子部品,6,2,8500,0,1
2024/01/04,名古屋倉庫,ITM-1974,切削油5L,工業用品,26,7,2500,0,3
2024/01/03,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,4,2,6800,1,0
2024/01/12,名古屋倉庫,ITM-4211,ティッシュ箱,日用品,89,25,1200,14,11
2024/01/19,名古屋倉庫,ITM-8517,作業着M,衣料品,12,3,4200,1,0
2024/01/14,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,35,9,4500,0,2
