日付,倉庫名,品目コード,品目名,カテゴリ,在庫数量,最低在庫数,単価,入庫数量,出庫数量
2024/01/06,福岡倉庫,ITM-4784,センサーB型,電子部品,7,3,8500,0,0
2024/01/20,福岡倉庫,ITM-1974,切削油5L,工業用品,18,4,2500,4,3
2024/01/02,福岡倉庫,ITM-7688,食用油18L,食料品,22,5,3200,6,4
2024/01/08,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,429,198,120,139,100
2024/01/16,福岡倉庫,ITM-4064,ケーブル10m,電子部品,20,6,2200,3,0
2024/01/26,福岡倉庫,ITM-2526,基板A型,電子部品,4,1,15000,0,0
2024/01/04,福岡倉庫,ITM-2536,トイレットペーパー,日用品,77,14,1500,1,12
2024/01/08,福岡倉庫,ITM-4662,グリース缶,工業用品,40,8,1800,2,1
2024/01/19,福岡倉庫,ITM-4064,ケーブル10m,電子部品,5,9,2200,2,4
2024/01/07,福岡倉庫,ITM-5767,手袋L,衣料品,118,52,320,14,38
2024/01/08,福岡倉庫,ITM-5638,砂糖50kg,食料品,10,3,6000,1,2
2024/01/23,福岡倉庫,ITM-4211,ティッシュ箱,日用品,96,16,1200,4,3
2024/01/28,福岡倉庫,ITM-4662,グリース缶,工業用品,43,11,1800,6,4
2024/01/04,福岡倉庫,ITM-4064,ケーブル10m,電子部品,30,6,2200,6,5
2024/01/16,福岡倉庫,ITM-4784,センサーB型,電子部品,11,2,8500,2,1
2024/01/08,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,397,137,120,45,93
2024/01/01,福岡倉庫,ITM-4662,グリース缶,工業用品,32,11,1800,2,4
2024/01/11,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,498,163,120,84,95
2024/01/03,福岡倉庫,ITM-4211,ティッシュ箱,日用品,110,31,1200,2,10
2024/01/15,福岡倉庫,ITM-7688,食用油18L,食料品,17,4,3200,6,0
2024/01/24,福岡倉庫,ITM-5571,コメ25kg,食料品,73,13,8000,13,7
2024/01/13,福岡倉庫,ITM-7704,コネクタC,電子部品,136,22,450,20,7
2024/01/06,福岡倉庫,ITM-8517,作業着M,衣料品,0,3,4200,2,0
2024/01/04,福岡倉庫,ITM-7688,食用油18L,食料品,24,4,3200,4,0
2024/01/11,福岡倉庫,ITM-1974,切削油5L,工業用品,18,7,2500,5,1
2024/01/20,福岡倉庫,ITM-8517,作業着M,衣料品,14,2,4200,3,2
2024/01/18,福岡倉庫,ITM-4662,グリース缶,工業用品,17,9,1800,6,4
2024/01/18,福岡倉庫,ITM-8517,作業着M,衣料品,0,2,4200,2,0
