日付,倉庫名,品目コード,品目名,カテゴリ,在庫数量,最低在庫数,単価,入庫数量,出庫数量
2024/01/22,札幌倉庫,ITM-2526,基板A型,電子部品,4,1,15000,0,1
2024/01/06,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,648,113,120,139,37
2024/01/21,札幌倉庫,ITM-4211,ティッシュ箱,日用品,103,26,1200,23,11
2024/01/01,札幌倉庫,ITM-1974,切削油5L,工業用品,3,4,2500,4,0
2024/01/10,札幌倉庫,ITM-2536,トイレットペーパー,日用品,42,20,1500,16,2
2024/01/06,札幌倉庫,ITM-1949,洗剤業務用,日用品,24,12,2800,10,0
2024/01/28,札幌倉庫,ITM-4662,グリース缶,工業用品,1,9,1800,4,0
2024/01/07,札幌倉庫,ITM-4662,グリース缶,工業用品,35,11,1800,3,0
2024/01/10,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,475,190,120,78,88
2024/01/19,札幌倉庫,ITM-2536,トイレットペーパー,日用品,87,18,1500,5,0
2024/01/11,札幌倉庫,ITM-1949,洗剤業務用,日用品,31,13,2800,5,2
2024/01/22,札幌倉庫,ITM-7704,コネクタC,電子部品,80,29,450,17,3
2024/01/06,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,320,184,120,137,25
2024/01/09,札幌倉庫,ITM-5571,コメ25kg,食料品,56,18,8000,12,9
2024/01/07,札幌倉庫,ITM-7688,食用油18L,食料品,19,6,3200,6,1
2024/01/12,札幌倉庫,ITM-8517,作業着M,衣料品,13,3,4200,1,1
2024/01/17,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,581,139,120,42,96
2024/01/17,札幌倉庫,ITM-4211,ティッシュ箱,日用品,85,18,1200,4,15
2024/01/12,札幌倉庫,ITM-2385,小麦粉20kg,食料品,22,10,4500,3,0
2024/01/22,札幌倉庫,ITM-2536,トイレットペーパー,日用品,58,22,1500,14,0
2024/01/02,札幌倉庫,ITM-2526,基板A型,電子部品,6,1,15000,1,0
2024/01/13,札幌倉庫,ITM-5054,安全靴26cm,衣料品,4,2,6800,1,1
2024/01/08,札幌倉庫,ITM-4662,グリース缶,工業用品,29,8,1800,7,4
2024/01/01,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,507,143,120,71,27
2024/01/05,札幌倉庫,ITM-1949,洗剤業務用,日用品,24,10,2800,3,6
2024/01/26,札幌倉庫,ITM-2526,基板A型,電子部品,3,1,15000,0,1
2024/01/01,札幌倉庫,ITM-1949,洗剤業務用,日用品,25,9,2800,8,0
2024/01/19,札幌倉庫,ITM-1949,洗剤業務用,日用品,40,9,2800,6,0
2024/01/24,札幌倉庫,ITM-2526,基板A型,電子部品,4,1,15000,1,0
2024/01/08,札幌倉庫,ITM-5767,手袋L,衣料品,253,45,320,39,32
2024/01/09,札幌倉庫,ITM-2536,トイレットペーパー,日用品,65,20,1500,2,3
2024/01/13,札幌倉庫,ITM-8517,作業着M,衣料品,13,2,4200,3,0
2024/01/20,札幌倉庫,ITM-2385,小麦粉20kg,食料品,16,8,4500,8,4
2024/01/25,札幌倉庫,ITM-5571,コメ25kg,食料品,55,14,8000,0,10
2024/01/21,札幌倉庫,ITM-5767,手袋L,衣料品,239,56,320,27,14
2024/01/26,札幌倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,2,0
2024/01/14,札幌倉庫,ITM-4211,ティッシュ箱,日用品,108,23,1200,9,13
2024/01/09,札幌倉庫,ITM-1949,洗剤業務用,日用品,43,13,2800,1,8
2024/01/01,札幌倉庫,ITM-5767,手袋L,衣料品,181,48,320,6,9
2024/01/14,札幌倉庫,ITM-4662,グリース缶,工業用品,31,7,1800,9,2
2024/01/22,札幌倉庫,ITM-8517,作業着M,衣料品,9,2,4200,2,2
2024/01/18,札幌倉庫,ITM-5054,安全靴26cm,衣料品,10,3,6800,1,0
2024/01/28,札幌倉庫,ITM-2385,小麦粉20kg,食料品,19,8,4500,3,4
2024/01/13,札幌倉庫,ITM-2526,基板A型,電子部品,2,1,15000,0,0
2024/01/16,札幌倉庫,ITM-4662,グリース缶,工業用品,26,6,1800,9,0
2024/01/24,札幌倉庫,ITM-5054,安全靴26cm,衣料品,9,2,6800,2,0
2024/01/25,札幌倉庫,ITM-2536,トイレットペーパー,日用品,16,17,1500,9,3
2024/01/02,札幌倉庫,ITM-1974,切削油5L,工業用品,13,6,2500,0,2
2024/01/08,札幌倉庫,ITM-2385,小麦粉20kg,食料品,26,6,4500,6,3
2024/01/19,札幌倉庫,ITM-2536,トイレットペーパー,日用品,85,12,1500,17,4
2024/01/24,札幌倉庫,ITM-1974,切削油5L,工業用品,15,5,2500,4,1
2024/01/15,札幌倉庫,ITM-5767,手袋L,衣料品,201,40,320,35,4
2024/01/17,札幌倉庫,ITM-4064,ケーブル10m,電子部品,36,9,2200,4,5
2024/01/15,札幌倉庫,ITM-5767,手袋L,衣料品,167,59,320,49,29
2024/01/22,札幌倉庫,ITM-5767,手袋L,衣料品,151,74,320,24,40
2024/01/26,札幌倉庫,ITM-2536,トイレットペーパー,日用品,54,20,1500,11,8
2024/01/18,札幌倉庫,ITM-7688,食用油18L,食料品,2,4,3200,0,2
2024/01/06,札幌倉庫,ITM-5054,安全靴26cm,衣料品,6,2,6800,2,0
2024/01/16,札幌倉庫,ITM-1949,洗剤業務用,日用品,28,13,2800,3,3
2024/01/27,札幌倉庫,ITM-4662,グリース缶,工業用品,42,6,1800,7,4
2024/01/01,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,407,184,120,147,35
2024/01/16,札幌倉庫,ITM-2536,トイレットペーパー,日用品,64,15,1500,1,8
2024/01/26,札幌倉庫,ITM-5054,安全靴26cm,衣料品,1,3,6800,1,0
2024/01/15,札幌倉庫,ITM-5638,砂糖50kg,食料品,2,3,6000,1,1
2024/01/19,札幌倉庫,ITM-7688,食用油18L,食料品,13,5,3200,2,1
2024/01/09,札幌倉庫,ITM-5767,手袋L,衣料品,184,53,320,26,23
2024/01/12,札幌倉庫,ITM-5054,安全靴26cm,衣料品,11,2,6800,2,0
2024/01/27,札幌倉庫,ITM-7688,食用油18L,食料品,27,7,3200,1,1
2024/01/26,札幌倉庫,ITM-4211,ティッシュ箱,日用品,79,28,1200,20,16
2024/01/18,札幌倉庫,ITM-7704,コネクタC,電子部品,106,26,450,12,3
2024/01/23,札幌倉庫,ITM-1949,洗剤業務用,日用品,53,9,2800,1,7
2024/01/24,札幌倉庫,ITM-4064,ケーブル10m,電子部品,35,6,2200,4,2
2024/01/01,札幌倉庫,ITM-8517,作業着M,衣料品,11,2,4200,1,1
2024/01/12,札幌倉庫,ITM-7704,コネクタC,電子部品,57,35,450,19,9
2024/01/15,札幌倉庫,ITM-1949,洗剤業務用,日用品,36,13,2800,9,6
2024/01/28,札幌倉庫,ITM-5571,コメ25kg,食料品,40,11,8000,9,4
2024/01/20,札幌倉庫,ITM-5054,安全靴26cm,衣料品,11,3,6800,2,1
2024/01/14,札幌倉庫,ITM-1949,洗剤業務用,日用品,29,14,2800,4,1
2024/01/07,札幌倉庫,ITM-4211,ティッシュ箱,日用品,15,17,1200,17,1
2024/01/01,札幌倉庫,ITM-5767,手袋L,衣料品,33,70,320,39,9
2024/01/03,札幌倉庫,ITM-5054,安全靴26cm,衣料品,7,1,6800,0,0
2024/01/17,札幌倉庫,ITM-1949,洗剤業務用,日用品,56,8,2800,7,7
2024/01/28,札幌倉庫,ITM-4662,グリース缶,工業用品,43,9,1800,8,1
2024/01/19,札幌倉庫,ITM-4662,グリース缶,工業用品,31,9,1800,8,5
2024/01/21,札幌倉庫,ITM-4662,グリース缶,工業用品,21,11,1800,1,3
2024/01/10,札幌倉庫,ITM-7704,コネクタC,電子部品,50,25,450,26,4
2024/01/12,札幌倉庫,ITM-7704,コネクタC,電子部品,99,30,450,24,15
2024/01/10,札幌倉庫,ITM-5638,砂糖50kg,食料品,19,5,6000,4,2
2024/01/07,札幌倉庫,ITM-5767,手袋L,衣料品,242,57,320,41,24
2024/01/27,札幌倉庫,ITM-8517,作業着M,衣料品,7,2,4200,2,1
2024/01/21,札幌倉庫,ITM-4662,グリース缶,工業用品,20,8,1800,4,0
2024/01/21,札幌倉庫,ITM-5767,手袋L,衣料品,198,58,320,20,1
2024/01/05,札幌倉庫,ITM-5571,コメ25kg,食料品,38,11,8000,14,0
2024/01/08,札幌倉庫,ITM-2385,小麦粉20kg,食料品,27,6,4500,7,2
2024/01/15,札幌倉庫,ITM-7688,食用油18L,食料品,12,4,3200,2,3
2024/01/03,札幌倉庫,ITM-4662,グリース缶,工業用品,22,7,1800,6,6
2024/01/01,札幌倉庫,ITM-2385,小麦粉20kg,食料品,22,8,4500,0,1
2024/01/15,札幌倉庫,ITM-2385,小麦粉20kg,食料品,24,8,4500,5,1
2024/01/21,札幌倉庫,ITM-5571,コメ25kg,食料品,34,12,8000,1,10
2024/01/07,札幌倉庫,ITM-2385,小麦粉20kg,食料品,20,9,4500,4,4
2024/01/04,札幌倉庫,ITM-8517,作業着M,衣料品,1,2,4200,1,1
2024/01/25,札幌倉庫,ITM-2385,小麦粉20kg,食料品,4,6,4500,5,0
2024/01/02,札幌倉庫,ITM-4784,センサーB型,電子部品,5,2,8500,0,1
2024/01/18,札幌倉庫,ITM-7704,コネクタC,電子部品,24,34,450,11,4
2024/01/09,札幌倉庫,ITM-5638,砂糖50kg,食料品,15,5,6000,3,1
2024/01/19,札幌倉庫,ITM-2536,トイレットペーパー,日用品,46,16,1500,17,2
2024/01/03,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,520,144,120,116,0
2024/01/25,札幌倉庫,ITM-4662,グリース缶,工業用品,33,10,1800,5,6
2024/01/20,札幌倉庫,ITM-4211,ティッシュ箱,日用品,83,27,1200,12,6
2024/01/17,札幌倉庫,ITM-5767,手袋L,衣料品,181,46,320,20,7
2024/01/04,札幌倉庫,ITM-1974,切削油5L,工業用品,12,4,2500,6,0
2024/01/07,札幌倉庫,ITM-5638,砂糖50kg,食料品,2,3,6000,3,2
2024/01/16,札幌倉庫,ITM-1974,切削油5L,工業用品,17,6,2500,4,0
2024/01/01,札幌倉庫,ITM-2536,トイレットペーパー,日用品,34,17,1500,1,5
2024/01/18,札幌倉庫,ITM-5054,安全靴26cm,衣料品,1,2,6800,2,0
2024/01/24,札幌倉庫,ITM-7688,食用油18L,食料品,20,4,3200,0,1
2024/01/18,札幌倉庫,ITM-8517,作業着M,衣料品,10,2,4200,1,2
2024/01/24,札幌倉庫,ITM-4662,グリース缶,工業用品,32,10,1800,7,5
2024/01/22,札幌倉庫,ITM-8517,作業着M,衣料品,9,2,4200,2,2
2024/01/06,札幌倉庫,ITM-1974,切削油5L,工業用品,16,5,2500,2,2
2024/01/14,札幌倉庫,ITM-5767,手袋L,衣料品,209,52,320,24,35
2024/01/24,札幌倉庫,ITM-4064,ケーブル10m,電子部品,22,9,2200,0,2
2024/01/20,札幌倉庫,ITM-2385,小麦粉20kg,食料品,24,11,4500,3,1
2024/01/28,札幌倉庫,ITM-2526,基板A型,電子部品,6,1,15000,0,0
2024/01/02,札幌倉庫,ITM-5054,安全靴26cm,衣料品,11,1,6800,0,0
2024/01/09,札幌倉庫,ITM-2526,基板A型,電子部品,3,1,15000,0,1
2024/01/26,札幌倉庫,ITM-8517,作業着M,衣料品,12,2,4200,0,2
2024/01/21,札幌倉庫,ITM-2526,基板A型,電子部品,2,1,15000,0,1
2024/01/12,札幌倉庫,ITM-5054,安全靴26cm,衣料品,10,3,6800,2,0
2024/01/21,札幌倉庫,ITM-8517,作業着M,衣料品,0,2,4200,2,0
2024/01/05,札幌倉庫,ITM-5638,砂糖50kg,食料品,16,5,6000,0,1
2024/01/14,札幌倉庫,ITM-7704,コネクタC,電子部品,97,22,450,23,1
2024/01/18,札幌倉庫,ITM-5054,安全靴26cm,衣料品,10,1,6800,0,0
2024/01/16,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,348,148,120,134,31
2024/01/08,札幌倉庫,ITM-7688,食用油18L,食料品,28,7,3200,0,0
2024/01/22,札幌倉庫,ITM-5054,安全靴26cm,衣料品,6,2,6800,2,0
2024/01/25,札幌倉庫,ITM-4784,センサーB型,電子部品,11,3,8500,1,0
2024/01/15,札幌倉庫,ITM-2385,小麦粉20kg,食料品,37,7,4500,1,0
2024/01/24,札幌倉庫,ITM-2385,小麦粉20kg,食料品,41,11,4500,4,0
2024/01/11,札幌倉庫,ITM-7688,食用油18L,食料品,1,5,3200,5,0
2024/01/07,札幌倉庫,ITM-1974,切削油5L,工業用品,22,7,2500,1,0
2024/01/13,札幌倉庫,ITM-1974,切削油5L,工業用品,11,6,2500,1,4
2024/01/09,札幌倉庫,ITM-5638,砂糖50kg,食料品,3,4,6000,2,2
2024/01/28,札幌倉庫,ITM-5571,コメ25kg,食料品,44,12,8000,12,8
2024/01/23,札幌倉庫,ITM-7688,食用油18L,食料品,11,5,3200,1,4
2024/01/15,札幌倉庫,ITM-1974,切削油5L,工業用品,20,4,2500,2,3
2024/01/13,札幌倉庫,ITM-1949,洗剤業務用,日用品,45,10,2800,3,8
2024/01/09,札幌倉庫,ITM-7688,食用油18L,食料品,26,7,3200,0,4
2024/01/09,札幌倉庫,ITM-1949,洗剤業務用,日用品,25,10,2800,11,6
2024/01/17,札幌倉庫,ITM-1974,切削油5L,工業用品,21,6,2500,3,2
2024/01/20,札幌倉庫,ITM-7704,コネクタC,電子部品,63,30,450,17,6
2024/01/28,札幌倉庫,ITM-4211,ティッシュ箱,日用品,112,27,1200,13,4
2024/01/21,札幌倉庫,ITM-9464,ボルトM6×50,工業用品,724,131,120,30,23
2024/01/11,札幌倉庫,ITM-2536,トイレットペーパー,日用品,88,12,1500,13,4
2024/01/15,札幌倉庫,ITM-4784,センサーB型,電子部品,5,2,8500,2,1
2024/01/20,札幌倉庫,ITM-1974,切削油5L,工業用品,23,4,2500,2,0
2024/01/23,札幌倉庫,ITM-8517,作業着M,衣料品,12,3,4200,2,0
2024/01/28,札幌倉庫,ITM-5054,安全靴26cm,衣料品,5,2,6800,1,0
2024/01/09,札幌倉庫,ITM-8517,作業着M,衣料品,12,3,4200,0,0
2024/01/15,札幌倉庫,ITM-4662,グリース缶,工業用品,41,10,1800,6,3
