伝票番号,集計日,路線,車両種別,走行距離,燃費費用,道路料金,人件費,荷重,件数,状態
C-0001,2024-01-10,R04_大阪-京都,軽バン,29.8,376,1834,11091,225.9,26,遅延
C-0002,2024-01-18,R03_大阪-神戸,4tトラック,114.5,4433,0,26752,2119.4,1,完了
C-0003,2024-01-12,R01_東京-横浜,4tトラック,44.6,1498,1869,19022,1630.2,24,遅延
C-0004,2024-01-26,R04_大阪-京都,4tトラック,139.6,5273,960,25403,1758.2,4,完了
C-0005,2024-01-12,R05_名古屋-豊田,2tトラック,71.5,1759,668,15982,1588.4,16,キャンセル
C-0006,2024-01-23,R02_東京-埼玉,4tトラック,51.0,1749,0,21813,2351.9,20,完了
C-0007,2024-01-24,R05_名古屋-豊田,4tトラック,102.4,3801,0,20024,1939.6,26,完了
C-0008,2024-01-16,R03_大阪-神戸,軽バン,52.0,465,0,17023,258.3,12,完了
C-0009,2024-01-03,R02_東京-埼玉,2tトラック,88.1,1672,2566,23913,794.6,24,遅延
C-0010,2024-01-18,R01_東京-横浜,2tトラック,106.5,2724,0,20789,1653.8,7,遅延
C-0011,2024-01-10,R05_名古屋-豊田,10tトラック,184.1,9848,872,28280,9240.1,19,完了
C-0012,2024-01-25,R04_大阪-京都,4tトラック,95.1,2507,526,20867,3892.0,20,完了
C-0013,2024-01-25,R04_大阪-京都,4tトラック,57.5,1926,2680,19754,3196.0,12,完了
C-0014,2024-01-29,R02_東京-埼玉,軽バン,13.1,139,1017,17262,212.6,16,遅延
C-0015,2024-01-19,R01_東京-横浜,2tトラック,118.3,2589,0,20214,1744.5,27,完了
C-0016,2024-01-13,R04_大阪-京都,4tトラック,111.9,3411,2589,24200,2129.0,30,完了
C-0017,2024-01-09,R03_大阪-神戸,10tトラック,123.0,6402,1755,24223,4159.2,3,完了
C-0018,2024-01-04,R02_東京-埼玉,4tトラック,60.6,1844,0,19420,1691.0,26,完了
C-0019,2024-01-21,R04_大阪-京都,軽バン,34.0,413,1527,11949,107.5,19,完了
C-0020,2024-01-29,R05_名古屋-豊田,2tトラック,43.2,864,0,20166,1108.2,19,完了
C-0021,2024-01-27,R01_東京-横浜,10tトラック,82.5,4551,1704,25510,5875.4,5,完了
C-0022,2024-01-13,R05_名古屋-豊田,4tトラック,112.6,3262,0,22112,2360.4,19,完了
C-0023,2024-01-06,R02_東京-埼玉,軽バン,15.4,145,0,14035,238.9,5,完了
C-0024,2024-01-27,R05_名古屋-豊田,軽バン,40.0,566,2381,10746,346.7,29,完了
C-0025,2024-01-12,R04_大阪-京都,2tトラック,77.0,1728,1825,17295,1703.5,26,完了
C-0026,2024-01-01,R04_大阪-京都,2tトラック,42.0,996,2648,17833,1815.1,14,完了
C-0027,2024-01-21,R05_名古屋-豊田,2tトラック,77.0,1866,1014,23043,1113.3,4,完了
C-0028,2024-01-18,R03_大阪-神戸,10tトラック,178.2,9015,1189,32890,8284.8,14,完了
C-0029,2024-01-28,R02_東京-埼玉,軽バン,28.5,339,1267,12755,367.5,24,完了
C-0030,2024-01-22,R02_東京-埼玉,2tトラック,70.2,1853,1036,19006,1007.7,18,完了
C-0031,2024-01-03,R02_東京-埼玉,2tトラック,65.0,1666,0,23233,1207.5,20,完了
C-0032,2024-01-23,R02_東京-埼玉,10tトラック,105.6,5832,0,36891,5804.5,21,完了
C-0033,2024-01-17,R02_東京-埼玉,2tトラック,87.6,2038,2142,23039,929.0,2,完了
C-0034,2024-01-22,R05_名古屋-豊田,4tトラック,58.6,1497,501,19889,3990.5,25,完了
C-0035,2024-01-18,R04_大阪-京都,軽バン,39.3,457,0,10549,90.6,10,完了
C-0036,2024-01-17,R03_大阪-神戸,10tトラック,194.5,9125,986,36875,7024.3,9,完了
C-0037,2024-01-26,R05_名古屋-豊田,2tトラック,36.5,786,0,23029,1935.1,29,完了
C-0038,2024-01-29,R04_大阪-京都,10tトラック,194.9,10540,0,34120,9728.7,15,完了
C-0039,2024-01-12,R04_大阪-京都,2tトラック,40.5,762,2985,21769,844.9,11,完了
C-0040,2024-01-07,R03_大阪-神戸,2tトラック,52.3,1000,2553,15760,1897.1,16,完了
C-0041,2024-01-09,R02_東京-埼玉,10tトラック,192.1,10965,0,29984,4397.7,24,完了
C-0042,2024-01-16,R02_東京-埼玉,4tトラック,62.3,1791,890,19280,3760.6,22,キャンセル
C-0043,2024-01-16,R05_名古屋-豊田,2tトラック,116.2,3274,1289,23981,1821.5,19,遅延
C-0044,2024-01-12,R05_名古屋-豊田,4tトラック,70.8,2006,635,27591,2435.0,18,完了
C-0045,2024-01-11,R02_東京-埼玉,軽バン,32.9,291,1289,10067,353.3,13,完了
C-0046,2024-01-07,R05_名古屋-豊田,10tトラック,179.3,8011,1174,37336,5401.7,6,完了
C-0047,2024-01-09,R03_大阪-神戸,軽バン,28.3,306,1929,17834,358.7,27,完了
C-0048,2024-01-05,R05_名古屋-豊田,4tトラック,87.5,2687,2898,19795,3417.0,6,完了
C-0049,2024-01-27,R04_大阪-京都,10tトラック,95.0,5135,1496,33049,3420.3,27,完了
C-0050,2024-01-28,R04_大阪-京都,2tトラック,97.0,2048,1894,23100,1016.2,14,完了
C-0051,2024-01-15,R05_名古屋-豊田,4tトラック,103.3,3588,2451,22261,3019.6,16,完了
C-0052,2024-01-21,R04_大阪-京都,2tトラック,85.2,2008,0,23683,1460.9,30,完了
C-0053,2024-01-15,R01_東京-横浜,軽バン,14.0,146,2133,15683,322.4,13,完了
C-0054,2024-01-23,R05_名古屋-豊田,10tトラック,128.1,6566,2636,24001,4642.4,9,遅延
C-0055,2024-01-03,R02_東京-埼玉,2tトラック,45.0,866,2697,20484,539.5,13,完了
C-0056,2024-01-21,R03_大阪-神戸,2tトラック,85.6,1627,0,18898,844.0,24,完了
C-0057,2024-01-18,R02_東京-埼玉,4tトラック,97.9,2698,1392,28983,3592.7,15,キャンセル
C-0058,2024-01-14,R05_名古屋-豊田,10tトラック,116.7,7497,943,31561,7417.3,21,遅延
C-0059,2024-01-27,R03_大阪-神戸,10tトラック,122.2,5582,1270,28595,4090.0,1,完了
C-0060,2024-01-10,R03_大阪-神戸,4tトラック,71.5,2361,1730,27066,1898.8,25,完了
C-0061,2024-01-13,R01_東京-横浜,4tトラック,100.3,2791,0,23245,1749.7,23,完了
C-0062,2024-01-21,R02_東京-埼玉,軽バン,23.1,253,2411,17280,413.4,22,完了
C-0063,2024-01-07,R04_大阪-京都,10tトラック,78.2,3262,776,29285,6169.4,23,完了
C-0064,2024-01-08,R01_東京-横浜,10tトラック,72.8,4677,2931,26514,3875.3,15,完了
C-0065,2024-01-11,R02_東京-埼玉,2tトラック,31.3,645,2464,19984,1057.1,23,完了
C-0066,2024-01-01,R02_東京-埼玉,2tトラック,35.0,956,1675,16922,1762.3,27,完了
C-0067,2024-01-07,R02_東京-埼玉,2tトラック,64.6,1919,2986,16992,1603.0,4,完了
C-0068,2024-01-16,R04_大阪-京都,軽バン,44.1,449,2073,10337,471.8,17,完了
C-0069,2024-01-09,R02_東京-埼玉,10tトラック,104.1,4300,2933,25775,6039.1,1,完了
C-0070,2024-01-08,R04_大阪-京都,2tトラック,101.0,1829,2459,19753,1394.3,12,完了
C-0071,2024-01-05,R04_大阪-京都,4tトラック,50.1,1717,0,29964,2875.4,2,完了
C-0072,2024-01-23,R02_東京-埼玉,2tトラック,73.9,1611,2112,18473,1837.7,24,完了
C-0073,2024-01-06,R03_大阪-神戸,軽バン,46.2,451,2267,14472,294.2,16,完了
C-0074,2024-01-15,R03_大阪-神戸,10tトラック,159.9,7497,0,36632,6881.6,3,完了
C-0075,2024-01-28,R03_大阪-神戸,10tトラック,131.2,6737,0,30095,8135.6,29,完了
C-0076,2024-01-05,R05_名古屋-豊田,10tトラック,85.8,4979,1847,28200,6668.5,16,完了
C-0077,2024-01-07,R03_大阪-神戸,10tトラック,111.5,5358,2147,22700,9564.6,6,遅延
C-0078,2024-01-12,R04_大阪-京都,2tトラック,47.2,868,1471,19899,1436.0,19,完了
C-0079,2024-01-26,R05_名古屋-豊田,4tトラック,119.0,2998,0,25869,3785.2,27,完了
C-0080,2024-01-24,R03_大阪-神戸,2tトラック,80.2,2347,1423,22084,1735.5,9,完了
C-0081,2024-01-08,R03_大阪-神戸,2tトラック,37.0,762,753,17310,1078.0,7,完了
C-0082,2024-01-04,R05_名古屋-豊田,4tトラック,122.4,3822,2097,22296,2376.2,22,完了
C-0083,2024-01-11,R02_東京-埼玉,4tトラック,100.5,3273,1835,25199,3800.6,29,完了
C-0084,2024-01-18,R04_大阪-京都,10tトラック,164.6,8356,0,31735,6942.0,7,完了
C-0085,2024-01-29,R03_大阪-神戸,10tトラック,194.2,9941,2316,37727,7170.3,17,完了
C-0086,2024-01-30,R01_東京-横浜,10tトラック,95.1,4332,0,22347,8753.6,23,遅延
C-0087,2024-01-19,R01_東京-横浜,4tトラック,44.2,1341,1418,24986,1699.0,26,完了
C-0088,2024-01-23,R05_名古屋-豊田,軽バン,55.9,735,0,16343,127.8,27,遅延
C-0089,2024-01-12,R05_名古屋-豊田,2tトラック,87.8,1620,0,18815,1670.2,30,完了
C-0090,2024-01-25,R04_大阪-京都,軽バン,56.5,500,0,15981,432.3,30,完了
C-0091,2024-01-13,R01_東京-横浜,軽バン,25.2,209,874,14019,149.4,2,完了
C-0092,2024-01-02,R05_名古屋-豊田,軽バン,38.8,335,2466,11184,201.3,16,完了
C-0093,2024-01-13,R03_大阪-神戸,軽バン,14.3,165,0,11043,110.7,18,完了
C-0094,2024-01-04,R05_名古屋-豊田,4tトラック,107.8,3885,679,27321,1970.2,30,完了
C-0095,2024-01-26,R04_大阪-京都,軽バン,28.3,264,2139,16157,126.2,12,完了
C-0096,2024-01-03,R05_名古屋-豊田,軽バン,17.3,144,0,11597,218.2,25,完了
C-0097,2024-01-15,R01_東京-横浜,2tトラック,51.9,1321,2581,17877,1014.9,26,完了
C-0098,2024-01-05,R01_東京-横浜,軽バン,26.6,351,1866,16003,297.0,20,完了
C-0099,2024-01-15,R04_大阪-京都,2tトラック,82.5,2142,926,17840,1683.8,20,完了
C-0100,2024-01-29,R01_東京-横浜,2tトラック,65.0,1382,0,21601,1796.4,1,完了
C-0101,2024-01-06,R02_東京-埼玉,軽バン,59.0,682,0,17231,268.1,20,完了
C-0102,2024-01-13,R05_名古屋-豊田,4tトラック,146.3,4888,0,18477,3766.8,10,完了
C-0103,2024-01-09,R01_東京-横浜,4tトラック,78.1,2365,1091,29739,2503.8,26,完了
C-0104,2024-01-31,R01_東京-横浜,軽バン,57.2,838,1354,13143,111.8,24,完了
C-0105,2024-01-21,R04_大阪-京都,4tトラック,66.4,1812,0,28917,1987.9,18,完了
C-0106,2024-01-14,R05_名古屋-豊田,4tトラック,99.5,3682,0,21708,3115.4,17,遅延
C-0107,2024-01-01,R05_名古屋-豊田,4tトラック,140.9,4194,2872,19421,1952.8,29,完了
C-0108,2024-01-25,R04_大阪-京都,10tトラック,194.2,9241,0,35147,7457.9,24,完了
C-0109,2024-01-08,R01_東京-横浜,4tトラック,54.5,1384,0,25403,2816.8,20,完了
C-0110,2024-01-13,R01_東京-横浜,4tトラック,79.5,2808,1756,25257,3136.1,12,完了
C-0111,2024-01-22,R04_大阪-京都,軽バン,16.9,158,2411,10120,171.4,14,完了
C-0112,2024-01-29,R02_東京-埼玉,4tトラック,47.3,1840,0,28406,2469.8,11,遅延
C-0113,2024-01-19,R04_大阪-京都,4tトラック,84.5,2166,0,22564,1938.7,20,遅延
C-0114,2024-01-24,R05_名古屋-豊田,2tトラック,39.8,935,0,23778,868.6,18,完了
C-0115,2024-01-27,R05_名古屋-豊田,2tトラック,64.9,1764,0,16899,1159.3,29,完了
C-0116,2024-01-15,R04_大阪-京都,10tトラック,75.0,3552,0,33039,9325.7,15,遅延
C-0117,2024-01-01,R05_名古屋-豊田,2tトラック,40.2,1099,0,21961,703.0,14,完了
C-0118,2024-01-06,R04_大阪-京都,4tトラック,104.9,3744,1637,21001,3075.2,30,完了
C-0119,2024-01-06,R01_東京-横浜,2tトラック,40.3,943,1810,18841,1686.6,17,完了
C-0120,2024-01-05,R05_名古屋-豊田,軽バン,29.0,388,0,14524,346.8,5,完了
C-0121,2024-01-31,R01_東京-横浜,4tトラック,86.2,2555,0,23355,2879.4,4,遅延
C-0122,2024-01-07,R01_東京-横浜,4tトラック,108.5,3124,2639,24522,1017.3,29,完了
C-0123,2024-01-07,R04_大阪-京都,軽バン,30.5,261,1112,14379,328.9,18,遅延
C-0124,2024-01-03,R02_東京-埼玉,2tトラック,43.3,1119,2635,21670,1757.0,10,完了
C-0125,2024-01-31,R01_東京-横浜,2tトラック,67.5,1359,2028,21915,1392.5,26,完了
C-0126,2024-01-14,R05_名古屋-豊田,軽バン,28.0,231,0,12583,453.9,27,完了
C-0127,2024-01-20,R03_大阪-神戸,2tトラック,72.4,1409,0,18292,1120.6,7,完了
C-0128,2024-01-10,R01_東京-横浜,2tトラック,81.4,2422,719,22241,1407.2,26,キャンセル
C-0129,2024-01-21,R05_名古屋-豊田,軽バン,52.4,514,2058,17417,326.4,16,完了
C-0130,2024-01-04,R04_大阪-京都,軽バン,50.4,715,1226,11548,103.2,15,完了
C-0131,2024-01-09,R05_名古屋-豊田,4tトラック,149.9,4678,1901,25650,1033.9,7,完了
C-0132,2024-01-20,R03_大阪-神戸,2tトラック,57.0,1402,0,16138,999.9,13,完了
C-0133,2024-01-16,R02_東京-埼玉,2tトラック,47.5,1330,0,19791,1211.8,2,完了
C-0134,2024-01-19,R04_大阪-京都,4tトラック,138.1,4565,2460,22967,3227.8,27,完了
C-0135,2024-01-01,R05_名古屋-豊田,10tトラック,130.4,5895,2499,36208,5475.2,5,完了
C-0136,2024-01-28,R04_大阪-京都,10tトラック,144.0,8793,1474,31523,9052.2,25,完了
C-0137,2024-01-10,R01_東京-横浜,10tトラック,90.7,3825,0,27945,8806.2,10,完了
C-0138,2024-01-07,R01_東京-横浜,4tトラック,81.2,2076,732,24072,3397.1,29,完了
C-0139,2024-01-17,R04_大阪-京都,10tトラック,159.9,8489,0,24293,9102.6,27,キャンセル
C-0140,2024-01-28,R02_東京-埼玉,4tトラック,119.7,3817,0,24268,1012.3,30,完了
C-0141,2024-01-07,R03_大阪-神戸,2tトラック,72.0,1336,2147,18125,1366.3,10,完了
C-0142,2024-01-31,R02_東京-埼玉,10tトラック,78.9,3702,1603,23882,4045.2,9,完了
C-0143,2024-01-20,R02_東京-埼玉,2tトラック,78.8,1938,2858,23040,1361.1,6,完了
C-0144,2024-01-23,R05_名古屋-豊田,10tトラック,116.5,5039,2189,23695,3376.6,14,完了
C-0145,2024-01-15,R05_名古屋-豊田,軽バン,27.8,287,2396,16474,85.3,30,完了
