delivery_id,date,route_id,vehicle_type,distance_km,fuel_cost,toll_cost,driver_cost,cargo_weight_kg,delivery_count,status,total_cost,cost_per_km,cost_per_delivery,source_file
A-0001,2024-01-01,R01_東京-横浜,2tトラック,96.7,2025,756,22407,1318.0,19,完了,25188,260.4756980351603,1325.6842105263158,delivery_202401_styleA.csv
A-0002,2024-01-26,R02_東京-埼玉,2tトラック,50.9,1284,2290,22013,1129.3,15,完了,25587,502.69155206286837,1705.8,delivery_202401_styleA.csv
A-0003,2024-01-12,R02_東京-埼玉,2tトラック,92.8,2049,2893,18366,639.1,4,完了,23308,251.16379310344828,5827.0,delivery_202401_styleA.csv
A-0004,2024-01-29,R01_東京-横浜,10tトラック,159.5,8518,0,28057,6864.3,27,完了,36575,229.31034482758622,1354.6296296296296,delivery_202401_styleA.csv
A-0005,2024-01-09,R05_名古屋-豊田,10tトラック,78.8,3289,2433,37764,8987.2,28,完了,43486,551.8527918781726,1553.0714285714287,delivery_202401_styleA.csv
A-0006,2024-01-24,R03_大阪-神戸,軽バン,18.1,190,2255,15468,82.1,21,完了,17913,989.6685082872928,853.0,delivery_202401_styleA.csv
A-0007,2024-01-25,R02_東京-埼玉,4tトラック,90.8,2638,0,26258,1658.8,11,遅延,28896,318.2378854625551,2626.909090909091,delivery_202401_styleA.csv
A-0008,2024-01-21,R02_東京-埼玉,2tトラック,104.0,2877,665,24131,1350.8,23,完了,27673,266.08653846153845,1203.1739130434783,delivery_202401_styleA.csv
A-0009,2024-01-29,R04_大阪-京都,軽バン,54.2,677,849,15960,292.5,24,完了,17486,322.61992619926195,728.5833333333334,delivery_202401_styleA.csv
A-0010,2024-01-22,R03_大阪-神戸,軽バン,21.0,315,727,10377,99.3,21,完了,11419,543.7619047619048,543.7619047619048,delivery_202401_styleA.csv
A-0011,2024-01-22,R05_名古屋-豊田,軽バン,13.2,141,0,14233,487.0,28,遅延,14374,1088.939393939394,513.3571428571429,delivery_202401_styleA.csv
A-0012,2024-01-09,R05_名古屋-豊田,2tトラック,97.6,2657,1234,16582,504.9,24,遅延,20473,209.76434426229508,853.0416666666666,delivery_202401_styleA.csv
A-0013,2024-01-31,R05_名古屋-豊田,4tトラック,140.4,5343,2097,25308,1458.5,25,完了,32748,233.24786324786325,1309.92,delivery_202401_styleA.csv
A-0014,2024-01-08,R05_名古屋-豊田,2tトラック,59.2,1079,0,23787,1747.5,10,完了,24866,420.03378378378375,2486.6,delivery_202401_styleA.csv
A-0015,2024-01-18,R01_東京-横浜,2tトラック,95.9,2665,0,20327,688.6,22,完了,22992,239.7497393117831,1045.090909090909,delivery_202401_styleA.csv
A-0016,2024-01-10,R03_大阪-神戸,4tトラック,98.0,3342,0,29147,3265.8,23,完了,32489,331.5204081632653,1412.5652173913043,delivery_202401_styleA.csv
