社員番号,運転者名,所属,乗務日付,出発時刻,到着時刻,休憩h,走行km,運行種別
DRV021,ドライバー21,名古屋営業所,2024-01-29,06:30,14:30,0.8,89.4,市内配送
DRV024,ドライバー24,名古屋営業所,2024-01-07,10:15,20:55,1.5,294.5,中距離
DRV005,ドライバー05,大阪営業所,2024-01-03,06:15,16:56,0.8,79.1,市内配送
DRV012,ドライバー12,名古屋営業所,2024-01-24,06:00,17:01,1.2,178.9,中距離
DRV019,ドライバー19,東京営業所,2024-01-14,07:15,17:25,1.4,285.2,中距離
DRV013,ドライバー13,東京営業所,2024-01-24,08:30,17:51,0.6,96.0,市内配送
DRV005,ドライバー05,大阪営業所,2024-01-19,06:15,14:34,0.7,52.0,市内配送
DRV004,ドライバー04,東京営業所,2024-01-31,07:45,17:58,0.9,124.0,中距離
DRV006,ドライバー06,名古屋営業所,2024-01-10,10:00,18:38,0.9,40.4,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-12,09:00,22:41,1.3,597.2,長距離
DRV001,ドライバー01,東京営業所,2024-01-28,09:15,17:32,0.6,85.6,市内配送
DRV004,ドライバー04,東京営業所,2024-01-27,07:15,19:44,1.4,505.9,長距離
DRV021,ドライバー21,名古屋営業所,2024-01-19,08:00,20:03,1.1,570.7,長距離
DRV015,ドライバー15,名古屋営業所,2024-01-03,08:00,16:07,0.7,41.8,市内配送
DRV019,ドライバー19,東京営業所,2024-01-24,09:45,18:52,1.3,134.6,中距離
DRV007,ドライバー07,東京営業所,2024-01-09,08:45,19:24,0.5,73.3,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-16,09:45,17:55,0.6,39.6,市内配送
DRV007,ドライバー07,東京営業所,2024-01-26,10:15,20:08,0.9,85.6,市内配送
DRV013,ドライバー13,東京営業所,2024-01-12,09:45,18:46,0.8,52.5,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-11,10:15,22:19,1.8,384.3,長距離
DRV026,ドライバー26,大阪営業所,2024-01-17,08:15,19:10,0.6,76.0,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-26,06:15,17:33,1.5,177.7,中距離
DRV030,ドライバー30,名古屋営業所,2024-01-28,07:15,15:57,0.7,81.7,市内配送
