driver_id,name,office,work_date,departure_time,return_time,break_hours,distance_km,operation_type,confinement_hours,work_hours,confinement_over_flag,work_over_flag,violation_flag,source_file
DRV021,ドライバー21,名古屋営業所,2024-01-24,08:15,20:48,1.7,503.0,長距離,12.55,10.85,False,True,違反,driver_202401_styleA.csv
DRV029,ドライバー29,大阪営業所,2024-01-19,09:00,18:07,0.9,201.1,中距離,9.12,8.22,False,False,正常,driver_202401_styleA.csv
DRV001,ドライバー01,東京営業所,2024-01-23,10:45,20:37,1.2,261.9,中距離,9.87,8.67,False,False,正常,driver_202401_styleA.csv
DRV001,ドライバー01,東京営業所,2024-01-06,09:30,18:20,0.6,83.4,市内配送,8.83,8.23,False,False,正常,driver_202401_styleA.csv
DRV004,ドライバー04,東京営業所,2024-01-04,08:30,22:00,1.8,518.9,長距離,13.5,11.7,True,True,違反,driver_202401_styleA.csv
DRV018,ドライバー18,名古屋営業所,2024-01-30,09:00,22:22,1.8,485.6,長距離,13.37,11.57,True,True,違反,driver_202401_styleA.csv
DRV028,ドライバー28,東京営業所,2024-01-07,06:00,17:38,1.3,297.0,中距離,11.63,10.33,False,True,違反,driver_202401_styleA.csv
DRV028,ドライバー28,東京営業所,2024-01-04,09:30,22:38,1.8,348.8,長距離,13.13,11.33,True,True,違反,driver_202401_styleA.csv
DRV012,ドライバー12,名古屋営業所,2024-01-09,06:15,19:35,1.2,438.7,長距離,13.33,12.13,True,True,違反,driver_202401_styleA.csv
DRV009,ドライバー09,名古屋営業所,2024-01-21,10:15,20:18,0.9,84.3,市内配送,10.05,9.15,False,True,違反,driver_202401_styleA.csv
DRV008,ドライバー08,大阪営業所,2024-01-26,08:45,17:33,0.6,96.0,市内配送,8.8,8.2,False,False,正常,driver_202401_styleA.csv
DRV029,ドライバー29,大阪営業所,2024-01-07,09:45,20:24,0.8,40.0,市内配送,10.65,9.85,False,True,違反,driver_202401_styleA.csv
DRV005,ドライバー05,大阪営業所,2024-01-18,10:30,00:22,1.4,475.1,長距離,13.87,12.47,True,True,違反,driver_202401_styleA.csv
DRV012,ドライバー12,名古屋営業所,2024-01-05,10:45,22:58,1.0,332.9,長距離,12.22,11.22,False,True,違反,driver_202401_styleA.csv
DRV021,ドライバー21,名古屋営業所,2024-01-22,09:00,21:57,1.6,440.4,長距離,12.95,11.35,False,True,違反,driver_202401_styleA.csv
DRV009,ドライバー09,名古屋営業所,2024-01-28,06:00,16:02,0.8,48.7,市内配送,10.03,9.23,False,True,違反,driver_202401_styleA.csv
DRV021,ドライバー21,名古屋営業所,2024-01-10,09:15,20:03,1.5,275.2,中距離,10.8,9.3,False,True,違反,driver_202401_styleA.csv
DRV009,ドライバー09,名古屋営業所,2024-01-25,07:00,17:36,0.6,74.7,市内配送,10.6,10.0,False,True,違反,driver_202401_styleA.csv
DRV020,ドライバー20,大阪営業所,2024-01-12,07:00,20:29,1.5,333.6,長距離,13.48,11.98,True,True,違反,driver_202401_styleA.csv
DRV012,ドライバー12,名古屋営業所,2024-01-27,08:15,16:25,0.9,96.3,市内配送,8.17,7.27,False,False,正常,driver_202401_styleA.csv
DRV003,ドライバー03,名古屋営業所,2024-01-27,06:15,14:38,0.7,68.5,市内配送,8.38,7.68,False,False,正常,driver_202401_styleA.csv
DRV009,ドライバー09,名古屋営業所,2024-01-20,09:15,21:57,1.3,238.0,中距離,12.7,11.4,False,True,違反,driver_202401_styleA.csv
DRV023,ドライバー23,大阪営業所,2024-01-22,08:45,21:20,1.1,149.6,中距離,12.58,11.48,False,True,違反,driver_202401_styleA.csv
DRV003,ドライバー03,名古屋営業所,2024-01-19,10:15,21:36,0.8,241.6,中距離,11.35,10.55,False,True,違反,driver_202401_styleA.csv
DRV002,ドライバー02,大阪営業所,2024-01-29,06:30,18:40,1.2,500.7,長距離,12.17,10.97,False,True,違反,driver_202401_styleA.csv
DRV007,ドライバー07,東京営業所,2024-01-24,10:45,20:43,1.1,181.4,中距離,9.97,8.87,False,False,正常,driver_202401_styleA.csv
DRV004,ドライバー04,東京営業所,2024-01-14,08:45,21:46,1.9,316.3,長距離,13.02,11.12,True,True,違反,driver_202401_styleA.csv
DRV021,ドライバー21,名古屋営業所,2024-01-04,06:45,16:56,0.9,37.6,市内配送,10.18,9.28,False,True,違反,driver_202401_styleA.csv
DRV007,ドライバー07,東京営業所,2024-01-15,07:45,20:12,1.5,562.3,長距離,12.45,10.95,False,True,違反,driver_202401_styleA.csv
DRV003,ドライバー03,名古屋営業所,2024-01-28,10:00,19:12,1.5,267.2,中距離,9.2,7.7,False,False,正常,driver_202401_styleA.csv
DRV003,ドライバー03,名古屋営業所,2024-01-28,07:15,16:28,0.7,90.5,市内配送,9.22,8.52,False,False,正常,driver_202401_styleA.csv
DRV029,ドライバー29,大阪営業所,2024-01-13,06:45,19:24,1.8,436.5,長距離,12.65,10.85,False,True,違反,driver_202401_styleA.csv
DRV014,ドライバー14,大阪営業所,2024-01-24,10:45,19:12,0.6,97.8,市内配送,8.45,7.85,False,False,正常,driver_202401_styleA.csv
DRV019,ドライバー19,東京営業所,2024-01-02,08:00,16:09,0.7,94.4,市内配送,8.15,7.45,False,False,正常,driver_202401_styleA.csv
DRV017,ドライバー17,大阪営業所,2024-01-31,10:00,00:07,1.1,320.4,長距離,14.12,13.02,True,True,違反,driver_202401_styleA.csv
DRV028,ドライバー28,東京営業所,2024-01-04,10:15,23:41,1.0,324.6,長距離,13.43,12.43,True,True,違反,driver_202401_styleA.csv
DRV022,ドライバー22,東京営業所,2024-01-17,08:30,18:19,1.3,147.7,中距離,9.82,8.52,False,False,正常,driver_202401_styleA.csv
DRV013,ドライバー13,東京営業所,2024-01-21,08:45,21:32,1.8,321.8,長距離,12.78,10.98,False,True,違反,driver_202401_styleA.csv
DRV015,ドライバー15,名古屋営業所,2024-01-19,06:00,15:36,0.8,39.3,市内配送,9.6,8.8,False,False,正常,driver_202401_styleA.csv
DRV012,ドライバー12,名古屋営業所,2024-01-29,07:30,16:21,0.7,68.0,市内配送,8.85,8.15,False,False,正常,driver_202401_styleA.csv
DRV010,ドライバー10,東京営業所,2024-01-26,10:00,20:00,0.8,95.2,市内配送,10.0,9.2,False,True,違反,driver_202401_styleA.csv
DRV004,ドライバー04,東京営業所,2024-01-05,08:00,18:40,0.9,40.9,市内配送,10.67,9.77,False,True,違反,driver_202401_styleA.csv
DRV010,ドライバー10,東京営業所,2024-01-23,08:15,18:18,0.9,65.4,市内配送,10.05,9.15,False,True,違反,driver_202401_styleA.csv
DRV009,ドライバー09,名古屋営業所,2024-01-28,06:00,15:54,0.9,33.1,市内配送,9.9,9.0,False,False,正常,driver_202401_styleA.csv
DRV011,ドライバー11,大阪営業所,2024-01-21,08:15,18:28,0.8,59.9,市内配送,10.22,9.42,False,True,違反,driver_202401_styleA.csv
DRV001,ドライバー01,東京営業所,2024-01-31,07:00,21:05,1.6,344.4,長距離,14.08,12.48,True,True,違反,driver_202401_styleA.csv
DRV005,ドライバー05,大阪営業所,2024-01-12,06:30,19:01,1.2,330.8,長距離,12.52,11.32,False,True,違反,driver_202401_styleA.csv
DRV025,ドライバー25,東京営業所,2024-01-28,09:15,21:57,0.9,132.5,中距離,12.7,11.8,False,True,違反,driver_202401_styleA.csv
DRV026,ドライバー26,大阪営業所,2024-01-29,09:00,17:32,1.0,84.8,市内配送,8.53,7.53,False,False,正常,driver_202401_styleA.csv
DRV014,ドライバー14,大阪営業所,2024-01-28,07:30,15:58,0.9,56.8,市内配送,8.47,7.57,False,False,正常,driver_202401_styleA.csv
DRV002,ドライバー02,大阪営業所,2024-01-08,07:45,16:47,0.9,91.0,市内配送,9.03,8.13,False,False,正常,driver_202401_styleA.csv
DRV008,ドライバー08,大阪営業所,2024-01-07,09:30,22:11,1.1,532.0,長距離,12.68,11.58,False,True,違反,driver_202401_styleA.csv
DRV012,ドライバー12,名古屋営業所,2024-01-13,10:30,21:19,0.6,97.9,市内配送,10.82,10.22,False,True,違反,driver_202401_styleA.csv
DRV006,ドライバー06,名古屋営業所,2024-01-09,06:00,17:23,1.0,257.3,中距離,11.38,10.38,False,True,違反,driver_202401_styleA.csv
DRV014,ドライバー14,大阪営業所,2024-01-17,06:45,17:26,0.6,33.1,市内配送,10.68,10.08,False,True,違反,driver_202401_styleA.csv
DRV014,ドライバー14,大阪営業所,2024-01-30,10:15,23:09,1.1,499.3,長距離,12.9,11.8,False,True,違反,driver_202401_styleA.csv
DRV011,ドライバー11,大阪営業所,2024-01-22,06:30,16:01,0.8,52.8,市内配送,9.52,8.72,False,False,正常,driver_202401_styleA.csv
DRV023,ドライバー23,大阪営業所,2024-01-05,07:45,19:24,1.0,249.6,中距離,11.65,10.65,False,True,違反,driver_202401_styleA.csv
DRV006,ドライバー06,名古屋営業所,2024-01-10,09:00,17:54,0.6,85.0,市内配送,8.9,8.3,False,False,正常,driver_202401_styleA.csv
