rank,driver_id,name,office,total_rides,violation_count,violation_rate,confinement_over,work_over,avg_confinement_hours,avg_work_hours,avg_distance_km
1,DRV018,ドライバー18,名古屋営業所,27,22,0.8148,7,22,11.8,10.57,284.2
2,DRV012,ドライバー12,名古屋営業所,26,21,0.8077,3,21,11.13,9.98,237.5
3,DRV008,ドライバー08,大阪営業所,29,20,0.6897,5,20,11.09,9.98,240.4
4,DRV023,ドライバー23,大阪営業所,22,17,0.7727,2,17,11.07,10.0,245.6
5,DRV021,ドライバー21,名古屋営業所,25,17,0.68,4,17,11.06,9.96,243.4
6,DRV025,ドライバー25,東京営業所,25,17,0.68,3,17,10.97,9.9,196.4
7,DRV022,ドライバー22,東京営業所,22,16,0.7273,4,16,11.11,10.01,212.5
8,DRV009,ドライバー09,名古屋営業所,24,15,0.625,1,15,10.32,9.35,140.5
9,DRV030,ドライバー30,名古屋営業所,23,15,0.6522,2,15,10.65,9.63,167.9
10,DRV019,ドライバー19,東京営業所,25,15,0.6,3,15,10.53,9.48,167.1
11,DRV003,ドライバー03,名古屋営業所,22,14,0.6364,1,14,10.71,9.64,190.2
12,DRV007,ドライバー07,東京営業所,19,13,0.6842,6,13,11.61,10.44,267.1
13,DRV005,ドライバー05,大阪営業所,19,13,0.6842,4,13,11.06,10.04,209.0
14,DRV004,ドライバー04,東京営業所,14,13,0.9286,3,13,11.97,10.65,243.0
15,DRV028,ドライバー28,東京営業所,18,13,0.7222,4,13,11.21,10.11,259.4
16,DRV016,ドライバー16,東京営業所,17,12,0.7059,2,12,10.85,9.8,219.0
17,DRV015,ドライバー15,名古屋営業所,20,12,0.6,4,12,10.74,9.74,185.1
18,DRV026,ドライバー26,大阪営業所,20,11,0.55,1,11,10.42,9.45,130.0
19,DRV027,ドライバー27,名古屋営業所,17,11,0.6471,1,11,10.69,9.72,170.2
20,DRV024,ドライバー24,名古屋営業所,16,11,0.6875,2,11,11.02,9.89,211.4
21,DRV020,ドライバー20,大阪営業所,18,11,0.6111,2,11,10.76,9.72,218.0
22,DRV014,ドライバー14,大阪営業所,18,10,0.5556,2,10,10.85,9.72,211.2
23,DRV011,ドライバー11,大阪営業所,17,10,0.5882,2,10,10.6,9.61,148.9
24,DRV002,ドライバー02,大阪営業所,17,10,0.5882,1,10,10.52,9.5,204.6
25,DRV029,ドライバー29,大阪営業所,18,9,0.5,2,9,10.29,9.44,175.5
26,DRV006,ドライバー06,名古屋営業所,19,9,0.4737,1,9,9.99,9.11,153.0
27,DRV001,ドライバー01,東京営業所,16,8,0.5,4,8,10.78,9.64,222.5
28,DRV010,ドライバー10,東京営業所,14,8,0.5714,2,8,10.42,9.44,171.2
29,DRV013,ドライバー13,東京営業所,21,7,0.3333,0,7,9.81,8.89,127.9
30,DRV017,ドライバー17,大阪営業所,12,5,0.4167,1,5,10.25,9.17,151.5
