運行日,ルートID,エリア,車両タイプ,走行距離km,所要時間分,燃料費,配送件数,遅延フラグ
2024/01/18,R02,東京,4tトラック,113.0,246,9892.0,58,0
2024/01/07,R02,札幌,2tトラック,53.2,142,2931.0,29,1
2024/01/11,R09,福岡,軽バン,47.0,93,2278.0,10,0
2024/01/12,R05,大阪,軽バン,77.4,100,958.0,8,0
2024/01/10,R10,名古屋,軽バン,63.8,124,2454.0,17,1
2024/01/28,R10,名古屋,4tトラック,103.1,200,9290.0,33,0
2024/01/22,R04,東京,2tトラック,77.8,272,3459.0,21,0
2024/01/30,R05,東京,4tトラック,156.2,340,5958.0,44,0
2024/01/13,R09,大阪,4tトラック,118.9,410,4448.0,17,0
2024/01/13,R05,東京,軽バン,74.8,128,2020.0,11,0
2024/01/29,R08,大阪,2tトラック,64.0,298,4156.0,33,0
2024/01/28,R10,福岡,2tトラック,71.9,359,4038.0,12,0
2024/01/15,R02,大阪,4tトラック,99.2,384,8771.0,39,0
2024/01/25,R09,名古屋,4tトラック,183.3,183,9766.0,58,0
2024/01/25,R05,名古屋,軽バン,37.6,78,806.0,13,0
2024/01/25,R03,札幌,軽バン,72.2,95,1886.0,11,1
2024/01/29,R03,札幌,4tトラック,190.2,359,7909.0,22,0
2024/01/25,R05,大阪,軽バン,34.5,128,934.0,20,0
2024/01/30,R09,大阪,軽バン,59.6,173,1081.0,18,0
2024/01/15,R09,大阪,4tトラック,117.4,478,9199.0,43,0
2024/01/23,R02,大阪,軽バン,23.8,62,1742.0,12,1
2024/01/16,R01,大阪,軽バン,74.3,163,920.0,12,0
2024/01/26,R04,札幌,軽バン,63.4,165,1780.0,12,0
2024/01/02,R07,大阪,軽バン,25.8,111,1520.0,19,0
2024/01/15,R02,東京,2tトラック,122.8,312,2437.0,16,1
2024/01/28,R03,福岡,軽バン,36.7,89,2370.0,19,0
2024/01/28,R09,東京,軽バン,59.1,124,825.0,7,0
2024/01/01,R04,大阪,2tトラック,98.6,171,3604.0,11,1
2024/01/23,R07,名古屋,2tトラック,78.5,287,4922.0,35,0
2024/01/02,R08,大阪,軽バン,37.8,176,1785.0,6,0
2024/01/28,R01,札幌,2tトラック,100.3,324,2630.0,40,0
2024/01/20,R03,東京,4tトラック,88.2,438,7230.0,51,0
2024/01/23,R01,札幌,軽バン,45.2,130,1689.0,13,0
2024/01/30,R06,大阪,2tトラック,89.6,281,3200.0,20,0
2024/01/09,R02,東京,2tトラック,112.1,255,2400.0,27,0
2024/01/26,R03,名古屋,軽バン,72.8,104,1068.0,14,0
2024/01/29,R09,東京,4tトラック,178.1,269,9307.0,23,0
2024/01/28,R02,札幌,軽バン,36.3,132,2020.0,11,0
2024/01/09,R05,札幌,2tトラック,75.1,337,2203.0,30,0
2024/01/23,R01,東京,2tトラック,127.1,272,3048.0,33,0
2024/01/27,R07,札幌,軽バン,26.7,173,1975.0,9,0
2024/01/07,R06,札幌,4tトラック,97.8,218,6466.0,17,0
2024/01/30,R04,東京,2tトラック,128.0,332,3626.0,29,0
2024/01/14,R04,大阪,軽バン,72.9,62,2052.0,15,0
2024/01/27,R04,名古屋,軽バン,67.2,72,2283.0,20,0
2024/01/11,R08,名古屋,2tトラック,132.1,329,2892.0,31,1
2024/01/31,R05,東京,2tトラック,85.1,242,4718.0,36,0
2024/01/12,R01,東京,2tトラック,67.9,351,3062.0,13,0
2024/01/23,R06,福岡,4tトラック,198.1,214,11196.0,27,0
2024/01/14,R07,東京,4tトラック,191.1,341,9755.0,57,1
2024/01/22,R02,名古屋,4tトラック,117.7,434,9758.0,34,0
2024/01/22,R07,名古屋,2tトラック,119.7,253,2767.0,31,0
2024/01/26,R03,札幌,4tトラック,116.1,344,4003.0,33,0
2024/01/29,R10,札幌,4tトラック,118.7,312,9405.0,47,0
2024/01/08,R03,東京,2tトラック,101.5,271,3341.0,36,0
2024/01/29,R05,大阪,軽バン,28.8,65,2473.0,7,0
2024/01/29,R10,大阪,4tトラック,163.6,328,5952.0,56,0
2024/01/30,R02,福岡,軽バン,30.6,174,1681.0,6,0
2024/01/29,R02,福岡,軽バン,68.1,140,2479.0,15,0
2024/01/24,R08,札幌,4tトラック,187.0,308,11255.0,43,0
2024/01/21,R08,福岡,2tトラック,125.2,321,3109.0,34,0
2024/01/03,R04,名古屋,2tトラック,57.7,188,3087.0,20,0
2024/01/18,R03,大阪,軽バン,43.0,78,1164.0,18,0
2024/01/25,R08,福岡,軽バン,32.4,110,2338.0,5,0
2024/01/27,R10,福岡,2tトラック,50.6,204,5014.0,37,0
2024/01/14,R07,札幌,4tトラック,168.2,419,11182.0,46,0
2024/01/30,R08,東京,2tトラック,83.6,282,3617.0,15,0
2024/01/14,R03,札幌,4tトラック,83.2,298,8515.0,16,1
2024/01/29,R03,福岡,軽バン,23.0,105,1160.0,15,0
2024/01/31,R07,名古屋,2tトラック,75.2,139,2078.0,27,1
2024/01/07,R06,大阪,4tトラック,88.2,467,4322.0,16,0
2024/01/09,R01,札幌,軽バン,34.3,116,994.0,11,0
2024/01/04,R06,大阪,4tトラック,152.9,404,4916.0,25,0
2024/01/03,R10,東京,2tトラック,107.6,337,3501.0,40,0
2024/01/19,R10,大阪,軽バン,61.8,96,1963.0,8,0
2024/01/14,R01,名古屋,4tトラック,131.4,291,8048.0,36,1
2024/01/06,R08,東京,2tトラック,146.1,272,5315.0,32,1
2024/01/19,R09,名古屋,4tトラック,177.0,341,7868.0,42,0
2024/01/19,R05,名古屋,軽バン,69.8,70,2299.0,12,0
2024/01/09,R10,福岡,2tトラック,52.9,324,2727.0,16,0
2024/01/24,R06,名古屋,4tトラック,164.1,262,4081.0,27,1
2024/01/01,R07,福岡,4tトラック,171.0,387,9167.0,46,0
2024/01/17,R02,名古屋,軽バン,44.3,89,1929.0,16,0
2024/01/04,R06,福岡,4tトラック,146.0,285,7630.0,34,0
2024/01/16,R04,名古屋,軽バン,64.6,174,1973.0,11,0
2024/01/06,R05,札幌,4tトラック,151.6,474,10661.0,33,0
2024/01/31,R05,東京,4tトラック,144.1,262,11794.0,50,0
2024/01/31,R03,福岡,軽バン,72.4,128,1598.0,19,0
2024/01/02,R01,名古屋,2tトラック,61.4,135,3967.0,28,0
2024/01/20,R03,大阪,4tトラック,193.9,205,5986.0,50,0
2024/01/14,R10,札幌,軽バン,66.5,105,2344.0,14,0
2024/01/09,R05,札幌,4tトラック,87.2,468,4794.0,28,0
2024/01/16,R02,大阪,軽バン,30.4,69,805.0,19,0
2024/01/30,R05,東京,軽バン,37.3,93,2261.0,7,0
2024/01/30,R05,札幌,4tトラック,176.5,239,4918.0,29,0
2024/01/15,R05,大阪,軽バン,23.6,155,1812.0,14,0
2024/01/24,R05,福岡,2tトラック,100.0,238,2322.0,11,0
2024/01/31,R06,札幌,2tトラック,52.6,174,4697.0,37,0
2024/01/09,R01,名古屋,4tトラック,84.8,406,7764.0,56,0
2024/01/11,R03,札幌,2tトラック,113.5,238,2365.0,21,0
2024/01/18,R02,大阪,2tトラック,91.2,238,4650.0,22,0
2024/01/27,R01,福岡,軽バン,38.9,98,2449.0,17,0
2024/01/15,R01,札幌,2tトラック,91.3,165,3447.0,34,0
2024/01/01,R01,大阪,2tトラック,104.9,342,3752.0,32,0
2024/01/27,R10,大阪,4tトラック,99.0,345,8418.0,20,0
2024/01/09,R02,福岡,軽バン,58.9,78,2386.0,14,0
2024/01/24,R07,福岡,2tトラック,74.4,252,3534.0,39,0
2024/01/27,R03,東京,2tトラック,127.3,325,3360.0,35,0
2024/01/15,R01,名古屋,4tトラック,115.8,356,11991.0,46,0
2024/01/07,R09,福岡,2tトラック,83.2,303,3509.0,39,0
2024/01/30,R04,札幌,2tトラック,73.4,306,2175.0,33,0
2024/01/31,R07,福岡,4tトラック,175.1,375,5217.0,17,1
2024/01/05,R10,名古屋,軽バン,72.5,112,1694.0,19,1
2024/01/28,R07,大阪,軽バン,48.2,176,1376.0,17,0
2024/01/02,R06,札幌,2tトラック,145.4,270,5550.0,25,0
2024/01/04,R10,東京,軽バン,57.9,170,2496.0,7,0
2024/01/12,R02,福岡,軽バン,61.6,168,878.0,6,0
2024/01/20,R07,大阪,軽バン,51.9,127,2147.0,10,1
2024/01/15,R07,札幌,4tトラック,108.9,453,5145.0,44,0
2024/01/19,R05,東京,2tトラック,140.1,282,2632.0,24,0
2024/01/04,R05,福岡,4tトラック,110.0,433,5594.0,39,0
2024/01/22,R04,福岡,4tトラック,123.1,268,9594.0,16,0
2024/01/24,R07,名古屋,軽バン,54.0,142,2066.0,6,0
2024/01/24,R08,名古屋,軽バン,56.4,102,1882.0,13,0
2024/01/05,R03,東京,4tトラック,157.6,272,7527.0,52,0
2024/01/12,R02,名古屋,2tトラック,124.7,162,2529.0,27,0
2024/01/10,R09,札幌,2tトラック,133.0,181,5299.0,25,0
2024/01/22,R06,東京,2tトラック,146.3,153,5866.0,37,0
2024/01/22,R07,札幌,2tトラック,59.0,214,3058.0,13,0
2024/01/20,R05,札幌,2tトラック,132.2,345,2433.0,17,0
2024/01/14,R09,名古屋,4tトラック,106.6,198,10591.0,59,0
2024/01/18,R02,大阪,軽バン,76.8,96,1637.0,8,0
2024/01/24,R03,福岡,2tトラック,87.1,347,4786.0,27,0
2024/01/12,R03,福岡,4tトラック,91.9,326,7265.0,32,1
2024/01/29,R04,福岡,2tトラック,145.1,325,2397.0,31,0
2024/01/22,R06,東京,2tトラック,77.6,352,5796.0,36,0
2024/01/25,R04,札幌,軽バン,23.0,100,2481.0,11,1
2024/01/20,R09,大阪,4tトラック,105.9,440,6628.0,24,0
2024/01/01,R01,名古屋,軽バン,79.3,124,2157.0,8,0
2024/01/05,R03,東京,2tトラック,129.0,177,3295.0,15,0
