Date,RouteID,Area,VehicleType,DistanceKm,DurationMin,FuelCost,DeliveryCount,DelayFlag
2024-01-08,R07,札幌,軽バン,64.7,117,2123.0,8,0
2024-01-01,R10,東京,4tトラック,174.0,440,8172.0,44,0
2024-01-03,R01,福岡,2tトラック,92.6,145,4850.0,24,1
2024-01-20,R06,札幌,軽バン,23.9,93,1876.0,15,0
2024-01-21,R09,名古屋,2tトラック,100.6,223,5172.0,13,0
2024-01-24,R09,大阪,2tトラック,95.2,174,3356.0,24,0
2024-01-03,R02,名古屋,2tトラック,81.3,181,5814.0,31,0
2024-01-19,R02,東京,軽バン,45.9,149,1433.0,9,0
2024-01-28,R09,札幌,2tトラック,117.0,218,5494.0,40,0
2024-01-08,R01,名古屋,4tトラック,117.5,211,8059.0,24,0
2024-01-25,R02,名古屋,4tトラック,124.1,408,8593.0,42,0
2024-01-06,R10,札幌,4tトラック,157.1,187,11433.0,59,0
2024-01-05,R05,名古屋,2tトラック,85.1,163,2573.0,31,0
2024-01-24,R01,東京,4tトラック,143.7,292,7629.0,25,0
2024-01-03,R06,札幌,4tトラック,90.2,195,5259.0,54,1
2024-01-04,R05,福岡,4tトラック,130.9,362,7313.0,28,0
2024-01-13,R06,福岡,軽バン,37.0,141,1627.0,14,1
2024-01-04,R10,東京,軽バン,32.3,173,2104.0,13,0
2024-01-27,R01,福岡,4tトラック,131.7,218,8261.0,29,0
2024-01-11,R06,東京,2tトラック,136.2,130,2075.0,39,1
2024-01-11,R10,福岡,4tトラック,128.5,372,6316.0,40,1
2024-01-14,R03,札幌,2tトラック,133.2,340,2353.0,37,1
2024-01-06,R10,福岡,4tトラック,89.4,441,9966.0,29,0
2024-01-31,R02,札幌,4tトラック,93.7,332,11247.0,37,0
2024-01-25,R03,大阪,軽バン,28.8,83,1824.0,7,1
2024-01-20,R08,福岡,4tトラック,171.2,314,11393.0,51,0
2024-01-12,R06,名古屋,軽バン,46.4,116,1873.0,13,0
2024-01-28,R09,東京,2tトラック,96.2,129,3475.0,19,1
2024-01-26,R02,札幌,4tトラック,140.8,318,8435.0,17,0
2024-01-29,R10,大阪,2tトラック,110.5,240,5831.0,24,1
2024-01-20,R06,東京,4tトラック,157.5,191,9661.0,43,0
2024-01-26,R03,名古屋,2tトラック,141.8,212,5098.0,31,0
2024-01-31,R06,東京,2tトラック,59.5,282,3137.0,33,0
2024-01-23,R10,大阪,2tトラック,58.2,279,5667.0,19,0
2024-01-27,R07,大阪,4tトラック,165.1,205,8471.0,56,0
2024-01-31,R03,札幌,軽バン,58.8,110,1415.0,16,0
2024-01-04,R04,名古屋,2tトラック,69.2,359,2620.0,19,0
