日付,路線CD,担当エリア,車種,走行km,所要分,燃油費,件数,遅延
2024/01/08,R10,札幌,4tトラック,130.1,225,6639.0,39,0
2024/01/21,R08,札幌,4tトラック,193.2,281,10107.0,46,0
2024/01/29,R08,福岡,軽バン,64.0,102,1038.0,20,1
2024/01/01,R09,東京,4tトラック,84.1,434,11562.0,57,1
2024/01/02,R07,大阪,4tトラック,107.8,392,4073.0,47,0
2024/01/17,R10,札幌,2tトラック,115.9,123,4129.0,23,1
2024/01/06,R05,札幌,2tトラック,51.7,315,4696.0,35,0
2024/01/13,R02,東京,4tトラック,97.9,237,8212.0,37,0
2024/01/28,R02,名古屋,2tトラック,95.9,178,4789.0,19,0
2024/01/03,R02,東京,軽バン,44.3,105,1609.0,5,0
2024/01/30,R08,福岡,4tトラック,174.1,349,10864.0,21,0
2024/01/03,R01,大阪,軽バン,74.1,143,1764.0,13,1
2024/01/19,R05,札幌,4tトラック,159.0,233,10803.0,16,0
2024/01/18,R03,福岡,軽バン,38.0,127,1763.0,17,0
2024/01/12,R06,福岡,4tトラック,96.8,476,9793.0,47,0
2024/01/13,R01,東京,2tトラック,73.2,138,4421.0,29,0
2024/01/13,R06,東京,4tトラック,112.8,477,7925.0,37,0
2024/01/23,R07,大阪,4tトラック,150.3,294,10177.0,33,0
2024/01/12,R02,東京,2tトラック,65.4,290,4536.0,33,0
2024/01/06,R02,東京,軽バン,76.6,113,2094.0,8,1
2024/01/20,R07,福岡,4tトラック,146.6,302,4210.0,37,0
2024/01/29,R10,名古屋,2tトラック,51.2,219,5117.0,33,0
2024/01/05,R04,札幌,4tトラック,100.3,294,5111.0,34,0
2024/01/08,R02,大阪,2tトラック,77.6,191,5131.0,21,0
2024/01/20,R08,札幌,4tトラック,103.5,212,6437.0,40,0
2024/01/11,R07,名古屋,2tトラック,83.5,315,5438.0,29,1
2024/01/21,R10,大阪,2tトラック,81.4,351,5875.0,19,0
2024/01/19,R08,札幌,軽バン,39.6,93,2136.0,16,1
2024/01/07,R04,札幌,4tトラック,101.6,410,4215.0,44,0
2024/01/21,R08,名古屋,4tトラック,88.3,434,10360.0,58,0
2024/01/20,R05,大阪,2tトラック,115.9,291,5156.0,12,0
2024/01/26,R08,札幌,2tトラック,103.4,341,5479.0,23,0
2024/01/06,R06,札幌,4tトラック,156.6,205,10152.0,57,0
2024/01/14,R10,東京,4tトラック,198.0,383,7197.0,36,0
2024/01/13,R02,東京,軽バン,35.5,121,1682.0,12,0
2024/01/30,R08,札幌,4tトラック,140.1,283,4197.0,21,0
2024/01/12,R02,東京,4tトラック,97.0,273,7643.0,28,0
2024/01/04,R08,東京,2tトラック,122.2,228,2269.0,11,0
2024/01/18,R01,名古屋,4tトラック,93.1,420,11439.0,30,0
2024/01/21,R03,名古屋,4tトラック,131.2,318,10382.0,55,1
2024/01/23,R07,福岡,軽バン,64.2,165,1564.0,18,0
2024/01/18,R04,大阪,2tトラック,125.2,314,2250.0,13,0
2024/01/21,R03,名古屋,2tトラック,69.7,147,4683.0,25,0
2024/01/06,R06,札幌,2tトラック,111.1,260,3392.0,37,0
2024/01/12,R05,札幌,4tトラック,90.2,220,4943.0,34,1
2024/01/18,R03,札幌,2tトラック,91.8,153,3535.0,15,0
2024/01/28,R03,札幌,軽バン,49.4,76,1335.0,19,0
2024/01/14,R06,東京,2tトラック,63.7,315,5855.0,26,0
2024/01/08,R08,福岡,4tトラック,180.8,326,4661.0,16,0
2024/01/25,R05,東京,2tトラック,72.5,189,5123.0,28,0
2024/01/25,R08,札幌,4tトラック,93.6,214,10201.0,38,0
2024/01/10,R01,福岡,4tトラック,106.2,307,9888.0,56,0
