日付,店舗名,商品名,カテゴリ,数量,単価,売上金額,廃棄数量,廃棄金額
2024/01/04,渋谷店,担々麺,麺類,4,980,3920,0,0
2024/01/24,渋谷店,ラーメン,麺類,7,900,6300,0,0
2024/01/03,渋谷店,チャーハン,ご飯もの,1,750,750,0,0
2024/01/23,渋谷店,アイスクリーム,デザート,4,400,1600,0,0
2024/01/09,渋谷店,つけ麺,麺類,7,1000,7000,0,0
2024/01/05,渋谷店,カレーライス,ご飯もの,2,800,1600,0,0
2024/01/04,渋谷店,唐揚げ,副菜,5,550,2750,1,550
2024/01/24,渋谷店,ビール,ドリンク,2,550,1100,2,1100
2024/01/13,渋谷店,担々麺,麺類,6,980,5880,0,0
2024/01/23,渋谷店,ラーメン,麺類,4,900,3600,1,900
2024/01/03,渋谷店,チャーハン,ご飯もの,7,750,5250,0,0
2024/01/21,渋谷店,餃子,副菜,6,450,2700,0,0
2024/01/22,渋谷店,春巻き,副菜,2,400,800,0,0
2024/01/06,渋谷店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/09,渋谷店,杏仁豆腐,デザート,6,380,2280,1,380
2024/01/25,渋谷店,つけ麺,麺類,1,1000,1000,1,1000
2024/01/13,渋谷店,餃子,副菜,4,450,1800,2,900
2024/01/19,渋谷店,餃子,副菜,8,450,3600,0,0
2024/01/21,渋谷店,ウーロン茶,ドリンク,5,250,1250,0,0
2024/01/24,渋谷店,アイスクリーム,デザート,7,400,2800,1,400
2024/01/13,渋谷店,餃子,副菜,3,450,1350,0,0
2024/01/03,渋谷店,ラーメン,麺類,3,900,2700,0,0
2024/01/26,渋谷店,ビール,ドリンク,2,550,1100,0,0
2024/01/20,渋谷店,ビール,ドリンク,5,550,2750,2,1100
2024/01/28,渋谷店,ラーメン,麺類,5,900,4500,1,900
2024/01/11,渋谷店,担々麺,麺類,7,980,6860,0,0
2024/01/01,渋谷店,春巻き,副菜,3,400,1200,0,0
2024/01/04,渋谷店,春巻き,副菜,4,400,1600,0,0
2024/01/25,渋谷店,天丼,ご飯もの,1,950,950,0,0
2024/01/16,渋谷店,ラーメン,麺類,6,900,5400,1,900
2024/01/27,渋谷店,餃子,副菜,1,450,450,0,0
2024/01/19,渋谷店,ラーメン,麺類,8,900,7200,1,900
2024/01/25,渋谷店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/18,渋谷店,カレーライス,ご飯もの,7,800,5600,2,1600
2024/01/18,渋谷店,天丼,ご飯もの,5,950,4750,0,0
2024/01/22,渋谷店,唐揚げ,副菜,8,550,4400,0,0
2024/01/08,渋谷店,担々麺,麺類,1,980,980,0,0
2024/01/08,渋谷店,杏仁豆腐,デザート,1,380,380,0,0
2024/01/21,渋谷店,つけ麺,麺類,2,1000,2000,2,2000
2024/01/28,渋谷店,餃子,副菜,4,450,1800,0,0
2024/01/16,渋谷店,天丼,ご飯もの,3,950,2850,1,950
2024/01/19,渋谷店,アイスクリーム,デザート,4,400,1600,1,400
2024/01/26,渋谷店,ウーロン茶,ドリンク,2,250,500,0,0
2024/01/14,渋谷店,唐揚げ,副菜,7,550,3850,0,0
2024/01/24,渋谷店,ラーメン,麺類,1,900,900,0,0
2024/01/11,渋谷店,つけ麺,麺類,4,1000,4000,0,0
2024/01/15,渋谷店,カレーライス,ご飯もの,3,800,2400,0,0
2024/01/08,渋谷店,塩ラーメン,麺類,2,880,1760,0,0
2024/01/18,渋谷店,ラーメン,麺類,4,900,3600,0,0
2024/01/16,渋谷店,ウーロン茶,ドリンク,7,250,1750,2,500
2024/01/06,渋谷店,ウーロン茶,ドリンク,7,250,1750,0,0
2024/01/26,渋谷店,コーラ,ドリンク,7,300,2100,0,0
2024/01/24,渋谷店,アイスクリーム,デザート,3,400,1200,0,0
2024/01/07,渋谷店,ラーメン,麺類,6,900,5400,0,0
2024/01/19,渋谷店,ビール,ドリンク,3,550,1650,0,0
2024/01/17,渋谷店,つけ麺,麺類,2,1000,2000,0,0
2024/01/22,渋谷店,カレーライス,ご飯もの,2,800,1600,2,1600
2024/01/19,渋谷店,天丼,ご飯もの,1,950,950,0,0
2024/01/14,渋谷店,アイスクリーム,デザート,5,400,2000,0,0
2024/01/23,渋谷店,餃子,副菜,5,450,2250,0,0
2024/01/22,渋谷店,唐揚げ,副菜,6,550,3300,2,1100
2024/01/03,渋谷店,塩ラーメン,麺類,2,880,1760,0,0
2024/01/07,渋谷店,アイスクリーム,デザート,3,400,1200,2,800
2024/01/03,渋谷店,カレーライス,ご飯もの,5,800,4000,0,0
2024/01/27,渋谷店,アイスクリーム,デザート,1,400,400,0,0
2024/01/18,渋谷店,春巻き,副菜,2,400,800,2,800
2024/01/05,渋谷店,餃子,副菜,2,450,900,1,450
2024/01/05,渋谷店,唐揚げ,副菜,4,550,2200,1,550
2024/01/07,渋谷店,春巻き,副菜,8,400,3200,0,0
2024/01/28,渋谷店,ラーメン,麺類,7,900,6300,1,900
2024/01/02,渋谷店,担々麺,麺類,3,980,2940,0,0
2024/01/09,渋谷店,天丼,ご飯もの,8,950,7600,0,0
2024/01/14,渋谷店,杏仁豆腐,デザート,2,380,760,0,0
2024/01/23,渋谷店,天丼,ご飯もの,1,950,950,1,950
2024/01/19,渋谷店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/10,渋谷店,餃子,副菜,6,450,2700,0,0
2024/01/08,渋谷店,担々麺,麺類,7,980,6860,2,1960
2024/01/24,渋谷店,チャーハン,ご飯もの,3,750,2250,2,1500
2024/01/26,渋谷店,カレーライス,ご飯もの,1,800,800,0,0
2024/01/11,渋谷店,ビール,ドリンク,4,550,2200,0,0
2024/01/26,渋谷店,塩ラーメン,麺類,1,880,880,1,880
2024/01/08,渋谷店,カレーライス,ご飯もの,6,800,4800,0,0
2024/01/26,渋谷店,チャーハン,ご飯もの,1,750,750,0,0
2024/01/13,渋谷店,唐揚げ,副菜,2,550,1100,2,1100
2024/01/09,渋谷店,春巻き,副菜,7,400,2800,0,0
2024/01/27,渋谷店,アイスクリーム,デザート,1,400,400,0,0
2024/01/09,渋谷店,天丼,ご飯もの,5,950,4750,0,0
2024/01/20,渋谷店,コーラ,ドリンク,6,300,1800,0,0
2024/01/17,渋谷店,塩ラーメン,麺類,4,880,3520,0,0
2024/01/23,渋谷店,ウーロン茶,ドリンク,4,250,1000,0,0
2024/01/03,渋谷店,春巻き,副菜,6,400,2400,0,0
2024/01/04,渋谷店,春巻き,副菜,5,400,2000,0,0
2024/01/11,渋谷店,ビール,ドリンク,5,550,2750,0,0
2024/01/07,渋谷店,ビール,ドリンク,7,550,3850,0,0
2024/01/06,渋谷店,アイスクリーム,デザート,7,400,2800,0,0
2024/01/01,渋谷店,唐揚げ,副菜,4,550,2200,0,0
2024/01/19,渋谷店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/22,渋谷店,天丼,ご飯もの,8,950,7600,1,950
2024/01/26,渋谷店,天丼,ご飯もの,2,950,1900,0,0
2024/01/22,渋谷店,アイスクリーム,デザート,2,400,800,1,400
2024/01/25,渋谷店,天丼,ご飯もの,5,950,4750,0,0
2024/01/07,渋谷店,チャーハン,ご飯もの,1,750,750,0,0
2024/01/16,渋谷店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/21,渋谷店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/08,渋谷店,天丼,ご飯もの,1,950,950,1,950
2024/01/28,渋谷店,塩ラーメン,麺類,4,880,3520,0,0
2024/01/23,渋谷店,アイスクリーム,デザート,1,400,400,0,0
2024/01/28,渋谷店,塩ラーメン,麺類,3,880,2640,1,880
2024/01/22,渋谷店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/24,渋谷店,アイスクリーム,デザート,8,400,3200,1,400
2024/01/24,渋谷店,コーラ,ドリンク,5,300,1500,1,300
2024/01/27,渋谷店,春巻き,副菜,8,400,3200,0,0
2024/01/09,渋谷店,ウーロン茶,ドリンク,5,250,1250,0,0
2024/01/11,渋谷店,春巻き,副菜,2,400,800,0,0
2024/01/08,渋谷店,ビール,ドリンク,3,550,1650,1,550
2024/01/03,渋谷店,コーラ,ドリンク,6,300,1800,0,0
2024/01/14,渋谷店,つけ麺,麺類,7,1000,7000,0,0
2024/01/25,渋谷店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/12,渋谷店,唐揚げ,副菜,7,550,3850,0,0
2024/01/24,渋谷店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/14,渋谷店,ウーロン茶,ドリンク,7,250,1750,0,0
2024/01/22,渋谷店,ビール,ドリンク,3,550,1650,1,550
2024/01/05,渋谷店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/22,渋谷店,ラーメン,麺類,7,900,6300,0,0
2024/01/15,渋谷店,チャーハン,ご飯もの,5,750,3750,0,0
2024/01/07,渋谷店,コーラ,ドリンク,6,300,1800,1,300
2024/01/13,渋谷店,唐揚げ,副菜,5,550,2750,1,550
2024/01/16,渋谷店,ラーメン,麺類,6,900,5400,0,0
2024/01/03,渋谷店,ラーメン,麺類,4,900,3600,0,0
2024/01/01,渋谷店,杏仁豆腐,デザート,4,380,1520,0,0
2024/01/22,渋谷店,つけ麺,麺類,8,1000,8000,0,0
2024/01/25,渋谷店,餃子,副菜,2,450,900,1,450
2024/01/06,渋谷店,餃子,副菜,1,450,450,2,900
2024/01/19,渋谷店,コーラ,ドリンク,4,300,1200,0,0
2024/01/23,渋谷店,チャーハン,ご飯もの,5,750,3750,1,750
2024/01/20,渋谷店,ラーメン,麺類,6,900,5400,0,0
2024/01/22,渋谷店,餃子,副菜,6,450,2700,0,0
2024/01/14,渋谷店,ウーロン茶,ドリンク,7,250,1750,2,500
2024/01/21,渋谷店,ビール,ドリンク,3,550,1650,0,0
2024/01/24,渋谷店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/27,渋谷店,アイスクリーム,デザート,6,400,2400,1,400
2024/01/27,渋谷店,担々麺,麺類,8,980,7840,0,0
2024/01/15,渋谷店,アイスクリーム,デザート,6,400,2400,0,0
2024/01/28,渋谷店,餃子,副菜,8,450,3600,0,0
2024/01/26,渋谷店,唐揚げ,副菜,5,550,2750,1,550
2024/01/23,渋谷店,春巻き,副菜,1,400,400,0,0
2024/01/07,渋谷店,つけ麺,麺類,7,1000,7000,0,0
2024/01/25,渋谷店,天丼,ご飯もの,8,950,7600,0,0
2024/01/16,渋谷店,ウーロン茶,ドリンク,2,250,500,0,0
2024/01/13,渋谷店,カレーライス,ご飯もの,6,800,4800,0,0
