Date,Store,Item,Category,Qty,Price,Sales,WasteQty,WasteAmount
2024/01/12,新宿店,ビール,ドリンク,6,550,3300,0,0
2024/01/15,新宿店,唐揚げ,副菜,5,550,2750,0,0
2024/01/24,新宿店,カレーライス,ご飯もの,2,800,1600,1,800
2024/01/25,新宿店,チャーハン,ご飯もの,4,750,3000,1,750
2024/01/09,新宿店,アイスクリーム,デザート,2,400,800,1,400
2024/01/10,新宿店,カレーライス,ご飯もの,3,800,2400,0,0
2024/01/23,新宿店,杏仁豆腐,デザート,5,380,1900,0,0
2024/01/02,新宿店,アイスクリーム,デザート,3,400,1200,0,0
2024/01/25,新宿店,ウーロン茶,ドリンク,1,250,250,0,0
2024/01/16,新宿店,コーラ,ドリンク,6,300,1800,0,0
2024/01/02,新宿店,唐揚げ,副菜,2,550,1100,1,550
2024/01/13,新宿店,ウーロン茶,ドリンク,1,250,250,0,0
2024/01/26,新宿店,アイスクリーム,デザート,2,400,800,2,800
2024/01/04,新宿店,アイスクリーム,デザート,4,400,1600,1,400
2024/01/13,新宿店,コーラ,ドリンク,5,300,1500,1,300
2024/01/14,新宿店,春巻き,副菜,1,400,400,0,0
2024/01/24,新宿店,つけ麺,麺類,4,1000,4000,0,0
2024/01/03,新宿店,チャーハン,ご飯もの,3,750,2250,0,0
2024/01/06,新宿店,塩ラーメン,麺類,8,880,7040,0,0
2024/01/16,新宿店,餃子,副菜,4,450,1800,0,0
2024/01/10,新宿店,ウーロン茶,ドリンク,4,250,1000,2,500
2024/01/26,新宿店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/08,新宿店,カレーライス,ご飯もの,3,800,2400,0,0
2024/01/06,新宿店,春巻き,副菜,5,400,2000,0,0
2024/01/15,新宿店,春巻き,副菜,7,400,2800,2,800
2024/01/17,新宿店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/02,新宿店,ビール,ドリンク,6,550,3300,0,0
2024/01/01,新宿店,つけ麺,麺類,1,1000,1000,2,2000
2024/01/22,新宿店,春巻き,副菜,1,400,400,1,400
2024/01/06,新宿店,ビール,ドリンク,8,550,4400,2,1100
2024/01/06,新宿店,アイスクリーム,デザート,8,400,3200,2,800
2024/01/16,新宿店,唐揚げ,副菜,6,550,3300,0,0
2024/01/04,新宿店,カレーライス,ご飯もの,7,800,5600,0,0
2024/01/10,新宿店,ビール,ドリンク,1,550,550,0,0
2024/01/11,新宿店,唐揚げ,副菜,2,550,1100,2,1100
2024/01/13,新宿店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/07,新宿店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/25,新宿店,つけ麺,麺類,5,1000,5000,0,0
2024/01/10,新宿店,ビール,ドリンク,8,550,4400,0,0
2024/01/21,新宿店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/01,新宿店,アイスクリーム,デザート,2,400,800,0,0
2024/01/27,新宿店,塩ラーメン,麺類,2,880,1760,0,0
2024/01/05,新宿店,ビール,ドリンク,5,550,2750,0,0
2024/01/09,新宿店,コーラ,ドリンク,8,300,2400,0,0
2024/01/18,新宿店,カレーライス,ご飯もの,4,800,3200,2,1600
2024/01/17,新宿店,チャーハン,ご飯もの,5,750,3750,1,750
2024/01/28,新宿店,コーラ,ドリンク,5,300,1500,1,300
2024/01/10,新宿店,春巻き,副菜,8,400,3200,1,400
2024/01/15,新宿店,アイスクリーム,デザート,6,400,2400,0,0
2024/01/25,新宿店,アイスクリーム,デザート,8,400,3200,2,800
2024/01/28,新宿店,天丼,ご飯もの,4,950,3800,0,0
2024/01/08,新宿店,ウーロン茶,ドリンク,6,250,1500,1,250
2024/01/23,新宿店,コーラ,ドリンク,3,300,900,0,0
2024/01/02,新宿店,天丼,ご飯もの,6,950,5700,1,950
