日付け,店舗,品名,分類,個数,単価,売上額,廃棄,廃棄金額
2024/01/13,池袋店,杏仁豆腐,デザート,7,380,2660,1,380
2024/01/24,池袋店,餃子,副菜,6,450,2700,1,450
2024/01/03,池袋店,杏仁豆腐,デザート,4,380,1520,2,760
2024/01/12,池袋店,春巻き,副菜,3,400,1200,0,0
2024/01/05,池袋店,餃子,副菜,3,450,1350,0,0
2024/01/25,池袋店,つけ麺,麺類,8,1000,8000,0,0
2024/01/19,池袋店,アイスクリーム,デザート,6,400,2400,1,400
2024/01/21,池袋店,餃子,副菜,8,450,3600,0,0
2024/01/15,池袋店,唐揚げ,副菜,1,550,550,0,0
2024/01/03,池袋店,唐揚げ,副菜,8,550,4400,0,0
2024/01/12,池袋店,餃子,副菜,2,450,900,0,0
2024/01/17,池袋店,コーラ,ドリンク,1,300,300,0,0
2024/01/26,池袋店,杏仁豆腐,デザート,6,380,2280,0,0
2024/01/17,池袋店,チャーハン,ご飯もの,8,750,6000,0,0
2024/01/27,池袋店,春巻き,副菜,2,400,800,0,0
2024/01/06,池袋店,つけ麺,麺類,8,1000,8000,2,2000
2024/01/17,池袋店,杏仁豆腐,デザート,6,380,2280,0,0
2024/01/10,池袋店,コーラ,ドリンク,6,300,1800,0,0
2024/01/02,池袋店,餃子,副菜,6,450,2700,0,0
2024/01/22,池袋店,コーラ,ドリンク,5,300,1500,1,300
2024/01/22,池袋店,杏仁豆腐,デザート,6,380,2280,0,0
2024/01/22,池袋店,カレーライス,ご飯もの,5,800,4000,2,1600
2024/01/23,池袋店,ウーロン茶,ドリンク,2,250,500,0,0
2024/01/13,池袋店,餃子,副菜,2,450,900,0,0
2024/01/14,池袋店,アイスクリーム,デザート,1,400,400,0,0
2024/01/06,池袋店,カレーライス,ご飯もの,8,800,6400,0,0
2024/01/05,池袋店,チャーハン,ご飯もの,5,750,3750,1,750
2024/01/04,池袋店,杏仁豆腐,デザート,6,380,2280,1,380
2024/01/20,池袋店,天丼,ご飯もの,7,950,6650,0,0
2024/01/06,池袋店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/12,池袋店,カレーライス,ご飯もの,5,800,4000,1,800
2024/01/26,池袋店,ウーロン茶,ドリンク,4,250,1000,0,0
2024/01/26,池袋店,ウーロン茶,ドリンク,6,250,1500,0,0
2024/01/19,池袋店,コーラ,ドリンク,5,300,1500,1,300
2024/01/17,池袋店,アイスクリーム,デザート,3,400,1200,1,400
2024/01/26,池袋店,杏仁豆腐,デザート,5,380,1900,0,0
2024/01/16,池袋店,春巻き,副菜,2,400,800,1,400
2024/01/17,池袋店,担々麺,麺類,2,980,1960,1,980
2024/01/09,池袋店,ビール,ドリンク,3,550,1650,1,550
2024/01/03,池袋店,カレーライス,ご飯もの,6,800,4800,2,1600
2024/01/14,池袋店,塩ラーメン,麺類,6,880,5280,0,0
2024/01/03,池袋店,餃子,副菜,1,450,450,0,0
