日付,店舗名,商品名,カテゴリ,数量,単価,売上金額,廃棄数量,廃棄金額
2024/01/04,大阪店,カレーライス,ご飯もの,3,800,2400,0,0
2024/01/14,大阪店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/16,大阪店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/05,大阪店,カレーライス,ご飯もの,8,800,6400,0,0
2024/01/28,大阪店,餃子,副菜,8,450,3600,0,0
2024/01/27,大阪店,ビール,ドリンク,8,550,4400,0,0
2024/01/16,大阪店,ビール,ドリンク,8,550,4400,0,0
2024/01/03,大阪店,杏仁豆腐,デザート,4,380,1520,0,0
2024/01/09,大阪店,天丼,ご飯もの,5,950,4750,0,0
2024/01/15,大阪店,アイスクリーム,デザート,2,400,800,0,0
2024/01/09,大阪店,アイスクリーム,デザート,1,400,400,1,400
2024/01/15,大阪店,杏仁豆腐,デザート,7,380,2660,0,0
2024/01/27,大阪店,カレーライス,ご飯もの,1,800,800,0,0
2024/01/12,大阪店,塩ラーメン,麺類,2,880,1760,1,880
2024/01/08,大阪店,天丼,ご飯もの,6,950,5700,1,950
2024/01/20,大阪店,ウーロン茶,ドリンク,3,250,750,1,250
2024/01/27,大阪店,チャーハン,ご飯もの,6,750,4500,0,0
2024/01/20,大阪店,杏仁豆腐,デザート,6,380,2280,2,760
2024/01/10,大阪店,春巻き,副菜,5,400,2000,2,800
2024/01/17,大阪店,つけ麺,麺類,7,1000,7000,2,2000
2024/01/09,大阪店,天丼,ご飯もの,3,950,2850,0,0
2024/01/23,大阪店,餃子,副菜,7,450,3150,0,0
2024/01/19,大阪店,春巻き,副菜,7,400,2800,0,0
2024/01/03,大阪店,塩ラーメン,麺類,5,880,4400,0,0
2024/01/12,大阪店,コーラ,ドリンク,6,300,1800,0,0
2024/01/28,大阪店,塩ラーメン,麺類,6,880,5280,1,880
2024/01/26,大阪店,アイスクリーム,デザート,4,400,1600,2,800
2024/01/27,大阪店,カレーライス,ご飯もの,5,800,4000,0,0
2024/01/10,大阪店,春巻き,副菜,3,400,1200,0,0
2024/01/16,大阪店,春巻き,副菜,1,400,400,0,0
2024/01/21,大阪店,ウーロン茶,ドリンク,2,250,500,2,500
2024/01/06,大阪店,コーラ,ドリンク,1,300,300,2,600
2024/01/14,大阪店,天丼,ご飯もの,3,950,2850,1,950
2024/01/10,大阪店,カレーライス,ご飯もの,2,800,1600,0,0
2024/01/09,大阪店,担々麺,麺類,3,980,2940,0,0
2024/01/21,大阪店,春巻き,副菜,4,400,1600,0,0
2024/01/03,大阪店,ラーメン,麺類,4,900,3600,0,0
2024/01/05,大阪店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/23,大阪店,餃子,副菜,7,450,3150,0,0
2024/01/16,大阪店,つけ麺,麺類,7,1000,7000,0,0
2024/01/26,大阪店,ラーメン,麺類,6,900,5400,0,0
2024/01/10,大阪店,カレーライス,ご飯もの,3,800,2400,0,0
2024/01/22,大阪店,チャーハン,ご飯もの,1,750,750,0,0
2024/01/06,大阪店,コーラ,ドリンク,4,300,1200,0,0
2024/01/05,大阪店,ビール,ドリンク,8,550,4400,1,550
2024/01/03,大阪店,つけ麺,麺類,2,1000,2000,0,0
2024/01/13,大阪店,唐揚げ,副菜,6,550,3300,1,550
2024/01/08,大阪店,春巻き,副菜,2,400,800,0,0
2024/01/20,大阪店,アイスクリーム,デザート,1,400,400,1,400
