date,store_name,item_name,category,quantity,unit_price,sales_amount,waste_qty,waste_amount,sales_imputed,source_file
2024-01-04,渋谷店,担々麺,麺類,4.0,980.0,3920.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-24,渋谷店,ラーメン,麺類,7.0,900.0,6300.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-03,渋谷店,チャーハン,ご飯もの,1.0,750.0,750.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-23,渋谷店,アイスクリーム,デザート,4.0,400.0,1600.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-09,渋谷店,つけ麺,麺類,7.0,1000.0,7000.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-05,渋谷店,カレーライス,ご飯もの,2.0,800.0,1600.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-04,渋谷店,唐揚げ,副菜,5.0,550.0,2750.0,1.0,550.0,False,01_渋谷店_売上_202401.csv
2024-01-24,渋谷店,ビール,ドリンク,2.0,550.0,1100.0,2.0,1100.0,False,01_渋谷店_売上_202401.csv
2024-01-13,渋谷店,担々麺,麺類,6.0,980.0,5880.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-23,渋谷店,ラーメン,麺類,4.0,900.0,3600.0,1.0,900.0,False,01_渋谷店_売上_202401.csv
2024-01-03,渋谷店,チャーハン,ご飯もの,7.0,750.0,5250.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-21,渋谷店,餃子,副菜,6.0,450.0,2700.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-22,渋谷店,春巻き,副菜,2.0,400.0,800.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-06,渋谷店,杏仁豆腐,デザート,3.0,380.0,1140.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-09,渋谷店,杏仁豆腐,デザート,6.0,380.0,2280.0,1.0,380.0,False,01_渋谷店_売上_202401.csv
2024-01-25,渋谷店,つけ麺,麺類,1.0,1000.0,1000.0,1.0,1000.0,False,01_渋谷店_売上_202401.csv
2024-01-13,渋谷店,餃子,副菜,4.0,450.0,1800.0,2.0,900.0,False,01_渋谷店_売上_202401.csv
2024-01-19,渋谷店,餃子,副菜,8.0,450.0,3600.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-21,渋谷店,ウーロン茶,ドリンク,5.0,250.0,1250.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-24,渋谷店,アイスクリーム,デザート,7.0,400.0,2800.0,1.0,400.0,False,01_渋谷店_売上_202401.csv
2024-01-13,渋谷店,餃子,副菜,3.0,450.0,1350.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-03,渋谷店,ラーメン,麺類,3.0,900.0,2700.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-26,渋谷店,ビール,ドリンク,2.0,550.0,1100.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-20,渋谷店,ビール,ドリンク,5.0,550.0,2750.0,2.0,1100.0,False,01_渋谷店_売上_202401.csv
2024-01-28,渋谷店,ラーメン,麺類,5.0,900.0,4500.0,1.0,900.0,False,01_渋谷店_売上_202401.csv
2024-01-11,渋谷店,担々麺,麺類,7.0,980.0,6860.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-01,渋谷店,春巻き,副菜,3.0,400.0,1200.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-04,渋谷店,春巻き,副菜,4.0,400.0,1600.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-25,渋谷店,天丼,ご飯もの,1.0,950.0,950.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
2024-01-16,渋谷店,ラーメン,麺類,6.0,900.0,5400.0,1.0,900.0,False,01_渋谷店_売上_202401.csv
2024-01-27,渋谷店,餃子,副菜,1.0,450.0,450.0,0.0,0.0,False,01_渋谷店_売上_202401.csv
