日付,店舗,食材コード,食材名,カテゴリ,仕入量(kg),仕入単価(円),使用量(kg),廃棄量(kg)
2024/01/01,渋谷店,VG-001,キャベツ,野菜・果物,15.9,120,12.9,3.0
2024/01/01,渋谷店,FS-002,エビ,魚介類,14.6,2500,10.6,4.0
2024/01/01,渋谷店,MT-002,豚バラ,肉類,15.7,1200,14.1,1.6
2024/01/01,渋谷店,VG-005,レタス,野菜・果物,10.1,200,8.0,2.1
2024/01/01,渋谷店,VG-005,レタス,野菜・果物,13.6,200,12.3,1.3
2024/01/01,渋谷店,SE-001,醤油(L),調味料・油,6.1,400,4.4,1.7
2024/01/02,渋谷店,VG-001,キャベツ,野菜・果物,13.4,120,11.9,1.5
2024/01/02,渋谷店,MT-002,豚バラ,肉類,19.5,1200,18.0,1.5
2024/01/02,渋谷店,DY-001,牛乳(L),乳製品・卵,5.5,200,4.5,1.0
2024/01/02,渋谷店,DY-002,バター(250g),乳製品・卵,14.3,450,12.7,1.6
2024/01/02,渋谷店,DY-004,チーズ(kg),乳製品・卵,7.9,1800,6.3,1.6
2024/01/02,渋谷店,MT-004,鶏むね肉,肉類,5.4,600,4.0,1.4
2024/01/03,渋谷店,DY-003,卵(10個),乳製品・卵,6.1,250,5.3,0.8
2024/01/03,渋谷店,VG-002,にんじん,野菜・果物,17.0,180,14.9,2.1
2024/01/03,渋谷店,SE-003,みりん(L),調味料・油,17.0,600,15.3,1.7
2024/01/03,渋谷店,FS-002,エビ,魚介類,7.2,2500,6.3,0.9
2024/01/03,渋谷店,MT-003,牛切り落とし,肉類,5.6,2000,3.9,1.7
2024/01/03,渋谷店,VG-001,キャベツ,野菜・果物,14.0,120,12.3,1.7
2024/01/04,渋谷店,SE-001,醤油(L),調味料・油,10.3,400,8.7,1.6
2024/01/04,渋谷店,FS-003,イカ,魚介類,4.1,1200,3.6,0.5
2024/01/04,渋谷店,DY-003,卵(10個),乳製品・卵,12.2,250,10.9,1.3
2024/01/04,渋谷店,VG-004,トマト,野菜・果物,12.0,300,10.1,1.9
2024/01/04,渋谷店,DY-001,牛乳(L),乳製品・卵,2.6,200,2.1,0.5
2024/01/04,渋谷店,SE-001,醤油(L),調味料・油,9.4,400,8.6,0.8
2024/01/05,渋谷店,DY-003,卵(10個),乳製品・卵,3.0,250,2.3,0.7
2024/01/05,渋谷店,DY-003,卵(10個),乳製品・卵,13.9,250,11.7,2.2
2024/01/05,渋谷店,DY-002,バター(250g),乳製品・卵,14.0,450,11.2,2.8
2024/01/05,渋谷店,VG-001,キャベツ,野菜・果物,5.0,120,3.7,1.3
2024/01/05,渋谷店,MT-003,牛切り落とし,肉類,10.3,2000,7.6,2.7
2024/01/05,渋谷店,VG-002,にんじん,野菜・果物,4.7,180,4.1,0.6
2024/01/08,渋谷店,VG-004,トマト,野菜・果物,8.9,300,6.9,2.0
2024/01/08,渋谷店,FS-004,アジ,魚介類,8.5,800,6.1,2.4
2024/01/08,渋谷店,FS-002,エビ,魚介類,19.3,2500,17.9,1.4
2024/01/08,渋谷店,FS-003,イカ,魚介類,6.8,1200,6.4,0.4
2024/01/08,渋谷店,MT-003,牛切り落とし,肉類,14.9,2000,12.1,2.8
2024/01/08,渋谷店,VG-005,レタス,野菜・果物,3.7,200,3.4,0.3
2024/01/09,渋谷店,MT-002,豚バラ,肉類,5.6,1200,4.3,1.3
2024/01/09,渋谷店,MT-004,鶏むね肉,肉類,5.2,600,4.8,0.4
2024/01/09,渋谷店,SE-003,みりん(L),調味料・油,15.0,600,12.1,2.9
2024/01/09,渋谷店,DY-002,バター(250g),乳製品・卵,12.5,450,9.8,2.7
2024/01/09,渋谷店,FS-001,鮭,魚介類,2.7,1500,2.2,0.5
2024/01/09,渋谷店,MT-001,鶏もも肉,肉類,4.6,800,3.3,1.3
2024/01/10,渋谷店,FS-004,アジ,魚介類,5.1,800,4.7,0.4
2024/01/10,渋谷店,FS-001,鮭,魚介類,8.2,1500,5.8,2.4
2024/01/10,渋谷店,MT-003,牛切り落とし,肉類,10.7,2000,8.3,2.4
2024/01/10,渋谷店,MT-004,鶏むね肉,肉類,10.8,600,10.1,0.7
2024/01/10,渋谷店,SE-004,塩(kg),調味料・油,10.5,200,8.1,2.4
2024/01/10,渋谷店,MT-003,牛切り落とし,肉類,11.4,2000,8.3,3.1
2024/01/11,渋谷店,MT-002,豚バラ,肉類,18.1,1200,13.3,4.8
2024/01/11,渋谷店,DY-003,卵(10個),乳製品・卵,4.0,250,3.5,0.5
2024/01/11,渋谷店,DY-004,チーズ(kg),乳製品・卵,13.9,1800,12.3,1.6
2024/01/11,渋谷店,DY-004,チーズ(kg),乳製品・卵,3.9,1800,3.6,0.3
2024/01/11,渋谷店,FS-002,エビ,魚介類,2.7,2500,2.3,0.4
2024/01/11,渋谷店,MT-004,鶏むね肉,肉類,16.9,600,15.2,1.7
2024/01/12,渋谷店,VG-001,キャベツ,野菜・果物,19.2,120,14.8,4.4
