Date,Store,IngredientCode,IngredientName,Category,PurchaseQty,UnitCost,UsedQty,WasteQty
2024/01/01,新宿店,SE-001,醤油(L),調味料・油,17.3,400,12.4,4.9
2024/01/01,新宿店,DY-002,バター(250g),乳製品・卵,18.7,450,16.7,2.0
2024/01/01,新宿店,DY-001,牛乳(L),乳製品・卵,17.1,200,12.1,5.0
2024/01/01,新宿店,DY-001,牛乳(L),乳製品・卵,4.2,200,3.5,0.7
2024/01/01,新宿店,SE-003,みりん(L),調味料・油,13.3,600,12.1,1.2
2024/01/02,新宿店,FS-002,エビ,魚介類,15.2,2500,11.4,3.8
2024/01/02,新宿店,FS-002,エビ,魚介類,14.8,2500,14.0,0.8
2024/01/02,新宿店,FS-004,アジ,魚介類,3.0,800,2.2,0.8
2024/01/02,新宿店,MT-003,牛切り落とし,肉類,14.8,2000,12.2,2.6
2024/01/02,新宿店,SE-003,みりん(L),調味料・油,19.6,600,16.0,3.6
2024/01/03,新宿店,VG-001,キャベツ,野菜・果物,13.5,120,11.4,2.1
2024/01/03,新宿店,SE-001,醤油(L),調味料・油,19.0,400,14.7,4.3
2024/01/03,新宿店,VG-005,レタス,野菜・果物,14.6,200,12.6,2.0
2024/01/03,新宿店,MT-003,牛切り落とし,肉類,4.7,2000,3.9,0.8
2024/01/03,新宿店,MT-003,牛切り落とし,肉類,10.5,2000,7.7,2.8
2024/01/04,新宿店,VG-002,にんじん,野菜・果物,7.0,180,5.4,1.6
2024/01/04,新宿店,FS-003,イカ,魚介類,13.0,1200,11.2,1.8
2024/01/04,新宿店,MT-004,鶏むね肉,肉類,9.4,600,7.1,2.3
2024/01/04,新宿店,DY-003,卵(10個),乳製品・卵,7.7,250,5.5,2.2
2024/01/04,新宿店,DY-001,牛乳(L),乳製品・卵,10.5,200,7.9,2.6
2024/01/05,新宿店,DY-003,卵(10個),乳製品・卵,12.2,250,10.7,1.5
2024/01/05,新宿店,VG-002,にんじん,野菜・果物,13.7,180,10.7,3.0
2024/01/05,新宿店,FS-001,鮭,魚介類,11.9,1500,9.6,2.3
2024/01/05,新宿店,VG-005,レタス,野菜・果物,8.5,200,7.0,1.5
2024/01/05,新宿店,MT-003,牛切り落とし,肉類,18.0,2000,16.7,1.3
2024/01/08,新宿店,FS-002,エビ,魚介類,11.4,2500,10.3,1.1
2024/01/08,新宿店,FS-002,エビ,魚介類,17.1,2500,14.1,3.0
2024/01/08,新宿店,FS-004,アジ,魚介類,3.3,800,2.7,0.6
2024/01/08,新宿店,FS-001,鮭,魚介類,8.0,1500,5.9,2.1
2024/01/08,新宿店,VG-004,トマト,野菜・果物,15.4,300,10.8,4.6
2024/01/09,新宿店,FS-001,鮭,魚介類,17.4,1500,13.8,3.6
2024/01/09,新宿店,VG-003,玉ねぎ,野菜・果物,12.8,150,9.3,3.5
2024/01/09,新宿店,MT-003,牛切り落とし,肉類,19.3,2000,18.3,1.0
2024/01/09,新宿店,MT-004,鶏むね肉,肉類,7.6,600,6.6,1.0
2024/01/09,新宿店,DY-004,チーズ(kg),乳製品・卵,9.0,1800,7.4,1.6
2024/01/10,新宿店,DY-001,牛乳(L),乳製品・卵,11.5,200,8.5,3.0
2024/01/10,新宿店,VG-001,キャベツ,野菜・果物,17.1,120,16.2,0.9
2024/01/10,新宿店,MT-001,鶏もも肉,肉類,17.1,800,16.2,0.9
2024/01/10,新宿店,FS-002,エビ,魚介類,10.1,2500,7.4,2.7
2024/01/10,新宿店,SE-002,サラダ油(L),調味料・油,9.8,350,8.0,1.8
2024/01/11,新宿店,VG-003,玉ねぎ,野菜・果物,5.3,150,4.3,1.0
2024/01/11,新宿店,FS-001,鮭,魚介類,7.3,1500,6.0,1.3
2024/01/11,新宿店,FS-002,エビ,魚介類,10.9,2500,7.9,3.0
2024/01/11,新宿店,MT-001,鶏もも肉,肉類,17.2,800,14.8,2.4
2024/01/11,新宿店,FS-004,アジ,魚介類,14.1,800,11.2,2.9
2024/01/12,新宿店,DY-002,バター(250g),乳製品・卵,11.7,450,9.2,2.5
2024/01/12,新宿店,MT-002,豚バラ,肉類,10.7,1200,9.5,1.2
2024/01/12,新宿店,MT-004,鶏むね肉,肉類,11.1,600,10.3,0.8
2024/01/12,新宿店,VG-002,にんじん,野菜・果物,17.3,180,13.6,3.7
2024/01/12,新宿店,FS-004,アジ,魚介類,11.6,800,8.4,3.2
2024/01/15,新宿店,MT-003,牛切り落とし,肉類,18.5,2000,15.9,2.6
2024/01/15,新宿店,MT-001,鶏もも肉,肉類,8.1,800,5.8,2.3
2024/01/15,新宿店,SE-001,醤油(L),調味料・油,10.1,400,7.8,2.3
2024/01/15,新宿店,SE-002,サラダ油(L),調味料・油,2.1,350,1.6,0.5
2024/01/15,新宿店,MT-004,鶏むね肉,肉類,13.4,600,12.7,0.7
2024/01/16,新宿店,FS-003,イカ,魚介類,10.6,1200,9.4,1.2
2024/01/16,新宿店,MT-002,豚バラ,肉類,15.0,1200,14.1,0.9
2024/01/16,新宿店,VG-002,にんじん,野菜・果物,17.6,180,12.8,4.8
2024/01/16,新宿店,SE-003,みりん(L),調味料・油,9.9,600,8.3,1.6
2024/01/16,新宿店,FS-001,鮭,魚介類,19.5,1500,18.4,1.1
2024/01/17,新宿店,FS-003,イカ,魚介類,15.2,1200,13.5,1.7
2024/01/17,新宿店,DY-004,チーズ(kg),乳製品・卵,4.2,1800,3.0,1.2
2024/01/17,新宿店,DY-003,卵(10個),乳製品・卵,10.8,250,10.2,0.6
2024/01/17,新宿店,VG-001,キャベツ,野菜・果物,19.6,120,15.7,3.9
2024/01/17,新宿店,FS-002,エビ,魚介類,3.5,2500,2.9,0.6
2024/01/18,新宿店,DY-003,卵(10個),乳製品・卵,18.6,250,14.8,3.8
2024/01/18,新宿店,VG-001,キャベツ,野菜・果物,2.9,120,2.1,0.8
2024/01/18,新宿店,DY-004,チーズ(kg),乳製品・卵,14.8,1800,13.2,1.6
2024/01/18,新宿店,FS-003,イカ,魚介類,15.3,1200,12.5,2.8
2024/01/18,新宿店,SE-001,醤油(L),調味料・油,13.2,400,10.2,3.0
2024/01/19,新宿店,SE-002,サラダ油(L),調味料・油,14.2,350,10.0,4.2
2024/01/19,新宿店,FS-001,鮭,魚介類,18.1,1500,15.7,2.4
2024/01/19,新宿店,SE-001,醤油(L),調味料・油,17.4,400,13.7,3.7
2024/01/19,新宿店,DY-002,バター(250g),乳製品・卵,7.4,450,6.3,1.1
2024/01/19,新宿店,FS-004,アジ,魚介類,6.9,800,6.4,0.5
2024/01/22,新宿店,VG-003,玉ねぎ,野菜・果物,3.5,150,2.7,0.8
2024/01/22,新宿店,DY-003,卵(10個),乳製品・卵,16.5,250,15.7,0.8
2024/01/22,新宿店,VG-003,玉ねぎ,野菜・果物,9.3,150,6.8,2.5
2024/01/22,新宿店,DY-003,卵(10個),乳製品・卵,20.0,250,17.5,2.5
2024/01/22,新宿店,SE-003,みりん(L),調味料・油,9.1,600,8.5,0.6
2024/01/23,新宿店,SE-003,みりん(L),調味料・油,4.4,600,3.6,0.8
2024/01/23,新宿店,DY-002,バター(250g),乳製品・卵,2.3,450,1.9,0.4
2024/01/23,新宿店,MT-004,鶏むね肉,肉類,8.2,600,6.6,1.6
2024/01/23,新宿店,SE-002,サラダ油(L),調味料・油,15.5,350,12.9,2.6
2024/01/23,新宿店,DY-003,卵(10個),乳製品・卵,18.1,250,13.7,4.4
2024/01/24,新宿店,SE-001,醤油(L),調味料・油,18.4,400,15.3,3.1
2024/01/24,新宿店,FS-003,イカ,魚介類,12.6,1200,10.9,1.7
2024/01/24,新宿店,MT-004,鶏むね肉,肉類,6.3,600,4.9,1.4
2024/01/24,新宿店,DY-003,卵(10個),乳製品・卵,17.7,250,13.6,4.1
2024/01/24,新宿店,SE-004,塩(kg),調味料・油,16.3,200,14.6,1.7
2024/01/25,新宿店,SE-002,サラダ油(L),調味料・油,10.6,350,10.1,0.5
2024/01/25,新宿店,DY-004,チーズ(kg),乳製品・卵,16.7,1800,15.5,1.2
2024/01/25,新宿店,MT-001,鶏もも肉,肉類,5.3,800,4.5,0.8
2024/01/25,新宿店,FS-003,イカ,魚介類,13.8,1200,13.0,0.8
2024/01/25,新宿店,VG-002,にんじん,野菜・果物,9.8,180,6.9,2.9
2024/01/26,新宿店,FS-002,エビ,魚介類,3.9,2500,2.8,1.1
2024/01/26,新宿店,MT-002,豚バラ,肉類,3.2,1200,2.6,0.6
2024/01/26,新宿店,VG-001,キャベツ,野菜・果物,7.6,120,5.4,2.2
2024/01/26,新宿店,MT-004,鶏むね肉,肉類,8.9,600,6.4,2.5
2024/01/26,新宿店,DY-001,牛乳(L),乳製品・卵,5.7,200,4.4,1.3
2024/01/29,新宿店,SE-004,塩(kg),調味料・油,9.5,200,6.7,2.8
2024/01/29,新宿店,DY-002,バター(250g),乳製品・卵,17.5,450,12.3,5.2
2024/01/29,新宿店,SE-004,塩(kg),調味料・油,10.8,200,8.5,2.3
2024/01/29,新宿店,SE-002,サラダ油(L),調味料・油,16.1,350,14.7,1.4
2024/01/29,新宿店,MT-001,鶏もも肉,肉類,7.8,800,5.9,1.9
2024/01/30,新宿店,VG-004,トマト,野菜・果物,14.3,300,10.8,3.5
2024/01/30,新宿店,MT-002,豚バラ,肉類,18.7,1200,13.3,5.4
2024/01/30,新宿店,DY-004,チーズ(kg),乳製品・卵,14.8,1800,12.3,2.5
2024/01/30,新宿店,VG-005,レタス,野菜・果物,18.5,200,13.0,5.5
2024/01/30,新宿店,MT-001,鶏もも肉,肉類,2.6,800,1.9,0.7
2024/01/31,新宿店,SE-002,サラダ油(L),調味料・油,6.3,350,5.3,1.0
2024/01/31,新宿店,SE-003,みりん(L),調味料・油,17.3,600,12.1,5.2
2024/01/31,新宿店,SE-004,塩(kg),調味料・油,13.1,200,9.7,3.4
2024/01/31,新宿店,DY-004,チーズ(kg),乳製品・卵,17.4,1800,13.3,4.1
2024/01/31,新宿店,MT-004,鶏むね肉,肉類,10.2,600,8.7,1.5
