日付,拠点,品番,品目,分類,発注量,原価,使用数,ロス数
2024/01/01,池袋店,SE-003,みりん(L),調味料・油,8.5,600,7.7,0.8
2024/01/01,池袋店,MT-003,牛切り落とし,肉類,16.4,2000,13.9,2.5
2024/01/01,池袋店,DY-004,チーズ(kg),乳製品・卵,9.5,1800,8.0,1.5
2024/01/01,池袋店,MT-003,牛切り落とし,肉類,8.2,2000,5.8,2.4
2024/01/01,池袋店,SE-001,醤油(L),調味料・油,15.1,400,13.2,1.9
2024/01/02,池袋店,FS-002,エビ,魚介類,7.7,2500,7.1,0.6
2024/01/02,池袋店,FS-003,イカ,魚介類,4.3,1200,3.2,1.1
2024/01/02,池袋店,FS-001,鮭,魚介類,5.1,1500,4.2,0.9
2024/01/02,池袋店,MT-002,豚バラ,肉類,2.1,1200,1.5,0.6
2024/01/02,池袋店,MT-004,鶏むね肉,肉類,12.5,600,9.1,3.4
2024/01/03,池袋店,MT-002,豚バラ,肉類,17.8,1200,14.8,3.0
2024/01/03,池袋店,VG-004,トマト,野菜・果物,6.9,300,4.9,2.0
2024/01/03,池袋店,SE-003,みりん(L),調味料・油,7.3,600,6.3,1.0
2024/01/03,池袋店,DY-004,チーズ(kg),乳製品・卵,2.3,1800,2.0,0.3
2024/01/03,池袋店,SE-001,醤油(L),調味料・油,17.7,400,13.5,4.2
2024/01/04,池袋店,MT-004,鶏むね肉,肉類,12.0,600,9.6,2.4
2024/01/04,池袋店,SE-001,醤油(L),調味料・油,15.1,400,12.7,2.4
2024/01/04,池袋店,DY-004,チーズ(kg),乳製品・卵,19.7,1800,15.9,3.8
2024/01/04,池袋店,SE-001,醤油(L),調味料・油,2.2,400,2.0,0.2
2024/01/04,池袋店,FS-003,イカ,魚介類,9.3,1200,6.7,2.6
2024/01/05,池袋店,SE-004,塩(kg),調味料・油,9.1,200,7.9,1.2
2024/01/05,池袋店,DY-002,バター(250g),乳製品・卵,19.3,450,14.4,4.9
2024/01/05,池袋店,SE-002,サラダ油(L),調味料・油,17.5,350,16.2,1.3
2024/01/05,池袋店,FS-004,アジ,魚介類,10.5,800,9.3,1.2
2024/01/05,池袋店,SE-001,醤油(L),調味料・油,8.8,400,7.3,1.5
2024/01/08,池袋店,SE-003,みりん(L),調味料・油,15.2,600,13.6,1.6
2024/01/08,池袋店,SE-002,サラダ油(L),調味料・油,3.9,350,3.6,0.3
2024/01/08,池袋店,SE-002,サラダ油(L),調味料・油,16.4,350,11.9,4.5
2024/01/08,池袋店,DY-001,牛乳(L),乳製品・卵,15.4,200,10.9,4.5
2024/01/08,池袋店,SE-001,醤油(L),調味料・油,8.8,400,7.7,1.1
2024/01/09,池袋店,VG-004,トマト,野菜・果物,9.1,300,7.1,2.0
2024/01/09,池袋店,MT-004,鶏むね肉,肉類,12.5,600,10.0,2.5
2024/01/09,池袋店,MT-001,鶏もも肉,肉類,18.8,800,15.4,3.4
2024/01/09,池袋店,FS-004,アジ,魚介類,8.8,800,7.0,1.8
2024/01/09,池袋店,FS-002,エビ,魚介類,4.9,2500,4.3,0.6
2024/01/10,池袋店,SE-003,みりん(L),調味料・油,19.2,600,14.1,5.1
2024/01/10,池袋店,FS-004,アジ,魚介類,17.9,800,13.8,4.1
2024/01/10,池袋店,FS-004,アジ,魚介類,5.3,800,4.4,0.9
2024/01/10,池袋店,FS-001,鮭,魚介類,6.7,1500,4.8,1.9
2024/01/10,池袋店,SE-001,醤油(L),調味料・油,19.3,400,16.7,2.6
2024/01/11,池袋店,DY-001,牛乳(L),乳製品・卵,4.0,200,3.1,0.9
2024/01/11,池袋店,FS-002,エビ,魚介類,15.8,2500,14.5,1.3
2024/01/11,池袋店,VG-001,キャベツ,野菜・果物,19.7,120,18.6,1.1
2024/01/11,池袋店,VG-002,にんじん,野菜・果物,3.3,180,2.4,0.9
2024/01/11,池袋店,MT-001,鶏もも肉,肉類,12.0,800,8.7,3.3
2024/01/12,池袋店,DY-002,バター(250g),乳製品・卵,13.1,450,10.9,2.2
2024/01/12,池袋店,MT-002,豚バラ,肉類,6.6,1200,4.9,1.7
2024/01/12,池袋店,SE-001,醤油(L),調味料・油,12.5,400,11.0,1.5
2024/01/12,池袋店,DY-002,バター(250g),乳製品・卵,8.7,450,7.0,1.7
2024/01/12,池袋店,SE-003,みりん(L),調味料・油,15.9,600,12.0,3.9
2024/01/15,池袋店,FS-002,エビ,魚介類,4.2,2500,3.9,0.3
2024/01/15,池袋店,DY-001,牛乳(L),乳製品・卵,6.8,200,6.2,0.6
2024/01/15,池袋店,MT-003,牛切り落とし,肉類,9.4,2000,7.6,1.8
2024/01/15,池袋店,VG-005,レタス,野菜・果物,14.8,200,13.5,1.3
2024/01/15,池袋店,VG-003,玉ねぎ,野菜・果物,8.1,150,6.7,1.4
2024/01/16,池袋店,DY-004,チーズ(kg),乳製品・卵,6.4,1800,4.7,1.7
2024/01/16,池袋店,SE-002,サラダ油(L),調味料・油,18.0,350,16.1,1.9
2024/01/16,池袋店,VG-005,レタス,野菜・果物,10.8,200,9.0,1.8
2024/01/16,池袋店,MT-001,鶏もも肉,肉類,9.8,800,7.2,2.6
2024/01/16,池袋店,FS-001,鮭,魚介類,19.1,1500,15.7,3.4
2024/01/17,池袋店,DY-001,牛乳(L),乳製品・卵,4.9,200,4.1,0.8
