日付,店舗,食材コード,食材名,カテゴリ,仕入量(kg),仕入単価(円),使用量(kg),廃棄量(kg)
2024/01/01,品川店,FS-004,アジ,魚介類,9.6,800,6.8,2.8
2024/01/01,品川店,SE-004,塩(kg),調味料・油,8.4,200,7.5,0.9
2024/01/01,品川店,FS-002,エビ,魚介類,16.8,2500,13.5,3.3
2024/01/01,品川店,VG-003,玉ねぎ,野菜・果物,15.5,150,14.0,1.5
2024/01/02,品川店,SE-001,醤油(L),調味料・油,18.1,400,13.3,4.8
2024/01/02,品川店,VG-004,トマト,野菜・果物,3.7,300,2.7,1.0
2024/01/02,品川店,SE-001,醤油(L),調味料・油,3.2,400,2.5,0.7
2024/01/02,品川店,DY-001,牛乳(L),乳製品・卵,15.9,200,11.3,4.6
2024/01/03,品川店,MT-002,豚バラ,肉類,16.8,1200,12.5,4.3
2024/01/03,品川店,DY-003,卵(10個),乳製品・卵,17.5,250,15.9,1.6
2024/01/03,品川店,VG-002,にんじん,野菜・果物,16.7,180,12.1,4.6
2024/01/03,品川店,VG-005,レタス,野菜・果物,15.3,200,11.7,3.6
2024/01/04,品川店,SE-002,サラダ油(L),調味料・油,11.1,350,9.9,1.2
2024/01/04,品川店,DY-004,チーズ(kg),乳製品・卵,8.6,1800,6.5,2.1
2024/01/04,品川店,SE-004,塩(kg),調味料・油,15.5,200,12.8,2.7
2024/01/04,品川店,FS-004,アジ,魚介類,5.2,800,4.7,0.5
2024/01/05,品川店,FS-001,鮭,魚介類,19.8,1500,14.5,5.3
2024/01/05,品川店,DY-001,牛乳(L),乳製品・卵,10.1,200,8.1,2.0
2024/01/05,品川店,MT-002,豚バラ,肉類,19.6,1200,18.0,1.6
2024/01/05,品川店,FS-001,鮭,魚介類,6.0,1500,5.2,0.8
2024/01/08,品川店,MT-002,豚バラ,肉類,15.2,1200,12.8,2.4
2024/01/08,品川店,MT-001,鶏もも肉,肉類,16.9,800,14.2,2.7
2024/01/08,品川店,MT-001,鶏もも肉,肉類,12.8,800,10.5,2.3
2024/01/08,品川店,SE-004,塩(kg),調味料・油,9.5,200,8.5,1.0
2024/01/09,品川店,DY-004,チーズ(kg),乳製品・卵,12.1,1800,9.6,2.5
2024/01/09,品川店,FS-001,鮭,魚介類,11.4,1500,8.9,2.5
2024/01/09,品川店,MT-003,牛切り落とし,肉類,14.2,2000,11.6,2.6
2024/01/09,品川店,FS-004,アジ,魚介類,18.1,800,15.6,2.5
2024/01/10,品川店,VG-002,にんじん,野菜・果物,18.0,180,14.7,3.3
2024/01/10,品川店,FS-002,エビ,魚介類,18.8,2500,13.4,5.4
2024/01/10,品川店,SE-001,醤油(L),調味料・油,12.5,400,9.4,3.1
2024/01/10,品川店,DY-002,バター(250g),乳製品・卵,5.9,450,4.3,1.6
2024/01/11,品川店,MT-003,牛切り落とし,肉類,9.6,2000,7.1,2.5
2024/01/11,品川店,MT-001,鶏もも肉,肉類,17.5,800,13.7,3.8
2024/01/11,品川店,VG-002,にんじん,野菜・果物,3.0,180,2.4,0.6
2024/01/11,品川店,FS-003,イカ,魚介類,13.0,1200,9.8,3.2
2024/01/12,品川店,SE-001,醤油(L),調味料・油,18.7,400,13.6,5.1
2024/01/12,品川店,SE-003,みりん(L),調味料・油,4.1,600,3.5,0.6
2024/01/12,品川店,SE-003,みりん(L),調味料・油,17.3,600,15.4,1.9
2024/01/12,品川店,DY-004,チーズ(kg),乳製品・卵,11.5,1800,9.1,2.4
2024/01/15,品川店,SE-001,醤油(L),調味料・油,7.8,400,7.3,0.5
2024/01/15,品川店,DY-001,牛乳(L),乳製品・卵,16.5,200,12.3,4.2
2024/01/15,品川店,SE-003,みりん(L),調味料・油,11.0,600,9.1,1.9
2024/01/15,品川店,DY-003,卵(10個),乳製品・卵,8.9,250,7.1,1.8
2024/01/16,品川店,VG-001,キャベツ,野菜・果物,4.3,120,3.4,0.9
2024/01/16,品川店,MT-001,鶏もも肉,肉類,3.9,800,3.6,0.3
2024/01/16,品川店,FS-001,鮭,魚介類,8.5,1500,6.8,1.7
2024/01/16,品川店,MT-004,鶏むね肉,肉類,13.4,600,12.5,0.9
2024/01/17,品川店,DY-004,チーズ(kg),乳製品・卵,9.0,1800,7.0,2.0
2024/01/17,品川店,FS-002,エビ,魚介類,12.2,2500,9.9,2.3
2024/01/17,品川店,DY-004,チーズ(kg),乳製品・卵,12.0,1800,9.4,2.6
2024/01/17,品川店,SE-001,醤油(L),調味料・油,8.8,400,6.4,2.4
2024/01/18,品川店,SE-003,みりん(L),調味料・油,15.0,600,12.0,3.0
2024/01/18,品川店,SE-003,みりん(L),調味料・油,12.1,600,10.8,1.3
2024/01/18,品川店,FS-001,鮭,魚介類,16.9,1500,15.7,1.2
2024/01/18,品川店,MT-003,牛切り落とし,肉類,14.0,2000,10.0,4.0
2024/01/19,品川店,SE-004,塩(kg),調味料・油,9.1,200,8.5,0.6
2024/01/19,品川店,FS-004,アジ,魚介類,2.1,800,1.5,0.6
2024/01/19,品川店,DY-001,牛乳(L),乳製品・卵,12.1,200,8.6,3.5
2024/01/19,品川店,SE-001,醤油(L),調味料・油,17.3,400,14.3,3.0
2024/01/22,品川店,FS-003,イカ,魚介類,2.1,1200,1.9,0.2
2024/01/22,品川店,FS-001,鮭,魚介類,17.8,1500,14.1,3.7
2024/01/22,品川店,SE-001,醤油(L),調味料・油,6.9,400,5.1,1.8
2024/01/22,品川店,DY-004,チーズ(kg),乳製品・卵,10.9,1800,9.1,1.8
2024/01/23,品川店,SE-001,醤油(L),調味料・油,19.3,400,17.6,1.7
2024/01/23,品川店,MT-003,牛切り落とし,肉類,12.7,2000,11.7,1.0
2024/01/23,品川店,DY-004,チーズ(kg),乳製品・卵,3.8,1800,3.4,0.4
2024/01/23,品川店,SE-001,醤油(L),調味料・油,12.2,400,11.5,0.7
2024/01/24,品川店,MT-003,牛切り落とし,肉類,9.6,2000,7.6,2.0
2024/01/24,品川店,DY-002,バター(250g),乳製品・卵,4.1,450,3.7,0.4
2024/01/24,品川店,FS-004,アジ,魚介類,7.1,800,5.5,1.6
2024/01/24,品川店,SE-001,醤油(L),調味料・油,2.4,400,2.0,0.4
2024/01/25,品川店,VG-005,レタス,野菜・果物,14.4,200,10.7,3.7
2024/01/25,品川店,MT-002,豚バラ,肉類,8.8,1200,6.9,1.9
2024/01/25,品川店,FS-001,鮭,魚介類,11.4,1500,8.6,2.8
2024/01/25,品川店,DY-004,チーズ(kg),乳製品・卵,5.4,1800,3.8,1.6
2024/01/26,品川店,VG-002,にんじん,野菜・果物,9.3,180,8.4,0.9
2024/01/26,品川店,VG-004,トマト,野菜・果物,3.5,300,3.0,0.5
2024/01/26,品川店,VG-002,にんじん,野菜・果物,13.4,180,10.8,2.6
2024/01/26,品川店,SE-003,みりん(L),調味料・油,2.6,600,2.2,0.4
2024/01/29,品川店,DY-003,卵(10個),乳製品・卵,19.3,250,13.7,5.6
2024/01/29,品川店,SE-004,塩(kg),調味料・油,7.4,200,5.3,2.1
2024/01/29,品川店,SE-002,サラダ油(L),調味料・油,17.1,350,12.4,4.7
2024/01/29,品川店,SE-002,サラダ油(L),調味料・油,4.8,350,4.0,0.8
2024/01/30,品川店,SE-002,サラダ油(L),調味料・油,12.2,350,9.8,2.4
2024/01/30,品川店,DY-002,バター(250g),乳製品・卵,3.1,450,2.9,0.2
2024/01/30,品川店,VG-003,玉ねぎ,野菜・果物,5.4,150,4.2,1.2
2024/01/30,品川店,SE-003,みりん(L),調味料・油,3.7,600,3.4,0.3
2024/01/31,品川店,DY-003,卵(10個),乳製品・卵,16.9,250,16.0,0.9
2024/01/31,品川店,VG-003,玉ねぎ,野菜・果物,19.0,150,13.9,5.1
2024/01/31,品川店,FS-004,アジ,魚介類,11.8,800,9.9,1.9
2024/01/31,品川店,MT-004,鶏むね肉,肉類,19.5,600,17.1,2.4
