日付,店舗,食材コード,食材名,カテゴリ,仕入量(kg),仕入単価(円),使用量(kg),廃棄量(kg)
2024/01/01,上野店,DY-004,チーズ(kg),乳製品・卵,10.2,1800,8.1,2.1
2024/01/01,上野店,FS-003,イカ,魚介類,9.0,1200,6.6,2.4
2024/01/01,上野店,DY-004,チーズ(kg),乳製品・卵,10.0,1800,9.3,0.7
2024/01/01,上野店,SE-003,みりん(L),調味料・油,2.6,600,1.9,0.7
2024/01/02,上野店,MT-002,豚バラ,肉類,19.6,1200,14.8,4.8
2024/01/02,上野店,DY-004,チーズ(kg),乳製品・卵,18.9,1800,17.8,1.1
2024/01/02,上野店,MT-004,鶏むね肉,肉類,2.9,600,2.4,0.5
2024/01/02,上野店,VG-003,玉ねぎ,野菜・果物,12.2,150,11.3,0.9
2024/01/03,上野店,SE-004,塩(kg),調味料・油,13.3,200,10.0,3.3
2024/01/03,上野店,SE-002,サラダ油(L),調味料・油,13.1,350,12.0,1.1
2024/01/03,上野店,SE-001,醤油(L),調味料・油,8.3,400,6.0,2.3
2024/01/03,上野店,MT-003,牛切り落とし,肉類,9.9,2000,9.3,0.6
2024/01/04,上野店,VG-004,トマト,野菜・果物,15.9,300,13.3,2.6
2024/01/04,上野店,VG-005,レタス,野菜・果物,7.8,200,6.7,1.1
2024/01/04,上野店,SE-001,醤油(L),調味料・油,9.8,400,7.4,2.4
2024/01/04,上野店,MT-004,鶏むね肉,肉類,5.0,600,4.7,0.3
2024/01/05,上野店,MT-001,鶏もも肉,肉類,3.9,800,3.2,0.7
2024/01/05,上野店,SE-003,みりん(L),調味料・油,11.1,600,9.0,2.1
2024/01/05,上野店,FS-004,アジ,魚介類,10.8,800,8.9,1.9
2024/01/05,上野店,VG-003,玉ねぎ,野菜・果物,3.2,150,2.7,0.5
2024/01/08,上野店,DY-004,チーズ(kg),乳製品・卵,13.5,1800,9.6,3.9
2024/01/08,上野店,FS-004,アジ,魚介類,10.4,800,9.6,0.8
2024/01/08,上野店,DY-001,牛乳(L),乳製品・卵,3.1,200,2.8,0.3
2024/01/08,上野店,DY-001,牛乳(L),乳製品・卵,16.1,200,13.0,3.1
2024/01/09,上野店,MT-003,牛切り落とし,肉類,17.4,2000,14.9,2.5
2024/01/09,上野店,MT-001,鶏もも肉,肉類,13.9,800,12.1,1.8
2024/01/09,上野店,SE-001,醤油(L),調味料・油,8.7,400,7.0,1.7
2024/01/09,上野店,VG-004,トマト,野菜・果物,11.1,300,9.8,1.3
2024/01/10,上野店,MT-003,牛切り落とし,肉類,5.9,2000,5.2,0.7
2024/01/10,上野店,VG-001,キャベツ,野菜・果物,5.6,120,4.8,0.8
2024/01/10,上野店,FS-001,鮭,魚介類,18.1,1500,13.9,4.2
2024/01/10,上野店,FS-003,イカ,魚介類,19.2,1200,14.2,5.0
2024/01/11,上野店,FS-004,アジ,魚介類,7.2,800,6.0,1.2
2024/01/11,上野店,MT-002,豚バラ,肉類,15.7,1200,13.8,1.9
2024/01/11,上野店,DY-004,チーズ(kg),乳製品・卵,8.4,1800,6.9,1.5
2024/01/11,上野店,DY-002,バター(250g),乳製品・卵,6.9,450,5.4,1.5
2024/01/12,上野店,MT-002,豚バラ,肉類,11.9,1200,9.3,2.6
2024/01/12,上野店,VG-005,レタス,野菜・果物,16.1,200,14.3,1.8
2024/01/12,上野店,SE-002,サラダ油(L),調味料・油,10.1,350,9.1,1.0
2024/01/12,上野店,SE-002,サラダ油(L),調味料・油,8.5,350,6.3,2.2
2024/01/15,上野店,MT-004,鶏むね肉,肉類,9.1,600,6.9,2.2
2024/01/15,上野店,FS-004,アジ,魚介類,7.6,800,5.8,1.8
2024/01/15,上野店,FS-001,鮭,魚介類,9.9,1500,7.7,2.2
2024/01/15,上野店,SE-003,みりん(L),調味料・油,6.2,600,5.5,0.7
2024/01/16,上野店,DY-002,バター(250g),乳製品・卵,11.0,450,9.5,1.5
2024/01/16,上野店,VG-004,トマト,野菜・果物,20.0,300,17.1,2.9
2024/01/16,上野店,FS-003,イカ,魚介類,18.4,1200,16.5,1.9
2024/01/16,上野店,SE-003,みりん(L),調味料・油,3.5,600,2.5,1.0
2024/01/17,上野店,SE-003,みりん(L),調味料・油,10.9,600,8.7,2.2
2024/01/17,上野店,MT-004,鶏むね肉,肉類,11.9,600,10.8,1.1
2024/01/17,上野店,SE-001,醤油(L),調味料・油,6.1,400,5.5,0.6
2024/01/17,上野店,MT-004,鶏むね肉,肉類,19.9,600,18.3,1.6
2024/01/18,上野店,DY-003,卵(10個),乳製品・卵,7.7,250,6.2,1.5
2024/01/18,上野店,DY-003,卵(10個),乳製品・卵,12.9,250,12.1,0.8
2024/01/18,上野店,FS-001,鮭,魚介類,12.0,1500,9.3,2.7
2024/01/18,上野店,SE-003,みりん(L),調味料・油,5.5,600,3.9,1.6
2024/01/19,上野店,VG-005,レタス,野菜・果物,9.3,200,8.4,0.9
2024/01/19,上野店,VG-005,レタス,野菜・果物,5.5,200,4.1,1.4
2024/01/19,上野店,SE-003,みりん(L),調味料・油,6.8,600,6.3,0.5
2024/01/19,上野店,MT-003,牛切り落とし,肉類,14.2,2000,12.8,1.4
2024/01/22,上野店,MT-002,豚バラ,肉類,7.0,1200,6.6,0.4
2024/01/22,上野店,DY-003,卵(10個),乳製品・卵,9.7,250,7.8,1.9
2024/01/22,上野店,MT-001,鶏もも肉,肉類,16.0,800,14.3,1.7
2024/01/22,上野店,VG-003,玉ねぎ,野菜・果物,17.0,150,13.0,4.0
2024/01/23,上野店,SE-001,醤油(L),調味料・油,19.9,400,14.1,5.8
2024/01/23,上野店,DY-003,卵(10個),乳製品・卵,11.3,250,8.9,2.4
2024/01/23,上野店,MT-001,鶏もも肉,肉類,15.4,800,12.2,3.2
2024/01/23,上野店,FS-003,イカ,魚介類,5.5,1200,4.4,1.1
2024/01/24,上野店,SE-002,サラダ油(L),調味料・油,17.5,350,15.1,2.4
2024/01/24,上野店,MT-002,豚バラ,肉類,19.7,1200,15.8,3.9
2024/01/24,上野店,DY-003,卵(10個),乳製品・卵,18.6,250,14.2,4.4
2024/01/24,上野店,DY-003,卵(10個),乳製品・卵,15.6,250,11.3,4.3
2024/01/25,上野店,MT-003,牛切り落とし,肉類,5.6,2000,4.2,1.4
2024/01/25,上野店,SE-003,みりん(L),調味料・油,7.2,600,6.5,0.7
2024/01/25,上野店,FS-001,鮭,魚介類,16.4,1500,12.6,3.8
2024/01/25,上野店,SE-001,醤油(L),調味料・油,6.6,400,4.8,1.8
2024/01/26,上野店,MT-002,豚バラ,肉類,9.2,1200,7.0,2.2
2024/01/26,上野店,SE-003,みりん(L),調味料・油,9.2,600,6.5,2.7
2024/01/26,上野店,VG-004,トマト,野菜・果物,13.5,300,12.1,1.4
2024/01/26,上野店,VG-003,玉ねぎ,野菜・果物,18.5,150,16.9,1.6
2024/01/29,上野店,DY-001,牛乳(L),乳製品・卵,6.1,200,4.3,1.8
2024/01/29,上野店,SE-003,みりん(L),調味料・油,7.5,600,6.4,1.1
2024/01/29,上野店,FS-004,アジ,魚介類,4.3,800,3.8,0.5
2024/01/29,上野店,FS-001,鮭,魚介類,15.1,1500,12.2,2.9
2024/01/30,上野店,MT-004,鶏むね肉,肉類,11.5,600,10.2,1.3
2024/01/30,上野店,VG-005,レタス,野菜・果物,15.5,200,12.0,3.5
