date,store,ingredient_code,ingredient_name,category,purchase_qty,unit_cost,used_qty,waste_qty,purchase_cost,waste_cost,waste_rate,qty_imputed,source_file
2024-01-01,渋谷店,VG-001,キャベツ,野菜・果物,15.9,120.0,12.9,3.0,1908.0,360.0,0.1887,False,01_渋谷店_仕入_202401.csv
2024-01-01,渋谷店,FS-002,エビ,魚介類,14.6,2500.0,10.6,4.0,36500.0,10000.0,0.274,False,01_渋谷店_仕入_202401.csv
2024-01-01,渋谷店,MT-002,豚バラ,肉類,15.7,1200.0,14.1,1.6,18840.0,1920.0,0.1019,False,01_渋谷店_仕入_202401.csv
2024-01-01,渋谷店,VG-005,レタス,野菜・果物,10.1,200.0,8.0,2.1,2020.0,420.0,0.2079,False,01_渋谷店_仕入_202401.csv
2024-01-01,渋谷店,VG-005,レタス,野菜・果物,13.6,200.0,12.3,1.3,2720.0,260.0,0.0956,False,01_渋谷店_仕入_202401.csv
2024-01-01,渋谷店,SE-001,醤油(L),調味料・油,6.1,400.0,4.4,1.7,2440.0,680.0,0.2787,False,01_渋谷店_仕入_202401.csv
2024-01-02,渋谷店,VG-001,キャベツ,野菜・果物,13.4,120.0,11.9,1.5,1608.0,180.0,0.1119,False,01_渋谷店_仕入_202401.csv
2024-01-02,渋谷店,MT-002,豚バラ,肉類,19.5,1200.0,18.0,1.5,23400.0,1800.0,0.0769,False,01_渋谷店_仕入_202401.csv
2024-01-02,渋谷店,DY-001,牛乳(L),乳製品・卵,5.5,200.0,4.5,1.0,1100.0,200.0,0.1818,False,01_渋谷店_仕入_202401.csv
2024-01-02,渋谷店,DY-002,バター(250g),乳製品・卵,14.3,450.0,12.7,1.6,6435.0,720.0,0.1119,False,01_渋谷店_仕入_202401.csv
2024-01-02,渋谷店,DY-004,チーズ(kg),乳製品・卵,7.9,1800.0,6.3,1.6,14220.0,2880.0,0.2025,False,01_渋谷店_仕入_202401.csv
2024-01-02,渋谷店,MT-004,鶏むね肉,肉類,5.4,600.0,4.0,1.4,3240.0,840.0,0.2593,False,01_渋谷店_仕入_202401.csv
2024-01-03,渋谷店,DY-003,卵(10個),乳製品・卵,6.1,250.0,5.3,0.8,1525.0,200.0,0.1311,False,01_渋谷店_仕入_202401.csv
2024-01-03,渋谷店,VG-002,にんじん,野菜・果物,17.0,180.0,14.9,2.1,3060.0,378.0,0.1235,False,01_渋谷店_仕入_202401.csv
2024-01-03,渋谷店,SE-003,みりん(L),調味料・油,17.0,600.0,15.3,1.7,10200.0,1020.0,0.1,False,01_渋谷店_仕入_202401.csv
2024-01-03,渋谷店,FS-002,エビ,魚介類,7.2,2500.0,6.3,0.9,18000.0,2250.0,0.125,False,01_渋谷店_仕入_202401.csv
2024-01-03,渋谷店,MT-003,牛切り落とし,肉類,5.6,2000.0,3.9,1.7,11200.0,3400.0,0.3036,False,01_渋谷店_仕入_202401.csv
