社員番号,スタッフ名,店番,雇用形態,賃金,日付,開始時刻,終了時刻,休憩時間,勤務時間,深夜勤務
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月01日,18:30,01:54,45,7.4,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月01日,19:30,02:00,45,6.5,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月01日,19:30,02:18,45,6.8,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月01日,17:30,01:00,45,7.5,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月01日,17:00,21:18,0,4.3,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月01日,13:00,20:00,45,7.0,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月01日,15:00,21:30,45,6.5,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月01日,10:00,15:00,0,5.0,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月01日,15:00,20:48,0,5.8,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月01日,13:30,17:24,0,3.9,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月01日,13:30,20:12,45,6.7,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月01日,13:30,17:30,0,4.0,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月01日,13:30,17:18,0,3.8,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月01日,20:30,02:36,45,6.1,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月01日,11:00,18:12,45,7.2,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月01日,15:30,23:00,45,7.5,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月01日,19:30,01:00,0,5.5,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月01日,18:30,23:30,0,5.0,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月02日,12:00,17:36,0,5.6,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月02日,18:00,23:30,0,5.5,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月02日,20:00,01:18,0,5.3,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月02日,15:00,18:06,0,3.1,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月02日,19:00,23:36,0,4.6,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月02日,14:00,19:42,0,5.7,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月02日,10:30,15:18,0,4.8,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月02日,13:30,20:00,45,6.5,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月02日,16:30,21:48,0,5.3,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月02日,19:00,02:06,45,7.1,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月02日,13:30,20:48,45,7.3,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月02日,21:00,02:24,0,5.4,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月02日,12:30,19:24,45,6.9,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月02日,11:00,16:00,0,5.0,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月02日,10:00,17:06,45,7.1,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月02日,20:00,01:12,0,5.2,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月02日,15:30,21:18,0,5.8,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月03日,14:30,17:36,0,3.1,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月03日,19:00,00:54,0,5.9,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月03日,18:00,01:54,45,7.9,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月03日,15:30,22:24,45,6.9,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月03日,11:30,17:36,45,6.1,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月03日,12:00,18:12,45,6.2,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月03日,10:30,17:42,45,7.2,False
