予約日,予約番号,店舗名,コース,予約人数,予約金額,ステータス,キャンセル理由
2024/01/08,A00001,銀座店,ランチ,1,4000,来店済み,
2024/01/02,A00002,渋谷店,ランチ,9,18000,来店済み,
2024/01/01,A00003,渋谷店,ランチ,4,8000,来店済み,
2024/01/19,A00004,銀座店,ディナー,9,99000,来店済み,
2024/01/09,A00005,新宿店,ランチ,3,12000,来店済み,
2024/01/12,A00006,渋谷店,ディナー,6,36000,キャンセル,急用
2024/01/13,A00007,新宿店,飲み放題,1,6000,来店済み,
2024/01/23,A00008,渋谷店,飲み放題,10,50000,来店済み,
2024/01/28,A00009,渋谷店,ランチ,4,12000,予約済み,
2024/01/27,A00010,渋谷店,ランチ,7,21000,来店済み,
2024/01/09,A00011,新宿店,ディナー,6,60000,来店済み,
2024/01/06,A00012,銀座店,ランチ,10,40000,キャンセル,体調不良
2024/01/08,A00013,新宿店,個室コース,5,90000,来店済み,
2024/01/26,A00014,銀座店,飲み放題,1,4000,来店済み,
2024/01/19,A00015,新宿店,個室コース,5,45000,来店済み,
2024/01/21,A00016,銀座店,飲み放題,4,24000,来店済み,
2024/01/18,A00017,新宿店,ディナー,5,35000,来店済み,
2024/01/13,A00018,銀座店,飲み放題,10,60000,来店済み,
2024/01/28,A00019,新宿店,ディナー,3,36000,キャンセル,急用
2024/01/13,A00020,渋谷店,ディナー,3,33000,来店済み,
2024/01/28,A00021,新宿店,個室コース,9,108000,予約済み,
2024/01/11,A00022,渋谷店,ランチ,9,27000,来店済み,
2024/01/24,A00023,渋谷店,飲み放題,7,28000,来店済み,
2024/01/04,A00024,銀座店,飲み放題,9,36000,来店済み,
2024/01/18,A00025,銀座店,飲み放題,9,36000,キャンセル,体調不良
2024/01/04,A00026,銀座店,ランチ,10,30000,来店済み,
2024/01/19,A00027,新宿店,飲み放題,4,12000,来店済み,
2024/01/18,A00028,渋谷店,ランチ,8,16000,予約済み,
2024/01/28,A00029,渋谷店,ディナー,8,56000,来店済み,
