ReservDate,ReservNo,StoreName,Course,GuestCount,Amount,Status,CancelReason
2024-01-18,B00001,渋谷店,ディナー,5,40000,来店済み,
2024-01-26,B00002,渋谷店,ディナー,5,35000,キャンセル,体調不良
2024-01-10,B00003,新宿店,飲み放題,8,24000,来店済み,
2024-01-15,B00004,銀座店,個室コース,5,80000,来店済み,
2024-01-09,B00005,渋谷店,ランチ,7,28000,来店済み,
2024-01-19,B00006,渋谷店,ランチ,4,16000,来店済み,
2024-01-16,B00007,銀座店,ランチ,5,20000,キャンセル,体調不良
2024-01-14,B00008,銀座店,個室コース,5,50000,予約済み,
2024-01-11,B00009,銀座店,個室コース,2,30000,来店済み,
2024-01-16,B00010,新宿店,ランチ,3,9000,来店済み,
2024-01-11,B00011,新宿店,個室コース,9,72000,来店済み,
2024-01-27,B00012,新宿店,飲み放題,2,12000,来店済み,
2024-01-20,B00013,渋谷店,個室コース,7,56000,キャンセル,天候
2024-01-05,B00014,新宿店,個室コース,1,11000,来店済み,
2024-01-26,B00015,新宿店,個室コース,8,72000,キャンセル,その他
2024-01-03,B00016,渋谷店,ディナー,5,25000,来店済み,
2024-01-05,B00017,渋谷店,ランチ,8,16000,来店済み,
2024-01-16,B00018,新宿店,飲み放題,9,45000,来店済み,
2024-01-20,B00019,新宿店,ディナー,8,56000,来店済み,
2024-01-28,B00020,銀座店,ディナー,2,18000,来店済み,
2024-01-10,B00021,新宿店,飲み放題,9,45000,来店済み,
2024-01-15,B00022,銀座店,飲み放題,10,60000,来店済み,
2024-01-18,B00023,銀座店,個室コース,6,78000,来店済み,
2024-01-08,B00024,新宿店,個室コース,6,66000,予約済み,
2024-01-11,B00025,銀座店,個室コース,4,80000,来店済み,
2024-01-26,B00026,銀座店,個室コース,7,98000,予約済み,
2024-01-11,B00027,銀座店,ディナー,8,40000,キャンセル,その他
2024-01-01,B00028,渋谷店,個室コース,2,32000,予約済み,
2024-01-11,B00029,銀座店,ディナー,7,49000,キャンセル,天候
2024-01-28,B00030,銀座店,個室コース,2,26000,来店済み,
2024-01-25,B00031,銀座店,個室コース,6,108000,来店済み,
2024-01-22,B00032,新宿店,ランチ,10,20000,来店済み,
2024-01-25,B00033,新宿店,ディナー,2,22000,予約済み,
2024-01-01,B00034,銀座店,ランチ,8,16000,来店済み,
2024-01-14,B00035,渋谷店,飲み放題,1,5000,来店済み,
2024-01-26,B00036,渋谷店,ディナー,9,99000,来店済み,
2024-01-13,B00037,渋谷店,ディナー,3,18000,来店済み,
2024-01-21,B00038,銀座店,ディナー,8,56000,来店済み,
2024-01-10,B00039,新宿店,個室コース,5,90000,キャンセル,忘れ
2024-01-19,B00040,銀座店,ディナー,2,24000,予約済み,
2024-01-07,B00041,新宿店,個室コース,5,75000,来店済み,
2024-01-12,B00042,新宿店,個室コース,2,22000,来店済み,
2024-01-22,B00043,銀座店,飲み放題,5,15000,予約済み,
2024-01-24,B00044,新宿店,飲み放題,1,3000,予約済み,
2024-01-07,B00045,新宿店,飲み放題,4,20000,来店済み,
2024-01-21,B00046,銀座店,飲み放題,3,9000,予約済み,
2024-01-24,B00047,渋谷店,飲み放題,8,24000,来店済み,
2024-01-06,B00048,渋谷店,ランチ,5,15000,来店済み,
2024-01-09,B00049,渋谷店,ディナー,9,90000,来店済み,
2024-01-11,B00050,渋谷店,飲み放題,8,40000,来店済み,
2024-01-08,B00051,渋谷店,個室コース,2,20000,来店済み,
2024-01-01,B00052,銀座店,個室コース,9,117000,キャンセル,忘れ
2024-01-22,B00053,新宿店,ランチ,8,24000,来店済み,
2024-01-16,B00054,新宿店,個室コース,6,54000,来店済み,
2024-01-21,B00055,渋谷店,飲み放題,10,40000,来店済み,
2024-01-10,B00056,新宿店,飲み放題,7,21000,キャンセル,急用
2024-01-05,B00057,新宿店,ランチ,2,4000,来店済み,
2024-01-23,B00058,新宿店,個室コース,6,108000,予約済み,
2024-01-14,B00059,銀座店,個室コース,10,190000,来店済み,
2024-01-09,B00060,銀座店,ランチ,8,32000,来店済み,
2024-01-08,B00061,渋谷店,飲み放題,4,24000,来店済み,
2024-01-21,B00062,新宿店,ランチ,6,24000,予約済み,
2024-01-28,B00063,新宿店,ランチ,7,21000,キャンセル,急用
2024-01-01,B00064,新宿店,ランチ,4,16000,来店済み,
2024-01-07,B00065,渋谷店,飲み放題,4,16000,来店済み,
2024-01-08,B00066,渋谷店,ディナー,10,80000,来店済み,
2024-01-05,B00067,新宿店,ディナー,10,50000,来店済み,
2024-01-01,B00068,渋谷店,飲み放題,3,9000,来店済み,
2024-01-01,B00069,渋谷店,ランチ,6,12000,来店済み,
