reserv_date,reserv_no,store_name,course,guest_count,amount,status,cancel_reason,source_file,is_cancel,loss_amount,day_of_week
2024-01-08,A00001,銀座店,ランチ,1,4000,来店済み,,reservations_styleA_202401.csv,0,0,月
2024-01-02,A00002,渋谷店,ランチ,9,18000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-01,A00003,渋谷店,ランチ,4,8000,来店済み,,reservations_styleA_202401.csv,0,0,月
2024-01-19,A00004,銀座店,ディナー,9,99000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-09,A00005,新宿店,ランチ,3,12000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-12,A00006,渋谷店,ディナー,6,36000,キャンセル,急用,reservations_styleA_202401.csv,1,36000,金
2024-01-13,A00007,新宿店,飲み放題,1,6000,来店済み,,reservations_styleA_202401.csv,0,0,土
2024-01-23,A00008,渋谷店,飲み放題,10,50000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-28,A00009,渋谷店,ランチ,4,12000,予約済み,,reservations_styleA_202401.csv,0,0,日
2024-01-27,A00010,渋谷店,ランチ,7,21000,来店済み,,reservations_styleA_202401.csv,0,0,土
2024-01-09,A00011,新宿店,ディナー,6,60000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-06,A00012,銀座店,ランチ,10,40000,キャンセル,体調不良,reservations_styleA_202401.csv,1,40000,土
2024-01-08,A00013,新宿店,個室コース,5,90000,来店済み,,reservations_styleA_202401.csv,0,0,月
2024-01-26,A00014,銀座店,飲み放題,1,4000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-19,A00015,新宿店,個室コース,5,45000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-21,A00016,銀座店,飲み放題,4,24000,来店済み,,reservations_styleA_202401.csv,0,0,日
2024-01-18,A00017,新宿店,ディナー,5,35000,来店済み,,reservations_styleA_202401.csv,0,0,木
2024-01-13,A00018,銀座店,飲み放題,10,60000,来店済み,,reservations_styleA_202401.csv,0,0,土
2024-01-28,A00019,新宿店,ディナー,3,36000,キャンセル,急用,reservations_styleA_202401.csv,1,36000,日
2024-01-13,A00020,渋谷店,ディナー,3,33000,来店済み,,reservations_styleA_202401.csv,0,0,土
2024-01-28,A00021,新宿店,個室コース,9,108000,予約済み,,reservations_styleA_202401.csv,0,0,日
2024-01-11,A00022,渋谷店,ランチ,9,27000,来店済み,,reservations_styleA_202401.csv,0,0,木
2024-01-24,A00023,渋谷店,飲み放題,7,28000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-04,A00024,銀座店,飲み放題,9,36000,来店済み,,reservations_styleA_202401.csv,0,0,木
2024-01-18,A00025,銀座店,飲み放題,9,36000,キャンセル,体調不良,reservations_styleA_202401.csv,1,36000,木
2024-01-04,A00026,銀座店,ランチ,10,30000,来店済み,,reservations_styleA_202401.csv,0,0,木
2024-01-19,A00027,新宿店,飲み放題,4,12000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-18,A00028,渋谷店,ランチ,8,16000,予約済み,,reservations_styleA_202401.csv,0,0,木
2024-01-28,A00029,渋谷店,ディナー,8,56000,来店済み,,reservations_styleA_202401.csv,0,0,日
2024-01-23,A00030,銀座店,個室コース,4,64000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-17,A00031,渋谷店,飲み放題,7,35000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-19,A00032,新宿店,ランチ,4,8000,キャンセル,急用,reservations_styleA_202401.csv,1,8000,金
2024-01-08,A00033,銀座店,ディナー,10,80000,キャンセル,急用,reservations_styleA_202401.csv,1,80000,月
2024-01-09,A00034,渋谷店,ランチ,6,12000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-19,A00035,銀座店,個室コース,4,64000,キャンセル,その他,reservations_styleA_202401.csv,1,64000,金
2024-01-22,A00036,新宿店,ディナー,8,88000,キャンセル,急用,reservations_styleA_202401.csv,1,88000,月
2024-01-24,A00037,新宿店,飲み放題,7,42000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-26,A00038,渋谷店,ランチ,1,3000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-05,A00039,渋谷店,ディナー,4,32000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-03,A00040,新宿店,ディナー,5,60000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-27,A00041,新宿店,ランチ,1,4000,予約済み,,reservations_styleA_202401.csv,0,0,土
2024-01-16,A00042,渋谷店,ランチ,4,8000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-13,A00043,渋谷店,個室コース,1,10000,来店済み,,reservations_styleA_202401.csv,0,0,土
2024-01-24,A00044,新宿店,個室コース,5,70000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-02,A00045,銀座店,個室コース,3,33000,来店済み,,reservations_styleA_202401.csv,0,0,火
2024-01-17,A00046,銀座店,ランチ,6,12000,キャンセル,忘れ,reservations_styleA_202401.csv,1,12000,水
2024-01-03,A00047,銀座店,ディナー,1,6000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-08,A00048,銀座店,ランチ,4,12000,キャンセル,その他,reservations_styleA_202401.csv,1,12000,月
2024-01-19,A00049,銀座店,ランチ,10,20000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-11,A00050,銀座店,飲み放題,5,20000,来店済み,,reservations_styleA_202401.csv,0,0,木
2024-01-10,A00051,渋谷店,飲み放題,7,28000,来店済み,,reservations_styleA_202401.csv,0,0,水
2024-01-19,A00052,新宿店,飲み放題,2,6000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-05,A00053,渋谷店,ランチ,9,18000,来店済み,,reservations_styleA_202401.csv,0,0,金
2024-01-15,A00054,新宿店,ランチ,4,12000,来店済み,,reservations_styleA_202401.csv,0,0,月
