勤務日,スタッフID,店舗名,役職,出勤時刻,退勤時刻,実働時間,時給
2024/01/21,ST-004,渋谷店,レジ,12:00,16:30,4.5,1071
2024/01/24,ST-004,銀座店,レジ,16:00,19:30,3.5,1216
2024/01/02,ST-001,渋谷店,ホール,11:00,17:00,6.0,1013
2024/01/18,ST-007,銀座店,レジ,16:00,21:30,5.5,1229
2024/01/19,ST-009,渋谷店,ホール,14:00,19:00,5.0,1079
2024/01/07,ST-011,渋谷店,ホール,14:00,17:36,3.6,1433
2024/01/12,ST-020,新宿店,ホール,15:00,21:12,6.2,1498
2024/01/30,ST-013,渋谷店,レジ,12:00,20:00,8.0,1316
2024/01/29,ST-012,銀座店,ホール,09:00,12:17,3.3,1116
2024/01/25,ST-010,渋谷店,ホール,09:00,14:17,5.3,1232
2024/01/21,ST-012,渋谷店,キッチン,13:00,17:17,4.3,1136
2024/01/23,ST-003,銀座店,レジ,10:00,16:12,6.2,1125
2024/01/06,ST-015,新宿店,キッチン,18:00,25:05,7.1,1112
2024/01/22,ST-011,渋谷店,ホール,08:00,15:47,7.8,1205
2024/01/09,ST-003,渋谷店,レジ,13:00,17:17,4.3,1255
2024/01/13,ST-015,渋谷店,キッチン,10:00,14:30,4.5,1287
2024/01/18,ST-009,銀座店,レジ,14:00,22:24,8.4,1204
2024/01/12,ST-008,渋谷店,レジ,15:00,18:30,3.5,1024
2024/01/28,ST-004,渋谷店,レジ,10:00,17:47,7.8,1216
2024/01/20,ST-003,新宿店,キッチン,17:00,26:00,9.0,1270
2024/01/09,ST-018,渋谷店,レジ,09:00,16:05,7.1,1274
2024/01/25,ST-009,銀座店,キッチン,09:00,13:47,4.8,1080
2024/01/15,ST-001,銀座店,レジ,12:00,20:48,8.8,1390
2024/01/06,ST-017,渋谷店,レジ,12:00,20:05,8.1,1259
2024/01/20,ST-007,渋谷店,キッチン,10:00,16:12,6.2,1398
2024/01/30,ST-017,渋谷店,レジ,13:00,18:54,5.9,1057
2024/01/30,ST-012,新宿店,ホール,08:00,12:24,4.4,1290
2024/01/31,ST-003,渋谷店,レジ,15:00,22:54,7.9,1500
2024/01/25,ST-018,渋谷店,ホール,18:00,23:54,5.9,1281
2024/01/06,ST-009,銀座店,レジ,14:00,22:48,8.8,1475
2024/01/18,ST-007,銀座店,キッチン,14:00,23:00,9.0,1332
2024/01/12,ST-015,銀座店,キッチン,09:00,13:30,4.5,1032
2024/01/11,ST-001,銀座店,レジ,11:00,17:30,6.5,1003
2024/01/03,ST-002,渋谷店,ホール,08:00,16:11,8.2,1036
2024/01/17,ST-008,新宿店,レジ,15:00,19:17,4.3,1067
2024/01/24,ST-019,銀座店,キッチン,11:00,18:42,7.7,1413
2024/01/14,ST-007,渋谷店,ホール,18:00,23:35,5.6,1216
2024/01/14,ST-015,銀座店,ホール,18:00,24:54,6.9,1330
2024/01/04,ST-002,新宿店,レジ,13:00,20:47,7.8,1055
2024/01/08,ST-007,渋谷店,レジ,15:00,18:47,3.8,1093
2024/01/09,ST-015,渋谷店,ホール,15:00,22:47,7.8,1438
2024/01/18,ST-004,渋谷店,レジ,16:00,24:00,8.0,1496
2024/01/03,ST-008,渋谷店,キッチン,15:00,20:54,5.9,1442
2024/01/13,ST-002,渋谷店,キッチン,08:00,16:54,8.9,1135
2024/01/30,ST-015,新宿店,キッチン,16:00,23:00,7.0,1249
2024/01/05,ST-007,新宿店,ホール,08:00,14:30,6.5,1277
2024/01/02,ST-011,渋谷店,ホール,17:00,22:54,5.9,1470
2024/01/28,ST-017,渋谷店,ホール,16:00,19:30,3.5,1095
2024/01/03,ST-020,渋谷店,レジ,11:00,16:24,5.4,1482
2024/01/29,ST-019,渋谷店,レジ,17:00,20:12,3.2,1041
2024/01/14,ST-019,銀座店,レジ,13:00,21:35,8.6,1104
2024/01/22,ST-011,渋谷店,キッチン,14:00,17:47,3.8,1330
2024/01/10,ST-015,新宿店,ホール,08:00,13:42,5.7,1288
2024/01/04,ST-003,銀座店,ホール,16:00,20:35,4.6,1477
2024/01/12,ST-003,渋谷店,キッチン,12:00,15:53,3.9,1426
2024/01/18,ST-010,銀座店,レジ,16:00,19:00,3.0,1418
2024/01/18,ST-010,銀座店,ホール,10:00,14:35,4.6,1455
2024/01/04,ST-018,渋谷店,キッチン,12:00,18:35,6.6,1367
2024/01/11,ST-007,銀座店,レジ,12:00,18:00,6.0,1128
2024/01/29,ST-002,渋谷店,レジ,14:00,22:00,8.0,1022
2024/01/01,ST-011,渋谷店,レジ,12:00,16:00,4.0,1226
2024/01/18,ST-014,銀座店,ホール,09:00,12:30,3.5,1452
2024/01/23,ST-005,銀座店,ホール,13:00,19:30,6.5,1075
2024/01/14,ST-005,渋谷店,キッチン,13:00,21:24,8.4,1407
2024/01/28,ST-002,新宿店,ホール,18:00,22:30,4.5,1052
2024/01/12,ST-018,新宿店,レジ,10:00,18:35,8.6,1121
2024/01/28,ST-006,渋谷店,キッチン,08:00,12:05,4.1,1473
2024/01/11,ST-014,銀座店,レジ,11:00,15:35,4.6,1403
2024/01/23,ST-004,新宿店,ホール,15:00,19:17,4.3,1418
2024/01/30,ST-015,新宿店,キッチン,11:00,15:17,4.3,1337
2024/01/07,ST-013,新宿店,キッチン,09:00,17:48,8.8,1142
2024/01/12,ST-017,新宿店,レジ,16:00,21:00,5.0,1014
2024/01/04,ST-009,渋谷店,レジ,12:00,15:12,3.2,1305
2024/01/14,ST-012,銀座店,キッチン,14:00,20:35,6.6,1261
2024/01/04,ST-013,銀座店,ホール,12:00,15:17,3.3,1223
2024/01/01,ST-017,銀座店,レジ,18:00,22:12,4.2,1220
2024/01/03,ST-011,銀座店,キッチン,18:00,26:05,8.1,1368
2024/01/29,ST-010,銀座店,キッチン,18:00,23:30,5.5,1206
2024/01/23,ST-010,銀座店,ホール,11:00,16:30,5.5,1481
2024/01/13,ST-006,銀座店,レジ,12:00,17:24,5.4,1426
2024/01/01,ST-010,新宿店,ホール,14:00,21:42,7.7,1310
2024/01/21,ST-011,新宿店,キッチン,15:00,22:05,7.1,1261
2024/01/16,ST-006,銀座店,ホール,12:00,18:05,6.1,1324
2024/01/20,ST-011,渋谷店,ホール,18:00,22:54,4.9,1412
2024/01/07,ST-005,渋谷店,ホール,11:00,19:54,8.9,1312
2024/01/28,ST-003,新宿店,キッチン,18:00,24:30,6.5,1367
2024/01/23,ST-013,新宿店,キッチン,11:00,14:53,3.9,1352
2024/01/01,ST-004,新宿店,ホール,10:00,17:47,7.8,1356
2024/01/17,ST-015,渋谷店,レジ,11:00,19:30,8.5,1062
2024/01/15,ST-005,新宿店,レジ,16:00,24:54,8.9,1304
2024/01/11,ST-015,銀座店,レジ,16:00,21:35,5.6,1464
2024/01/18,ST-015,渋谷店,レジ,15:00,20:42,5.7,1384
2024/01/08,ST-009,銀座店,キッチン,18:00,22:24,4.4,1225
2024/01/03,ST-010,渋谷店,キッチン,13:00,17:54,4.9,1276
2024/01/03,ST-005,渋谷店,ホール,14:00,21:12,7.2,1361
2024/01/07,ST-003,新宿店,キッチン,13:00,19:17,6.3,1212
2024/01/02,ST-007,新宿店,キッチン,17:00,25:41,8.7,1010
2024/01/28,ST-019,新宿店,キッチン,08:00,16:41,8.7,1152
2024/01/25,ST-013,新宿店,レジ,16:00,23:47,7.8,1459
2024/01/08,ST-016,渋谷店,キッチン,14:00,19:54,5.9,1199
2024/01/11,ST-013,銀座店,ホール,15:00,23:30,8.5,1318
2024/01/18,ST-001,新宿店,レジ,17:00,24:00,7.0,1042
2024/01/21,ST-014,渋谷店,キッチン,10:00,13:17,3.3,1194
2024/01/11,ST-007,新宿店,キッチン,13:00,20:35,7.6,1194
2024/01/09,ST-014,新宿店,ホール,15:00,18:06,3.1,1276
2024/01/02,ST-012,渋谷店,レジ,09:00,16:42,7.7,1333
2024/01/02,ST-001,渋谷店,ホール,08:00,14:42,6.7,1122
2024/01/05,ST-016,銀座店,ホール,17:00,25:41,8.7,1238
2024/01/23,ST-009,新宿店,ホール,17:00,23:35,6.6,1382
2024/01/23,ST-004,渋谷店,キッチン,09:00,15:30,6.5,1475
2024/01/10,ST-019,銀座店,キッチン,14:00,22:35,8.6,1101
2024/01/03,ST-019,銀座店,レジ,11:00,14:36,3.6,1395
2024/01/10,ST-020,渋谷店,レジ,08:00,13:05,5.1,1219
2024/01/22,ST-012,渋谷店,レジ,18:00,23:00,5.0,1434
2024/01/14,ST-016,渋谷店,キッチン,13:00,19:47,6.8,1424
2024/01/15,ST-005,新宿店,ホール,16:00,24:48,8.8,1138
2024/01/20,ST-018,新宿店,キッチン,14:00,22:00,8.0,1303
2024/01/09,ST-011,渋谷店,ホール,12:00,20:18,8.3,1124
2024/01/25,ST-015,銀座店,レジ,18:00,23:17,5.3,1014
2024/01/16,ST-011,渋谷店,キッチン,11:00,16:05,5.1,1132
2024/01/11,ST-009,銀座店,レジ,12:00,18:17,6.3,1264
2024/01/31,ST-007,渋谷店,ホール,14:00,19:54,5.9,1388
2024/01/08,ST-016,銀座店,レジ,15:00,20:42,5.7,1008
2024/01/03,ST-010,渋谷店,キッチン,11:00,15:47,4.8,1297
2024/01/12,ST-016,銀座店,レジ,13:00,18:35,5.6,1381
2024/01/18,ST-011,新宿店,レジ,15:00,19:35,4.6,1128
2024/01/08,ST-004,銀座店,ホール,13:00,16:42,3.7,1274
2024/01/31,ST-006,渋谷店,ホール,15:00,19:42,4.7,1301
2024/01/25,ST-017,銀座店,キッチン,09:00,17:00,8.0,1151
2024/01/08,ST-012,渋谷店,キッチン,08:00,15:12,7.2,1064
2024/01/09,ST-002,渋谷店,レジ,12:00,19:12,7.2,1064
2024/01/21,ST-016,渋谷店,ホール,17:00,21:42,4.7,1245
2024/01/15,ST-011,渋谷店,ホール,12:00,20:35,8.6,1244
2024/01/04,ST-003,新宿店,キッチン,09:00,15:30,6.5,1351
2024/01/02,ST-005,渋谷店,レジ,12:00,15:30,3.5,1127
2024/01/04,ST-018,新宿店,レジ,17:00,24:42,7.7,1115
2024/01/25,ST-017,新宿店,キッチン,15:00,19:47,4.8,1301
2024/01/14,ST-010,銀座店,レジ,08:00,14:42,6.7,1378
2024/01/04,ST-007,銀座店,ホール,12:00,19:00,7.0,1080
2024/01/08,ST-006,銀座店,ホール,10:00,13:00,3.0,1230
