WorkDate,StaffID,StoreName,Role,StartTime,EndTime,WorkHours,HourlyRate
2024-01-23,ST-020,新宿店,キッチン,08:00,12:24,4.4,1361
2024-01-10,ST-015,渋谷店,レジ,11:00,19:30,8.5,1403
2024-01-26,ST-019,銀座店,ホール,14:00,17:42,3.7,1115
2024-01-21,ST-005,新宿店,ホール,09:00,12:23,3.4,1405
2024-01-10,ST-020,銀座店,レジ,12:00,17:35,5.6,1239
2024-01-23,ST-010,銀座店,キッチン,12:00,18:00,6.0,1252
2024-01-15,ST-003,銀座店,ホール,14:00,21:24,7.4,1309
2024-01-09,ST-001,渋谷店,ホール,18:00,26:00,8.0,1294
2024-01-19,ST-001,銀座店,キッチン,17:00,20:12,3.2,1387
2024-01-06,ST-016,銀座店,レジ,15:00,23:30,8.5,1092
2024-01-19,ST-014,銀座店,キッチン,09:00,14:47,5.8,1209
2024-01-11,ST-011,銀座店,ホール,10:00,15:00,5.0,1355
2024-01-16,ST-010,銀座店,キッチン,16:00,19:12,3.2,1045
2024-01-11,ST-009,新宿店,ホール,14:00,22:11,8.2,1422
2024-01-01,ST-018,新宿店,キッチン,08:00,12:05,4.1,1185
2024-01-20,ST-016,銀座店,キッチン,08:00,12:12,4.2,1281
2024-01-05,ST-010,新宿店,レジ,15:00,18:42,3.7,1498
2024-01-21,ST-020,渋谷店,レジ,10:00,14:54,4.9,1007
2024-01-18,ST-014,渋谷店,ホール,09:00,14:47,5.8,1060
2024-01-21,ST-005,新宿店,レジ,12:00,18:05,6.1,1139
2024-01-14,ST-016,新宿店,ホール,15:00,21:17,6.3,1196
2024-01-07,ST-020,銀座店,レジ,10:00,18:11,8.2,1141
2024-01-25,ST-014,新宿店,レジ,12:00,19:54,7.9,1144
2024-01-24,ST-010,銀座店,レジ,18:00,23:54,5.9,1076
2024-01-15,ST-018,新宿店,キッチン,13:00,19:17,6.3,1278
2024-01-13,ST-015,新宿店,ホール,11:00,17:24,6.4,1119
2024-01-28,ST-014,渋谷店,キッチン,15:00,22:12,7.2,1415
2024-01-13,ST-013,銀座店,レジ,10:00,16:00,6.0,1018
2024-01-05,ST-017,銀座店,キッチン,09:00,17:11,8.2,1225
2024-01-04,ST-017,新宿店,ホール,10:00,15:30,5.5,1335
2024-01-05,ST-003,新宿店,キッチン,13:00,19:42,6.7,1203
2024-01-21,ST-003,新宿店,レジ,16:00,21:17,5.3,1162
2024-01-21,ST-016,銀座店,ホール,17:00,20:23,3.4,1323
2024-01-22,ST-010,渋谷店,レジ,09:00,14:35,5.6,1050
2024-01-25,ST-004,新宿店,ホール,12:00,20:24,8.4,1023
2024-01-11,ST-002,新宿店,キッチン,13:00,18:35,5.6,1125
2024-01-17,ST-014,銀座店,レジ,10:00,14:00,4.0,1040
2024-01-20,ST-013,銀座店,レジ,11:00,17:00,6.0,1298
2024-01-05,ST-008,新宿店,レジ,12:00,17:47,5.8,1341
2024-01-01,ST-015,新宿店,レジ,16:00,19:53,3.9,1226
2024-01-31,ST-012,銀座店,キッチン,18:00,26:48,8.8,1353
2024-01-09,ST-015,新宿店,ホール,14:00,22:05,8.1,1054
2024-01-08,ST-013,銀座店,キッチン,17:00,21:47,4.8,1358
