日付,従業員番号,店舗,ポジション,開始,終了,勤務時間,時給単価
2024/01/15,ST-020,渋谷店,ホール,08:00,12:30,4.5,1427
2024/01/05,ST-018,銀座店,レジ,16:00,21:30,5.5,1397
2024/01/10,ST-008,新宿店,ホール,08:00,12:24,4.4,1327
2024/01/26,ST-020,新宿店,ホール,09:00,17:00,8.0,1255
2024/01/20,ST-018,渋谷店,レジ,16:00,22:30,6.5,1367
2024/01/05,ST-010,新宿店,ホール,17:00,22:05,5.1,1292
2024/01/14,ST-006,銀座店,レジ,09:00,15:05,6.1,1184
2024/01/03,ST-017,銀座店,レジ,16:00,22:17,6.3,1199
2024/01/28,ST-016,渋谷店,レジ,14:00,22:54,8.9,1129
2024/01/24,ST-001,新宿店,ホール,13:00,17:24,4.4,1336
2024/01/21,ST-004,銀座店,レジ,13:00,16:47,3.8,1180
2024/01/18,ST-011,銀座店,ホール,18:00,23:47,5.8,1356
2024/01/16,ST-006,渋谷店,ホール,15:00,18:12,3.2,1103
2024/01/02,ST-007,渋谷店,キッチン,12:00,18:05,6.1,1417
2024/01/18,ST-016,新宿店,ホール,18:00,22:05,4.1,1182
2024/01/28,ST-002,銀座店,キッチン,12:00,15:42,3.7,1188
2024/01/14,ST-013,銀座店,キッチン,14:00,19:00,5.0,1095
2024/01/16,ST-016,新宿店,レジ,12:00,19:47,7.8,1372
2024/01/14,ST-003,新宿店,レジ,10:00,16:17,6.3,1164
2024/01/04,ST-003,新宿店,レジ,12:00,16:47,4.8,1308
2024/01/23,ST-014,渋谷店,レジ,15:00,20:05,5.1,1021
2024/01/24,ST-012,銀座店,キッチン,12:00,18:47,6.8,1405
2024/01/31,ST-002,渋谷店,レジ,18:00,23:24,5.4,1262
2024/01/26,ST-006,渋谷店,ホール,17:00,24:05,7.1,1224
2024/01/02,ST-005,渋谷店,ホール,18:00,23:12,5.2,1196
2024/01/31,ST-019,渋谷店,レジ,10:00,17:05,7.1,1485
2024/01/12,ST-012,新宿店,ホール,17:00,20:47,3.8,1187
2024/01/13,ST-011,銀座店,キッチン,11:00,19:48,8.8,1013
2024/01/24,ST-006,新宿店,レジ,14:00,22:30,8.5,1060
2024/01/09,ST-009,銀座店,キッチン,11:00,20:00,9.0,1146
2024/01/23,ST-016,渋谷店,ホール,10:00,18:05,8.1,1231
2024/01/06,ST-015,渋谷店,レジ,13:00,20:00,7.0,1363
2024/01/03,ST-018,銀座店,キッチン,12:00,20:05,8.1,1364
2024/01/23,ST-006,新宿店,レジ,11:00,14:42,3.7,1102
2024/01/26,ST-005,渋谷店,キッチン,08:00,13:12,5.2,1293
2024/01/12,ST-015,銀座店,ホール,17:00,25:18,8.3,1033
2024/01/10,ST-013,銀座店,レジ,15:00,21:12,6.2,1393
2024/01/14,ST-019,渋谷店,ホール,13:00,19:54,6.9,1230
2024/01/15,ST-017,新宿店,ホール,16:00,22:47,6.8,1093
2024/01/25,ST-005,新宿店,レジ,08:00,16:00,8.0,1265
2024/01/05,ST-010,渋谷店,ホール,13:00,21:35,8.6,1115
2024/01/12,ST-017,新宿店,ホール,12:00,16:12,4.2,1489
2024/01/18,ST-009,渋谷店,レジ,12:00,18:42,6.7,1047
2024/01/17,ST-006,銀座店,レジ,10:00,14:00,4.0,1319
2024/01/24,ST-020,新宿店,レジ,08:00,16:00,8.0,1014
2024/01/03,ST-002,銀座店,レジ,12:00,18:54,6.9,1392
2024/01/19,ST-014,銀座店,レジ,08:00,14:00,6.0,1321
2024/01/18,ST-010,銀座店,キッチン,15:00,19:30,4.5,1413
2024/01/22,ST-013,新宿店,キッチン,09:00,16:05,7.1,1080
2024/01/15,ST-014,新宿店,キッチン,11:00,16:00,5.0,1073
2024/01/11,ST-011,銀座店,キッチン,14:00,17:47,3.8,1189
2024/01/17,ST-018,渋谷店,キッチン,11:00,16:47,5.8,1136
2024/01/15,ST-008,渋谷店,ホール,08:00,12:42,4.7,1196
2024/01/28,ST-020,新宿店,ホール,10:00,17:54,7.9,1478
2024/01/19,ST-011,渋谷店,ホール,15:00,24:00,9.0,1239
2024/01/16,ST-010,新宿店,ホール,09:00,17:41,8.7,1258
2024/01/15,ST-008,渋谷店,レジ,13:00,16:17,3.3,1144
2024/01/16,ST-020,銀座店,レジ,15:00,19:42,4.7,1004
2024/01/28,ST-004,新宿店,ホール,12:00,19:24,7.4,1391
2024/01/13,ST-012,渋谷店,キッチン,08:00,14:24,6.4,1099
2024/01/12,ST-018,新宿店,ホール,14:00,20:00,6.0,1391
2024/01/18,ST-009,銀座店,レジ,17:00,20:42,3.7,1499
2024/01/04,ST-013,新宿店,キッチン,16:00,24:35,8.6,1386
2024/01/05,ST-007,銀座店,レジ,14:00,20:00,6.0,1023
2024/01/02,ST-005,銀座店,キッチン,15:00,21:05,6.1,1076
2024/01/20,ST-017,渋谷店,キッチン,17:00,21:54,4.9,1201
2024/01/20,ST-010,銀座店,キッチン,16:00,24:00,8.0,1272
2024/01/16,ST-019,新宿店,キッチン,08:00,13:12,5.2,1344
2024/01/04,ST-014,銀座店,キッチン,18:00,21:12,3.2,1242
2024/01/09,ST-019,銀座店,ホール,08:00,14:30,6.5,1087
2024/01/17,ST-020,新宿店,ホール,18:00,22:30,4.5,1293
2024/01/31,ST-004,渋谷店,ホール,15:00,19:54,4.9,1077
2024/01/14,ST-007,新宿店,レジ,17:00,25:30,8.5,1446
2024/01/28,ST-002,銀座店,ホール,16:00,20:12,4.2,1166
2024/01/22,ST-016,銀座店,キッチン,13:00,21:41,8.7,1235
2024/01/30,ST-018,新宿店,レジ,13:00,20:05,7.1,1444
2024/01/24,ST-009,銀座店,キッチン,11:00,19:41,8.7,1142
2024/01/18,ST-010,渋谷店,キッチン,12:00,19:12,7.2,1353
2024/01/23,ST-016,新宿店,キッチン,13:00,19:24,6.4,1478
2024/01/26,ST-009,新宿店,ホール,17:00,24:05,7.1,1194
