記録日,記録ID,店舗名,売上,食材費,人件費,その他経費
2024/03/31,REC-0001,池袋店,455445,132930,143077,36193
2024/02/19,REC-0002,渋谷店,406263,161356,123350,11808
2024/04/02,REC-0003,品川店,110472,42151,30503,48049
2024/01/12,REC-0004,品川店,189180,48380,58580,32654
2024/02/23,REC-0005,池袋店,431967,158948,126842,43516
2024/01/19,REC-0006,池袋店,110631,34049,34036,26693
2024/02/13,REC-0007,渋谷店,73271,26107,18330,45287
2024/03/17,REC-0008,新宿店,410110,146784,132955,22912
2024/03/26,REC-0009,渋谷店,240956,75827,83102,31639
2024/02/03,REC-0010,品川店,376712,111916,126123,29681
2024/02/18,REC-0011,品川店,315878,93623,91869,36371
2024/03/03,REC-0012,品川店,415538,122312,109173,37554
2024/03/26,REC-0013,新宿店,398614,155879,126652,21405
2024/01/19,REC-0014,品川店,372707,124993,108311,10026
2024/02/09,REC-0015,銀座店,209317,61337,61327,48009
2024/03/30,REC-0016,銀座店,368065,128162,109130,38977
2024/01/20,REC-0017,渋谷店,404223,114013,120183,21120
2024/01/22,REC-0018,品川店,395427,103886,119239,31966
2024/02/22,REC-0019,銀座店,98961,36889,32173,30343
2024/02/07,REC-0020,池袋店,167776,62242,44416,13028
2024/01/29,REC-0021,銀座店,178368,70917,55495,14772
2024/03/19,REC-0022,新宿店,288769,90143,90377,22742
2024/01/02,REC-0023,池袋店,426620,151216,127746,25989
2024/02/27,REC-0024,新宿店,127369,44376,31912,16985
2024/01/05,REC-0025,新宿店,458116,143743,122586,43944
2024/02/11,REC-0026,池袋店,293557,75600,80704,17953
2024/01/18,REC-0027,銀座店,289317,78115,85772,44808
2024/02/23,REC-0028,銀座店,343037,116398,118349,39004
2024/02/20,REC-0029,銀座店,371206,138181,125913,37966
2024/01/10,REC-0030,渋谷店,485457,187400,143011,20430
2024/02/14,REC-0031,銀座店,439889,166816,129770,26203
2024/01/25,REC-0032,渋谷店,490330,169482,160132,44163
2024/01/31,REC-0033,銀座店,304068,104603,84366,15077
2024/02/12,REC-0034,銀座店,424103,124202,117549,30952
2024/01/29,REC-0035,新宿店,333195,87325,88324,35102
2024/01/09,REC-0036,新宿店,413829,112942,112311,37188
2024/01/11,REC-0037,渋谷店,263699,79012,78211,14080
2024/03/15,REC-0038,新宿店,158440,59404,45780,48278
2024/03/20,REC-0039,銀座店,414654,104878,140180,47728
2024/02/29,REC-0040,池袋店,249429,80203,85871,29569
2024/01/26,REC-0041,品川店,445037,137293,150940,37460
2024/02/02,REC-0042,渋谷店,332182,120292,101187,49534
2024/01/18,REC-0043,品川店,165625,53535,45926,41827
2024/03/25,REC-0044,新宿店,65217,20108,20666,36497
2024/02/04,REC-0045,渋谷店,429679,118057,127502,18364
2024/02/25,REC-0046,銀座店,376241,124204,128182,48790
2024/03/17,REC-0047,渋谷店,345903,120875,89379,38089
2024/02/02,REC-0048,品川店,121145,46038,32487,27049
2024/03/17,REC-0049,池袋店,248759,74404,73500,32118
2024/02/22,REC-0050,池袋店,449103,171533,124772,37627
2024/03/30,REC-0051,新宿店,182262,68391,54137,45351
2024/02/18,REC-0052,新宿店,77307,30921,22032,14496
2024/01/08,REC-0053,池袋店,459591,180891,116747,12033
2024/02/11,REC-0054,品川店,179647,50283,45277,19986
2024/01/11,REC-0055,銀座店,175066,47081,55486,46960
2024/01/01,REC-0056,池袋店,164276,52528,45278,34175
2024/02/11,REC-0057,銀座店,137969,47031,47788,17506
2024/01/31,REC-0058,品川店,457786,170706,158610,17084
2024/03/12,REC-0059,銀座店,353397,89710,99373,34596
2024/04/01,REC-0060,品川店,257961,100919,69606,48803
2024/03/04,REC-0061,渋谷店,412080,154359,113027,29764
2024/01/30,REC-0062,渋谷店,495798,174837,163887,47088
2024/01/01,REC-0063,品川店,460326,117917,139605,34285
2024/01/29,REC-0064,品川店,86153,28076,24478,37528
2024/03/22,REC-0065,銀座店,481138,155662,141142,33736
2024/01/15,REC-0066,品川店,383229,147058,113425,20026
2024/03/09,REC-0067,池袋店,278320,76933,84101,27700
2024/01/22,REC-0068,新宿店,372915,138437,113298,41686
