RecordDate,RecordID,StoreName,Revenue,FoodCost,LaborCost,OtherCost
2024-02-24,REC-0161,池袋店,448571,163222,115522,42382
2024-02-12,REC-0162,渋谷店,293245,106496,95594,39419
2024-03-31,REC-0163,銀座店,407110,158212,124758,31181
2024-03-08,REC-0164,新宿店,378842,112675,111370,40731
2024-02-18,REC-0165,池袋店,281844,97153,92905,48759
2024-01-20,REC-0166,銀座店,79450,24056,20451,40260
2024-02-09,REC-0167,品川店,286933,73351,82313,28813
2024-03-13,REC-0168,銀座店,90229,31282,31375,15917
2024-02-26,REC-0169,品川店,372441,126299,107429,48032
2024-03-26,REC-0170,渋谷店,340621,133909,110324,12688
2024-01-24,REC-0171,銀座店,285789,110416,87784,22336
2024-01-13,REC-0172,新宿店,218572,74478,65601,14054
2024-02-11,REC-0173,新宿店,286203,75994,97284,32507
2024-03-07,REC-0174,品川店,424507,111496,133555,12565
2024-01-19,REC-0175,新宿店,179889,64066,62798,44345
2024-03-18,REC-0176,池袋店,324070,110660,92810,28539
2024-01-01,REC-0177,銀座店,253117,78799,71843,49183
2024-03-25,REC-0178,新宿店,77454,28532,24377,14319
2024-01-21,REC-0179,品川店,222852,58872,70830,28621
2024-02-06,REC-0180,新宿店,182118,65300,57486,49498
2024-02-22,REC-0181,銀座店,128838,38651,39717,19268
2024-01-07,REC-0182,渋谷店,233406,69212,73664,35687
2024-01-10,REC-0183,渋谷店,117607,39898,40433,30288
2024-01-02,REC-0184,品川店,343036,105141,112915,18375
2024-01-18,REC-0185,銀座店,401333,142643,138343,44497
2024-01-13,REC-0186,渋谷店,98996,34342,28940,33712
2024-03-05,REC-0187,池袋店,59558,18128,15963,24037
2024-03-12,REC-0188,新宿店,229166,89867,68435,24846
2024-03-18,REC-0189,品川店,122123,33369,34143,16628
2024-02-27,REC-0190,銀座店,316175,115603,105448,44506
2024-02-18,REC-0191,品川店,69790,24376,23563,18588
2024-01-30,REC-0192,銀座店,363129,111301,96673,20848
2024-01-28,REC-0193,新宿店,428107,135132,124615,25566
2024-04-05,REC-0194,池袋店,282888,96631,92006,39420
2024-01-27,REC-0195,渋谷店,172684,57003,48515,40737
2024-01-17,REC-0196,新宿店,487839,136157,155050,47383
2024-01-26,REC-0197,池袋店,280999,89709,78167,35026
2024-02-23,REC-0198,銀座店,313667,103233,108725,23087
2024-01-26,REC-0199,新宿店,470090,160159,158561,13419
2024-01-19,REC-0200,銀座店,386162,124378,110875,16723
2024-03-14,REC-0201,新宿店,422978,159413,141746,28681
2024-02-18,REC-0202,渋谷店,93974,34250,26057,43643
2024-04-03,REC-0203,新宿店,127253,47676,32980,24551
2024-01-09,REC-0204,渋谷店,478187,151905,136263,11747
2024-01-18,REC-0205,渋谷店,267525,69018,80311,25451
2024-01-21,REC-0206,銀座店,252462,100777,72580,11847
2024-01-11,REC-0207,池袋店,217082,84580,72487,31973
2024-03-28,REC-0208,品川店,464911,126412,118008,40962
2024-03-27,REC-0209,渋谷店,414942,155464,135223,40743
2024-01-21,REC-0210,渋谷店,285196,97623,97133,11245
2024-01-29,REC-0211,品川店,184177,52002,48798,49903
2024-01-28,REC-0212,池袋店,326704,102417,107033,25573
2024-01-18,REC-0213,池袋店,207889,55771,56929,39957
2024-01-01,REC-0214,池袋店,82929,22111,28238,49107
2024-03-23,REC-0215,銀座店,331046,83577,99822,25855
2024-04-04,REC-0216,池袋店,426724,115871,124997,33122
2024-03-30,REC-0217,銀座店,176124,59107,47330,15610
2024-04-01,REC-0218,品川店,324456,128548,83309,44475
2024-01-11,REC-0219,新宿店,335255,109326,116948,46316
2024-01-09,REC-0220,池袋店,60661,18718,18017,35354
2024-02-29,REC-0221,渋谷店,245717,70778,61828,14427
2024-02-28,REC-0222,銀座店,230775,66040,72858,16793
2024-02-12,REC-0223,銀座店,454488,153292,148012,18743
2024-02-14,REC-0224,品川店,73244,22181,20790,21474
2024-01-10,REC-0225,銀座店,485360,178064,143890,41361
2024-02-21,REC-0226,渋谷店,381211,105725,100443,39994
2024-02-21,REC-0227,品川店,69390,20401,17651,23072
2024-03-04,REC-0228,銀座店,71970,21399,20224,36098
2024-03-17,REC-0229,渋谷店,477507,158271,131472,22524
2024-01-16,REC-0230,銀座店,200004,60710,65618,31753
2024-02-23,REC-0231,池袋店,193244,51919,55422,36215
2024-03-03,REC-0232,品川店,439707,138930,151983,32219
2024-02-17,REC-0233,渋谷店,147946,47998,44347,44031
2024-04-03,REC-0234,品川店,189838,70272,61262,15172
2024-01-27,REC-0235,銀座店,275762,93860,91617,45748
2024-03-23,REC-0236,新宿店,204018,60834,52638,29375
2024-03-17,REC-0237,品川店,210692,66765,67793,20921
2024-02-02,REC-0238,銀座店,411635,130317,121314,33105
2024-01-01,REC-0239,渋谷店,372359,148840,103313,13759
2024-03-19,REC-0240,新宿店,89343,31330,25964,43625
2024-03-27,REC-0241,品川店,470005,170369,125020,12040
2024-03-11,REC-0242,池袋店,124857,47108,39680,38716
2024-01-06,REC-0243,銀座店,68244,18353,18671,34007
2024-01-02,REC-0244,渋谷店,239871,73743,73574,49655
2024-03-05,REC-0245,銀座店,130445,45898,44988,34380
2024-02-25,REC-0246,池袋店,282752,103052,86915,44698
2024-03-14,REC-0247,渋谷店,242387,75068,76341,26358
2024-02-14,REC-0248,池袋店,109479,27795,29406,43930
2024-01-28,REC-0249,銀座店,252892,97877,66201,27058
2024-02-03,REC-0250,品川店,419118,132835,146538,28715
2024-01-27,REC-0251,池袋店,413845,160353,123789,18037
2024-03-25,REC-0252,渋谷店,121160,45789,35766,39170
2024-02-02,REC-0253,新宿店,96027,35681,33297,30944
2024-01-09,REC-0254,品川店,400140,120887,102633,45531
2024-01-03,REC-0255,品川店,202233,77596,67775,21409
2024-02-08,REC-0256,銀座店,466125,141806,126983,23171
2024-03-12,REC-0257,渋谷店,465270,126009,153091,11722
2024-02-01,REC-0258,新宿店,239213,79682,68628,46152
