日付,管理番号,店舗,売上高,原材料費,労務費,諸経費
2024/03/12,REC-0321,品川店,373923,129249,128401,41667
2024/01/19,REC-0322,新宿店,395654,127866,99175,46152
2024/01/05,REC-0323,池袋店,265659,66886,80479,28005
2024/02/25,REC-0324,品川店,330881,131234,83287,38218
2024/01/24,REC-0325,新宿店,472664,184791,126639,16312
2024/02/06,REC-0326,銀座店,324928,88489,87468,44501
2024/01/03,REC-0327,銀座店,182339,67881,50459,36011
2024/04/03,REC-0328,池袋店,91428,27973,26569,47027
2024/03/10,REC-0329,品川店,177510,70743,48386,15283
2024/03/08,REC-0330,池袋店,392745,156607,123710,12076
2024/02/18,REC-0331,渋谷店,99021,30774,28490,41195
2024/01/27,REC-0332,池袋店,79420,27440,25436,15418
2024/03/27,REC-0333,渋谷店,312069,117587,98142,31710
2024/02/12,REC-0334,品川店,346671,137489,120427,44613
2024/01/31,REC-0335,渋谷店,72309,20569,24594,47144
2024/01/13,REC-0336,品川店,299299,86995,102484,28374
2024/01/26,REC-0337,渋谷店,334704,111967,84777,30610
2024/03/17,REC-0338,品川店,58209,22947,17969,36102
2024/01/25,REC-0339,銀座店,90337,26639,27678,47138
2024/01/11,REC-0340,銀座店,487597,184027,154911,45426
2024/02/14,REC-0341,品川店,223921,68872,72544,15139
2024/03/17,REC-0342,渋谷店,312559,113089,88949,16401
2024/03/16,REC-0343,池袋店,279160,79510,71912,49660
2024/01/15,REC-0344,池袋店,453180,155023,140286,31389
2024/03/27,REC-0345,品川店,65532,22616,21517,39527
2024/03/24,REC-0346,渋谷店,307217,87317,93794,34603
2024/02/07,REC-0347,品川店,276412,76804,85297,34908
2024/02/27,REC-0348,品川店,94928,34727,26535,26151
2024/03/11,REC-0349,池袋店,423874,110642,117327,34903
2024/02/09,REC-0350,渋谷店,423123,155533,112308,35534
2024/04/05,REC-0351,池袋店,216030,65695,55984,30202
2024/02/10,REC-0352,渋谷店,283169,86079,78431,18683
2024/03/06,REC-0353,品川店,95768,26633,28240,46355
2024/03/02,REC-0354,新宿店,318666,99170,80503,33194
2024/03/19,REC-0355,新宿店,340570,89896,105510,31261
2024/02/07,REC-0356,池袋店,251975,63460,73420,15550
2024/01/09,REC-0357,銀座店,430026,165633,146432,25908
2024/03/25,REC-0358,新宿店,349871,114815,111444,21108
2024/02/27,REC-0359,渋谷店,122792,35651,33993,19563
2024/02/08,REC-0360,池袋店,83170,22878,23087,29644
2024/02/23,REC-0361,渋谷店,303876,111644,86942,26160
2024/01/18,REC-0362,池袋店,427958,147112,132401,22815
2024/02/08,REC-0363,渋谷店,290051,77166,81349,35932
2024/04/03,REC-0364,新宿店,224177,84344,64560,31596
2024/01/14,REC-0365,新宿店,280803,84299,93099,48954
2024/03/28,REC-0366,池袋店,121368,35811,37663,23163
2024/03/19,REC-0367,渋谷店,301139,89476,104331,30915
2024/01/14,REC-0368,品川店,202802,73055,63535,47740
2024/01/16,REC-0369,品川店,459979,131721,132292,35751
2024/03/18,REC-0370,渋谷店,241373,64466,73953,48812
2024/02/25,REC-0371,池袋店,336066,93086,109813,11763
2024/02/04,REC-0372,渋谷店,431269,137679,138366,38734
2024/01/04,REC-0373,新宿店,468216,137514,149493,36813
2024/03/18,REC-0374,銀座店,402834,130878,126221,25861
2024/01/21,REC-0375,新宿店,182477,63647,58670,34706
2024/02/06,REC-0376,池袋店,88779,28174,27503,48157
2024/01/26,REC-0377,品川店,260137,85885,89057,37413
2024/02/06,REC-0378,渋谷店,335026,85604,116201,45186
2024/03/13,REC-0379,品川店,361332,124922,93403,26268
2024/03/24,REC-0380,池袋店,394772,138053,105259,12903
2024/03/13,REC-0381,池袋店,345289,137266,109714,36189
2024/02/16,REC-0382,新宿店,444622,133270,146557,16943
2024/02/22,REC-0383,渋谷店,55530,14703,15115,43999
2024/02/22,REC-0384,品川店,342549,115465,105341,39214
2024/04/01,REC-0385,渋谷店,246146,75977,80547,48573
2024/02/02,REC-0386,新宿店,411987,133924,117208,11609
2024/03/22,REC-0387,渋谷店,303111,80531,88386,15626
2024/03/11,REC-0388,品川店,110853,41536,35807,32828
2024/02/10,REC-0389,新宿店,213520,64367,70125,44151
2024/01/14,REC-0390,渋谷店,303192,91638,78757,39651
2024/02/19,REC-0391,銀座店,217200,56488,55270,17542
2024/01/07,REC-0392,銀座店,61841,23337,19467,20771
2024/02/09,REC-0393,銀座店,438229,125590,117202,20494
2024/02/14,REC-0394,新宿店,223533,74654,77308,25194
2024/02/05,REC-0395,渋谷店,468253,145512,125700,38320
2024/02/15,REC-0396,渋谷店,257399,65476,80156,22931
2024/01/23,REC-0397,渋谷店,285706,96805,82535,24076
2024/03/13,REC-0398,新宿店,157890,46064,50584,14100
2024/02/29,REC-0399,品川店,352696,93557,118928,22252
2024/03/21,REC-0400,品川店,241780,72267,71507,27193
2024/03/15,REC-0401,銀座店,401640,152380,121605,30539
2024/01/11,REC-0402,渋谷店,362984,111906,104994,17486
2024/01/20,REC-0403,品川店,232412,70373,68744,21306
2024/03/16,REC-0404,渋谷店,476633,167316,157318,48677
2024/03/28,REC-0405,渋谷店,94434,33129,26566,25635
2024/01/19,REC-0406,銀座店,210107,56212,60370,19264
2024/02/02,REC-0407,銀座店,317819,97973,98410,47670
2024/02/13,REC-0408,品川店,251174,78731,75017,45217
2024/03/09,REC-0409,品川店,413558,160408,141879,21353
2024/03/25,REC-0410,渋谷店,340934,93767,95080,22261
2024/02/11,REC-0411,新宿店,214930,80877,67045,33529
2024/03/26,REC-0412,銀座店,55024,17755,14829,35162
2024/02/20,REC-0413,品川店,344430,112220,103155,42225
2024/01/29,REC-0414,銀座店,267910,95515,78868,20961
2024/01/06,REC-0415,池袋店,93343,31252,30764,24452
2024/03/02,REC-0416,品川店,203139,51780,55352,28918
2024/01/18,REC-0417,渋谷店,138189,50730,42363,42460
2024/02/24,REC-0418,池袋店,338214,110467,103923,27556
2024/01/16,REC-0419,渋谷店,456382,151275,159318,45523
2024/01/29,REC-0420,品川店,481285,174955,156899,38925
2024/01/30,REC-0421,品川店,336446,95140,98415,26222
2024/01/02,REC-0422,品川店,206085,78564,52185,27223
2024/03/26,REC-0423,渋谷店,232754,88290,60213,17693
2024/04/04,REC-0424,銀座店,456654,169776,123747,48530
2024/02/02,REC-0425,渋谷店,411304,124458,132059,38060
