Date,InquiryID,Agent,Area,PropertyType,Channel,Status,IsContracted,ContractAmount
2024/01/22,INQ-新宿-0001,中村,新宿区,土地,ポータルサイト,成約,1,7165.0
2024/01/31,INQ-新宿-0002,鈴木,新宿区,土地,ポータルサイト,成約,1,5328.0
2024/01/07,INQ-新宿-0003,鈴木,新宿区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/16,INQ-新宿-0004,中村,新宿区,マンション,SNS広告,成約,1,7083.0
2024/01/29,INQ-新宿-0005,中村,新宿区,戸建て,紹介,問い合わせ,0,0.0
2024/01/13,INQ-新宿-0006,山田,新宿区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/21,INQ-新宿-0007,田中,新宿区,マンション,紹介,問い合わせ,0,0.0
2024/01/08,INQ-新宿-0008,鈴木,新宿区,事務所,ポータルサイト,成約,1,5691.0
2024/01/08,INQ-新宿-0009,田中,新宿区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/15,INQ-新宿-0010,中村,新宿区,土地,チラシ,内見,0,0.0
2024/01/29,INQ-新宿-0011,山田,新宿区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/18,INQ-新宿-0012,山田,新宿区,戸建て,紹介,問い合わせ,0,0.0
2024/01/16,INQ-新宿-0013,山田,新宿区,土地,紹介,申し込み,0,0.0
2024/01/27,INQ-新宿-0014,佐藤,新宿区,事務所,SNS広告,内見,0,0.0
2024/01/09,INQ-新宿-0015,山田,新宿区,マンション,紹介,内見,0,0.0
2024/01/08,INQ-新宿-0016,佐藤,新宿区,土地,ポータルサイト,申し込み,0,0.0
2024/01/18,INQ-新宿-0017,田中,新宿区,戸建て,ポータルサイト,申し込み,0,0.0
2024/01/13,INQ-新宿-0018,鈴木,新宿区,戸建て,ポータルサイト,内見,0,0.0
2024/01/14,INQ-新宿-0019,佐藤,新宿区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/07,INQ-新宿-0020,山田,新宿区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/19,INQ-新宿-0021,田中,新宿区,事務所,SNS広告,申し込み,0,0.0
2024/01/31,INQ-新宿-0022,佐藤,新宿区,土地,紹介,問い合わせ,0,0.0
2024/01/28,INQ-新宿-0023,山田,新宿区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/09,INQ-新宿-0024,山田,新宿区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/11,INQ-新宿-0025,山田,新宿区,戸建て,店頭来店,申し込み,0,0.0
2024/01/30,INQ-新宿-0026,鈴木,新宿区,マンション,店頭来店,内見,0,0.0
2024/01/19,INQ-新宿-0027,中村,新宿区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/14,INQ-新宿-0028,鈴木,新宿区,事務所,ポータルサイト,内見,0,0.0
2024/01/09,INQ-新宿-0029,山田,新宿区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/11,INQ-新宿-0030,佐藤,新宿区,事務所,ポータルサイト,内見,0,0.0
2024/01/31,INQ-新宿-0031,山田,新宿区,土地,店頭来店,問い合わせ,0,0.0
2024/01/16,INQ-新宿-0032,田中,新宿区,マンション,チラシ,内見,0,0.0
2024/01/12,INQ-新宿-0033,鈴木,新宿区,マンション,紹介,申し込み,0,0.0
2024/01/21,INQ-新宿-0034,田中,新宿区,マンション,チラシ,問い合わせ,0,0.0
2024/01/07,INQ-新宿-0035,田中,新宿区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/16,INQ-新宿-0036,田中,新宿区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/09,INQ-新宿-0037,佐藤,新宿区,戸建て,SNS広告,内見,0,0.0
2024/01/31,INQ-新宿-0038,田中,新宿区,戸建て,チラシ,内見,0,0.0
2024/01/04,INQ-新宿-0039,中村,新宿区,マンション,チラシ,内見,0,0.0
2024/01/19,INQ-新宿-0040,山田,新宿区,事務所,チラシ,問い合わせ,0,0.0
2024/01/07,INQ-新宿-0041,田中,新宿区,戸建て,ポータルサイト,内見,0,0.0
2024/01/25,INQ-新宿-0042,佐藤,新宿区,マンション,紹介,成約,1,5818.0
2024/01/19,INQ-新宿-0043,田中,新宿区,土地,SNS広告,問い合わせ,0,0.0
2024/01/22,INQ-新宿-0044,佐藤,新宿区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/11,INQ-新宿-0045,田中,新宿区,事務所,店頭来店,内見,0,0.0
2024/01/04,INQ-新宿-0046,山田,新宿区,土地,SNS広告,内見,0,0.0
2024/01/27,INQ-新宿-0047,山田,新宿区,戸建て,ポータルサイト,申し込み,0,0.0
2024/01/24,INQ-新宿-0048,中村,新宿区,土地,SNS広告,内見,0,0.0
2024/01/30,INQ-新宿-0049,中村,新宿区,事務所,SNS広告,問い合わせ,0,0.0
2024/01/27,INQ-新宿-0050,中村,新宿区,土地,ポータルサイト,申し込み,0,0.0
2024/01/08,INQ-新宿-0051,田中,新宿区,土地,店頭来店,問い合わせ,0,0.0
2024/01/08,INQ-新宿-0052,山田,新宿区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/16,INQ-新宿-0053,佐藤,新宿区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/12,INQ-新宿-0054,佐藤,新宿区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/20,INQ-新宿-0055,佐藤,新宿区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/07,INQ-新宿-0056,田中,新宿区,戸建て,紹介,内見,0,0.0
2024/01/16,INQ-新宿-0057,中村,新宿区,戸建て,紹介,問い合わせ,0,0.0
2024/01/21,INQ-新宿-0058,山田,新宿区,事務所,紹介,問い合わせ,0,0.0
2024/01/03,INQ-新宿-0059,佐藤,新宿区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/08,INQ-新宿-0060,佐藤,新宿区,土地,SNS広告,問い合わせ,0,0.0
2024/01/17,INQ-新宿-0061,佐藤,新宿区,事務所,チラシ,問い合わせ,0,0.0
2024/01/18,INQ-新宿-0062,佐藤,新宿区,土地,紹介,問い合わせ,0,0.0
2024/01/09,INQ-新宿-0063,佐藤,新宿区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/24,INQ-新宿-0064,鈴木,新宿区,土地,ポータルサイト,内見,0,0.0
2024/01/18,INQ-新宿-0065,鈴木,新宿区,戸建て,ポータルサイト,内見,0,0.0
2024/01/16,INQ-新宿-0066,佐藤,新宿区,土地,チラシ,成約,1,7114.0
2024/01/27,INQ-新宿-0067,鈴木,新宿区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/06,INQ-新宿-0068,佐藤,新宿区,マンション,紹介,問い合わせ,0,0.0
2024/01/05,INQ-新宿-0069,佐藤,新宿区,マンション,チラシ,申し込み,0,0.0
2024/01/18,INQ-新宿-0070,佐藤,新宿区,戸建て,SNS広告,申し込み,0,0.0
2024/01/25,INQ-新宿-0071,山田,新宿区,マンション,店頭来店,問い合わせ,0,0.0
2024/01/19,INQ-新宿-0072,佐藤,新宿区,事務所,SNS広告,問い合わせ,0,0.0
2024/01/11,INQ-新宿-0073,鈴木,新宿区,マンション,ポータルサイト,成約,1,5768.0
2024/01/28,INQ-新宿-0074,山田,新宿区,マンション,店頭来店,問い合わせ,0,0.0
2024/01/13,INQ-新宿-0075,山田,新宿区,マンション,SNS広告,成約,1,9304.0
2024/01/22,INQ-新宿-0076,田中,新宿区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/19,INQ-新宿-0077,佐藤,新宿区,マンション,チラシ,内見,0,0.0
2024/01/04,INQ-新宿-0078,中村,新宿区,事務所,SNS広告,問い合わせ,0,0.0
